,ticker,date,time,headline,neg,neu,pos,compound
0,FRT,2021-04-09,11:59AM,7 Dividend Stocks With 50 Years of Dividend Increases,0.0,1.0,0.0,0.0
1,FRT,2021-03-31,04:30PM,Federal Realty Investment Trust Announces First Quarter 2021 Earnings Release Date and Conference Call Information,0.0,0.809,0.191,0.5106
2,FRT,2021-03-25,07:20AM,"Even if the Market Crashes, I'm Not Selling Federal Realty",0.0,1.0,0.0,0.0
3,FRT,2021-03-22,10:18AM,Expert Ratings for Federal Realty Investment,0.0,1.0,0.0,0.0
4,FRT,2021-03-19,03:36PM,Federal Realty Investment Trust -- Moody's announces completion of a periodic review of ratings of Federal Realty Investment Trust,0.0,0.708,0.292,0.765
5,FRT,2021-03-18,03:53PM,Federal Realty: Up 17% and Still a Buy,0.0,1.0,0.0,0.0
6,FRT,2021-03-14,03:00PM,3 Retail REITS to Buy Now,0.0,1.0,0.0,0.0
7,FRT,2021-03-13,11:30AM,Federal Realty Investment Trust (FRT) Up 12.6% Since Last Earnings Report: Can It Continue?,0.0,0.798,0.202,0.5106
8,FRT,2021-03-05,12:04PM,5 Stocks You Need to Avoid for the Foreseeable Future,0.216,0.784,0.0,-0.296
9,FRT,2021-03-04,04:00PM,3 Best Real Estate Stocks to Buy in March,0.0,0.625,0.375,0.6369
10,FRT,2021-03-02,04:30PM,Federal Realty Investment Trust to Present at Citi 2021 Virtual Global Property CEO Conference,0.0,0.798,0.202,0.5106
11,FRT,2021-02-27,10:51AM,3 Dividend Aristocrats to Buy and Hold Forever,0.0,1.0,0.0,0.0
12,FRT,2021-02-26,07:15AM,"Wall Street Has Given Up on These 3 Stocks, and That's a Huge Mistake",0.163,0.68,0.156,-0.0258
13,FRT,2021-02-21,08:00AM,The 3 Safest REITs to Buy Right Now,0.0,0.69,0.31,0.4019
14,FRT,2021-02-12,12:30PM,Federal Realty Investment Trust (FRT) Q4 2020 Earnings Call Transcript,0.0,0.732,0.268,0.5106
15,FRT,2021-02-12,09:58AM,Federal Realty's (FRT) Q4 FFO & Revenues Beat Estimates,0.0,1.0,0.0,0.0
16,FRT,2021-02-11,05:55PM,Federal Realty Investment Trust (FRT) Q4 FFO and Revenues Beat Estimates,0.0,0.752,0.248,0.5106
17,FRT,2021-02-11,04:05PM,Federal Realty Investment Trust Strengthens Its Executive Leadership Structure,0.0,0.526,0.474,0.743
18,FRT,2021-02-11,04:05PM,"Federal Realty Investment Trust Announces Operating Results for the Year and Quarter Ended December 31, 2020",0.0,0.82,0.18,0.5106
19,FRT,2021-02-11,06:39AM,Federal Realty Trust Shows an Improved Technical Picture,0.0,0.484,0.516,0.7506
20,FRT,2021-02-10,11:30AM,3 Cheap REITs to Buy Right Now,0.0,1.0,0.0,0.0
21,FRT,2021-02-10,11:09AM,"REITs' Q4 Earnings Lined Up for Feb 11: DLR, REG & More",0.0,1.0,0.0,0.0
22,FRT,2021-02-10,07:21AM,Key Factors to Impact Federal Realty's (FRT) Q4 Earnings,0.0,1.0,0.0,0.0
23,FRT,2021-02-10,07:00AM,2 Retail REITs to Buy Now,0.0,1.0,0.0,0.0
24,FRT,2021-02-09,07:38PM,Federal Realty Investment Trust Announces Revised Date & Time for Fourth Quarter 2020 Earnings Conference Call,0.0,0.809,0.191,0.5106
25,FRT,2021-02-06,09:12AM,30 Dividend Kings of 2021 (Part III),0.0,1.0,0.0,0.0
26,FRT,2021-02-05,09:00AM,3 Best Real Estate Stocks to Buy in February,0.0,0.625,0.375,0.6369
27,FRT,2021-01-31,02:23AM,What Type Of Returns Would Federal Realty Investment Trust's(NYSE:FRT) Shareholders Have Earned If They Purchased Their SharesFive Years Ago?,0.0,1.0,0.0,0.0
28,FRT,2021-01-30,10:34AM,10 Best Real Estate Stocks To Buy Now,0.0,0.625,0.375,0.6369
29,FRT,2021-01-27,04:00PM,3 Retail REITs to Buy Now,0.0,1.0,0.0,0.0
30,FRT,2021-01-27,09:11AM,Federal Realty Investment Trust Releases Tax Status of 2020 Distributions,0.0,0.732,0.268,0.5106
31,FRT,2021-01-25,08:51AM,2 Stocks to Buy With Dividends Yielding More Than 4%,0.0,1.0,0.0,0.0
32,FRT,2021-01-24,06:00AM,1 REIT Stock to Buy in 2021,0.0,1.0,0.0,0.0
33,FRT,2021-01-14,04:15PM,Federal Realty Investment Trust Announces Fourth Quarter 2020 Earnings Release Date and Conference Call Information,0.0,0.809,0.191,0.5106
34,FRT,2021-01-08,05:00PM,3 Best REITs to Buy in January,0.0,0.543,0.457,0.6369
35,FRT,2021-01-08,10:53AM,"Federal Realty (FRT) Sells Three Non-Core Assets, Repays Debt",0.223,0.625,0.152,-0.2023
36,FRT,2021-01-07,05:00PM,Cheap Real Estate Stocks to Buy in January,0.0,1.0,0.0,0.0
37,FRT,2021-01-07,10:52AM,Can Federal Realty Bounce Back in 2021?,0.0,1.0,0.0,0.0
38,FRT,2021-01-07,08:32AM,Federal Realty Announces December Sales of Non-Strategic Assets and Senior Note Redemptions as the Company Looks Beyond COVID-19,0.0,0.909,0.091,0.1779
39,FRT,2020-12-30,10:20AM,Understanding Federal Realty Investment's Ex-Dividend Date,0.0,1.0,0.0,0.0
40,FRT,2020-12-22,10:40AM,"Near a 10-Year Low, Is Federal Realty a Buy?",0.259,0.741,0.0,-0.2732
41,FRT,2020-12-12,07:25PM,Is FRT A Good Stock To Buy Now?,0.0,0.674,0.326,0.4404
42,FRT,2020-12-05,11:32AM,Why Is Federal Realty Investment Trust (FRT) Up 29.1% Since Last Earnings Report?,0.0,0.784,0.216,0.5106
43,FRT,2020-12-04,11:13AM,"Why Federal Realty, STORE Capital, and Simon Property Group All Rocketed More Than 25% in November",0.0,1.0,0.0,0.0
44,FRT,2020-12-04,08:45AM,Better Dividend Stock for 2021: STORE Capital or Federal Realty Investment Trust,0.0,0.617,0.383,0.7351
45,FRT,2020-12-03,04:00PM,3 Cheap Real Estate Stocks to Buy in December,0.0,1.0,0.0,0.0
46,FRT,2020-12-01,07:45AM,1 Cheap Stock to Buy Now,0.0,1.0,0.0,0.0
47,FRT,2020-11-30,08:57AM,Is Federal Realty Investment Trust a Buy?,0.0,0.602,0.398,0.5106
48,FRT,2020-11-25,09:48AM,3 Dividend Stocks to Hold for the Next 20 Years,0.0,1.0,0.0,0.0
49,FRT,2020-11-23,07:00AM,This Retail REIT Believes the Future Is Bright,0.0,0.707,0.293,0.4404
50,FRT,2020-11-22,05:13PM,Federal Realty: Getting Paid to Wait,0.0,1.0,0.0,0.0
51,FRT,2020-11-20,01:31PM,7 F-Rated Dividend Stocks to Avoid,0.355,0.645,0.0,-0.296
52,FRT,2020-11-19,10:36AM,2 High-Yield Dividend Stocks I'd Buy Right Now,0.0,1.0,0.0,0.0
53,FRT,2020-11-18,07:00AM,2 Retail REITS to Buy Right Now,0.0,1.0,0.0,0.0
54,FRT,2020-11-09,01:55PM,"Stocks of residential, retail REITs enjoy historic gains from hopes of COVID-19 vaccine",0.0,0.543,0.457,0.8126
55,FRT,2020-11-09,10:41AM,3 Top REITs to Buy With Dividends Above 3%,0.0,0.795,0.205,0.2023
56,FRT,2020-11-06,09:31PM,Federal Realty Investment Trust (FRT) Q3 2020 Earnings Call Transcript,0.0,0.732,0.268,0.5106
57,FRT,2020-11-06,01:15PM,3 Cheap Real Estate Stocks to Buy in November,0.0,1.0,0.0,0.0
58,FRT,2020-11-06,08:34AM,Federal Realty (FRT) Q3 FFO and Revenues Surpass Estimates,0.0,1.0,0.0,0.0
59,FRT,2020-11-05,05:55PM,Federal Realty Investment Trust (FRT) Beats Q3 FFO and Revenue Estimates,0.0,0.752,0.248,0.5106
60,FRT,2020-11-05,04:05PM,Federal Realty Investment Trust Announces Third Quarter 2020 Operating Results,0.0,0.732,0.268,0.5106
61,FRT,2020-11-04,08:45AM,What's in the Cards for Federal Realty's (FRT) Q3 Earnings?,0.0,1.0,0.0,0.0
62,FRT,2020-11-02,07:48AM,Does Federal Realty Investment Trust's (NYSE:FRT) CEO Salary Compare Well With Industry Peers?,0.0,0.851,0.149,0.2732
63,FRT,2020-10-15,08:15AM,1 Financial Stock I'd Buy Right Now,0.0,1.0,0.0,0.0
64,FRT,2020-10-12,12:59PM,Hedge Funds Dont Like Federal Realty Investment Trust (FRT) At All,0.146,0.625,0.229,0.2937
65,FRT,2020-10-08,06:04PM,Federal Realty Investment Trust Announces Pricing of Inaugural Issuance of Green Bonds,0.0,0.769,0.231,0.5106
66,FRT,2020-10-08,08:35AM,Federal Realty's (FRT) Q3 Rent Collection Improves to 83%,0.0,0.741,0.259,0.4215
67,FRT,2020-10-07,01:06PM,Federal Realty Investment Trust Provides Business Update,0.0,0.645,0.355,0.5106
68,FRT,2020-10-05,07:30AM,Federal Realty Investment Trust Announces Third Quarter 2020 Earnings Release Date and Conference Call Information,0.0,0.809,0.191,0.5106
69,FRT,2020-09-18,03:26PM,Federal Realty: Abnormally High Yield Likely Means High Returns,0.0,1.0,0.0,0.0
70,FRT,2020-09-18,11:00AM,2 Cheap Stocks to Buy Before the COVID-19 Vaccine,0.0,1.0,0.0,0.0
71,FRT,2020-09-12,08:13AM,"3 Stocks That Turned $1,000 Into More Than $125,000",0.0,1.0,0.0,0.0
72,FRT,2020-09-11,09:05AM,Want a Dividend You Can Trust? Try Federal Realty Investment Trust,0.0,0.47,0.53,0.7845
73,FRT,2020-09-10,04:45PM,Federal Realty Investment Trust to Present at the BofA Securities 2020 Global Real Estate Virtual Conference,0.0,0.718,0.282,0.6705
74,FRT,2020-09-04,11:31AM,Federal Realty Investment Trust (FRT) Up 7.8% Since Last Earnings Report: Can It Continue?,0.0,0.798,0.202,0.5106
75,FRT,2020-09-04,09:50AM,Is the Worst Over for Federal Realty Investment Trust?,0.285,0.486,0.229,-0.2023
76,FRT,2020-09-02,09:32AM,Why Federal Realty Investment Trust (NYSE:FRT) Looks Like A Quality Company,0.0,0.58,0.42,0.7003
77,FRT,2020-08-27,07:30AM,"Federal Realty, 2020 Triple Winner, Recognized by the Alliance for Workplace Excellence",0.0,0.559,0.441,0.836
78,FRT,2020-08-12,09:20AM,Federal Realty Investment Trust Is Trying to Build a Bottom Pattern,0.0,0.732,0.268,0.5106
79,FRT,2020-08-10,07:55AM,Federal Announces New Board Members,0.0,1.0,0.0,0.0
80,FRT,2020-08-08,09:31AM,These 5 Companies Announced Dividend Increases This Week,0.0,1.0,0.0,0.0
81,FRT,2020-08-06,09:13AM,Federal Realty's (FRT) Q2 FFO and Revenues Miss Estimates,0.167,0.833,0.0,-0.1531
82,FRT,2020-08-05,05:35PM,Federal Realty Investment Trust (FRT) Misses Q2 FFO and Revenue Estimates,0.134,0.634,0.232,0.34
83,FRT,2020-08-05,04:02PM,Federal Realty Investment Trust Announces Second Quarter 2020 Operating Results,0.0,0.732,0.268,0.5106
84,FRT,2020-08-03,10:35AM,What's in the Cards for Federal Realty's (FRT) Q2 Earnings?,0.0,1.0,0.0,0.0
85,FRT,2020-07-23,08:52AM,New Strong Sell Stocks for July 23rd,0.0,0.645,0.355,0.5106
86,FRT,2020-07-18,03:06PM,Is Federal Realty Investment Trust a Buy?,0.0,0.602,0.398,0.5106
87,FRT,2020-07-17,04:57PM,Did Hedge Funds Make The Right Call On Federal Realty Investment Trust (FRT) ?,0.0,0.784,0.216,0.5106
88,FRT,2020-07-07,11:49AM,Why Federal Realty Stock Lost a Third of Its Value in the First Half of 2020,0.13,0.734,0.136,0.0258
89,FRT,2020-06-29,04:15PM,Federal Realty Investment Trust Announces Second Quarter 2020 Earnings Release Date and Conference Call Information,0.0,0.809,0.191,0.5106
90,FRT,2020-06-15,07:33PM,Is Federal Realty Investment Trust (FRT) A Good Stock To Buy?,0.0,0.563,0.437,0.7351
91,FRT,2020-06-15,05:04PM,3 Stocks With 4%-Plus Yields Investors Should Consider,0.0,1.0,0.0,0.0
92,FRT,2020-06-10,05:11PM,Federal Realty Investment Trust -- Moody's affirms Federal Realty's A3 senior unsecured; revises outlook to negative,0.279,0.575,0.146,-0.4588
93,FRT,2020-06-03,10:03AM,Federal Realty (FRT) Announces Collection of 54% of May Rent,0.0,1.0,0.0,0.0
94,FRT,2020-06-01,05:06PM,Federal Realty Investment Trust Provides Business Update Related to COVID-19,0.0,0.732,0.268,0.5106
95,FRT,2020-06-01,02:43PM,Edited Transcript of FRT earnings conference call or presentation 7-May-20 12:00pm GMT,0.0,1.0,0.0,0.0
96,FRT,2020-05-28,09:41AM,"Picking a Long/Short Fund Isnt Easy, But It Can Be Profitable. Heres How.",0.157,0.653,0.189,0.1265
97,FRT,2020-05-28,07:15AM,3 Top REIT Stocks to Buy Now,0.0,0.735,0.265,0.2023
98,FRT,2020-05-14,07:15AM,2 Incredibly Cheap Retail REITs,0.0,1.0,0.0,0.0
99,FRT,2020-05-13,07:13AM,Forget Simon Property Group -- Federal Realty Is a Better REIT Stock,0.138,0.652,0.21,0.25
