,ticker,date,time,headline,neg,neu,pos,compound
0,FTI,2021-04-08,11:11AM,Is FTI Stock A Buy or Sell?,0.0,1.0,0.0,0.0
1,FTI,2021-04-05,01:03PM,TechnipFMC (FTI) Partners Bombora for Floating Wave-Wind Power,0.0,1.0,0.0,0.0
2,FTI,2021-04-01,04:15PM,TechnipFMC and Bombora Form Strategic Partnership to Develop a Floating Wave and Wind Power Project,0.0,1.0,0.0,0.0
3,FTI,2021-03-30,07:31AM,"The Zacks Analyst Blog Highlights: Halliburton, TechnipFMC, Baker Hughes, Petrobras and Schlumberger",0.0,1.0,0.0,0.0
4,FTI,2021-03-29,10:05AM,Digital Adoption: The Key to Oil Service Firms' New Approach,0.0,1.0,0.0,0.0
5,FTI,2021-03-26,11:30AM,Why Is FMC Technologies (FTI) Down 9.8% Since Last Earnings Report?,0.0,1.0,0.0,0.0
6,FTI,2021-03-19,01:16PM,TechnipFMC (FTI) Partners Magnora to Form Floating Wind Power,0.0,1.0,0.0,0.0
7,FTI,2021-03-17,04:32PM,TechnipFMC Enters Partnership with Magnora to Develop Floating Offshore Wind Projects,0.0,1.0,0.0,0.0
8,FTI,2021-03-01,08:55AM,"TechnipFMC (FTI) Q4 Earnings Miss, Revenues Top Estimates",0.17,0.638,0.191,0.0516
9,FTI,2021-02-28,06:27PM,"Energean Israel Finance Ltd. -- Moody's assigns Ba3 rating to Energean Israel Finance's senior secured notes, stable outlook",0.0,0.766,0.234,0.5994
10,FTI,2021-02-28,12:48PM,"Energean Israel Finance Ltd. -- Moody's assigns Ba3 rating to Energean Israel Finance's senior secured notes, stable outlook",0.0,0.766,0.234,0.5994
11,FTI,2021-02-28,11:46AM,"Energean Israel Finance Ltd. -- Moody's assigns Ba3 rating to Energean Israel Finance's senior secured notes, stable outlook",0.0,0.766,0.234,0.5994
12,FTI,2021-02-28,05:49AM,"Energean Israel Finance Ltd. -- Moody's assigns Ba3 rating to Energean Israel Finance's senior secured notes, stable outlook",0.0,0.766,0.234,0.5994
13,FTI,2021-02-26,11:49AM,TechnipFMC (FTI) Wins Major iEPCI Contract in Offshore Malaysia,0.0,0.684,0.316,0.5719
14,FTI,2021-02-25,05:31PM,TechnipFMC (FTI) Q4 2020 Earnings Call Transcript,0.0,1.0,0.0,0.0
15,FTI,2021-02-25,03:26PM,Why TechnipFMC Stock Is Rallying Today,0.0,1.0,0.0,0.0
16,FTI,2021-02-25,05:45AM,TechnipFMC Plc to Host Earnings Call,0.0,1.0,0.0,0.0
17,FTI,2021-02-24,03:08PM,"FMC Technologies, Inc. -- Moody's downgrades TechnipFMC and assigns Ba1 CFR",0.0,1.0,0.0,0.0
18,FTI,2021-02-24,11:31AM,2 Stocks Trading at Rock-Bottom Prices; Analysts Say Buy,0.0,1.0,0.0,0.0
19,FTI,2021-02-23,04:26PM,TechnipFMC Receives Integrated EPCI (iEPCI) Letter of Award (LOA) for Energeans Karish North Development in Israel,0.0,0.811,0.189,0.5423
20,FTI,2021-02-23,10:10AM,Preview: TechnipFMC's Earnings,0.0,1.0,0.0,0.0
21,FTI,2021-02-22,04:15PM,"TechnipFMCs subsidiary, FMC Wellhead Equipment Sdn. Bhd. Awarded a Contract by PETRONAS Carigali for Limbayong Deepwater Development Project in Offshore Malaysia",0.0,0.826,0.174,0.4215
22,FTI,2021-02-19,04:00PM,"FMC Technologies, Inc. -- Moody's announces completion of a periodic review of ratings of TechnipFMC plc",0.0,1.0,0.0,0.0
23,FTI,2021-02-19,03:44AM,These Analysts Just Made An Downgrade To Their TechnipFMC plc (NYSE:FTI) EPS Forecasts,0.0,1.0,0.0,0.0
24,FTI,2021-02-11,03:02PM,IBD 50 Stocks To Watch: The Newest S&P 500 Listing Enters A Buy Zone,0.0,1.0,0.0,0.0
25,FTI,2021-02-10,12:02PM,TechnipFMC (FTI) JV Clinches Massive LNG Contract in Qatar,0.0,1.0,0.0,0.0
26,FTI,2021-02-09,07:03AM,"S&P 500 To Remove TechnipFMC Post Spin-Off, Add Monolithic Power Systems",0.0,1.0,0.0,0.0
27,FTI,2021-02-09,01:00AM,Technip Energies and Chiyoda Awarded a Major LNG Contract for the North Field East Project in Qatar,0.0,0.753,0.247,0.5574
28,FTI,2021-02-08,06:49PM,Monolithic Power Systems Set to Join S&P 500; Iridium Communications to Join S&P MidCap 400; Collegium Pharmaceutical to Join S&P SmallCap 600,0.0,0.742,0.258,0.6808
29,FTI,2021-01-28,12:18AM,Are TechnipFMC plc (NYSE:FTI) Investors Paying Above The Intrinsic Value?,0.0,0.789,0.211,0.34
30,FTI,2021-01-19,07:05AM,TechnipFMC plc -- Moody's assigns Ba1 rating to TechnipFMC's proposed senior notes,0.0,1.0,0.0,0.0
31,FTI,2021-01-08,06:33AM,TechnipFMC plc -- Moody's downgrades TechnipFMC to Baa3; on review for downgrade,0.0,1.0,0.0,0.0
32,FTI,2021-01-07,06:29PM,"FMC Technologies, Inc. -- Moody's downgrades TechnipFMC to Baa3; on review for downgrade",0.0,1.0,0.0,0.0
33,FTI,2021-01-07,12:14PM,TechnipFMC resumes plan to split itself into two,0.0,1.0,0.0,0.0
34,FTI,2020-12-31,05:20PM,These are the 20 worst-performing S&P 500 stocks of 2020  analysts see double-digit rebounds for five of them in 2021,0.0,1.0,0.0,0.0
35,FTI,2020-12-30,05:11PM,Can These 4 Stock Market Laggards Bounce Back in 2021?,0.0,1.0,0.0,0.0
36,FTI,2020-12-29,02:04AM,TechnipFMC (NYSE:FTI) Seems To Be Using A Lot Of Debt,0.238,0.762,0.0,-0.3612
37,FTI,2020-12-21,12:28PM,Is FTI A Good Stock To Buy According To Hedge Funds?,0.0,0.756,0.244,0.4404
38,FTI,2020-12-04,12:11AM,StockBeat: Oil Stocks Take off in Response to OPEC+ Deal,0.0,1.0,0.0,0.0
