,ticker,date,time,headline,neg,neu,pos,compound
0,GD,2021-04-13,06:15PM,Heres Why Oakmark Global Fund Decided to Purchase General Dynamics Corp. (GD),0.0,0.84,0.16,0.2732
1,GD,2021-04-08,05:00PM,"SHAREHOLDER ALERT: Levi & Korsinsky, LLP Notifies Shareholders of an Investigation Concerning Possible Breaches of Fiduciary Duty by Certain Officers and Directors of General Dynamics Corporation (GD)",0.0,0.763,0.237,0.7297
2,GD,2021-04-05,04:38AM,What Is General Dynamics Corporation's (NYSE:GD) Share Price Doing?,0.0,0.619,0.381,0.5106
3,GD,2021-04-01,06:22AM,"Defense Stock Roundup: LMT, NOC Win Big Contracts, AIR Beats on Q3 Earnings",0.0,0.675,0.325,0.6486
4,GD,2021-03-29,12:37PM,Is General Dynamics (GD) Stock A Buy or Sell?,0.0,0.769,0.231,0.2732
5,GD,2021-03-24,08:32AM,"AAR Corp. (AIR) Q3 Earnings Beat Estimates, Sales Fall Y/Y",0.0,1.0,0.0,0.0
6,GD,2021-03-23,08:06AM,General Dynamics (GD) Wins Deal to Build Submarine With VPM,0.0,0.58,0.42,0.7003
7,GD,2021-03-19,08:51AM,AAR Corp. (AIR) to Report Q3 Earnings: What in the Cards?,0.0,1.0,0.0,0.0
8,GD,2021-03-19,06:00AM,General Dynamics (GD) is in Overbought Territory: What's Next?,0.0,0.792,0.208,0.2732
9,GD,2021-03-16,10:37AM,Bulgaria cancels $1.74 bln armoured vehicle tender,0.241,0.759,0.0,-0.2263
10,GD,2021-03-11,09:03AM,General Dynamics (GD) Wins $696M Deal to Aid C-20 & C-37 Jets,0.0,0.608,0.392,0.7003
11,GD,2021-03-09,02:04PM,Gulfstream awarded $696 million in contracts for U.S. Air Force special missions support,0.0,0.552,0.448,0.7964
12,GD,2021-03-06,07:30AM,"Ross Stores Brings Back Its Dividend, While 2 Other Companies Boost Theirs This Week",0.0,0.816,0.184,0.4019
13,GD,2021-03-05,08:34AM,General Dynamics (GD) Rewards Investors With 8.2% Dividend Hike,0.0,0.574,0.426,0.6369
14,GD,2021-03-04,07:27AM,General Dynamics Increases Quarterly Dividend By 8.2%,0.0,0.741,0.259,0.2732
15,GD,2021-03-03,01:42PM,"General Dynamics raises dividend by 8.2%, to push the yield even further above its peer group",0.0,0.877,0.123,0.2732
16,GD,2021-03-03,01:30PM,General Dynamics Board Increases Dividend,0.0,0.656,0.344,0.2732
17,GD,2021-03-01,11:35AM,"Curtiss-Wright (CW) Q4 Earnings Top Estimates, Revenues Miss",0.17,0.638,0.191,0.0516
18,GD,2021-02-28,01:46PM,General Dynamics Offers Double-Digit Return Potential,0.0,0.704,0.296,0.2732
19,GD,2021-02-28,03:29AM,General Dynamics Corporation's (NYSE:GD) Intrinsic Value Is Potentially 48% Above Its Share Price,0.0,0.599,0.401,0.6908
20,GD,2021-02-10,01:00PM,General Dynamics CFO to speak at Barclays 2021 Industrial Select Conference,0.0,0.826,0.174,0.2732
21,GD,2021-02-09,10:21AM,"TransDigm's (TDG) Q1 Earnings Miss Estimates, Sales Down Y/Y",0.167,0.833,0.0,-0.1531
22,GD,2021-02-09,10:00AM,What's in Store for Huntington Ingalls (HII) in Q4 Earnings?,0.0,1.0,0.0,0.0
23,GD,2021-02-06,07:00AM,Worried About a 2021 Stock Market Crash? These 3 Stocks Have Staying Power,0.353,0.647,0.0,-0.5994
24,GD,2021-02-05,09:49AM,"Triumph Group (TGI) Q3 Earnings Top Estimates, Sales Fall Y/Y",0.0,0.62,0.38,0.5994
25,GD,2021-02-04,05:00PM,Will Aerospace & Defense ETFs Shine on Mixed Q4 Earnings?,0.0,0.842,0.158,0.128
26,GD,2021-02-04,01:54PM,The Best Defense Stocks For Today  And The Future,0.0,0.551,0.449,0.6908
27,GD,2021-02-04,12:30PM,General Dynamics Information Technology Offers Microsoft Azure to Federal Agencies,0.0,0.811,0.189,0.2732
28,GD,2021-02-04,10:07AM,New Strong Sell Stocks for February 4th,0.0,0.645,0.355,0.5106
29,GD,2021-02-03,03:30PM,General Dynamics Elects Robert K. Steel to Board of Directors,0.0,0.811,0.189,0.2732
30,GD,2021-02-01,11:00AM,GDIT Announces Availability of AWS Services on milCloud 2.0,0.0,1.0,0.0,0.0
31,GD,2021-01-29,12:36AM,General Dynamics Corporation (NYSE:GD) Just Released Its Yearly Earnings: Here's What Analysts Think,0.0,0.851,0.149,0.2732
32,GD,2021-01-28,09:45AM,"Defense Stock Roundup: RTX, TDY Beat on Q4 Earnings, BA, GD Miss",0.122,0.763,0.115,-0.0258
33,GD,2021-01-27,07:32PM,General Dynamics (GD) Q4 2020 Earnings Call Transcript,0.0,0.769,0.231,0.2732
34,GD,2021-01-27,04:46PM,Is There Room Left to Run for General Dynamics?,0.0,0.792,0.208,0.2732
35,GD,2021-01-27,11:06AM,"General Dynamics (GD) Q4 Earnings Miss Estimates, Sales Down Y/Y",0.137,0.684,0.179,0.128
36,GD,2021-01-27,08:15AM,General Dynamics (GD) Q4 Earnings and Revenues Lag Estimates,0.209,0.609,0.183,-0.0772
37,GD,2021-01-27,07:18AM,What Does General Dynamics Debt Look Like?,0.225,0.36,0.414,0.2732
38,GD,2021-01-27,07:00AM,General Dynamics Reports Fourth-Quarter and Full-Year 2020 Financial Results,0.0,0.792,0.208,0.2732
39,GD,2021-01-26,10:09AM,General Dynamics's Earnings Outlook,0.0,1.0,0.0,0.0
40,GD,2021-01-23,07:00AM,3 Stock Picks for Former President Trump,0.0,1.0,0.0,0.0
41,GD,2021-01-22,11:00AM,General Dynamics Awarded Prime Contractor Designation on $3.3 Billion U.S. State Department Global Support Strategy 2.0 IDIQ,0.0,0.651,0.349,0.7579
