,ticker,date,time,headline,neg,neu,pos,compound
0,GE,2021-04-14,07:07AM,Public Service Enterprise (PEG) Buys New Jersey Wind Farm Stake,0.0,1.0,0.0,0.0
1,GE,2021-04-13,12:15PM,10 Best Robotics Stocks For 2021,0.0,0.543,0.457,0.6369
2,GE,2021-04-12,05:45PM,General Electric (GE) Dips More Than Broader Markets: What You Should Know,0.0,1.0,0.0,0.0
3,GE,2021-04-10,12:05PM,"Benzinga's Bulls And Bears Of The Week: Apple, Chevron, GM, GE, Peloton And More",0.0,1.0,0.0,0.0
4,GE,2021-04-10,11:49AM,"Is Now The Time To Buy Stock In American Airlines, Carnival, Tesla Or GE?",0.0,1.0,0.0,0.0
5,GE,2021-04-09,03:18PM,"GE stock rises after UBS analyst gets more bullish, citing fewer legacy overhangs",0.0,1.0,0.0,0.0
6,GE,2021-04-09,05:51AM,General Electric Shares Gain After UBS Boosts Price Target to $17,0.0,0.503,0.497,0.7845
7,GE,2021-04-08,02:59PM,General Electric Is Looking To Break Out: Technical Levels To Watch,0.0,1.0,0.0,0.0
8,GE,2021-04-08,10:23AM,"$121 Million A Year! Top Paid CEOs Make You Rich, Too",0.0,0.584,0.416,0.69
9,GE,2021-04-08,07:45AM,Sumeru Equity leads $100 mln funding in Canada-based Tasktop,0.0,1.0,0.0,0.0
10,GE,2021-04-08,06:30AM,"GE Commences Registered Exchange Offer for GE Capital Funding, LLCs 3.450% Notes due 2025, 4.050% Notes due 2027, 4.400% Notes due 2030 and 4.550% Notes due 2032",0.0,1.0,0.0,0.0
11,GE,2021-04-07,01:58PM,"How GE Makes Money: Aviation, Healthcare, and Power",0.0,1.0,0.0,0.0
12,GE,2021-04-07,01:01PM,GE Owns Half of a Jet Engine Maker. What a Bear Thinks Investors Should Know.,0.0,1.0,0.0,0.0
13,GE,2021-04-07,11:46AM,Is GE Stock A Buy After Biggest Deal In Turnaround Era?,0.0,1.0,0.0,0.0
14,GE,2021-04-07,10:00AM,LAS Cargo Signs Five-Year Contract With GE Digital Aviation Software for Flight Operations Safety Insight Solution,0.0,0.733,0.267,0.6249
15,GE,2021-04-07,07:00AM,"AerCap Leased, Purchased and Sold 70 Aircraft in the First Quarter 2021",0.0,1.0,0.0,0.0
16,GE,2021-04-05,10:20AM,Icahn Taps Ex-GE M&A Chief Kekedjian to Lead Firm,0.0,1.0,0.0,0.0
17,GE,2021-04-05,09:14AM,Former GE exec Kekedjian to head Carl Icahn's investment firm,0.0,1.0,0.0,0.0
18,GE,2021-04-05,08:22AM,UPDATE 2-Carl Icahn's investment firm appoints former GE dealmaker as CEO,0.0,1.0,0.0,0.0
