,ticker,date,time,headline,neg,neu,pos,compound
0,GILD,2021-04-13,05:42PM,U.S. FDA Grants Accelerated Approval to Trodelvy® for the Treatment of Metastatic Urothelial Cancer,0.216,0.539,0.245,-0.1027
1,GILD,2021-04-13,02:09PM,Doctor on J&J vaccine pause: CDC is letting the public know they are taking any side effect seriously,0.091,0.909,0.0,-0.1779
2,GILD,2021-04-13,10:51AM,How COVID-19 transformed the biotech industry,0.0,1.0,0.0,0.0
3,GILD,2021-04-13,09:28AM,"FDA, CDC recommend pause in Johnson & Johnson COVID-19 vaccine",0.0,0.762,0.238,0.3612
4,GILD,2021-04-12,01:51PM,Id still trust vaccines to suppress emergence of more variants: Doctor,0.0,0.752,0.248,0.5106
5,GILD,2021-04-09,01:39PM,Pfizers vaccine EUA expansion request is extremely welcomed: Doctor,0.0,0.748,0.252,0.4005
6,GILD,2021-04-08,04:20PM,Biotech Stocks Could Use A Win  Will The First Quarter Offer That?,0.0,0.725,0.275,0.5859
7,GILD,2021-04-08,03:23PM,Study shows wearables could detect COVID-19 earlier,0.0,1.0,0.0,0.0
8,GILD,2021-04-08,01:23PM,COVID-19 vaccinations are extraordinarily safe: Doctor,0.0,0.633,0.367,0.4404
9,GILD,2021-04-08,09:34AM,Gilead (GILD) Gets Full Approval for Breast Cancer Drug Trodelvy,0.284,0.516,0.2,-0.3182
10,GILD,2021-04-08,08:14AM,"The Daily Biotech Pulse: Immutep Extends Run, FDA Nod For Gilead, Merck, Bristol-Myers Squibb Release Late-Stage Cancer Immunotherapy Data",0.192,0.742,0.066,-0.5994
11,GILD,2021-04-08,06:55AM,Is Gilead Sciences Stock a Buy?,0.0,1.0,0.0,0.0
12,GILD,2021-04-08,06:47AM,Gilead's Trodelvy Wins FDA Regular Approval For Triple-Negative Breast Cancer,0.242,0.385,0.374,0.34
13,GILD,2021-04-07,07:53PM,"FDA Approves Trodelvy®, the First Treatment for Metastatic Triple-Negative Breast Cancer Shown to Improve Progression-Free Survival and Overall Survival",0.169,0.615,0.215,0.0516
14,GILD,2021-04-07,04:34PM,"Biotech Stock Roundup: ACAD Down on CRL, EBS Gets Additional Order & Other Updates",0.0,1.0,0.0,0.0
