,ticker,date,time,headline,neg,neu,pos,compound
0,GPC,2021-04-12,03:07PM,Restrictive voting laws undermine' purpose of democracy: NextGen America,0.216,0.784,0.0,-0.296
1,GPC,2021-04-09,01:47PM,Georgia voting laws arent oppressive or racist in any manner: Joe Collins,0.0,0.646,0.354,0.6681
2,GPC,2021-04-08,01:41PM,We will continue to fight in Georgia for 'equal access to the ballot': Rise Strategist,0.157,0.843,0.0,-0.3818
3,GPC,2021-03-31,01:24PM,Top Growth Stocks for April 2021,0.0,0.476,0.524,0.5267
4,GPC,2021-03-29,02:45AM,Genuine Parts (NYSE:GPC) May Have Issues Allocating Its Capital,0.0,1.0,0.0,0.0
5,GPC,2021-03-22,04:15PM,Genuine Parts Company Announces 1st Quarter 2021 Earnings Release Date And Conference Call,0.0,1.0,0.0,0.0
6,GPC,2021-03-03,10:30AM,Analyzing Genuine Parts's Ex-Dividend Date,0.0,1.0,0.0,0.0
7,GPC,2021-03-01,04:56PM,Genuine Parts Company Announces Officer Change,0.0,1.0,0.0,0.0
8,GPC,2021-02-27,01:52AM,Here's Why We're Wary Of Buying Genuine Parts' (NYSE:GPC) For Its Upcoming Dividend,0.0,1.0,0.0,0.0
9,GPC,2021-02-23,05:39AM,Top Consumer Discretionary Stocks for March 2021,0.0,0.769,0.231,0.2023
10,GPC,2021-02-21,03:19AM,Does Genuine Parts Company's (NYSE:GPC) Weak Fundamentals Mean That The Stock Could Move In The Opposite Direction?,0.153,0.847,0.0,-0.4404
11,GPC,2021-02-18,08:52AM,What Does Genuine Parts Debt Look Like?,0.25,0.5,0.25,0.0
12,GPC,2021-02-17,04:30PM,Genuine Parts Co (GPC) Q4 2020 Earnings Call Transcript,0.0,1.0,0.0,0.0
13,GPC,2021-02-17,09:15AM,Genuine Parts Co. to Host Earnings Call,0.0,1.0,0.0,0.0
14,GPC,2021-02-17,08:41AM,Genuine Parts: Q4 Earnings Insights,0.0,1.0,0.0,0.0
15,GPC,2021-02-17,08:20AM,Genuine Parts Company Reports Results For The Fourth Quarter And Full Year 2020,0.0,1.0,0.0,0.0
16,GPC,2021-02-16,10:13AM,Earnings Preview: Genuine Parts,0.0,1.0,0.0,0.0
17,GPC,2021-02-13,10:00AM,30 Dividend Champions of 2021 (Part III),0.0,0.638,0.362,0.5267
18,GPC,2021-02-10,12:31PM,Earnings Preview: Genuine Parts (GPC) Q4 Earnings Expected to Decline,0.0,1.0,0.0,0.0
19,GPC,2021-02-06,09:12AM,30 Dividend Kings of 2021 (Part III),0.0,1.0,0.0,0.0
