,ticker,date,time,headline,neg,neu,pos,compound
0,HAL,2021-04-14,06:48AM,5 Top-Ranked Stocks to Buy Ahead of Q1 Earnings Results,0.0,1.0,0.0,0.0
1,HAL,2021-04-13,02:00PM,How Will Oil Service ETFs Fare This Earnings Season?,0.0,1.0,0.0,0.0
2,HAL,2021-04-13,12:15PM,Halliburton (HAL) to Offer Reliable Resource Management Platform,0.0,1.0,0.0,0.0
3,HAL,2021-04-12,12:17PM,Texas-based companies speak out against restrictive voting bills: 'Voting is a sacred right',0.0,1.0,0.0,0.0
4,HAL,2021-04-12,11:59AM,Halliburton (HAL) to Offer Innovative Subsea Control System,0.0,0.707,0.293,0.4404
5,HAL,2021-04-12,10:35AM,New Strong Buy Stocks for April 12th,0.0,0.645,0.355,0.5106
6,HAL,2021-04-12,07:00AM,Halliburton to Provide Petroleum Data Management Platform for Norwegian Petroleum Directorate,0.0,1.0,0.0,0.0
7,HAL,2021-04-07,07:09AM,Halliburton and Optime Subsea Form Global Alliance,0.0,1.0,0.0,0.0
8,HAL,2021-04-06,04:30PM,"UPDATE 1-Halliburton's CEO earned $10 mln more in 2020, despite pledge to cut pay",0.092,0.789,0.119,0.1063
9,HAL,2021-04-06,12:39PM,"Halliburton's CEO earned $10 million more in 2020, despite pledge to cut pay",0.098,0.774,0.128,0.1063
10,HAL,2021-04-06,12:20PM,"Halliburton's CEO earned $10 mln more in 2020, despite pledge to cut pay",0.098,0.774,0.128,0.1063
11,HAL,2021-04-06,11:15AM,Halliburton CEO Miller's total compensation jumped 75% in 2020 to more than $22 million,0.0,1.0,0.0,0.0
12,HAL,2021-04-01,06:20AM,Should You Invest in the iShares U.S. Oil Equipment & Services ETF (IEZ)?,0.0,1.0,0.0,0.0
13,HAL,2021-03-31,12:42PM,Halliburton (HAL) Provides Real-time Fracture Placement Control,0.0,1.0,0.0,0.0
14,HAL,2021-03-31,07:43AM,"The Zacks Analyst Blog Highlights: Halliburton Co, Schlumberger, Transocean, Devon Energy and Diamondback Energy",0.0,0.741,0.259,0.4939
15,HAL,2021-03-30,09:51AM,Permian Witnesses Addition of Oil Rigs for 5 Straight Weeks,0.0,0.808,0.192,0.2263
16,HAL,2021-03-30,07:31AM,"The Zacks Analyst Blog Highlights: Halliburton, TechnipFMC, Baker Hughes, Petrobras and Schlumberger",0.0,1.0,0.0,0.0
17,HAL,2021-03-30,07:00AM,Halliburton Gives Major Operator Real-Time Automated Control of Fracture Placement,0.0,1.0,0.0,0.0
18,HAL,2021-03-29,11:00AM,Schlumberger (SLB) Secures Deal to Drill Wells in Southern Iraq,0.0,0.65,0.35,0.5106
19,HAL,2021-03-29,10:05AM,Digital Adoption: The Key to Oil Service Firms' New Approach,0.0,1.0,0.0,0.0
20,HAL,2021-03-25,11:32AM,"The Zacks Analyst Blog Highlights: Halliburton Co, Schlumberger, Transocean, Devon Energy Corp and Diamondback Energy",0.0,0.756,0.244,0.4939
21,HAL,2021-03-24,12:17PM,Top Energy Stocks for April 2021,0.0,0.506,0.494,0.4404
22,HAL,2021-03-22,06:00AM,Halliburton Labs Opens Second Application Round,0.0,1.0,0.0,0.0
23,HAL,2021-03-17,09:58AM,Commodities market in early stages of a long-term bull market: strategist,0.0,1.0,0.0,0.0
24,HAL,2021-03-17,03:54AM,Is There An Opportunity With Halliburton Company's (NYSE:HAL) 40% Undervaluation?,0.0,0.763,0.237,0.4215
25,HAL,2021-03-16,08:00PM,Halliburton Awards Multimillion Dollar Grant to Malaysian University,0.0,0.522,0.478,0.6705
26,HAL,2021-03-16,08:27AM,Permian Witnesses Addition of Oil Rigs for 3 Straight Weeks,0.0,0.808,0.192,0.2263
27,HAL,2021-03-11,02:40PM,"5 Stocks Set to Drop and 5 That Could Pop, According to Citi",0.174,0.826,0.0,-0.2732
28,HAL,2021-03-11,01:34PM,Energy ETFs Soar On Reopening Hopes,0.0,0.449,0.551,0.5994
29,HAL,2021-03-10,06:20AM,Should You Invest in the iShares U.S. Oil Equipment & Services ETF (IEZ)?,0.0,1.0,0.0,0.0
