,ticker,date,time,headline,neg,neu,pos,compound
0,HBAN,2021-04-13,08:00AM,Bell-Ringing Profit Is Coming From These 10 Companies,0.0,0.707,0.293,0.4404
1,HBAN,2021-03-29,09:15AM,Huntington (HBAN) & TCF Shareholders Approve Merger Deal,0.0,1.0,0.0,0.0
2,HBAN,2021-03-25,04:30PM,"Huntington, TCF Shareholders Approve Merger Of TCF Into Huntington",0.0,1.0,0.0,0.0
3,HBAN,2021-03-24,11:29AM,Analyst Ratings for Huntington Bancshares,0.0,1.0,0.0,0.0
4,HBAN,2021-03-22,07:27AM,"GameStop, Adobe, Honeywell, Darden Restaurants, and Other Stocks to Watch This Week",0.0,1.0,0.0,0.0
5,HBAN,2021-03-13,02:34AM,Did You Miss Huntington Bancshares' (NASDAQ:HBAN) 76% Share Price Gain?,0.113,0.493,0.394,0.6124
6,HBAN,2021-03-12,08:30AM,"Huntington Bancshares Incorporated To Announce 2021 First Quarter Earnings And Hold Earnings Conference Call April 22, 2021",0.0,1.0,0.0,0.0
7,HBAN,2021-03-11,12:12PM,Huntington Bancshares Incorporated -- Moody's continues the review for upgrade of TCF Financial's ratings (Ba1(hyb) preferred stock) as its merger with Huntington progresses,0.0,1.0,0.0,0.0
8,HBAN,2021-03-08,09:42AM,Huntington (HBAN) Rises 28.5% YTD: Can the Rally Continue?,0.0,1.0,0.0,0.0
9,HBAN,2021-03-04,09:01AM,Huntington (HBAN) Poised for Growth: Should You Hold?,0.0,0.566,0.434,0.5574
10,HBAN,2021-02-26,11:45AM,"Main Street (MAIN) Q4 Earnings Beat Estimates, Expenses Rise",0.0,1.0,0.0,0.0
11,HBAN,2021-02-24,04:00PM,Huntington Bancshares To Present At The 2021 RBC Capital Markets Financial Institutions Conference,0.0,1.0,0.0,0.0
12,HBAN,2021-02-22,06:44PM,M&T Bank Plans to Buy Peoples United. Heres What Wall Street Is Saying.,0.0,0.811,0.189,0.4215
13,HBAN,2021-02-22,07:30AM,Huntington's 2021 Money Mindset Survey Finds Money And Finances Top Of Mind During The COVID-19 Pandemic,0.0,0.893,0.107,0.2023
14,HBAN,2021-02-19,09:00PM,"SHAREHOLDER ALERT: Monteverde & Associates PC Announces an Investigation of Huntington Bancshares, Inc. - HBAN",0.0,0.804,0.196,0.4466
15,HBAN,2021-02-10,04:30PM,Huntington Bancshares Incorporated Announces Additions To The Executive Leadership Team Structure For Combined Company Following TCF Merger,0.0,1.0,0.0,0.0
16,HBAN,2021-02-08,12:22PM,Banks Are Taking Advantage of Low Rates to Issue Preferred Shares,0.147,0.559,0.294,0.2732
17,HBAN,2021-02-05,12:00PM,Huntington Bancshares Capital Trust I -- Moody's announces completion of a periodic review of ratings of Huntington Bancshares Incorporated,0.0,0.829,0.171,0.5106
18,HBAN,2021-02-05,09:50AM,TCF Financial Corporation -- Moody's announces completion of a periodic review of ratings of TCF Financial Corporation,0.0,1.0,0.0,0.0
19,HBAN,2021-02-05,08:49AM,Why Huntington (HBAN) Stock Might be a Great Pick,0.0,0.631,0.369,0.6249
20,HBAN,2021-02-01,11:30AM,"Washington Federal (WAFD) Assigned Ratings, Outlook Stable",0.0,0.732,0.268,0.296
21,HBAN,2021-01-25,09:41AM,"Company News for Jan 25, 2021",0.0,1.0,0.0,0.0
22,HBAN,2021-01-25,02:08AM,Huntington Drops 4.6% On 4Q Profit Miss,0.482,0.3,0.218,-0.5473
23,HBAN,2021-01-22,04:30PM,Huntington Bancshares Inc (HBAN) Q4 2020 Earnings Call Transcript,0.0,1.0,0.0,0.0
24,HBAN,2021-01-22,10:27AM,"Q4 Earnings Come to Regional Banks: ALLY, HBAN & More",0.0,1.0,0.0,0.0
25,HBAN,2021-01-22,09:21AM,Huntington (HBAN) Q4 Earnings Lag Estimates as Expenses Rise,0.231,0.769,0.0,-0.34
26,HBAN,2021-01-22,08:25AM,Huntington Bancshares (HBAN) Lags Q4 Earnings and Revenue Estimates,0.238,0.762,0.0,-0.3612
27,HBAN,2021-01-22,07:28AM,Recap: Huntington Bancshares Q4 Earnings,0.0,1.0,0.0,0.0
28,HBAN,2021-01-22,07:00AM,Huntington Bancshares Incorporated Reports Full Year 2020 Earnings,0.0,1.0,0.0,0.0
29,HBAN,2021-01-22,07:00AM,Huntington Bancshares Incorporated Declares Quarterly Cash Dividends On Its Common And Preferred Stocks,0.0,1.0,0.0,0.0
30,HBAN,2021-01-22,06:30AM,"Huntington Bancshares, Inc. to Host Earnings Call",0.0,1.0,0.0,0.0
31,HBAN,2021-01-21,10:07AM,Earnings Outlook for Huntington Bancshares,0.0,1.0,0.0,0.0
32,HBAN,2021-01-21,08:42AM,Should You Buy Huntington Bancshares (HBAN) Ahead of Earnings?,0.0,1.0,0.0,0.0
33,HBAN,2021-01-21,08:37AM,Will Fee Income Growth Support Huntington (HBAN) Q4 Earnings?,0.0,0.569,0.431,0.6486
34,HBAN,2021-01-18,05:43AM,"Zacks.com featured highlights include: PepsiCo, Lennar, Diamondback Energy, Huntington Bancshares and CenterPoint Energy",0.0,0.724,0.276,0.4939
35,HBAN,2021-01-15,12:30PM,Huntington Bancshares (HBAN) Earnings Expected to Grow: Should You Buy?,0.0,1.0,0.0,0.0
36,HBAN,2021-01-15,12:10PM,Will Huntington Bancshares (HBAN) Beat Estimates Again in Its Next Earnings Report?,0.0,1.0,0.0,0.0
37,HBAN,2021-01-12,12:20PM,Earnings Estimates Moving Higher for Huntington Bancshares (HBAN): Time to Buy?,0.0,1.0,0.0,0.0
38,HBAN,2021-01-08,10:22AM,Top Ranked Income Stocks to Buy for January 8th,0.0,0.816,0.184,0.2023
39,HBAN,2021-01-07,02:45PM,Huntington Bancshares Shows Rising Relative Strength,0.0,0.61,0.39,0.4939
40,HBAN,2021-01-06,03:34PM,Financial sector set for best day in 2 months as Georgia results spark bond-yield pop,0.0,0.663,0.337,0.7269
41,HBAN,2021-01-05,11:29AM,"ALERT: Halper Sadeh LLP Investigates INFO, WDR, CKH, PS, HBAN; Shareholders Are Encouraged to Contact the Firm",0.0,0.734,0.266,0.6633
42,HBAN,2021-01-03,02:20PM,"Lifshitz Law Firm, P.C. Announces Investigation of BEAT, HBAN, and CKH",0.0,1.0,0.0,0.0
43,HBAN,2020-12-29,08:01AM,Bay Banks of Virginia (BAYK)-Blue Ridge Merger Gets Regulatory Nod,0.0,1.0,0.0,0.0
44,HBAN,2020-12-28,08:15PM,"SHAREHOLDER ALERT: Halper Sadeh LLP Investigates the Following Companies - PS, BEAT, HCAP, NEOS, HBAN",0.0,0.816,0.184,0.4466
45,HBAN,2020-12-28,03:40PM,"Lifshitz Law Firm, P.C. Announces Investigation of HBAN, RC, CKH, and TCF",0.0,1.0,0.0,0.0
46,HBAN,2020-12-25,07:00AM,The Largest Bank Acquisitions in 2020 Had These 4 Things in Common,0.0,1.0,0.0,0.0
47,HBAN,2020-12-24,08:55AM,"Commerce Bancshares (CBSH) Ratings, Outlook Affirmed by Moody's",0.0,1.0,0.0,0.0
48,HBAN,2020-12-22,08:00AM,"SHAREHOLDER ALERT: Halper Sadeh LLP Investigates the Following Companies  BEAT, HBAN, PS, CKH",0.0,0.804,0.196,0.4466
49,HBAN,2020-12-20,08:20PM,"Lifshitz Law Firm, P.C. Announces Investigation of INFO, SPGI, LORL, PS, PRVL, CKH, TCF, HBAN, and ZAGG",0.0,1.0,0.0,0.0
50,HBAN,2020-12-19,04:28PM,"SHAREHOLDER INVESTIGATION: Halper Sadeh LLP Investigates the Following Companies - CKH, HBAN, PS, UROV, XLNX",0.0,1.0,0.0,0.0
51,HBAN,2020-12-18,08:19PM,Banks Have Begun to Merge Again. Next Year Could See Even More Deals.,0.0,1.0,0.0,0.0
52,HBAN,2020-12-18,08:30AM,"Huntington Bancshares Incorporated To Announce 2020 Fourth Quarter Earnings And Hold Earnings Conference Call January 22, 2021",0.0,1.0,0.0,0.0
53,HBAN,2020-12-17,11:21AM,Huntington Bancshares Downgraded to Equalweight by Stephens,0.0,1.0,0.0,0.0
54,HBAN,2020-12-17,09:49AM,BNY Mellon (BK) to Sell Canada Wealth Business to Guardian,0.0,0.738,0.262,0.4939
55,HBAN,2020-12-16,08:30PM,"TCF FINANCIAL INVESTOR ALERT BY THE FORMER ATTORNEY GENERAL OF LOUISIANA: Kahn Swick & Foti, LLC Investigates Merger of TCF Financial Corporation - TCF",0.0,0.877,0.123,0.4466
56,HBAN,2020-12-16,12:07PM,"TCF FINANCIAL ALERT: Bragar Eagel & Squire, P.C. Investigates Sale of TCF and Encourages Investors to Contact the Firm",0.0,0.733,0.267,0.7034
57,HBAN,2020-12-16,08:27AM,Goldman (GS) Arm Signs All-Cash Deal to Buy People Corporation,0.0,1.0,0.0,0.0
58,HBAN,2020-12-15,02:44PM,Wall Street Likes the Huntington-TCF Deal. Expect More Regional Bank Marriages in 2021.,0.0,0.811,0.189,0.4215
59,HBAN,2020-12-15,10:31AM,"SHAREHOLDER ALERT: Halper Sadeh LLP Continues to Investigate the Following Mergers; Investors are Encouraged to Contact the Firm  ALXN, PS, HBAN, CKH",0.0,0.786,0.214,0.6633
60,HBAN,2020-12-15,08:16AM,"Moody's Affirms Huntington (HBAN) Ratings, TCF Under Review",0.0,1.0,0.0,0.0
61,HBAN,2020-12-15,07:33AM,(TCF Alert) Johnson Fistel Investigates Proposed Sale of TCF Financial; Are Shareholders Getting a Fair Deal?,0.0,0.859,0.141,0.3182
62,HBAN,2020-12-14,08:22PM,"TCF Financial Corporation -- Moody's affirms Huntington Bancshares' ratings (Baa1 senior unsecured) and reviews TCF Financial's ratings (Ba1(hyb) preferred stock) for upgrade, following merger announcement",0.0,1.0,0.0,0.0
63,HBAN,2020-12-14,08:09PM,"Huntington Bancshares Capital Trust I -- Moody's affirms Huntington Bancshares' ratings (Baa1 senior unsecured) and reviews TCF Financial's ratings (Ba1(hyb) preferred stock) for upgrade, following merger announcement",0.0,0.883,0.117,0.5106
64,HBAN,2020-12-14,07:01PM,"SHAREHOLDER NOTICE: Brodsky & Smith, LLC Announces an Investigation of TCF Financial Corporation (NASDAQ:TCF)",0.0,1.0,0.0,0.0
65,HBAN,2020-12-14,07:00PM,"SHAREHOLDER ALERT: Rigrodsky & Long, P.A. Announces Investigation of TCF Financial Corporation Merger",0.0,0.789,0.211,0.4466
66,HBAN,2020-12-14,04:01PM,SHAREHOLDER ALERT: WeissLaw LLP Investigates TCF Financial Corporation,0.0,0.705,0.295,0.4466
67,HBAN,2020-12-14,02:39PM,ALERT: Rowley Law PLLC is Investigating Proposed Acquisition of TCF Financial Corporation,0.0,0.789,0.211,0.4466
68,HBAN,2020-12-14,01:39PM,Huntington Bancshares to Acquire TCF Financial and Create Top 10 U.S. Bank,0.0,0.719,0.281,0.4404
69,HBAN,2020-12-14,10:41AM,Huntington Merger Investigation: Halper Sadeh LLP Announces Investigation Into Whether the Merger of Huntington Bancshares Incorporated Is Fair to Shareholders; Investors Are Encouraged to Contact the Firm  HBAN,0.0,0.844,0.156,0.5859
70,HBAN,2020-12-14,09:59AM,Huntington Bancshares to Buy TCF Financial for $6 Billion,0.0,1.0,0.0,0.0
71,HBAN,2020-12-14,09:58AM,P/E Ratio Insights for Huntington Bancshares,0.0,1.0,0.0,0.0
72,HBAN,2020-12-14,09:57AM,"Stock Market News for Dec 14, 2020",0.0,1.0,0.0,0.0
73,HBAN,2020-12-14,09:45AM,TCF Financial Gains on $6 Billion Huntington Bancshares Deal,0.0,0.769,0.231,0.34
74,HBAN,2020-12-14,09:42AM,Two More Regional Banks Join Forces. It Looks Like a Trend.,0.0,0.617,0.383,0.6077
75,HBAN,2020-12-14,08:04AM,Huntington (HBAN) & TCF Financial to Merge With $168B in Assets,0.0,0.841,0.159,0.1779
