,ticker,date,time,headline,neg,neu,pos,compound
0,HD,2021-04-14,06:57AM,"The Zacks Analyst Blog Highlights: Home Depot, Toyota, International Business Machines, Merck and CVS Health",0.0,1.0,0.0,0.0
1,HD,2021-04-14,05:51AM,3 of Warren Buffett's Biggest Billion-Dollar Blunders,0.0,1.0,0.0,0.0
2,HD,2021-04-13,06:46PM,"Top Research Reports for Home Depot, Toyota & IBM",0.0,0.795,0.205,0.2023
3,HD,2021-04-13,02:52PM,"Is Home Depot Stock A Buy Right Now After Q4 Earnings? Here's What Earnings, Charts Show",0.0,1.0,0.0,0.0
4,HD,2021-04-13,12:27PM,Boise Cascade: Making the Most of Brisk Housing Starts,0.0,0.81,0.19,0.2212
5,HD,2021-04-13,10:09AM,These stocks let you tap into the hot housing market,0.0,1.0,0.0,0.0
6,HD,2021-04-12,03:07PM,Restrictive voting laws undermine' purpose of democracy: NextGen America,0.216,0.784,0.0,-0.296
7,HD,2021-04-12,11:00AM,Home Depot: Looking to Buy on a Pullback,0.0,1.0,0.0,0.0
8,HD,2021-04-12,09:52AM,Corporate Americas response to the Georgia voting law,0.0,1.0,0.0,0.0
9,HD,2021-04-10,08:15AM,Declining Coronavirus Restrictions Could be a Headwind for Home Depot in 2021,0.0,1.0,0.0,0.0
10,HD,2021-04-09,01:47PM,Georgia voting laws arent oppressive or racist in any manner: Joe Collins,0.0,0.646,0.354,0.6681
11,HD,2021-04-08,05:45PM,Home Depot (HD) Outpaces Stock Market Gains: What You Should Know,0.0,0.806,0.194,0.34
12,HD,2021-04-08,01:41PM,We will continue to fight in Georgia for 'equal access to the ballot': Rise Strategist,0.157,0.843,0.0,-0.3818
13,HD,2021-04-07,03:06PM,"'Halftime Report' Traders Share Their Thoughts On Jumia, Home Depot And More",0.0,0.833,0.167,0.296
14,HD,2021-04-07,02:00PM,Fulton County Commissioner: Georgias new voting law is punitive in nature,0.248,0.752,0.0,-0.5106
15,HD,2021-04-05,11:17AM,Retail outlook: expect discretionary retail to take off,0.0,1.0,0.0,0.0
16,HD,2021-04-04,09:09AM,3 Dividend Stocks You Can Safely Hold for Decades,0.0,0.686,0.314,0.4939
17,HD,2021-04-03,05:17AM,Looking to Invest Your Stimulus Check? 3 Surefire Stocks to Consider,0.0,0.818,0.182,0.25
18,HD,2021-04-01,11:15AM,5 Best-Performing Stocks of the Top ETF of March,0.0,0.795,0.205,0.2023
19,HD,2021-04-01,08:30AM,The Home Depot to Present at the J.P. Morgan 7th Annual Retail Round-Up Virtual Conference,0.0,1.0,0.0,0.0
20,HD,2021-03-31,02:55PM,Black leaders fight wave of restrictive voting bills,0.271,0.729,0.0,-0.3818
21,HD,2021-03-30,08:50PM,These 3 Stocks Would Have Doubled Your Money Last Year,0.0,1.0,0.0,0.0
22,HD,2021-03-30,05:45PM,Home Depot (HD) Gains As Market Dips: What You Should Know,0.0,0.806,0.194,0.34
23,HD,2021-03-30,12:27PM,Can Housing ETFs Remain Red-Hot in 2021?,0.0,1.0,0.0,0.0
24,HD,2021-03-29,01:52PM,Is The Home Depot (HD) A Smart Long-Term Buy?,0.0,0.722,0.278,0.4019
25,HD,2021-03-27,07:52AM,This Is the best Retail Store to Buy now,0.0,0.656,0.344,0.6369
26,HD,2021-03-27,05:30AM,3 Dividend Stocks I'd Absolutely Buy if the Market Crashed,0.0,1.0,0.0,0.0
27,HD,2021-03-26,07:31PM,The Highest-Momentum Holdings of the Decade's Top-Performing Gurus,0.0,1.0,0.0,0.0
28,HD,2021-03-26,11:04AM,US Indexes Close Higher Thursday,0.0,1.0,0.0,0.0
29,HD,2021-03-25,04:31PM,"Lowe's, IBD Stock Of The Day, In Buy Range As Renovation Boom Continues",0.0,1.0,0.0,0.0
30,HD,2021-03-25,11:30AM,Home Depot (HD) Up 12.6% Since Last Earnings Report: Can It Continue?,0.0,1.0,0.0,0.0
31,HD,2021-03-25,08:00AM,"The Home Depot Partners with Habitat for Humanity to Help Communities ""Bring On Spring""",0.0,0.828,0.172,0.4019
32,HD,2021-03-24,05:45PM,Home Depot (HD) Gains As Market Dips: What You Should Know,0.0,0.806,0.194,0.34
33,HD,2021-03-21,10:04PM,Better Buy: Costco vs. Home Depot,0.0,0.633,0.367,0.4404
34,HD,2021-03-20,08:00PM,Voting rights becomes a new battleground for US companies,0.278,0.722,0.0,-0.4019
35,HD,2021-03-20,05:53PM,US Stocks End the Week Mixed on Friday,0.0,1.0,0.0,0.0
36,HD,2021-03-19,06:57PM,The Undervalued Holdings of the Decade's Top-Performing Gurus,0.0,1.0,0.0,0.0
37,HD,2021-03-18,09:41AM,"The Zacks Analyst Blog Highlights: Google, Facebook, Home Depot, Starbucks and HSBC Holdings",0.0,1.0,0.0,0.0
38,HD,2021-03-17,06:58PM,4 Good Companies With High Piotroski F-Scores,0.0,0.633,0.367,0.4404
39,HD,2021-03-17,02:06PM,"Top Stock Reports for Alphabet, Facebook & The Home Depot",0.0,0.816,0.184,0.2023
