,ticker,date,time,headline,neg,neu,pos,compound
0,HIG,2021-04-13,01:31PM,A Trio of Large-Cap Graham Stocks to Consider,0.0,1.0,0.0,0.0
1,HIG,2021-04-09,06:22AM,Grab These 3 Hartford Mutual Funds for Spectacular Returns,0.0,1.0,0.0,0.0
2,HIG,2021-04-05,01:37PM,Is HIG Stock A Buy or Sell?,0.0,1.0,0.0,0.0
3,HIG,2021-03-30,05:31AM,Hartford Walks Away From Chubbs Merger Offer,0.0,1.0,0.0,0.0
4,HIG,2021-03-29,07:57AM,Chubb 'Disappointed' at Hartford Financial Buyout Rejection,0.368,0.632,0.0,-0.5423
5,HIG,2021-03-25,08:00PM,Insurance veteran Evan Greenberg eyes his next prize,0.0,0.68,0.32,0.5106
6,HIG,2021-03-23,08:43AM,"Hartford Financial rejects Chubb's hostile buyout bid, stock falls",0.453,0.547,0.0,-0.7003
7,HIG,2021-03-23,08:30AM,The Hartford Board Of Directors Unanimously Rejects Unsolicited Proposal From Chubb,0.242,0.758,0.0,-0.4939
8,HIG,2021-03-23,07:40AM,Hartford Retreats After Board Rejects Chubbs Unsolicited Offer,0.314,0.686,0.0,-0.4939
9,HIG,2021-03-23,06:03AM,Hartford Rejects Chubb's $23 Billion Takeover Bid,0.348,0.652,0.0,-0.4939
10,HIG,2021-03-22,08:00PM,Hartford rejects $23bn takeover approach from Greenbergs Chubb,0.314,0.686,0.0,-0.4939
11,HIG,2021-03-22,01:08PM,Hartford Financial (HIG) Hits 52 Week High: More Room to Run?,0.0,1.0,0.0,0.0
12,HIG,2021-03-22,04:42AM,Hartford Receives Takeover Bid From Chubb,0.0,1.0,0.0,0.0
13,HIG,2021-03-22,02:00AM,RPT-Insurer Chubb needs to pay up to bulk up with Hartford,0.123,0.877,0.0,-0.1027
14,HIG,2021-03-19,06:23PM,Insurer Chubb needs to pay up to bulk up with Hartford,0.123,0.877,0.0,-0.1027
15,HIG,2021-03-19,06:19PM,CORRECTED-Insurer Chubb needs to pay up to bulk up with Hartford,0.123,0.877,0.0,-0.1027
16,HIG,2021-03-19,04:28AM,"Premarket Movers Friday - FedEx, Nike, Ford, Hartford Financial",0.0,1.0,0.0,0.0
17,HIG,2021-03-18,07:12PM,UPDATE 7-Insurer Chubb offers to acquire rival Hartford for $23.24 bln,0.0,1.0,0.0,0.0
18,HIG,2021-03-18,03:30PM,The Hartford Confirms Receipt Of Unsolicited Proposal,0.0,1.0,0.0,0.0
19,HIG,2021-03-18,01:20PM,UPDATE 5-U.S. insurer Hartford fields takeover bid from Chubb,0.0,1.0,0.0,0.0
20,HIG,2021-03-18,10:07AM,Hartford Financial Spikes on Report of Chubb Buyout Approach,0.0,1.0,0.0,0.0
21,HIG,2021-03-17,08:00PM,Greenbergs Chubb makes $23bn takeover approach to insurance rival Hartford,0.0,1.0,0.0,0.0
22,HIG,2021-03-12,09:59AM,7 Multiline Insurers to Watch Out For as COVID-Led Challenges Ease,0.0,0.678,0.322,0.4215
23,HIG,2021-03-09,09:07AM,3 Hartford Mutual Funds to Grab Today,0.0,1.0,0.0,0.0
24,HIG,2021-02-24,11:52AM,3 Stocks Trading Below the Peter Lynch Fair Value,0.0,0.561,0.439,0.5719
25,HIG,2021-02-21,02:19AM,"Be Sure To Check Out The Hartford Financial Services Group, Inc. (NYSE:HIG) Before It Goes Ex-Dividend",0.0,0.867,0.133,0.3182
26,HIG,2021-02-18,04:15PM,The Hartford Declares Quarterly Dividend Of $375 Per Share Of Series G Preferred Stock,0.0,0.845,0.155,0.296
27,HIG,2021-02-14,03:18AM,"Have Insiders Been Buying The Hartford Financial Services Group, Inc. (NYSE:HIG) Shares This Year?",0.0,0.855,0.145,0.296
28,HIG,2021-02-08,07:49AM,3 Hartford Mutual Funds You Should Grab Today,0.0,1.0,0.0,0.0
29,HIG,2021-02-05,10:46AM,"Hartford Financial's (HIG) Q4 Earnings Beat, Improve Y/Y",0.0,0.707,0.293,0.4404
30,HIG,2021-02-04,06:05PM,The Hartford (HIG) Surpasses Q4 Earnings and Revenue Estimates,0.0,1.0,0.0,0.0
31,HIG,2021-02-04,04:15PM,"The Hartford Announces Fourth Quarter And Full Year 2020 Financial Results, 2021 Outlook For Select Business Metrics",0.0,1.0,0.0,0.0
32,HIG,2021-02-03,09:00AM,The Hartford Named A Best Place To Work For LGBTQ Equality For 13th Year,0.0,0.741,0.259,0.6369
33,HIG,2021-02-01,11:18AM,Hartford Financial (HIG) to Post Q4 Earnings: What to Expect,0.0,1.0,0.0,0.0
34,HIG,2021-01-28,12:32PM,Earnings Preview: The Hartford (HIG) Q4 Earnings Expected to Decline,0.0,1.0,0.0,0.0
35,HIG,2021-01-27,08:00AM,The Hartford Named To 2021 Bloomberg Gender-Equality Index For Sixth Consecutive Year,0.0,1.0,0.0,0.0
36,HIG,2021-01-24,03:37PM,10 Best Insurance Stocks To Buy Now,0.0,0.588,0.412,0.6369
37,HIG,2021-01-21,10:39AM,Hartford Financial (HIG) Launches Plan for Mental Health,0.0,1.0,0.0,0.0
38,HIG,2021-01-20,08:32AM,The Hartford Launches Hospital Indemnity Plan Design To Include Coverage For Mental Health Conditions And Substance Use Disorders,0.0,1.0,0.0,0.0
39,HIG,2021-01-20,06:18AM,Sixth Street to Acquire Talcott Resolution,0.0,1.0,0.0,0.0
40,HIG,2021-01-11,10:28AM,These 3 Stocks Are Potential Bargains,0.0,1.0,0.0,0.0
41,HIG,2021-01-08,06:45AM,3 Hartford Mutual Funds That Stand Out,0.0,1.0,0.0,0.0
42,HIG,2021-01-04,10:20AM,Reasons Why Investors Should Retain Kemper in Their Portfolio,0.0,1.0,0.0,0.0
43,HIG,2021-01-04,10:05AM,4 Financial Stocks That Could Gain Big This Year,0.0,0.673,0.327,0.5267
44,HIG,2020-12-31,01:22AM,"Do Its Financials Have Any Role To Play In Driving The Hartford Financial Services Group, Inc.'s (NYSE:HIG) Stock Up Recently?",0.0,0.888,0.112,0.34
45,HIG,2020-12-29,11:50AM,Is The Hartford (HIG) a Great Value Stock Right Now?,0.0,0.519,0.481,0.7579
46,HIG,2020-12-29,10:02AM,Here's Why Hartford Financial (HIG) Stock is an Attractive Bet Now,0.0,0.775,0.225,0.4404
47,HIG,2020-12-23,07:54PM,Is HIG A Good Stock To Buy Now?,0.0,0.674,0.326,0.4404
48,HIG,2020-12-18,10:46AM,Hartford Financial (HIG) Unveils Share Buyback Program Worth $1.5B,0.0,0.631,0.369,0.4767
49,HIG,2020-12-17,04:15PM,The Hartford Announces $1.5 Billion Share Repurchase Authorization,0.0,0.761,0.239,0.296
50,HIG,2020-12-11,11:50AM,Are Investors Undervaluing The Hartford (HIG) Right Now?,0.0,1.0,0.0,0.0
51,HIG,2020-12-08,07:50AM,Invest in These 3 Hartford Mutual Funds for Handsome Returns,0.0,0.714,0.286,0.4939
52,HIG,2020-11-30,09:38AM,Here's Why You Should Buy Old Republic (ORI) Stock Now,0.0,1.0,0.0,0.0
53,HIG,2020-11-27,09:14AM,Here's Why You Should Add Horace Mann (HMN) to Your Portfolio,0.0,1.0,0.0,0.0
54,HIG,2020-11-25,10:53AM,Why Should You Add Hartford Financial (HIG) to Your Portfolio?,0.0,1.0,0.0,0.0
55,HIG,2020-11-25,12:41AM,"The Hartford Financial Services Group, Inc. (NYSE:HIG) Looks Like A Good Stock, And It's Going Ex-Dividend Soon",0.0,0.722,0.278,0.6597
56,HIG,2020-11-20,12:20PM,Surging Earnings Estimates Signal Upside for The Hartford (HIG) Stock,0.0,1.0,0.0,0.0
57,HIG,2020-11-17,11:50AM,Should Value Investors Buy The Hartford (HIG) Stock?,0.0,0.745,0.255,0.34
