,ticker,date,time,headline,neg,neu,pos,compound
0,HUM,2021-04-13,07:43PM,Francisco Partners Explores Sale of Availity Stake,0.0,1.0,0.0,0.0
1,HUM,2021-04-13,06:25PM,Is Humana Inc. (HUM) A Smart Long-Term Buy?,0.0,0.69,0.31,0.4019
2,HUM,2021-04-13,02:19PM,Humana (HUM) to Support Eligible Medicaid Members in Ohio,0.0,0.748,0.252,0.4019
3,HUM,2021-04-12,02:45PM,Humana Selected by State of Ohio to Serve Medicaid Beneficiaries,0.0,0.763,0.237,0.4215
4,HUM,2021-04-06,10:00AM,Humana Commits $1.5 Million to Boys & Girls Clubs of America to Address Food Insecurity and Drive Healthy Habits For Millions of Youth Across US,0.101,0.761,0.138,0.0
5,HUM,2021-03-31,06:54AM,Humana (HUM) is Overbought: Is A Drop Coming?,0.259,0.741,0.0,-0.2732
6,HUM,2021-03-30,10:00AM,Humana Healthy Horizons Partners with GoNoodle® to Boost Physical and Mental Health for 2.4 Million Kids,0.0,0.722,0.278,0.6597
7,HUM,2021-03-25,04:15PM,"Humana Inc. to Release First Quarter 2021 Results on April 28, 2021",0.0,1.0,0.0,0.0
8,HUM,2021-03-25,10:00AM,Humana (HUM) Extends Ties for Automating Prior Authorizations,0.0,0.824,0.176,0.128
9,HUM,2021-03-24,02:00PM,The Humana Foundation Awards Nearly $1 Million in a Second Year Investment to Kingsley House and Growing Local Food Collaborative,0.0,0.783,0.217,0.5719
10,HUM,2021-03-24,10:00AM,"Epic and Humana Deliver on Commitment to Enhance Connectivity and Collaboration Among Patients, Providers, and Health Plans",0.0,0.86,0.14,0.3818
11,HUM,2021-03-23,10:24AM,"Humana (HUM), Inovalon Expands Ties for Vaccine Adherence Efforts",0.0,0.851,0.149,0.1027
12,HUM,2021-03-23,10:00AM,Humana Adds H Mart to List of National Retailers for Healthy Foods Card Benefit,0.0,0.659,0.341,0.6908
13,HUM,2021-03-22,08:00AM,Humana Announces Plan for CFO Transition,0.0,1.0,0.0,0.0
14,HUM,2021-03-22,07:55AM,Humana Expands Use of the Inovalon ONE® Platform,0.0,0.833,0.167,0.1027
15,HUM,2021-03-21,10:06AM,Is Humana (HUM) Stock A Buy or Sell?,0.0,1.0,0.0,0.0
16,HUM,2021-03-18,01:33PM,Centene (CNC) vs. Humana (HUM): Which is Better-Positioned?,0.0,1.0,0.0,0.0
17,HUM,2021-03-17,03:51PM,AM Best Assigns Indicative Issue Credit Ratings to Humana Inc.s New Shelf Registration,0.0,0.618,0.382,0.7783
18,HUM,2021-03-17,10:20AM,Humana (HUM) Puts Senior-Focused Centers Under CenterWell Brand,0.0,1.0,0.0,0.0
19,HUM,2021-03-16,08:00AM,Humana Introduces CenterWell as the New Brand for a Range of Its Payer-Agnostic Health Care Services Offerings,0.0,0.824,0.176,0.4939
20,HUM,2021-03-16,04:16AM,Does Humana (NYSE:HUM) Have A Healthy Balance Sheet?,0.0,0.69,0.31,0.4019
21,HUM,2021-03-11,09:54AM,"The Zacks Analyst Blog Highlights: UnitedHealth Group, Pfizer, International Business Machines, Humana and Exelon",0.0,1.0,0.0,0.0
22,HUM,2021-03-10,03:12PM,"Top Analyst Reports for UnitedHealth, Pfizer & IBM",0.0,0.769,0.231,0.2023
23,HUM,2021-03-09,08:29AM,How Cigna plans to spend billions of dollars in cash beyond the COVID-19 pandemic,0.0,1.0,0.0,0.0
24,HUM,2021-03-05,11:30AM,Humana (HUM) Up 0.9% Since Last Earnings Report: Can It Continue?,0.0,1.0,0.0,0.0
25,HUM,2021-03-05,10:45AM,Humana (HUM) Unit Expands to Meet Senior-Focused Health Needs,0.0,0.851,0.149,0.1027
26,HUM,2021-03-03,09:00AM,Humana and the University of Houston Announce New Value-based Care Specialization Program,0.0,0.775,0.225,0.4939
27,HUM,2021-03-02,09:00AM,Conviva Grows Florida Footprint by Acquiring Network of 12 Health Centers and 49 Affiliate Practices,0.0,1.0,0.0,0.0
28,HUM,2021-03-01,11:27AM,"Maverick Capital Cuts Humana, Amazon",0.319,0.435,0.246,-0.128
29,HUM,2021-02-26,11:35AM,A Trio of Stocks with Low 12-Month and Forward PEG Ratios,0.189,0.811,0.0,-0.2732
30,HUM,2021-02-26,11:29AM,"Humana (HUM), Mercy Tie Up to Extend Telehealth Services",0.0,0.625,0.375,0.4939
31,HUM,2021-02-26,05:01AM,"Humana, Mercy Partner On Virtual Health Service Access Expansion; Street Says Buy",0.0,0.815,0.185,0.3612
32,HUM,2021-02-25,04:15PM,Humana Inc. to Present at the Barclays Global Healthcare Conference,0.0,1.0,0.0,0.0
33,HUM,2021-02-25,11:00AM,"Humana Military Names Alefiyah Mesiwala, M.D., Chief Medical Officer",0.0,1.0,0.0,0.0
34,HUM,2021-02-25,10:00AM,Mercy and Humana Team Up to Expand Access to Virtual Health Services and Coordinated Care,0.0,0.6,0.4,0.7906
35,HUM,2021-02-23,11:24AM,Is Humana (HUM) Stock a Buy For 2021?,0.0,1.0,0.0,0.0
36,HUM,2021-02-22,04:15PM,Humana Inc. to Present at the 41st Annual Cowen Health Care Conference,0.0,0.775,0.225,0.4939
37,HUM,2021-02-22,09:30AM,CarePlus Health Plans Teams with Sharecare to Offer Members Digital Wellness and Rewards Platform,0.0,0.667,0.333,0.7184
38,HUM,2021-02-21,03:30AM,Here's Why We Think Humana (NYSE:HUM) Is Well Worth Watching,0.0,0.667,0.333,0.4588
39,HUM,2021-02-19,04:07AM,Humana Ramps Up Dividend By 12%; Street Sees 26% Upside,0.0,1.0,0.0,0.0
40,HUM,2021-02-18,07:05AM,Humana Elects Marcy S. Klevorn and Jorge S. Mesquita to Board of Directors,0.0,1.0,0.0,0.0
41,HUM,2021-02-18,07:00AM,Humana Board Declares Payment of Quarterly Dividend to Stockholders,0.0,1.0,0.0,0.0
42,HUM,2021-02-17,08:00AM,Humana Launches Humana Care Support Pilot to Help Medicare Advantage Members to Better Manage Their Chronic Conditions,0.0,0.471,0.529,0.91
43,HUM,2021-02-11,08:00AM,Humana and IBM Watson Health Collaborate to Simplify and Enhance the Member Experience for Humana Employer Group Customers,0.0,1.0,0.0,0.0
44,HUM,2021-02-10,09:00AM,Humana Begins Coverage of Hospice Services as Part of Medicare Demonstration,0.0,0.877,0.123,0.1027
45,HUM,2021-02-06,05:36PM,Top 10 Large-Cap Healthcare Stocks to Buy Now,0.0,0.795,0.205,0.2023
46,HUM,2021-02-05,11:11AM,"Insurance in the Age of Obamacare (AET, CI)",0.0,1.0,0.0,0.0
47,HUM,2021-02-04,04:10PM,10 Cheap Healthcare Stocks To Buy Now,0.0,1.0,0.0,0.0
