,ticker,date,time,headline,neg,neu,pos,compound
0,IDXX,2021-04-14,07:40AM,1 Growth Driver Idexx Shareholders Should be Watching,0.0,0.698,0.302,0.3818
1,IDXX,2021-04-08,01:30PM,IDEXX Laboratories to Release 2021 First Quarter Financial Results,0.0,1.0,0.0,0.0
2,IDXX,2021-04-05,08:37AM,"Logitech, Harley-Davidson, Fulgent Genetics, Bio-Rad Laboratories and IDEXX Laboratories highlighted as Zacks Bull and Bear of the Day",0.0,1.0,0.0,0.0
3,IDXX,2021-04-05,08:34AM,3 Top Pet Healthcare Stocks to Buy Now,0.0,0.769,0.231,0.2023
4,IDXX,2021-04-01,09:18AM,COVID-19 Resurgence Accelerates Diagnostic Testing: 3 Top Picks,0.0,0.769,0.231,0.2023
5,IDXX,2021-04-01,06:25AM,Heska Is Up More Than 70% in 6 Months -- Is It Too Late to Buy the Stock?,0.0,1.0,0.0,0.0
6,IDXX,2021-03-31,12:26PM,BD (BDX) Receives FDA EUA for Combination Rapid Antigen Test,0.0,1.0,0.0,0.0
7,IDXX,2021-03-31,07:17AM,"Zacks Industry Outlook Highlights: Natus Medical, IDEXX Laboratories, Hologic, Thermo Fisher Scientific and Abiomed",0.0,1.0,0.0,0.0
8,IDXX,2021-03-31,05:41AM,"Could The IDEXX Laboratories, Inc. (NASDAQ:IDXX) Ownership Structure Tell Us Something Useful?",0.0,0.791,0.209,0.4404
9,IDXX,2021-03-30,12:02PM,Here's Why You Should Retain Merit Medical (MMSI) Stock Now,0.0,0.763,0.237,0.4215
10,IDXX,2021-03-30,07:01AM,3 Top Medical Instruments Stocks to Beat COVID-19 Resurgence Crisis,0.318,0.543,0.14,-0.5106
11,IDXX,2021-03-25,07:21AM,"Zacks.com featured highlights include: Toll Brothers, Goldman Sachs, Owens Corning, CBRE Group and IDEXX Laboratories",0.0,1.0,0.0,0.0
12,IDXX,2021-03-23,05:50PM,Idexx Laboratories (IDXX) Stock Moves -0.76%: What You Should Know,0.0,1.0,0.0,0.0
13,IDXX,2021-03-23,01:23PM,Is IDEXX Lab. (IDXX) A Smart Long-Term Buy?,0.0,0.69,0.31,0.4019
14,IDXX,2021-03-23,08:56AM,Intersect ENT (XENT) Hit by Low ENT Office Visits Amid COVID-19,0.174,0.826,0.0,-0.2732
15,IDXX,2021-03-22,10:29AM,IDEXX (IDXX) CAG Placement Grows Sequentially Amid COVID-19 Woes,0.266,0.734,0.0,-0.4404
16,IDXX,2021-03-21,10:00PM,Is IDEXX Laboratories (IDXX) Stock A Buy or Sell?,0.0,1.0,0.0,0.0
17,IDXX,2021-03-19,12:39PM,Should You Buy IDEXX Laboratories (IDXX) Stock Before Its Too Late?,0.0,1.0,0.0,0.0
18,IDXX,2021-03-18,09:59AM,Encompass Health (EHC) Continues to Expand Presence in Texas,0.0,0.777,0.223,0.3182
19,IDXX,2021-03-16,08:26AM,Here's Why You Should Add IDEXX (IDXX) to Your Portfolio Now,0.0,1.0,0.0,0.0
20,IDXX,2021-03-15,06:08AM,IDEXX Laboratories (IDXX) Sees Hammer Chart Pattern: Time to Buy?,0.0,1.0,0.0,0.0
21,IDXX,2021-03-13,07:54AM,Will Zoetis' Acquisition Spree Pay Off?,0.219,0.781,0.0,-0.1027
22,IDXX,2021-03-11,02:24PM,10 Best Pet Stocks To Buy Now,0.0,0.588,0.412,0.6369
23,IDXX,2021-03-11,07:46AM,Here's Why You Should Retain Cardinal Health (CAH) Stock Now,0.0,1.0,0.0,0.0
24,IDXX,2021-03-10,09:55AM,"BD (BDX), ImageMover Partner for Rapid Antigen Test Reporting",0.0,1.0,0.0,0.0
25,IDXX,2021-03-09,09:17AM,Hologic (HOLX) Partners With Gallup on Women's Health Index,0.0,1.0,0.0,0.0
26,IDXX,2021-03-09,09:16AM,Abbott (ABT) Launches Telehealth Tool for Neuromodulation,0.0,1.0,0.0,0.0
27,IDXX,2021-03-09,08:58AM,QIAGEN (QGEN) Rides on Test Launches Amid COVID-19 Woes,0.266,0.734,0.0,-0.4404
28,IDXX,2021-03-06,06:40AM,3 Pet Med Companies Whose Growth Makes Them a Breed Apart,0.0,0.755,0.245,0.3818
29,IDXX,2021-03-04,11:30AM,Why Is Idexx (IDXX) Up 2.6% Since Last Earnings Report?,0.0,1.0,0.0,0.0
30,IDXX,2021-03-04,09:39AM,"National Vision (EYE) Q4 Earnings Top Estimates, Margins Up",0.0,0.648,0.352,0.4215
31,IDXX,2021-03-03,03:30AM,MINDCURE Announces Manufacturing of Synthetic Ibogaine to be Used in Company's Clinical Research,0.0,1.0,0.0,0.0
32,IDXX,2021-03-02,11:30AM,Is IDEXX Laboratories (IDXX) Outperforming Other Medical Stocks This Year?,0.0,1.0,0.0,0.0
33,IDXX,2021-03-01,09:51AM,"Orthofix's (OFIX) Q4 Earnings Top Estimates, Margin Declines",0.0,0.795,0.205,0.2023
34,IDXX,2021-03-01,01:49AM,Announcing: IDEXX Laboratories (NASDAQ:IDXX) Stock Soared An Exciting 581% In The Last Five Years,0.0,0.802,0.198,0.4939
35,IDXX,2021-02-26,10:16AM,"Teleflex (TFX) Beats on Q4 Earnings and Revenues, Margins Fall",0.0,1.0,0.0,0.0
