,ticker,date,time,headline,neg,neu,pos,compound
0,IPG,2021-04-13,09:55AM,Primis Earns TAG Anti-Fraud Certification for Fourth Year in a Row,0.0,1.0,0.0,0.0
1,IPG,2021-04-12,04:15PM,Interpublic Schedules First Quarter 2021 Earnings Release,0.0,1.0,0.0,0.0
2,IPG,2021-04-12,02:17PM,Reprise Commerce Lands DeMert Brands as Its First Direct US Client,0.0,1.0,0.0,0.0
3,IPG,2021-04-09,07:38AM,"Zacks Industry Outlook Highlights: Gannett Co, Omnicom Group and The Interpublic Group of Companies",0.0,1.0,0.0,0.0
4,IPG,2021-04-08,12:00PM,"Trish Taylor Joins Weber Shandwick to Lead Washington, D.C. Healthcare Practice",0.0,1.0,0.0,0.0
5,IPG,2021-04-07,10:30AM,IPG Mediabrands Names New Global CFO and Global President as Part of a Plan To Introduce New Perspectives and Accelerate Focus on Transformation,0.0,1.0,0.0,0.0
6,IPG,2021-04-06,12:06PM,IPG Mediabrands and TikTok Build Exclusive Creator Programs to Connect Brands with Culture,0.0,0.889,0.111,0.128
7,IPG,2021-03-31,02:03PM,Wells Fargo Commercial Mortgage Trust 2014-LC16 -- Moody's affirms four and downgrades three classes of WFCM 2014-LC16,0.0,0.739,0.261,0.6486
8,IPG,2021-03-30,11:57AM,Michael Frohlich Joins Weber Shandwick as EMEA Chief Executive Officer,0.0,1.0,0.0,0.0
9,IPG,2021-03-29,12:25PM,Is IPG Stock A Buy or Sell?,0.0,1.0,0.0,0.0
10,IPG,2021-03-29,09:00AM,Primis Announces Expansion of Its Net15 Payment Initiative,0.0,1.0,0.0,0.0
11,IPG,2021-03-29,03:27AM,"Is The Interpublic Group of Companies, Inc. (NYSE:IPG) Trading At A 31% Discount?",0.0,1.0,0.0,0.0
12,IPG,2021-03-24,11:51AM,"Lena Eng Promoted to Managing Director of Craft Greater New York, to Champion Delivery of Modern Production Solutions for the Region",0.0,0.609,0.391,0.872
13,IPG,2021-03-23,09:28AM,Why Should You Retain H&R Block (HRB) in Your Portfolio?,0.244,0.756,0.0,-0.4404
14,IPG,2021-03-22,03:46PM,Weber Shandwick was named as an Honorable Mention in The 2021 Gartner Magic Quadrant for Global Marketing Agencies,0.0,0.829,0.171,0.5423
15,IPG,2021-03-22,02:35PM,MRM Named For 5th Straight Year As A Leader In 2021 Gartner Magic Quadrant For Global Marketing Agencies,0.0,0.894,0.106,0.2263
16,IPG,2021-03-22,10:42AM,MRM Wins 2021 Adweek Performance Marketing Action Award,0.0,0.455,0.545,0.802
17,IPG,2021-03-22,08:57AM,Here's Why You Should Retain Equifax (EFX) in Your Portfolio,0.0,1.0,0.0,0.0
