,ticker,date,time,headline,neg,neu,pos,compound
0,IP,2021-04-14,03:29AM,Did You Miss International Paper's (NYSE:IP) 65% Share Price Gain?,0.113,0.493,0.394,0.6124
1,IP,2021-04-12,04:15PM,Updated Time - International Paper CEO to Speak at 2021 Virtual Wells Fargo Industrials Conference,0.0,0.867,0.133,0.25
2,IP,2021-04-08,04:15PM,International Paper CEO to Speak at 2021 Virtual Wells Fargo Industrials Conference,0.0,0.846,0.154,0.25
3,IP,2021-04-08,12:38PM,Why Hold Strategy is Apt for International Paper (IP) Right Now,0.0,1.0,0.0,0.0
4,IP,2021-04-06,04:15PM,"International Paper to Release First-Quarter 2021 Earnings On April 29, 2021",0.0,1.0,0.0,0.0
5,IP,2021-04-01,08:30AM,3 Top Value Stocks to Buy in April,0.0,0.543,0.457,0.4939
6,IP,2021-03-31,08:25AM,International Paper (IP) Buys Corrugated Box Plants in Spain,0.0,1.0,0.0,0.0
7,IP,2021-03-30,08:00AM,International Paper Acquires Two Corrugated Packaging Plants in Spain,0.0,1.0,0.0,0.0
8,IP,2021-03-15,03:07AM,Are Investors Undervaluing International Paper Company (NYSE:IP) By 35%?,0.0,1.0,0.0,0.0
9,IP,2021-03-09,09:28AM,"The Zacks Analyst Blog Highlights: International Paper Co, Amcor, Packaging Corporation of America and Sealed Air Corp",0.0,1.0,0.0,0.0
10,IP,2021-03-06,11:31AM,International Paper (IP) Up 15.8% Since Last Earnings Report: Can It Continue?,0.0,1.0,0.0,0.0
11,IP,2021-03-04,08:50AM,International Paper (IP) Hits 52-Week High: What's Driving It?,0.0,1.0,0.0,0.0
12,IP,2021-03-01,10:34AM,"Graphic Packaging International, LLC -- Moody's assigns Baa3 to Graphic Packaging's new senior secured notes",0.0,0.838,0.162,0.4019
13,IP,2021-03-01,09:30AM,International Paper (IP) Buys Berkley's Molded Fiber Unit,0.0,1.0,0.0,0.0
14,IP,2021-02-24,10:16PM,International Paper acquires Berkley Molded Fiber division,0.0,1.0,0.0,0.0
15,IP,2021-02-17,04:15PM,International Paper Chief Sustainability Officer to Speak at Deutsche Bank Global ESG Virtual Conference,0.0,1.0,0.0,0.0
16,IP,2021-02-12,06:58PM,"International Paper Company -- Moody's says IP's mill divestiture provides significant value and improves leverage, a credit positive",0.0,0.476,0.524,0.9042
17,IP,2021-02-12,12:38AM,International Paper to Sell Kwidzyn Mill in Poland,0.0,1.0,0.0,0.0
18,IP,2021-02-11,11:54PM,Don't Race Out To Buy International Paper Company (NYSE:IP) Just Because It's Going Ex-Dividend,0.0,1.0,0.0,0.0
19,IP,2021-02-11,03:15PM,International Paper CEO to Speak at Bank of America Merrill Lynch 2021 Global Agriculture and Materials Conference,0.0,1.0,0.0,0.0
20,IP,2021-02-09,04:15PM,International Paper's Board Elects Anton V. Vincent; Also Announces Retirement of Two Board Members,0.0,1.0,0.0,0.0
21,IP,2021-02-09,09:03AM,Reasons to Hold International Paper (IP) Stock in Your Portfolio,0.0,1.0,0.0,0.0
22,IP,2021-02-08,06:38AM,"The Zacks Analyst Blog Highlights: Schnitzer Steel Industries, Applied Industrial Technologies, International Paper, EnPro Industries and Hain Celestial",0.0,1.0,0.0,0.0
23,IP,2021-02-07,01:41AM,International Paper Company Just Missed Earnings - But Analysts Have Updated Their Models,0.167,0.833,0.0,-0.296
24,IP,2021-02-05,10:00AM,International Paper's Debt Insights,0.455,0.545,0.0,-0.3612
25,IP,2021-02-05,09:31AM,"Company News for Feb 5, 2021",0.0,1.0,0.0,0.0
26,IP,2021-02-05,07:44AM,5 Stocks Set to Gain on Continued Rise in Factory Orders,0.0,0.726,0.274,0.5267
27,IP,2021-02-04,04:13PM,"International Paper (IP) Q4 Earnings Lag Estimates, Down Y/Y",0.231,0.769,0.0,-0.34
28,IP,2021-02-04,03:01PM,International Paper Co (IP) Q4 2020 Earnings Call Transcript,0.0,1.0,0.0,0.0
