,ticker,date,time,headline,neg,neu,pos,compound
0,ISRG,2021-04-14,06:35AM,"Got $1,000? 2 of Today's Hot Stocks You Can Buy and Hold for a Lifetime",0.0,1.0,0.0,0.0
1,ISRG,2021-04-14,06:14AM,These 3 Stocks Will Make You Rethink Your Portfolio,0.0,1.0,0.0,0.0
2,ISRG,2021-04-13,12:30PM,"Earnings Preview: Intuitive Surgical, Inc. (ISRG) Q1 Earnings Expected to Decline",0.0,1.0,0.0,0.0
3,ISRG,2021-04-13,12:15PM,10 Best Robotics Stocks For 2021,0.0,0.543,0.457,0.6369
4,ISRG,2021-04-10,07:07AM,3 Stocks to Buy and Hold for the Next 10 Years,0.0,1.0,0.0,0.0
5,ISRG,2021-04-10,06:00AM,3 Overlooked Healthcare Stocks to Buy Right Now,0.155,0.845,0.0,-0.0258
6,ISRG,2021-04-09,06:11AM,3 Things Nano-X Needs to Do to Make You Rich,0.0,0.69,0.31,0.5574
7,ISRG,2021-04-06,08:46AM,Here's Why You Should Retain Intuitive Surgical (ISRG) Now,0.0,1.0,0.0,0.0
8,ISRG,2021-04-03,06:33AM,"In Asia, Intuitive Surgical's Growth Story Is Just Beginning",0.0,0.755,0.245,0.3818
9,ISRG,2021-03-31,07:59AM,"The Zacks Analyst Blog Highlights: Apple, Alibaba Group, AT&T, Intuitive Surgical and Zoetis",0.0,1.0,0.0,0.0
10,ISRG,2021-03-30,04:51PM,"Top Stock Reports for Apple, Alibaba & AT&T",0.0,0.769,0.231,0.2023
11,ISRG,2021-03-30,01:45PM,IBD's Investing Podcast: How To Make More Money In The Stock Market With Stock Charts,0.0,1.0,0.0,0.0
12,ISRG,2021-03-29,09:33AM,Understanding Intuitive Surgical's Unusual Options Activity,0.0,1.0,0.0,0.0
13,ISRG,2021-03-29,07:48AM,"The Zacks Analyst Blog Highlights: Smith & Nephew, Intuitive Surgical, Stryker Corp, Accuray and Medtronic",0.0,1.0,0.0,0.0
14,ISRG,2021-03-26,08:38AM,Coronavirus Ups the Game for Robotic Surgery: 3 Stocks on Radar,0.0,1.0,0.0,0.0
15,ISRG,2021-03-22,04:33PM,Is Intuitive Surgical (ISRG) Stock A Buy or Sell?,0.0,1.0,0.0,0.0
16,ISRG,2021-03-15,06:01AM,3 Rock-Solid Stocks You Can Buy and Hold Forever,0.0,1.0,0.0,0.0
17,ISRG,2021-03-13,08:00AM,Should You Buy Intuitive Surgical in March?,0.0,1.0,0.0,0.0
18,ISRG,2021-03-11,10:00PM,3 Unstoppable Healthcare Stocks to Buy on the Dip,0.205,0.795,0.0,-0.2023
19,ISRG,2021-03-10,01:00PM,3 Healthcare Companies Worth a Look,0.0,0.612,0.388,0.2263
