,ticker,date,time,headline,neg,neu,pos,compound
0,JNPR,2021-04-08,08:56AM,"Telecom Stock Roundup: VZ's Signal Repeaters Deployment, ERIC's Open Lab & More",0.0,1.0,0.0,0.0
1,JNPR,2021-04-07,08:36AM,Juniper (JNPR) to Power 21Vianet's (VNET) Data Center Expansion,0.0,1.0,0.0,0.0
2,JNPR,2021-04-06,11:00PM,Chinas Largest Carrier-Neutral Data Center Service Provider 21Vianet Selects Juniper Networks to Power Expanded Interconnected Data Center,0.0,1.0,0.0,0.0
3,JNPR,2021-03-31,07:06AM,"The Zacks Analyst Blog Highlights: Cisco Systems, Arista Networks, Juniper Networks and NETGEAR",0.0,1.0,0.0,0.0
4,JNPR,2021-03-30,09:04AM,4 Stocks Poised to Gain From Uptick in Campus Networking Spend,0.0,0.597,0.403,0.6597
5,JNPR,2021-03-23,09:09PM,"Ontario Teachers Acquires Mitratech From TA, HG Capital",0.0,1.0,0.0,0.0
6,JNPR,2021-03-23,04:08AM,"Juniper Networks, Inc. (NYSE:JNPR) Shares Could Be 38% Below Their Intrinsic Value Estimate",0.0,0.705,0.295,0.5574
7,JNPR,2021-03-22,05:30AM,Juniper Networks Announces Date of First Quarter Preliminary Financial Results Conference Call,0.0,1.0,0.0,0.0
8,JNPR,2021-03-15,08:30AM,"Juniper Networks Announces Dial-in Numbers and Webcast Information for March 16, 2021 Tech Talk",0.0,1.0,0.0,0.0
9,JNPR,2021-03-10,12:00PM,Juniper Networks Demonstrates Industry Leadership with Two MEF Proof of Concept Showcase Awards,0.0,0.8,0.2,0.4588
10,JNPR,2021-03-08,09:18AM,3 High-Yield Tech Stocks to Buy in March,0.0,1.0,0.0,0.0
11,JNPR,2021-03-03,08:30AM,Juniper Networks Announces Date and Webcast Information for Upcoming Tech Talk in March 2021,0.0,1.0,0.0,0.0
12,JNPR,2021-03-01,08:46AM,Better Buy: Arista Networks vs. Juniper Networks,0.0,0.674,0.326,0.4404
13,JNPR,2021-02-27,11:30AM,Juniper (JNPR) Down 10.8% Since Last Earnings Report: Can It Rebound?,0.0,1.0,0.0,0.0
