,ticker,date,time,headline,neg,neu,pos,compound
0,KEY,2021-04-13,12:30PM,KeyCorp (KEY) Reports Next Week: Wall Street Expects Earnings Growth,0.0,0.776,0.224,0.3818
1,KEY,2021-04-12,09:52AM,Here's Why You Should Hold KeyCorp (KEY) Stock Right Now,0.0,1.0,0.0,0.0
2,KEY,2021-03-30,09:02AM,KeyBank and Laurel Road Launch Digital Bank for Doctors,0.0,1.0,0.0,0.0
3,KEY,2021-03-30,07:00AM,Is a Rerating of Citizens Financial Group Coming?,0.0,1.0,0.0,0.0
4,KEY,2021-03-24,09:45AM,Should Value Investors Pick KeyCorp (KEY) Stock Right Now?,0.0,0.769,0.231,0.34
5,KEY,2021-03-23,06:14PM,4 S&P 500 Stocks That Have Soared Over the Past Year,0.0,1.0,0.0,0.0
6,KEY,2021-03-12,08:07AM,"KeyBank Announces $40B Investment In Communities Including Affordable Housing, Economic Inclusion, And Climate Change Funding Commitments",0.0,0.909,0.091,0.128
7,KEY,2021-03-12,07:07AM,3 Acquisitions That Could Shake Up the Regional Banking Space,0.175,0.825,0.0,-0.1779
8,KEY,2021-03-03,01:41PM,Piper Sandler Downgrades KeyCorp On Valuation After Big 2020 Run,0.0,1.0,0.0,0.0
9,KEY,2021-03-03,12:14PM,"KeyCorp (KEY) Boosts Digital Capabilities, Buys AQN Strategies",0.0,0.753,0.247,0.3182
10,KEY,2021-03-03,09:47AM,"Zacks.com featured highlights include: Take Two Interactive Software, Parker-Hannifin, Tapestry, KeyCorp and Interpublic Group of Companies",0.0,1.0,0.0,0.0
11,KEY,2021-03-02,04:05PM,Key Acquires AQN Strategies,0.0,1.0,0.0,0.0
12,KEY,2021-03-02,07:17AM,S&P 500 Sees Best Day Since June: Here're the Top 5 Gainers,0.0,0.6,0.4,0.7184
13,KEY,2021-03-01,12:15PM,Price Over Earnings Overview: KeyCorp,0.0,1.0,0.0,0.0
14,KEY,2021-02-25,01:12PM,KeyCorp To Present At The RBC Capital Markets Global Financial Institutions Conference,0.0,1.0,0.0,0.0
15,KEY,2021-02-23,08:47AM,Survey Reveals Young Americans Prefer A Hybrid Digital and Human Banking Experience,0.0,1.0,0.0,0.0
