,ticker,date,time,headline,neg,neu,pos,compound
0,KMI,2021-04-14,07:13AM,"The Zacks Analyst Blog Highlights: Royal Dutch Shell, Chevron, Cheniere Energy, Kinder Morgan and Energy Transfer LP",0.0,0.654,0.346,0.7506
1,KMI,2021-04-13,08:26AM,Focus on These 5 Stocks to Profit Off the Growing LNG Trend,0.0,0.662,0.338,0.5574
2,KMI,2021-04-12,10:45AM,Better Buy: Brookfield Infrastructure vs. Kinder Morgan,0.0,0.45,0.55,0.7269
3,KMI,2021-04-10,08:38AM,3 Cheap Energy Stocks to Buy Right Now,0.0,0.741,0.259,0.2732
4,KMI,2021-04-06,08:17AM,3 High-Yield Dividend Stocks I'd Buy Right Now,0.0,1.0,0.0,0.0
5,KMI,2021-04-06,07:32AM,Why Kinder Morgan Stock Jumped 13% in March,0.0,0.686,0.314,0.4939
6,KMI,2021-04-06,07:31AM,3 Surefire Value Stocks to Buy While Tech Stocks Crash,0.206,0.458,0.336,0.1779
7,KMI,2021-04-02,08:14AM,Better Buy: Magellan Midstream Partners vs. Kinder Morgan,0.0,0.496,0.504,0.7269
8,KMI,2021-04-01,09:02AM,Cushing® Asset Management and Swank Capital Announce Rebalancing of the Cushing® MLP High Income Index,0.0,0.848,0.152,0.3612
9,KMI,2021-03-31,07:31AM,"Don't Waste Your Money on Penny Stocks, These 3 Stocks Are Better Buys",0.0,0.657,0.343,0.6407
10,KMI,2021-03-31,06:52AM,Better Buy: Kinder Morgan vs. Plains All American Pipeline,0.0,0.534,0.466,0.7269
11,KMI,2021-03-30,11:40AM,AL NGPL Holdings LLC -- Moody's assigns Ba3 rating to AL NGPL Holdings LLC's term loan,0.0,1.0,0.0,0.0
12,KMI,2021-03-30,11:29AM,AL NGPL Holdings LLC -- Moody's assigns Ba3 rating to AL NGPL Holdings LLC's term loan,0.0,1.0,0.0,0.0
13,KMI,2021-03-29,03:42PM,Is KMI Stock A Buy or Sell?,0.0,1.0,0.0,0.0
14,KMI,2021-03-29,04:27AM,Kinder Morgan (NYSE:KMI) Shareholders Booked A 22% Gain In The Last Year,0.0,0.577,0.423,0.765
15,KMI,2021-03-26,12:30PM,Here's Why You Should Retain Kinder Morgan (KMI) Stock Now,0.0,0.738,0.262,0.4939
16,KMI,2021-03-23,10:30AM,3 Dividend Stocks to Buy on Sale,0.0,1.0,0.0,0.0
17,KMI,2021-03-15,09:24AM,Kinder Morgan (KMI) Creates Group to Pursue Green Opportunities,0.0,0.432,0.568,0.7845
18,KMI,2021-03-13,11:25AM,10 Best Dividend Stocks For 2021,0.0,0.543,0.457,0.6369
19,KMI,2021-03-12,07:10PM,"NXP Semiconductors, Penn National Gaming, Generac Holdings and Caesars Entertainment Set to Join S&P 500; Others to Join S&P MidCap 400, S&P SmallCap 600 and S&P 100",0.0,0.769,0.231,0.7351
20,KMI,2021-03-12,01:56PM,UPDATE 1-Kinder Morgan forms new group focused on energy transition,0.0,0.63,0.37,0.5719
21,KMI,2021-03-12,01:00PM,Kinder Morgan Announces Formation of New Energy Transition Ventures Group,0.0,0.602,0.398,0.6486
22,KMI,2021-03-11,09:00AM,Colorado Energy Organizations Launch First-of-its-Kind Responsibly Sourced Natural Gas Partnership,0.0,0.635,0.365,0.5574
23,KMI,2021-03-06,04:06PM,10 Best Cheap Stocks To Buy Now According To Billionaire Abrams,0.0,0.704,0.296,0.6369
