,ticker,date,time,headline,neg,neu,pos,compound
0,KR,2021-04-13,02:12PM,Frontline food workers face disproportionate impacts from COVID-19 pandemic,0.0,1.0,0.0,0.0
1,KR,2021-04-13,12:30PM,3 Stocks That Are Absurdly Cheap Right Now,0.0,1.0,0.0,0.0
2,KR,2021-04-12,12:12PM,"Amazon launches new food brand, Aplenty",0.0,0.746,0.254,0.1779
3,KR,2021-04-11,10:03AM,Better Buy: Amazon vs. Kroger,0.0,0.395,0.605,0.5574
4,KR,2021-04-10,08:00AM,"Gen Z, Millennials feed COVID-19's snacking boom, boosting brands like Coke, Pepsi",0.0,0.671,0.329,0.5994
5,KR,2021-04-08,06:05AM,"Beyond Meat to Expand Product Offerings at Kroger, Target, Other Grocers",0.0,0.813,0.187,0.3182
6,KR,2021-04-07,04:32PM,Is KR Stock A Buy or Sell?,0.0,1.0,0.0,0.0
7,KR,2021-04-06,12:55PM,5 Guru Stocks with Predictable Business,0.0,1.0,0.0,0.0
8,KR,2021-04-05,12:13PM,Costco stock may surprise if the company hikes membership fees in fall 2022,0.0,0.851,0.149,0.2732
9,KR,2021-04-05,08:00AM,Jewish community dismayed at Kroger's closure of Ralphs in Pico-Robertson,0.244,0.756,0.0,-0.4404
10,KR,2021-04-02,12:34PM,Smoothies and salads: Kroger says these 4 items account for 28% of its produce sales,0.0,1.0,0.0,0.0
11,KR,2021-04-01,11:04AM,"Kroger (KR) On Track to Boost Digital Business, Reinstates View",0.0,0.769,0.231,0.4019
12,KR,2021-04-01,09:40AM,Krogers Investor Day Left Analysts Cautious,0.219,0.781,0.0,-0.1027
13,KR,2021-04-01,08:30AM,3 Top Value Stocks to Buy in April,0.0,0.543,0.457,0.4939
14,KR,2021-03-31,07:47AM,"Kroger plans to grow with digital, private label brands and fresh food",0.0,0.827,0.173,0.3182
15,KR,2021-03-31,07:30AM,Kroger Outlines Strategy to Deliver Strong and Sustainable Total Shareholder Return by Leading With Fresh and Accelerating With Digital,0.0,0.752,0.248,0.6808
16,KR,2021-03-29,06:29PM,Kroger Co. (The) -- Moody's announces completion of a periodic review of ratings of Kroger Co. (The),0.0,1.0,0.0,0.0
17,KR,2021-03-29,04:40PM,"Ahold Finance U.S.A., LLC -- Moody's announces completion of a periodic review of ratings of Koninklijke Ahold Delhaize N.V.",0.0,1.0,0.0,0.0
18,KR,2021-03-29,01:29PM,Koninklijke Ahold Delhaize N.V. -- Moody's announces completion of a periodic review of ratings of Koninklijke Ahold Delhaize N.V.,0.0,1.0,0.0,0.0
19,KR,2021-03-25,03:00PM,Amazon starts on-site COVID-19 vaccination for U.S. employees,0.0,0.805,0.195,0.1779
20,KR,2021-03-24,06:15PM,"Is Kroger Stock A Buy Right Now? Here's What Earnings, Charts Show",0.0,1.0,0.0,0.0
21,KR,2021-03-24,01:28PM,5 Cheap Stocks Paying High Dividend Yields,0.0,1.0,0.0,0.0
