,ticker,date,time,headline,neg,neu,pos,compound
0,LB,2021-04-14,06:52AM,"The Zacks Analyst Blog Highlights: Tempur Sealy International, Cambium Networks, L Brands, Louisiana-Pacific Corp and Evercore",0.0,1.0,0.0,0.0
1,LB,2021-04-13,11:35AM,Victoria's Secret Unveils Mother's Day Campaign,0.0,1.0,0.0,0.0
2,LB,2021-04-13,07:32AM,"The Zacks Analyst Blog Highlights: Haverty Furniture Companies, L Brands, TeleTech, Ultra Clean Holdings and Rocky Brands",0.0,0.847,0.153,0.4019
3,LB,2021-04-13,06:56AM,"The Zacks Analyst Blog Highlights: L Brands, Citi Trends, Levi Strauss, Boot Barn Holdings and Buckle",0.0,1.0,0.0,0.0
4,LB,2021-04-13,06:30AM,CBOE VIX Plunges More Than 25% YTD: 5 Top Growth Picks,0.0,0.645,0.355,0.5267
5,LB,2021-04-12,05:50PM,L Brands (LB) Dips More Than Broader Markets: What You Should Know,0.0,1.0,0.0,0.0
6,LB,2021-04-12,03:02PM,"L Brands, Inc. -- Moody's upgrades L Brands' CFR to Ba3",0.0,1.0,0.0,0.0
7,LB,2021-04-12,11:10AM,5 Top Stocks at the Forefront of S&P 500 ETF Rally This Year,0.0,0.859,0.141,0.2023
8,LB,2021-04-12,09:24AM,Children's Place (PLCE) Digitization Strategy is Paying Off,0.0,1.0,0.0,0.0
9,LB,2021-04-12,08:02AM,"Zacks.com featured highlights include: Louisiana-Pacific Corp, PotlatchDeltic Corp, Citizens Community Bancorp and L Brands",0.0,1.0,0.0,0.0
10,LB,2021-04-12,08:00AM,29 Big Stocks Are Doing Better Now Than Tesla Did A Year Ago,0.0,0.791,0.209,0.4404
11,LB,2021-04-12,07:33AM,"The Zacks Analyst Blog Highlights: Alcoa Corp, L Brands, Nucor Corp, Micron Technology and Louisiana-Pacific",0.0,1.0,0.0,0.0
12,LB,2021-04-12,07:09AM,5 Apparel Stocks to Buy as Industry Tries to Bounce Back,0.0,1.0,0.0,0.0
13,LB,2021-04-12,06:44AM,April Has Been the Best Month for Stocks in Past 30 Years: 5 Picks,0.0,0.741,0.259,0.6369
14,LB,2021-04-09,09:25AM,6 Best Momentum Picks to Profit From 2021 Economic Rebound,0.0,0.496,0.504,0.7964
15,LB,2021-04-09,09:00AM,5 Apparel Players That Look Well Poised to Tap Budding Demand,0.119,0.556,0.325,0.3818
16,LB,2021-04-09,07:52AM,E-Commerce Continues to Boost Retail Sector: 5 Stocks to Buy,0.0,0.748,0.252,0.4019
17,LB,2021-04-09,06:39AM,These 4 Relative Price Strength Stocks Are Worth a Gamble,0.0,0.541,0.459,0.6249
18,LB,2021-04-08,09:40AM,Top Ranked Growth Stocks to Buy for April 8th,0.0,0.614,0.386,0.5267
19,LB,2021-04-07,01:31PM,Why Hibbett Sports (HIBB) is a Suitable Investment Pick Now,0.0,1.0,0.0,0.0
20,LB,2021-04-07,12:00PM,L Brands (LB) Is Up 0.32% in One Week: What You Should Know,0.0,1.0,0.0,0.0
21,LB,2021-04-07,10:00AM,"Dow Jones Today Climbs, Nasdaq Lags; NetEase, Tencent Dive, Cruise Lines Rally On Covid News, Earnings",0.143,0.857,0.0,-0.3612
22,LB,2021-04-07,07:54AM,"The Zacks Analyst Blog Highlights: L Brands, Goldman Sachs, Exxon Mobil, RH and Devon Energy",0.0,0.861,0.139,0.2732
23,LB,2021-04-07,07:48AM,L Brands and Abercrombie Upgraded to Buy on Growth Prospects,0.0,0.593,0.407,0.5859
24,LB,2021-04-06,12:20PM,Earnings Estimates Moving Higher for L Brands (LB): Time to Buy?,0.0,1.0,0.0,0.0
25,LB,2021-04-06,12:13PM,Here's Why Abercrombie (ANF) is a Lucrative Investment Pick Now,0.0,1.0,0.0,0.0
26,LB,2021-04-06,10:08AM,Top Ranked Growth Stocks to Buy for April 6th,0.0,0.614,0.386,0.5267
27,LB,2021-04-06,09:11AM,4 Retail Stocks Up More Than 30% YTD & Still Showing Vigor,0.0,0.811,0.189,0.2732
