,ticker,date,time,headline,neg,neu,pos,compound
0,LITE,2021-04-13,12:10PM,Why Lumentum (LITE) is Poised to Beat Earnings Estimates Again,0.0,0.818,0.182,0.25
1,LITE,2021-04-11,05:31PM,This Laser Makers Stock Is Cheap. Why Its a Buy.,0.0,1.0,0.0,0.0
2,LITE,2021-04-05,05:41PM,Domino's Pizza CEO Ritch Allison Talks About Trends and Toppings,0.0,1.0,0.0,0.0
3,LITE,2021-04-02,10:00AM,Better Buy: Lumentum vs. Infinera,0.0,0.58,0.42,0.4404
4,LITE,2021-04-01,06:30AM,Why II-VI Is the Stock I'm Most Excited to Buy in April,0.0,0.803,0.197,0.4005
5,LITE,2021-03-29,02:57PM,Is LITE Stock A Buy or Sell?,0.0,1.0,0.0,0.0
6,LITE,2021-03-26,02:55PM,Lumentum stock rises again after Raymond James analyst runs to a strong buy rating,0.0,0.784,0.216,0.5106
7,LITE,2021-03-26,08:29AM,Lumentum (LITE) Surges 8.5%: Is This an Indication of Further Gains?,0.0,0.806,0.194,0.34
8,LITE,2021-03-25,05:46PM,Coherent Will Merge With II-VI in a $6.3 Billion Deal,0.0,1.0,0.0,0.0
9,LITE,2021-03-25,01:05PM,"Lumentum loses the battle for Coherent, and investors cheer",0.345,0.423,0.232,-0.1531
10,LITE,2021-03-25,05:11AM,Coherent Chooses II-VI Bid; Lumentum Says Its Offer Is Superior,0.0,0.72,0.28,0.5423
11,LITE,2021-03-25,05:00AM,Coherent Board Accepts II-VI Acquisition Proposal,0.0,0.685,0.315,0.3182
12,LITE,2021-03-25,04:35AM,"Premarket Movers Thursday - Nike, Rite Aid, Lumentum",0.0,1.0,0.0,0.0
13,LITE,2021-03-25,04:00AM,"CORRECTED-UPDATE 3-Laser maker Coherent picks II-VI's buyout offer, scraps Lumentum deal",0.0,1.0,0.0,0.0
14,LITE,2021-03-25,02:45AM,Lumentum Receives Notice of Termination of Coherent Merger Agreement,0.0,0.714,0.286,0.4939
15,LITE,2021-03-24,04:05PM,Lumentum Honored by 2021 Lightwave Innovation Reviews,0.0,0.439,0.561,0.7506
16,LITE,2021-03-23,08:20AM,Coherent stock gains after Lumentum counters II-VI's latest bid with a higher buyout proposal,0.0,0.833,0.167,0.34
17,LITE,2021-03-23,05:08AM,Lumentum Increases Bid to Acquire Coherent Inc.,0.0,1.0,0.0,0.0
18,LITE,2021-03-23,05:05AM,Lumentum Announces Revised Proposal for Coherent,0.0,1.0,0.0,0.0
19,LITE,2021-03-23,05:00AM,Coherent Confirms Receipt of New Acquisition Proposal from Lumentum,0.0,1.0,0.0,0.0
20,LITE,2021-03-22,07:49PM,Stock Market News: Investors React to Lennar's and Coupa's Reports; Coherent Bidding War Continues,0.231,0.769,0.0,-0.5994
21,LITE,2021-03-18,03:20PM,"Changed Focus: Why This Lumentum, NeoPhotonics Analyst Is Swapping Optical Stocks",0.0,1.0,0.0,0.0
22,LITE,2021-03-18,12:45PM,Lumentum Holdings Raises Buyout Offer for Coherent; II-VI Apparently Follows Suit,0.0,1.0,0.0,0.0
23,LITE,2021-03-18,07:47AM,Coherent Shares Are Trading Higher Following II-VI's Revised Acquisition Proposal,0.0,0.804,0.196,0.296
24,LITE,2021-03-18,06:15AM,Coherent Calls Latest II-VI Bid Superior to Prior Proposals,0.0,0.696,0.304,0.5423
25,LITE,2021-03-18,06:12AM,Coherent's stock rallies after it receives yet another 'superior' buyout bid from II-VI,0.0,1.0,0.0,0.0
26,LITE,2021-03-18,06:11AM,Bidding war for laser maker Coherent intensifies with II-VI's $7 billion revised offer,0.245,0.755,0.0,-0.5994
27,LITE,2021-03-18,05:07AM,Lumentum Comments on Notification from Coherent of a Company Superior Proposal,0.0,0.72,0.28,0.5423
28,LITE,2021-03-17,09:01AM,MKS Stock Rebounds After Chip Gear Maker Exits Battle For Coherent,0.206,0.794,0.0,-0.3818
29,LITE,2021-03-17,06:09AM,Coherent shares shoot up after Lumentum increases buyout bid to $6.9 billion,0.164,0.685,0.151,-0.0516
30,LITE,2021-03-17,05:33AM,Lumentum raises takeover offer for Coherent to $6.9 billion,0.0,1.0,0.0,0.0
31,LITE,2021-03-17,05:15AM,Lumentum Announces Revised Proposal for Coherent,0.0,1.0,0.0,0.0
32,LITE,2021-03-17,05:14AM,Coherent Climbs as Lumentum Raises Bid to $6.9 Billion,0.0,1.0,0.0,0.0
33,LITE,2021-03-17,05:10AM,Coherent Confirms Receipt of New Acquisition Proposal from Lumentum,0.0,1.0,0.0,0.0
34,LITE,2021-03-15,10:07AM,Coherent Determines Recently Revised Buyout Offer From II-VI To Be Superior,0.0,0.741,0.259,0.5423
35,LITE,2021-03-13,03:12AM,"At US$88.72, Is Lumentum Holdings Inc. (NASDAQ:LITE) Worth Looking At Closely?",0.0,0.84,0.16,0.2263
36,LITE,2021-03-12,06:46AM,"Coherent receives a 'superior' buyout bid from II-VI, Lumentum has till March 17 to counter",0.0,1.0,0.0,0.0
37,LITE,2021-03-12,05:05AM,Lumentum Comments on Notification from Coherent of a Company Superior Proposal,0.0,0.72,0.28,0.5423
38,LITE,2021-03-12,05:00AM,Coherent Board Determines New II-VI Proposal Is Superior to Amended Lumentum Merger Agreement,0.0,0.621,0.379,0.7717
39,LITE,2021-03-10,06:09AM,Coherent's stock gains after agreeing on increased buyout deal with Lumentum,0.0,0.537,0.463,0.7096
40,LITE,2021-03-10,05:06AM,Lumentum Announces Amended Transaction Agreement with Coherent,0.0,0.652,0.348,0.4939
41,LITE,2021-03-10,05:00AM,Coherent Signs Revised Merger Agreement with Lumentum,0.0,0.652,0.348,0.4939
42,LITE,2021-03-08,09:14AM,Coherent Determines Revised Buyout Offer From II-VI To Be Financially Best Fit,0.0,0.599,0.401,0.7717
43,LITE,2021-03-08,08:48AM,MKS Drops Bid for Laser-Tech Producer Coherent,0.0,1.0,0.0,0.0
44,LITE,2021-03-08,07:01AM,Lumentum has 4 days to match II-VI's rival buyout bid for Coherent,0.0,1.0,0.0,0.0
45,LITE,2021-03-08,06:47AM,Lumentum Comments on Notification from Coherent of a Company Superior Proposal,0.0,0.72,0.28,0.5423
46,LITE,2021-03-08,05:00AM,Coherent Board Determines Revised II-VI Proposal Is Superior To Lumentum Merger Agreement,0.0,0.599,0.401,0.7717
47,LITE,2021-03-04,08:15AM,5 Stocks to Invest in Virtual and Augmented Reality,0.0,1.0,0.0,0.0
48,LITE,2021-03-04,03:34AM,Top Tech Stocks to Buy in 2021,0.0,0.769,0.231,0.2023
49,LITE,2021-03-03,05:00PM,"Lumentum Announces Five and Six Junction VCSEL Array Products For Advanced Consumer, Automotive, and Other 3D Sensing Applications",0.0,0.895,0.105,0.25
