,ticker,date,time,headline,neg,neu,pos,compound
0,LNC,2021-04-08,02:02PM,Is LNC Stock A Buy or Sell?,0.0,1.0,0.0,0.0
1,LNC,2021-03-30,10:02AM,"Forget April Fools Day  Celebrate ""4/01(k) Day"" Instead",0.37,0.362,0.268,-0.1027
2,LNC,2021-03-26,03:23PM,AM Best Affirms Credit Ratings of Lincoln National Corporation and Its Subsidiaries,0.0,0.595,0.405,0.7783
3,LNC,2021-03-25,11:00AM,Lincoln Financial Group to Report First Quarter Earnings,0.0,1.0,0.0,0.0
4,LNC,2021-03-18,09:00AM,Retirement Leaders' Consortium Chooses SS&C to Support Guaranteed Income Solution,0.0,0.615,0.385,0.6124
5,LNC,2021-03-10,04:30PM,Lincoln Financial Group Names John Kennedy President of Lincoln Financial Distributors,0.0,1.0,0.0,0.0
6,LNC,2021-03-10,09:00AM,"As Investors Seek Protection and Growth, Lincoln Level Advantage® Tops Registered Index-linked Annuity Sales In 2020",0.0,0.704,0.296,0.7096
7,LNC,2021-03-09,03:23AM,Is Lincoln National Corporation's (NYSE:LNC) Shareholder Ownership Skewed Towards Insiders?,0.0,1.0,0.0,0.0
8,LNC,2021-03-08,09:00AM,More Women Report Prioritizing Day-to-Day Expenses Over Their Financial Future Because of the Pandemic,0.0,1.0,0.0,0.0
9,LNC,2021-03-05,11:30AM,Lincoln National (LNC) Up 13.5% Since Last Earnings Report: Can It Continue?,0.0,1.0,0.0,0.0
10,LNC,2021-03-04,10:11AM,Lincoln National (LNC) Collaborates to Address Retirement Needs,0.0,1.0,0.0,0.0
11,LNC,2021-03-03,09:00AM,"Leading Retirement Firms Launch ""Income America"" With In-Plan Target Date Series And A Lifetime Income Guarantee",0.0,0.875,0.125,0.25
12,LNC,2021-03-02,11:00AM,Lincoln Financial Group to Participate in the RBC Capital Markets Virtual Global Financials Conference,0.0,1.0,0.0,0.0
13,LNC,2021-02-23,01:54PM,Lincoln Invests to Preserve the Past and Advance the Future with The HistoryMakers and UNCF,0.0,1.0,0.0,0.0
14,LNC,2021-02-22,09:00AM,Latest Variable Universal Life Offerings from Lincoln Financial Provide New Options for Guaranteed Protection and Market Growth Opportunities,0.0,0.755,0.245,0.6369
15,LNC,2021-02-18,02:00PM,Nearly All Employed U.S. Adults Focused on Improving Finances as a Result of COVID-19,0.0,0.671,0.329,0.6597
16,LNC,2021-02-18,11:00AM,Lincoln National Corporation's Board of Directors Declares Quarterly Cash Dividend,0.0,1.0,0.0,0.0
17,LNC,2021-02-17,07:46AM,Pandemic-Induced Global Insurance Trends Could Signal Market Boom,0.0,1.0,0.0,0.0
