,ticker,date,time,headline,neg,neu,pos,compound
0,LOW,2021-04-13,05:50PM,Lowe's (LOW) Stock Sinks As Market Gains: What You Should Know,0.0,0.806,0.194,0.34
1,LOW,2021-04-13,01:55PM,Lowes makes a bigger play for pros with launch of new amenities,0.0,0.806,0.194,0.34
2,LOW,2021-04-13,09:00AM,Lowe's Introduces Enhanced Shopping Experience for Pro Customers With New Products and Services,0.0,1.0,0.0,0.0
3,LOW,2021-04-08,09:04AM,Here's How Much a $1000 Investment in Lowe's Made 10 Years Ago Would Be Worth Today,0.0,0.881,0.119,0.2263
4,LOW,2021-04-08,06:00AM,Influencers with Andy Serwer: Gerald Chertavian,0.0,1.0,0.0,0.0
5,LOW,2021-04-07,09:14AM,Here's How Much You'd Have If You Invested $1000 in Lowe's a Decade Ago,0.0,1.0,0.0,0.0
6,LOW,2021-04-07,09:00AM,Lowe's to Present at J.P. Morgan 7th Annual Retail Round-Up Virtual Conference,0.0,1.0,0.0,0.0
7,LOW,2021-04-05,01:33PM,Should You Invest in Lowes Companies (LOW),0.0,1.0,0.0,0.0
8,LOW,2021-04-05,11:17AM,Retail outlook: expect discretionary retail to take off,0.0,1.0,0.0,0.0
9,LOW,2021-04-01,09:31AM,Here's How Much a $1000 Investment in Lowe's Made 10 Years Ago Would Be Worth Today,0.0,0.881,0.119,0.2263
10,LOW,2021-03-30,09:58AM,"If You Invested $1000 in Lowe's 10 Years Ago, This Is How Much You'd Have Now",0.0,1.0,0.0,0.0
11,LOW,2021-03-29,07:43PM,Lowe's Prices $2 Billion Notes Offering,0.0,1.0,0.0,0.0
12,LOW,2021-03-29,12:36PM,"Ackman says capitalism is 'the most powerful potential source' for solving society's problems, touts ESG investing",0.178,0.564,0.258,0.4005
13,LOW,2021-03-26,11:30AM,Lowe's (LOW) Up 16.8% Since Last Earnings Report: Can It Continue?,0.0,1.0,0.0,0.0
14,LOW,2021-03-25,04:31PM,"Lowe's, IBD Stock Of The Day, In Buy Range As Renovation Boom Continues",0.0,1.0,0.0,0.0
15,LOW,2021-03-25,08:00AM,Lowe's Makes Home The Destination This Spring,0.0,1.0,0.0,0.0
16,LOW,2021-03-24,08:23AM,"If You Invested $1000 in Lowe's 10 Years Ago, This Is How Much You'd Have Now",0.0,1.0,0.0,0.0
17,LOW,2021-03-23,10:12AM,Lowe's (LOW) Rides on Solid Demand & E-commerce Offerings,0.165,0.659,0.176,0.0258
18,LOW,2021-03-22,05:09AM,Should You Be Adding Lowe's Companies (NYSE:LOW) To Your Watchlist Today?,0.0,1.0,0.0,0.0
19,LOW,2021-03-20,07:36PM,Is Lowes Companies (LOW) Stock A Buy or Sell?,0.0,1.0,0.0,0.0
20,LOW,2021-03-20,08:00AM,"U.S. Steel, Lowe's, Wayfair Lead Five Stocks Near Buy Points In Split Market Rally",0.0,1.0,0.0,0.0
21,LOW,2021-03-20,07:00AM,"Big Insider Stock Buys at Microsoft, Lowes, and Walmart",0.0,1.0,0.0,0.0
22,LOW,2021-03-19,04:30PM,"Lowe's Companies, Inc. Declares Cash Dividend",0.0,1.0,0.0,0.0
23,LOW,2021-03-18,09:00AM,Lowe's To Launch New Cordless Power Tool Innovation For Pros With Exclusive FLEX Offering,0.0,0.745,0.255,0.4767
24,LOW,2021-03-10,10:34AM,"GE stock sinks after proposing reverse stock split, confirming $30 billion AerCap deal",0.0,1.0,0.0,0.0
25,LOW,2021-03-10,09:00AM,"Habitat for Humanity International and Lowe's kick off most ambitious International Women Build Week ever with more than 300 projects across the United States, Canada and India",0.0,0.801,0.199,0.7346
26,LOW,2021-03-09,09:43PM,"RBAs Lowe Pushes Back Against Market, Sending Yields Lower",0.206,0.654,0.14,-0.1779
27,LOW,2021-03-09,04:59PM,"Lowe's Companies Canada, ULC -- Moody's announces completion of a periodic review of ratings of Lowe's Companies, Inc.",0.0,1.0,0.0,0.0
28,LOW,2021-03-09,09:48AM,Six Retailers That Can Win the Reopening,0.0,0.612,0.388,0.5859
29,LOW,2021-03-09,08:00AM,"Celebrating 100 Years: Lowe's Announces ""100 Hometowns,"" A Commitment To Give Back With 100 Community Impact Projects Nationwide",0.0,0.704,0.296,0.743
30,LOW,2021-03-08,02:56PM,Will rising mortgage rates derail the red-hot housing market?,0.216,0.784,0.0,-0.296
31,LOW,2021-03-07,06:02PM,Tony Zhang's 'Iron Condor' Trade On Lowe's,0.0,1.0,0.0,0.0
32,LOW,2021-03-07,07:40AM,Lowe's New Answer to an Old Problem,0.31,0.69,0.0,-0.4019
33,LOW,2021-03-06,04:09PM,Top Insider Buys Highlight for the Week of March 5,0.0,0.625,0.375,0.4939
34,LOW,2021-03-05,12:04PM,"Home Depot: To Get Rich Slowly, Believe in Yesterday",0.0,0.69,0.31,0.5574
35,LOW,2021-03-05,06:00AM,"Lowes Can Win the Reopening, Too. Its Stock Is a Buy.",0.0,0.703,0.297,0.5859
36,LOW,2021-03-04,11:45AM,5 Retailers Popular Among Gurus,0.0,0.517,0.483,0.4215
37,LOW,2021-03-03,11:48AM,5 Industrial Companies Boosting Earnings,0.0,0.556,0.444,0.34
38,LOW,2021-03-03,09:00AM,Lowe's to Webcast Presentation from the UBS Global Consumer & Retail Virtual Conference,0.0,1.0,0.0,0.0
39,LOW,2021-03-03,08:07AM,Lowe's closing stores on Easter Sunday,0.0,1.0,0.0,0.0
40,LOW,2021-03-03,08:00AM,"Lowe's Announces Stores will Close on Easter Sunday, April 4, for a Second Year",0.0,1.0,0.0,0.0
41,LOW,2021-02-25,02:15PM,Home Depot and Lowe's Will Thrive Beyond Covid-19,0.0,1.0,0.0,0.0
42,LOW,2021-02-25,06:00AM,'I don't' miss the glamour of Hollywood: Legendary Entertainment founder,0.198,0.499,0.303,0.12
43,LOW,2021-02-24,02:01PM,Lowe's (LOW) Q4 2020 Earnings Call Transcript,0.0,1.0,0.0,0.0
44,LOW,2021-02-24,12:58PM,"Home Depot Stock Is a Buy Right Now, Analyst Says. Heres Why.",0.0,1.0,0.0,0.0
45,LOW,2021-02-24,12:44PM,"LEB Holdings (USA), Inc. -- Moody's upgrades Barrette Outdoor Living's term loan rating to B2 following add-on",0.0,1.0,0.0,0.0
46,LOW,2021-02-24,11:10AM,Lowe's 4th-Quarter Results: Looking Beyond the Numbers,0.0,1.0,0.0,0.0
47,LOW,2021-02-24,09:59AM,"Dow Jones Today, Stocks Sag Ahead Of Powell, Day 2; J&J Jumps On FDA Vaccine Comments",0.0,1.0,0.0,0.0
48,LOW,2021-02-24,09:27AM,"T.J. Maxx parent company misses, Lowes same-store sales jump 28%",0.174,0.826,0.0,-0.2263
49,LOW,2021-02-24,09:08AM,Lowes Stock Rises on Robust Earnings. Its Outlook Was Upbeat.,0.0,0.789,0.211,0.34
50,LOW,2021-02-24,08:58AM,Stock Market Today With Jim Cramer: The Phenomenon of Cathie Wood,0.0,1.0,0.0,0.0
51,LOW,2021-02-24,08:49AM,US STOCKS-Wall Street set to open higher as tech sell-off cools,0.0,1.0,0.0,0.0
52,LOW,2021-02-24,08:46AM,Lowes Surpasses 4Q Estimates; Plans $9B Share Buyback In 2021,0.321,0.532,0.146,-0.5622
53,LOW,2021-02-24,06:10AM,UPDATE 2-Lowe's scores home run as quarterly sales hold above $20 billion,0.0,1.0,0.0,0.0
54,LOW,2021-02-24,06:09AM,"Lowe's beats profit expectations as same-store sales jump 28%, plans $9 billion in share buybacks in 2021",0.0,0.746,0.254,0.6249
55,LOW,2021-02-24,01:09AM,"Lowe's Tops Q4 Earnings Forecast, Repeats 2021 Profit Guidance",0.0,0.53,0.47,0.7351
