,ticker,date,time,headline,neg,neu,pos,compound
0,MAA,2021-04-13,06:45AM,"The Zacks Analyst Blog Highlights: Mid-America Apartment Communities, UDR, AvalonBay Communities, Equity Residential and Essex Property Trust",0.0,0.829,0.171,0.5106
1,MAA,2021-04-05,04:46PM,"MAA Announces Date of First Quarter 2021 Earnings Release, Conference Call",0.0,1.0,0.0,0.0
2,MAA,2021-04-01,12:33PM,Here's Why You Should Hold on to Mid-America Apartment (MAA) Stock,0.0,1.0,0.0,0.0
3,MAA,2021-03-23,04:15PM,MAA Announces Quarterly Common Dividend,0.0,1.0,0.0,0.0
4,MAA,2021-03-08,09:00AM,3 Apartment REITs to Buy in March,0.0,1.0,0.0,0.0
5,MAA,2021-03-05,08:36PM,MAA to Present at the 2021 Citi Virtual Global Property CEO Conference,0.0,1.0,0.0,0.0
6,MAA,2021-03-05,11:30AM,Mid-America Apartment Communities (MAA) Down 1.6% Since Last Earnings Report: Can It Rebound?,0.0,1.0,0.0,0.0
7,MAA,2021-03-01,04:21PM,MAA Announces Regular Quarterly Preferred Dividend,0.0,1.0,0.0,0.0
8,MAA,2021-02-25,01:00PM,3 Apartment REITs to Buy Right Now,0.0,1.0,0.0,0.0
9,MAA,2021-02-20,01:00PM,Why This REIT Is Betting on a Sun Belt Boom,0.0,1.0,0.0,0.0
10,MAA,2021-02-09,09:45AM,This is how you can rent an apartment without a security deposit,0.169,0.831,0.0,-0.2584
11,MAA,2021-02-04,10:31PM,Mid-America Apartment Communities Inc (MAA) Q4 2020 Earnings Call Transcript,0.0,1.0,0.0,0.0
12,MAA,2021-02-04,12:09PM,"Mid-America Apartment (MAA) Tops on Q4 FFO, Issues '21 View",0.0,0.732,0.268,0.5106
13,MAA,2021-02-04,07:45AM,"Mid-America Apartment Communities, Inc. to Host Earnings Call",0.0,1.0,0.0,0.0
14,MAA,2021-02-03,06:15PM,Mid-America Apartment Communities (MAA) Q4 FFO and Revenues Top Estimates,0.0,0.833,0.167,0.2023
15,MAA,2021-02-03,04:50PM,MAA Reports Fourth Quarter And Full Year Results,0.0,1.0,0.0,0.0
16,MAA,2021-02-03,10:22AM,"Zacks Industry Outlook Highlights: Mid-America Apartment Communities, AvalonBay Communities and RealPage",0.0,1.0,0.0,0.0
17,MAA,2021-02-01,11:32AM,What's in Store for Mid-America Apartment's (MAA) Q4 Earnings?,0.0,1.0,0.0,0.0
18,MAA,2021-01-28,10:00AM,Better Buy: Mid-America Apartment Communities vs. American Homes 4 Rent,0.0,0.734,0.266,0.4404
19,MAA,2021-01-19,04:15PM,MAA Announces Taxable Composition of 2020 Distributions,0.0,1.0,0.0,0.0
20,MAA,2021-01-14,05:59AM,"Zacks Industry Outlook Highlights: Mid-America Apartment Communities, American Homes 4 Rent and Preferred Apartment Communities and RealPage",0.0,1.0,0.0,0.0
21,MAA,2021-01-13,11:16AM,3 Residential REIT Stocks Struggling to Escape Pandemic Blues,0.267,0.571,0.162,-0.2732
22,MAA,2021-01-07,05:01PM,"MAA Announces Date of Fourth Quarter and Full-Year 2020 Earnings Release, Conference Call",0.0,1.0,0.0,0.0
23,MAA,2021-01-06,09:26AM,Is it Wise to Hold On to Mid-America Apartment (MAA) Now?,0.0,0.763,0.237,0.4767
24,MAA,2020-12-27,11:00AM,Better Buy: Mid-America Apartment Communities vs. American Homes 4 Rent,0.0,0.734,0.266,0.4404
25,MAA,2020-12-23,07:13AM,"Tech Companies Are Fleeing Silicon Valley, and These 3 Stocks Could Be Big Winners",0.0,0.795,0.205,0.4767
26,MAA,2020-12-21,03:12PM,A Deep Dive Into nCino and the Silicon Valley Tech Exodus,0.0,1.0,0.0,0.0
27,MAA,2020-12-21,03:15AM,"Does Mid-America Apartment Communities, Inc.'s (NYSE:MAA) Weak Fundamentals Mean A Downturn In Its Stock Should Be Expected?",0.162,0.838,0.0,-0.4404
28,MAA,2020-12-09,11:00AM,The 3 Safest REITs to Buy Right Now,0.0,0.69,0.31,0.4019
29,MAA,2020-12-08,04:15PM,MAA Announces Increase to Quarterly Common Dividend,0.0,0.723,0.277,0.3182
30,MAA,2020-12-05,05:00PM,3 Apartment REITs to Buy in December,0.0,1.0,0.0,0.0
31,MAA,2020-12-01,04:15PM,MAA Announces Regular Quarterly Preferred Dividend,0.0,1.0,0.0,0.0
32,MAA,2020-11-16,06:27PM,MAA to Present at Nareit's REITworld: 2020 Annual Conference,0.0,1.0,0.0,0.0
33,MAA,2020-11-05,10:19AM,Did You Participate In Any Of Mid-America Apartment Communities' (NYSE:MAA) Respectable 74% Return?,0.0,0.805,0.195,0.4404
34,MAA,2020-10-30,05:30AM,Mid-America Apartment Communities Inc (MAA) Q3 2020 Earnings Call Transcript,0.0,1.0,0.0,0.0
35,MAA,2020-10-29,10:04AM,Mid-America Apartment (MAA) Q3 FFO & Revenues Top Estimates,0.0,0.795,0.205,0.2023
36,MAA,2020-10-29,08:00AM,"Mid-America Apartment Communities, Inc. to Host Earnings Call",0.0,1.0,0.0,0.0
