,ticker,date,time,headline,neg,neu,pos,compound
0,MMM,2021-04-13,06:00PM,3M announces upcoming investor event,0.0,1.0,0.0,0.0
1,MMM,2021-04-08,08:30AM,Honeywell pledges carbon neutrality by 2035,0.0,1.0,0.0,0.0
2,MMM,2021-04-05,09:37AM,Why Shares in 3M Rose 10.1% in March,0.0,0.761,0.239,0.296
3,MMM,2021-04-05,08:07AM,New 3M silicone adhesive helps improve medical devices intended for people with fragile skin,0.0,0.686,0.314,0.6705
4,MMM,2021-04-04,09:09AM,3 Dividend Stocks You Can Safely Hold for Decades,0.0,0.686,0.314,0.4939
5,MMM,2021-04-04,06:30AM,3 Dividend Stocks That Should Pay You the Rest of Your Life,0.123,0.877,0.0,-0.1027
6,MMM,2021-04-01,09:24AM,3M Launches Analytics Platform that Integrates Social and Clinical Risk Data to Improve Population Health,0.117,0.722,0.161,0.2023
7,MMM,2021-04-01,07:07AM,3 Dividend Aristocrats to Buy and Hold Forever,0.0,1.0,0.0,0.0
8,MMM,2021-03-25,03:18PM,3 Dividend Aristocrats Providing Safe and Reliable Income,0.0,0.674,0.326,0.4404
9,MMM,2021-03-25,08:41AM,3M Stock Is Still Cheap Amid Uncertainty at the Start of 2021,0.179,0.821,0.0,-0.34
10,MMM,2021-03-24,10:45AM,Is 3M (MMM) Stock A Buy or Sell?,0.0,1.0,0.0,0.0
11,MMM,2021-03-24,04:00AM,How Many 3M Company (NYSE:MMM) Shares Do Institutions Own?,0.0,0.784,0.216,0.296
12,MMM,2021-03-23,09:01AM,Looking Into 3M's Return On Capital Employed,0.0,1.0,0.0,0.0
13,MMM,2021-03-23,08:50AM,What Does 3M's Debt Look Like?,0.278,0.444,0.278,0.0
14,MMM,2021-03-19,09:02AM,2 Stocks to Buy With Dividends Yielding More Than 3%,0.0,1.0,0.0,0.0
15,MMM,2021-03-19,08:01AM,"The Zacks Analyst Blog Highlights: Novo Nordisk, NextEra Energy, 3M Co, General Motors and U.S. Bancorp",0.0,0.877,0.123,0.2732
16,MMM,2021-03-18,03:07PM,ETF looks to help private sector address womens issues,0.0,0.748,0.252,0.4019
17,MMM,2021-03-17,11:55AM,10 Best Industrial Dividend Stocks For 2021,0.0,0.588,0.412,0.6369
18,MMM,2021-03-10,09:45AM,Michigan Medicine Awards Contract to 3M for Complete Suite of AI-powered Clinician and Revenue Cycle Technology,0.0,0.833,0.167,0.4588
19,MMM,2021-03-08,09:35AM,Post-it® App Partners with Miro To Help Teams Create More Great Ideas Everywhere,0.0,0.521,0.479,0.8479
20,MMM,2021-03-06,06:50PM,15 Most Reputable Companies In the World,0.0,1.0,0.0,0.0
21,MMM,2021-03-06,08:15AM,Is 3M a Great Dividend Stock?,0.0,0.494,0.506,0.6249
