,ticker,date,time,headline,neg,neu,pos,compound
0,MRO,2021-04-14,07:45AM,"U.S. Shale Oil Output Rising, Permian to Hit 1-Year High",0.0,1.0,0.0,0.0
1,MRO,2021-04-06,07:24AM,"The Zacks Analyst Blog Highlights: Marathon Oil, Occidental Petroleum, Diamondback Energy, EOG Resources and Devon Energy",0.0,0.769,0.231,0.4939
2,MRO,2021-04-06,06:45AM,What Kind Of Shareholders Hold The Majority In Marathon Oil Corporation's (NYSE:MRO) Shares?,0.0,0.845,0.155,0.296
3,MRO,2021-04-06,05:47AM,"Oil & Gas Stock Roundup: Exxon & Conoco Q1 Updates, Pioneer's Acquisition & More",0.0,1.0,0.0,0.0
4,MRO,2021-04-05,08:11AM,These Are the Best Performing S&P 500 Energy Stocks of Q1,0.0,0.588,0.412,0.743
5,MRO,2021-04-01,12:44PM,Marathon Oil (MRO) to Redeem $500M Senior Notes to Ease Debt Load,0.167,0.667,0.167,0.0
6,MRO,2021-04-01,12:44PM,Callon (CPE) Adopts New ESG Initiatives to Reduce Emissions,0.0,0.825,0.175,0.1779
7,MRO,2021-04-01,08:16AM,OPEC+ Likely to Extend Production Cuts Today: Here's Why,0.202,0.642,0.156,-0.128
8,MRO,2021-03-30,05:07PM,Marathon Oil Announces $500 Million Gross Debt Reduction,0.483,0.517,0.0,-0.6808
9,MRO,2021-03-29,07:30AM,"The Zacks Analyst Blog Highlights: Marathon Oil, Occidental Petroleum, Diamondback Energy, EOG Resources and Devon Energy",0.0,0.769,0.231,0.4939
10,MRO,2021-03-24,11:30AM,Marathon Oil (MRO) Down 8.9% Since Last Earnings Report: Can It Rebound?,0.0,1.0,0.0,0.0
11,MRO,2021-03-23,04:09PM,"Baytex Energy Corp. -- Moody's affirms Baytex's ratings, changes outlook to stable",0.0,0.699,0.301,0.5106
12,MRO,2021-03-18,04:25PM,The SPY Was Down Today. Here's Why.,0.0,1.0,0.0,0.0
13,MRO,2021-03-17,05:01PM,Holli Ladhani elected to Marathon Oil Corporation Board of Directors,0.0,1.0,0.0,0.0
14,MRO,2021-03-16,12:55PM,"Energy sector suffers broad selloff, as NOV's stock tumble and crude oil decline weigh",0.342,0.553,0.106,-0.6908
15,MRO,2021-03-12,06:20AM,Should You Invest in the First Trust Natural Gas ETF (FCG)?,0.0,0.608,0.392,0.7003
16,MRO,2021-03-09,10:09AM,"How these teens are having fun in todays stock market, and, for the most part, making money",0.0,0.829,0.171,0.5106
17,MRO,2021-03-08,02:02PM,"Marathon Oil Stock Is a Winner, But How Much Higher Can It Go?",0.0,0.743,0.257,0.5859
18,MRO,2021-03-08,05:57AM,"The Zacks Analyst Blog Highlights: Diamondback Energy, EOG Resources, Marathon Oil, APA Corp and Hess Corp",0.0,0.877,0.123,0.2732
19,MRO,2021-03-05,08:17AM,Oil Soars on OPEC+ Surprise: Energy Stocks Post Big Gains,0.0,0.515,0.485,0.6808
20,MRO,2021-03-05,02:47AM,"Premarket Movers Friday - Broadcom, Marathon Oil, Tesla, Vroom",0.0,1.0,0.0,0.0
21,MRO,2021-03-04,12:01PM,Oil Prices Are Spiking. One Analyst Thinks the Rally Could End.,0.0,1.0,0.0,0.0
22,MRO,2021-03-01,08:00PM,3 Ways To Play The Next Commodity Supercycle,0.0,0.714,0.286,0.34
23,MRO,2021-03-01,07:51AM,5 Energy Stocks That Gave S&P 500 a Big Boost in February,0.0,0.625,0.375,0.5859
24,MRO,2021-02-26,06:22PM,"Two Stocks Turned $10,000 Into $21,109 In Two Months",0.0,1.0,0.0,0.0
25,MRO,2021-02-24,08:09AM,This Oil Stock Expects to Produce a Cash Flow Gusher in 2021 and Beyond,0.0,1.0,0.0,0.0
26,MRO,2021-02-23,07:01PM,Marathon Oil (MRO) Q4 2020 Earnings Call Transcript,0.0,1.0,0.0,0.0
27,MRO,2021-02-23,02:58PM,"Marathon Oil stock surges to pace S&P 500 gainers after upbeat earnings, outlook",0.0,1.0,0.0,0.0
28,MRO,2021-02-22,04:54PM,Marathon Oil: Q4 Earnings Insights,0.0,1.0,0.0,0.0
