,ticker,date,time,headline,neg,neu,pos,compound
0,MS,2021-04-14,05:52AM,This Startup Is Building a Chip to Save Traders Vital Microseconds,0.0,0.597,0.403,0.6597
1,MS,2021-04-13,09:24PM,Singapores Grab to List in U.S. in $40 Billion SPAC Deal,0.0,1.0,0.0,0.0
2,MS,2021-04-13,08:12PM,"Covid Test Maker Cue Health Taps Morgan Stanley, Goldman for IPO",0.0,1.0,0.0,0.0
3,MS,2021-04-13,02:09PM,Bank stocks rally is not over: analyst,0.0,1.0,0.0,0.0
4,MS,2021-04-13,01:11PM,Wells Fargo research analyst gives 6 reasons why he's bullish on bank stocks,0.0,0.846,0.154,0.25
5,MS,2021-04-13,11:30AM,Is Morgan Stanley (MS) Stock Outpacing Its Finance Peers This Year?,0.0,1.0,0.0,0.0
6,MS,2021-04-13,09:09AM,Here's How the Banks in the Archegos Blowup Fared,0.0,1.0,0.0,0.0
7,MS,2021-04-13,09:00AM,"Morgan Stanley Announces Commitment to Mobilize $1Trillion to Support Sustainability Solutions by 2030, including $750 Billion of Low-Carbon Solutions",0.0,0.633,0.367,0.7717
8,MS,2021-04-12,09:07PM,BeeBank & Brokerage Wins 2021 Kellogg-Morgan Stanley Sustainable Investing Challenge,0.0,0.583,0.417,0.6124
9,MS,2021-04-12,04:02PM,Eaton Vance New York Municipal Income Trust Announces Board Approval of Plan of Liquidation and Termination,0.0,0.686,0.314,0.7506
10,MS,2021-04-12,03:39PM,Oil Pares Gains With Demand Uncertainty Holding Rally Back,0.317,0.488,0.195,-0.128
11,MS,2021-04-12,01:55PM,Ecuador Bonds Soar as Millionaire Banker Wins Presidency,0.0,0.654,0.346,0.5719
12,MS,2021-04-12,08:00AM,Morgan Stanley Announces Inaugural Alliance for Childrens Mental Health Innovation Awards,0.0,0.616,0.384,0.6808
13,MS,2021-04-12,06:19AM,Morgan Stanley India M&A Head Joins Alta Capital,0.0,1.0,0.0,0.0
14,MS,2021-04-11,09:45PM,Didi Chuxing Has Filed Confidentially for U.S. IPO,0.0,1.0,0.0,0.0
15,MS,2021-04-11,09:10PM,"LG, SK Reach $1.8 Billion Settlement to End EV Battery Spat",0.0,0.901,0.099,0.0258
16,MS,2021-04-11,12:20PM,"Bank earnings, retail sales: What to know this week",0.0,1.0,0.0,0.0
17,MS,2021-04-11,05:00AM,"Week ahead: UK GDP, US retail sales, Eurozone inflation, China trade data",0.0,1.0,0.0,0.0
18,MS,2021-04-09,12:30PM,Morgan Stanley (MS) Earnings Expected to Grow: What to Know Ahead of Next Week's Release,0.0,1.0,0.0,0.0
19,MS,2021-04-09,05:48AM,Chinas Didi Raises $1.5 Billion in Debt Ahead of IPO,0.217,0.783,0.0,-0.3612
20,MS,2021-04-08,08:58AM,"Morgan Stanley (MS): Strong Industry, Solid Earnings Estimate Revisions",0.0,0.588,0.412,0.5994
21,MS,2021-04-08,08:05AM,Morgan Stanley hires UBS banker Greco to head Italy financial services M&A - sources,0.0,1.0,0.0,0.0
22,MS,2021-04-08,04:32AM,Amazon Reveals Scorching India Growth as Walmart Fight Deepens,0.202,0.465,0.333,0.1779
23,MS,2021-04-07,07:01PM,Credit Suisse faces battle to win back trust after Archegos and Greensill,0.128,0.394,0.478,0.7964
24,MS,2021-04-07,09:03AM,JPMorgan CEO: Brexit 'cannot possibly be a positive' for UK in short term,0.21,0.79,0.0,-0.4449
25,MS,2021-04-06,09:47PM,Hon Hai Revenue Jumps 44% on Stay-at-Home Demand for Gadgets,0.143,0.857,0.0,-0.128
26,MS,2021-04-06,08:17PM,Morgan Stanley Sold Part of Archegos Holdings Before Most Rivals,0.0,1.0,0.0,0.0
27,MS,2021-04-06,04:08PM,UPDATE 2-Morgan Stanley dumped $5 bln in Archegos stock night before fire sale -CNBC,0.298,0.702,0.0,-0.6249
28,MS,2021-04-06,03:37PM,Morgan Stanley dumped $5 billion in Archegos stock night before fire sale: CNBC,0.317,0.683,0.0,-0.6249
29,MS,2021-04-06,03:43AM,Credit Suisse warns Archegos Capital blowup will cost it £3.4bn,0.117,0.667,0.217,0.296
30,MS,2021-04-05,04:16PM,Facebook Hits Record as Megacap Tech Stocks March Higher,0.0,1.0,0.0,0.0
