,ticker,date,time,headline,neg,neu,pos,compound
0,NEE,2021-04-13,08:16AM,2 Stocks Building the Next Generation Energy Grid,0.0,0.741,0.259,0.2732
1,NEE,2021-04-09,05:45PM,NextEra Energy (NEE) Gains But Lags Market: What You Should Know,0.167,0.533,0.3,0.25
2,NEE,2021-04-08,07:33AM,"The Zacks Analyst Blog Highlights: Salesforce, Citigroup, Royal Dutch Shell, NextEra Energy and Charles Schwab",0.0,0.87,0.13,0.2732
3,NEE,2021-04-07,06:30AM,"NextEra Energy Partners, LP announces date for release of first-quarter 2021 financial results",0.0,0.851,0.149,0.2732
4,NEE,2021-04-07,06:30AM,NextEra Energy announces date for release of first-quarter 2021 financial results,0.0,0.826,0.174,0.2732
5,NEE,2021-04-06,09:02AM,2 ESG Stocks to Buy Right Now,0.0,1.0,0.0,0.0
6,NEE,2021-04-04,08:00PM,Hydrogen: the future of electricity storage?,0.0,1.0,0.0,0.0
7,NEE,2021-04-04,11:04AM,"Forget the Fourth Stimulus Check, These 3 Energy Dividend Aristocrats Will Pay You for Life",0.201,0.671,0.128,-0.0516
8,NEE,2021-04-04,05:51AM,5 Safe Stocks to Buy for a Biden Bull Market,0.0,0.707,0.293,0.4404
9,NEE,2021-04-01,09:47AM,3 Infrastructure Stocks to Buy Right Now,0.0,1.0,0.0,0.0
10,NEE,2021-04-01,07:59AM,"The Zacks Analyst Blog Highlights: NextEra Energy, Enphase, General Electric, AES Corp and Siemens",0.0,0.861,0.139,0.2732
11,NEE,2021-03-31,04:15PM,NextEra Energy Transmission completes acquisition of independent transmission company,0.0,0.792,0.208,0.2732
12,NEE,2021-03-31,08:17AM,U.S. Battery Storage Market Set to Boom: Stocks to Gain,0.0,0.726,0.274,0.5267
13,NEE,2021-03-31,05:35AM,3 Great Stocks for Low-Risk Investors,0.0,0.494,0.506,0.6249
14,NEE,2021-03-30,05:45PM,NextEra Energy (NEE) Dips More Than Broader Markets: What You Should Know,0.0,0.84,0.16,0.2732
15,NEE,2021-03-28,10:31AM,Better Buy: NextEra Energy vs. SolarEdge Technologies,0.0,0.5,0.5,0.6124
16,NEE,2021-03-27,02:06PM,3 Stocks Poised for Huge Growth Over the Next Decade,0.0,0.465,0.535,0.7096
17,NEE,2021-03-25,05:51AM,3 Perfect Stocks to Buy If the Stock Market Crashes,0.0,0.684,0.316,0.5719
