,ticker,date,time,headline,neg,neu,pos,compound
0,NOC,2021-04-13,12:15PM,10 Best Robotics Stocks For 2021,0.0,0.543,0.457,0.6369
1,NOC,2021-04-12,11:24PM,Biden Reassures Chip Summit of Bipartisan Support for Funds,0.0,0.574,0.426,0.6369
2,NOC,2021-04-12,03:52PM,Northrop Grumman and Intelsat Make History with Docking of Second Mission Extension Vehicle to Extend Life of Satellite,0.0,0.909,0.091,0.1779
3,NOC,2021-04-01,06:22AM,"Defense Stock Roundup: LMT, NOC Win Big Contracts, AIR Beats on Q3 Earnings",0.0,0.675,0.325,0.6486
4,NOC,2021-03-29,02:56PM,Is NOC Stock A Buy or Sell?,0.0,1.0,0.0,0.0
5,NOC,2021-03-29,06:09AM,Are Institutions Heavily Invested In Northrop Grumman Corporation's (NYSE:NOC) Shares?,0.0,0.804,0.196,0.296
6,NOC,2021-03-25,03:23PM,You Can't Buy SpaceX Yet But These Space Stocks Are Up For Grabs,0.0,1.0,0.0,0.0
7,NOC,2021-03-25,09:17AM,Lockheed (LMT) and Northrop Win $7.6B Missile Contracts,0.0,0.648,0.352,0.5859
8,NOC,2021-03-25,09:00AM,"Northrop Grumman Announces Webcast, Conference Call of First Quarter 2021 Financial Results",0.0,1.0,0.0,0.0
9,NOC,2021-03-25,08:46AM,Lockheed and Northrop Beat Out Boeing to Land Multibillion Dollar Pentagon Contract,0.0,1.0,0.0,0.0
10,NOC,2021-03-24,04:23PM,Boeing Shut Out From First Big Defense Deal Under Biden,0.0,0.857,0.143,0.128
11,NOC,2021-03-24,11:03AM,Lockheed And Northrop Grumman Receive Contracts For Missile Defense Program,0.0,0.857,0.143,0.128
12,NOC,2021-03-23,07:19PM,Northrop Grumman-Led Team Selected by the Missile Defense Agency for Next Generation Interceptor Program,0.0,0.897,0.103,0.128
13,NOC,2021-03-23,05:06PM,UPDATE 2-Northrop and Lockheed win missile defense contracts valued at up to $7.6 bln,0.0,0.573,0.427,0.802
14,NOC,2021-03-22,12:09PM,Is Northrop Grumman (NOC) A Smart Long-Term Buy?,0.0,0.69,0.31,0.4019
15,NOC,2021-03-17,11:55AM,10 Best Industrial Dividend Stocks For 2021,0.0,0.588,0.412,0.6369
16,NOC,2021-03-17,09:20AM,Northrop Grumman (NOC) Unit Wins $82M Deal to Aid Triton UAS,0.0,0.73,0.27,0.5719
17,NOC,2021-03-15,08:30AM,5 Aerospace Stocks That Will Take Flight Soon,0.0,1.0,0.0,0.0
18,NOC,2021-03-11,02:40PM,"5 Stocks Set to Drop and 5 That Could Pop, According to Citi",0.174,0.826,0.0,-0.2732
19,NOC,2021-03-05,09:40AM,Is Northrop Grumman (NOC) a Suitable Stock for Value Investors?,0.0,0.769,0.231,0.34
20,NOC,2021-03-04,07:00AM,4 Aerospace-Defense Stocks to Watch as Low Air Traffic Concerns Loom,0.333,0.667,0.0,-0.4588
21,NOC,2021-03-02,04:59AM,Is It Time To Consider Buying Sanmina Corporation (NASDAQ:SANM)?,0.0,1.0,0.0,0.0
22,NOC,2021-03-01,03:11PM,'We've always been good at picking market niches': Rocket Lab CEO,0.0,0.775,0.225,0.4404
23,NOC,2021-02-27,11:30AM,Northrop Grumman (NOC) Down 0.5% Since Last Earnings Report: Can It Rebound?,0.0,1.0,0.0,0.0
24,NOC,2021-02-21,03:21AM,"Northrop Grumman Corporation (NYSE:NOC) Looks Interesting, And It's About To Pay A Dividend",0.099,0.709,0.191,0.3182
25,NOC,2021-02-19,06:40AM,"You Can't Buy SpaceX Yet, But These Out-Of-This-World Space Stocks Are Up For Grabs",0.0,1.0,0.0,0.0
26,NOC,2021-02-18,05:07PM,Lockheed Martin's Aerojet Rocketdyne Acquisition Threatened by Raytheon Complaint,0.426,0.574,0.0,-0.6369
27,NOC,2021-02-18,04:37PM,"Perseverance Mars Rover Lands As Search For Life, Aviation Milestone Await",0.0,0.877,0.123,0.1027
28,NOC,2021-02-17,02:00PM,Raytheon Will Challenge Lockheed/Aerojet Deal,0.0,0.755,0.245,0.0772
29,NOC,2021-02-16,06:37PM,Northrop Grumman Board Declares Quarterly Dividend,0.0,1.0,0.0,0.0
30,NOC,2021-02-14,10:07AM,"U.S. Space Force Dumps Northrop and Blue Origin in Favor of Boeing, Lockheed, and SpaceX",0.147,0.707,0.147,0.0
31,NOC,2021-02-10,10:00AM,Northrop Grumman to Participate in Citis 2021 Global Industrials Virtual Conference,0.0,1.0,0.0,0.0
32,NOC,2021-02-09,09:30AM,"Defense Stock Roundup: TGI Beats on Q3 Earnings, LHX Hikes Dividend",0.0,0.87,0.13,0.128
33,NOC,2021-02-08,03:01PM,Northrop Grumman Continues to Impress,0.0,0.58,0.42,0.4404
34,NOC,2021-02-05,10:02AM,More companies than usual are beating earnings estimates  and sales numbers are just as bullish for the stock market,0.143,0.857,0.0,-0.4588
35,NOC,2021-02-04,01:54PM,The Best Defense Stocks For Today  And The Future,0.0,0.551,0.449,0.6908
36,NOC,2021-02-04,01:09AM,Sanmina Corporation (NASDAQ:SANM) Just Released Its First-Quarter Earnings: Here's What Analysts Think,0.0,1.0,0.0,0.0
37,NOC,2021-02-03,08:15AM,Northrop Announces $2B Accelerated Share Repurchase Agreement,0.0,0.481,0.519,0.6597
38,NOC,2021-02-02,04:47PM,"Northrop Grumman Corporation -- Moody's: Modest debt reduction, minimal deleveraging by Northrop Grumman post-closing of the sale of its IT operations",0.111,0.889,0.0,-0.3612
39,NOC,2021-02-02,04:01PM,Sanmina Reports First Quarter Fiscal 2021 Financial Results,0.0,1.0,0.0,0.0
40,NOC,2021-02-02,02:45PM,Sanmina Corp. to Host Earnings Call,0.0,1.0,0.0,0.0
41,NOC,2021-02-02,10:00AM,Northrop Grumman to Participate in Cowens 42nd Annual Aerospace/Defense & Industrials Conference,0.0,1.0,0.0,0.0
42,NOC,2021-02-02,09:41AM,"Company News for Feb 2, 2021",0.0,1.0,0.0,0.0
43,NOC,2021-02-02,03:50AM,Calculating The Fair Value Of Northrop Grumman Corporation (NYSE:NOC),0.0,0.598,0.402,0.5719
44,NOC,2021-02-01,04:05PM,Northrop Grumman Announces $1.5 Billion Debt Redemption,0.294,0.706,0.0,-0.3612
45,NOC,2021-02-01,09:00AM,Northrop Grumman Completes Sale of IT Services Business to Veritas Capital for $3.4 Billion,0.0,1.0,0.0,0.0
46,NOC,2021-02-01,08:45AM,Sanmina Corporation's (NASDAQ:SANM) Stock is Soaring But Financials Seem Inconsistent: Will The Uptrend Continue?,0.0,1.0,0.0,0.0
47,NOC,2021-02-01,06:52AM,Northrop Grumman unveils $2 billion accelerated share buyback deal with Goldman Sachs,0.0,0.833,0.167,0.296
48,NOC,2021-02-01,06:44AM,Northrop Grumman Announces $2 Billion Accelerated Share Repurchase Agreement,0.0,0.565,0.435,0.6597
49,NOC,2021-01-29,09:44AM,"Company News for Jan 29, 2021",0.0,1.0,0.0,0.0
50,NOC,2021-01-28,09:31PM,Northrop Grumman (NOC) Q4 2020 Earnings Call Transcript,0.0,1.0,0.0,0.0
51,NOC,2021-01-28,10:03AM,"Northrop Grumman (NOC) Q4 Earnings Beat, Revenues Rise Y/Y",0.0,1.0,0.0,0.0
52,NOC,2021-01-28,07:55AM,Northrop Grumman (NOC) Q4 Earnings and Revenues Surpass Estimates,0.0,1.0,0.0,0.0
53,NOC,2021-01-28,07:38AM,Northrop Grumman: Q4 Earnings Insights,0.0,1.0,0.0,0.0
54,NOC,2021-01-28,06:45AM,"Northrop Grumman reports big profit, sales beats but provides downbeat outlook",0.0,0.837,0.163,0.2382
55,NOC,2021-01-28,06:39AM,Northrop Grumman Releases Fourth Quarter and Full-Year 2020 Financial Results,0.0,1.0,0.0,0.0
56,NOC,2021-01-26,04:34PM,Lockheed Martin Sees Hypersonic Weapons Growth Soaring But Guides 2021 Profit Low,0.27,0.432,0.297,0.128
57,NOC,2021-01-26,04:30PM,Sanmina Corporation Invites You to Join its First Quarter Fiscal 2021 Earnings Conference Call,0.0,0.855,0.145,0.296
58,NOC,2021-01-25,09:11AM,Northrop Grumman (NOC) to Report Q4 Earnings: What's in Store?,0.0,1.0,0.0,0.0
59,NOC,2021-01-22,09:48PM,28 Barrons Roundtable Picks to Beat the Market,0.0,1.0,0.0,0.0
60,NOC,2021-01-19,04:08PM,Massive Rocket's Anticlimactic Test Adds Pressure On Boeing Space Programs,0.196,0.804,0.0,-0.296
61,NOC,2021-01-17,07:38PM,16 Best Space Stocks to Buy Now,0.0,0.588,0.412,0.6369
62,NOC,2021-01-14,08:23PM,5 Stocks That Could Benefit From ARKs Planned Space ETF,0.0,0.727,0.273,0.4588
63,NOC,2021-01-14,04:31PM,"Virgin Galactic Rival Blue Origin Gets 'Very, Very Close' To Crewed Flight",0.0,1.0,0.0,0.0
64,NOC,2021-01-14,02:34PM,Northrop Grumman Offers Tremendous Value,0.0,0.625,0.375,0.34
65,NOC,2021-01-13,01:42PM,NOC Stock: Is Northrop Grumman A Buy In January 2021?,0.0,1.0,0.0,0.0
66,NOC,2021-01-08,09:55AM,Lockheed Martin: A Solid Offer for Aerojet's Solid Rocket Business,0.0,0.686,0.314,0.296
67,NOC,2021-01-06,08:30AM,Hari Pillai Rejoins Sanmina as President of Components Technology,0.0,1.0,0.0,0.0
68,NOC,2021-01-06,05:09AM,Is Sanmina Corporation (NASDAQ:SANM) Worth US$32.6 Based On Its Intrinsic Value?,0.0,0.677,0.323,0.5106
69,NOC,2021-01-05,10:47AM,Lockheed (LMT) Wins $4.9B Deal to Develop Space Vehicles,0.0,0.684,0.316,0.5719
70,NOC,2021-01-02,05:26PM,10 Best Defense Stocks To Buy For 2021,0.0,0.513,0.487,0.6908
71,NOC,2020-12-31,04:07PM,Key Decision On Lockheed's Top Money Maker Stuck In Limbo,0.169,0.678,0.153,-0.0516
72,NOC,2020-12-31,08:41AM,Lockheed Martin's (LMT) Unit Wins $1.29B Deal for F-35 Jet,0.0,0.709,0.291,0.5719
73,NOC,2020-12-30,09:03AM,Boeing (BA) Wins Deal to Support MQ-25 Air Vehicle Program,0.0,0.556,0.444,0.7506
74,NOC,2020-12-28,04:29AM,Should We Be Delighted With Northrop Grumman Corporation's (NYSE:NOC) ROE Of 23%?,0.0,0.769,0.231,0.5106
75,NOC,2020-12-24,10:42AM,Lockheed Martin (LMT) Wins $97M Deal to Modify F-35 Jets,0.0,0.709,0.291,0.5719
76,NOC,2020-12-22,01:00PM,"Northrop Grumman Announces Webcast, Conference Call of Fourth Quarter and 2020 Financial Results",0.0,1.0,0.0,0.0
77,NOC,2020-12-21,04:04PM,"Lockheed Gets Hypersonic Weapons, Space Boost With Aerojet Rocketdyne Takeover",0.213,0.588,0.199,-0.0516
78,NOC,2020-12-21,09:25AM,Lockheed Martin Boosts Its Space Business With $4.4 Billion Aerojet Rocketdyne Buy,0.0,0.827,0.173,0.3182
79,NOC,2020-12-16,09:13AM,Northrop (NOC) Wins $164M Deal to Support APY-1/2 Radar Systems,0.0,0.556,0.444,0.7506
80,NOC,2020-12-15,11:10PM,Is SANM A Good Stock To Buy Now?,0.0,0.674,0.326,0.4404
81,NOC,2020-12-14,01:37PM,Is NOC A Good Stock To Buy Now?,0.0,0.674,0.326,0.4404
82,NOC,2020-12-14,08:02AM,"Defense Stock Roundup: LMT, BA Win Big Contracts, NOC Inks Divestiture Deal",0.0,0.654,0.346,0.6486
