,ticker,date,time,headline,neg,neu,pos,compound
0,NRG,2021-04-06,04:28PM,Texas Grid Problem Exacerbated Power Failures During Blackout,0.487,0.513,0.0,-0.6908
1,NRG,2021-04-05,12:14PM,"NRG Energy's (NRG) Investments, Clean Energy Goals Bode Well",0.0,0.465,0.535,0.7096
2,NRG,2021-03-19,03:14PM,Alexander Funding Trust -- Moody's affirms NRG's Ba1 CFR; changes outlook to stable from positive,0.0,0.569,0.431,0.8442
3,NRG,2021-03-18,02:13PM,NRG Energy (NRG) Details Interim Financial Impact of Storm Uri,0.0,0.811,0.189,0.2732
4,NRG,2021-03-17,04:15PM,The Market Rallied This Afternoon. Here's Why.,0.0,1.0,0.0,0.0
5,NRG,2021-03-17,11:35AM,Why NRG Energy Stock Tanked 15% in Morning Trading Today,0.0,0.811,0.189,0.2732
6,NRG,2021-03-17,11:11AM,NRG Energy Sees $750 Million Loss Following Texas Cold Snap,0.185,0.645,0.169,-0.0516
7,NRG,2021-03-17,07:51AM,NRG Energy Drops on Loss Tied to Texas Storm,0.202,0.614,0.184,-0.0516
8,NRG,2021-03-17,06:01AM,"NRG Energy, Inc. Financial Update on Winter Storm Uri Impacts",0.0,0.811,0.189,0.2732
9,NRG,2021-03-16,08:00PM,Power producer NRGs profit outlook wiped out by Texas storm,0.0,0.756,0.244,0.4404
10,NRG,2021-03-10,05:45PM,Texas Lawmakers to Rule on $16 Billion Blackout Pricing,0.0,1.0,0.0,0.0
11,NRG,2021-03-05,07:00AM,AES Announces Pricing of Equity Units Offering,0.0,1.0,0.0,0.0
12,NRG,2021-03-04,04:51PM,"AES Corporation, (The) -- Moody's assigns Ba3 (hyb) rating to AES preferred stock",0.0,1.0,0.0,0.0
13,NRG,2021-03-04,04:32PM,Caxton Associates Exits Oil Holdings in the 4th Quarter,0.0,1.0,0.0,0.0
14,NRG,2021-03-02,09:59AM,P/E Ratio Insights for NRG Energy,0.0,0.704,0.296,0.2732
15,NRG,2021-03-02,03:29AM,"Premarket Movers Tuesday - Lemonade, Rocket Cos., Zoom Video",0.0,1.0,0.0,0.0
16,NRG,2021-03-01,05:07PM,"Zoom, Costco, Target, Snowflake, Broadcom, and Other Stocks for Investors to Watch This Week",0.0,1.0,0.0,0.0
17,NRG,2021-03-01,03:30PM,NRG Energy Inc (NRG) Q4 2020 Earnings Call Transcript,0.0,0.792,0.208,0.2732
18,NRG,2021-03-01,11:56AM,NRG Energy (NRG) Posts Q4 Loss Against Earnings Estimates,0.202,0.614,0.184,-0.0516
19,NRG,2021-03-01,10:31AM,Why NRG Energy Stock Rallied 18% at the Open Today,0.0,0.811,0.189,0.2732
20,NRG,2021-03-01,08:07AM,"5 Top Stock Gainers for Monday: Boingo Wireless, NRG, Cars.com",0.0,0.816,0.184,0.2023
21,NRG,2021-03-01,07:34AM,"NRG Energy, Inc. Reports Full Year Results and Maintains 2021 Guidance",0.0,0.826,0.174,0.2732
22,NRG,2021-03-01,07:03AM,NRG Energy Lights Up on Earnings Beat and Storm Impact,0.0,0.811,0.189,0.2732
23,NRG,2021-03-01,06:45AM,"NRG Energy, Inc. to Host Earnings Call",0.0,0.741,0.259,0.2732
24,NRG,2021-02-28,07:00PM,Texas power co-op files for bankruptcy as storm fallout mounts,0.0,1.0,0.0,0.0
25,NRG,2021-02-26,08:50AM,"Power Outages Main Cause of Oil, Gas Shut-Ins",0.0,1.0,0.0,0.0
26,NRG,2021-02-24,07:00PM,Natural gas suppliers face criticism over Texas power crisis,0.452,0.387,0.161,-0.6705
27,NRG,2021-02-24,02:25PM,Top Stocks for March 2021,0.0,0.69,0.31,0.2023
28,NRG,2021-02-22,07:59PM,NRG Energy Announces Initial $10 Million in Relief for Texas Communities,0.0,0.634,0.366,0.6369
29,NRG,2021-02-22,07:21AM,NRG Energy Reschedules Release of Full Year and Fourth Quarter 2020 Financial Results,0.0,0.851,0.149,0.2732
30,NRG,2021-02-19,08:16PM,PayPal Stock Passes Mastercard and Looks to a High-Growth Future.,0.0,1.0,0.0,0.0
31,NRG,2021-02-19,07:00PM,Bills mount in Texas power market after freeze sends prices soaring,0.0,0.893,0.107,0.0516
32,NRG,2021-02-19,12:46PM,Top Utilities Stocks for March 2021,0.0,0.735,0.265,0.2023
33,NRG,2021-02-18,02:14PM,Texas power outages pressure NRG Energy company debt,0.398,0.424,0.178,-0.3818
34,NRG,2021-02-16,08:50PM,Surging Texas Power Prices Promise Both Doom and Riches,0.188,0.417,0.396,0.4588
