,ticker,date,time,headline,neg,neu,pos,compound
0,NVAX,2021-04-14,07:00AM,Is Novavax Stock A Buy On Its Leading Covid Vaccine Effectiveness?,0.0,1.0,0.0,0.0
1,NVAX,2021-04-14,06:31AM,Why Are Participants in Novavax's COVID Vaccine Study Receiving 2 Extra Shots?,0.0,1.0,0.0,0.0
2,NVAX,2021-04-14,06:01AM,3 Stocks to Buy That Wall Street Thinks Will Soar 50% or More,0.0,1.0,0.0,0.0
3,NVAX,2021-04-14,05:35AM,Moderna and Novavax added to mix and match COVID-19 vaccine trial,0.0,1.0,0.0,0.0
4,NVAX,2021-04-13,07:01PM,UK trial on switching COVID-19 vaccines adds Moderna and Novavax shots,0.0,1.0,0.0,0.0
5,NVAX,2021-04-13,05:52PM,"Novavax CFO to step down, biotech company says",0.0,1.0,0.0,0.0
6,NVAX,2021-04-13,05:34PM,Novavax Announces Leadership Updates,0.0,1.0,0.0,0.0
7,NVAX,2021-04-13,02:09PM,Doctor on J&J vaccine pause: CDC is letting the public know they are taking any side effect seriously,0.091,0.909,0.0,-0.1779
8,NVAX,2021-04-13,11:00AM,Why Novavax and BioNTech Stocks Are Jumping Today,0.0,1.0,0.0,0.0
9,NVAX,2021-04-13,09:28AM,"FDA, CDC recommend pause in Johnson & Johnson COVID-19 vaccine",0.0,0.762,0.238,0.3612
10,NVAX,2021-04-13,06:00AM,Novavax says supply shortages delaying full-speed production of its COVID-19 vaccine,0.138,0.862,0.0,-0.1531
11,NVAX,2021-04-12,01:51PM,Id still trust vaccines to suppress emergence of more variants: Doctor,0.0,0.752,0.248,0.5106
12,NVAX,2021-04-11,06:04AM,Is Novavax Actually a Value Stock?,0.0,0.625,0.375,0.34
13,NVAX,2021-04-10,09:03AM,How Important Is Novavax's COVID Vaccine Manufacturing Deal With GlaxoSmithKline?,0.0,0.833,0.167,0.2023
14,NVAX,2021-04-10,06:30AM,3 Stocks That Could Suffer if Biden Gives In to This Pressure,0.388,0.612,0.0,-0.6908
