,ticker,date,time,headline,neg,neu,pos,compound
0,ORLY,2021-04-05,09:52AM,Why Shares in O'Reilly Automotive Soared in March,0.0,0.761,0.239,0.296
1,ORLY,2021-04-01,04:30PM,"OReilly Automotive, Inc. Announces Dates for its First Quarter 2021 Earnings Release and Conference Call",0.0,1.0,0.0,0.0
2,ORLY,2021-03-30,08:43AM,3 Recession-Proof Stocks to Buy Now,0.0,1.0,0.0,0.0
3,ORLY,2021-03-26,09:21AM,"OReilly Automotive, Inc. Announces Chairman of the Board Succession Plan",0.0,0.833,0.167,0.2023
4,ORLY,2021-03-22,04:51PM,Is OReilly Automotive (ORLY) Stock A Buy or Sell?,0.0,1.0,0.0,0.0
5,ORLY,2021-03-17,12:44PM,Why Auto Parts Stocks Can Shift Higher,0.0,1.0,0.0,0.0
6,ORLY,2021-03-17,07:31AM,Want to Invest Your Third Stimulus Check? Consider This Cheap Stock,0.0,0.885,0.115,0.0772
7,ORLY,2021-03-12,11:30AM,O'Reilly Automotive (ORLY) Up 9.5% Since Last Earnings Report: Can It Continue?,0.0,1.0,0.0,0.0
8,ORLY,2021-03-09,05:31PM,O'Reilly Automotive Inc -- Moody's announces completion of a periodic review of ratings of O'Reilly Automotive Inc,0.0,1.0,0.0,0.0
9,ORLY,2021-03-09,02:34PM,CarParts.com is in beginning stages of disrupting the auto parts industry: CEO,0.0,1.0,0.0,0.0
10,ORLY,2021-02-27,02:19PM,Multibagger Investor Chuck Akres Top 10 Stock Holdings,0.0,0.795,0.205,0.2023
11,ORLY,2021-02-24,02:02AM,Are Investors Overlooking Returns On Capital At O'Reilly Automotive (NASDAQ:ORLY)?,0.0,1.0,0.0,0.0
12,ORLY,2021-02-12,09:52AM,Consumers Are Spending Their Stimulus Checks. Big Retailers Are Still Benefiting.,0.0,1.0,0.0,0.0
13,ORLY,2021-02-11,09:30PM,O'Reilly Automotive Inc (ORLY) Q4 2020 Earnings Call Transcript,0.0,1.0,0.0,0.0
14,ORLY,2021-02-11,09:15AM,"O'Reilly Automotive, Inc. to Host Earnings Call",0.0,1.0,0.0,0.0
15,ORLY,2021-02-10,05:55PM,O'Reilly Automotive (ORLY) Q4 Earnings and Revenues Top Estimates,0.0,0.816,0.184,0.2023
16,ORLY,2021-02-10,05:22PM,O'Reilly Automotive: Q4 Earnings Insights,0.0,1.0,0.0,0.0
17,ORLY,2021-02-10,04:30PM,"OReilly Automotive, Inc. Reports Fourth Quarter and Full-Year 2020 Results and Announces Additional $1.0 Billion Repurchase Authorization",0.0,1.0,0.0,0.0
18,ORLY,2021-02-09,10:32AM,Earnings Preview for O'Reilly Automotive,0.0,1.0,0.0,0.0
19,ORLY,2021-02-09,08:32AM,Is a Surprise Coming for O'Reilly (ORLY) This Earnings Season?,0.0,0.792,0.208,0.2732
20,ORLY,2021-02-08,09:24AM,What's in Store for O'Reilly (ORLY) This Earnings Season?,0.0,1.0,0.0,0.0
21,ORLY,2021-02-03,12:31PM,O'Reilly Automotive (ORLY) Reports Next Week: Wall Street Expects Earnings Growth,0.0,0.794,0.206,0.3818
22,ORLY,2021-01-29,02:47PM,Carparts.com sees 300% increase in site traffic in 2020,0.0,0.777,0.223,0.3182
23,ORLY,2021-01-25,06:24AM,"O'Reilly Automotive, Inc. (NASDAQ:ORLY) Shares Could Be 24% Above Their Intrinsic Value Estimate",0.0,0.705,0.295,0.5574
24,ORLY,2021-01-12,12:10PM,Can O'Reilly Automotive (ORLY) Keep the Earnings Surprise Streak Alive?,0.0,0.63,0.37,0.5719
25,ORLY,2021-01-04,04:30PM,"OReilly Automotive, Inc. Announces Dates for Its Fourth Quarter and Full-Year 2020 Earnings Release and Conference Call",0.0,1.0,0.0,0.0
26,ORLY,2021-01-03,11:47AM,10 Best Auto-Part Stocks To Buy For 2021,0.0,0.625,0.375,0.6369
27,ORLY,2020-12-28,05:00AM,How Much Does O'Reilly Automotive's (NASDAQ:ORLY) CEO Make?,0.0,1.0,0.0,0.0
