,ticker,date,time,headline,neg,neu,pos,compound
0,O,2021-04-13,09:35PM,610th Consecutive Common Stock Monthly Dividend Declared By Realty Income,0.0,1.0,0.0,0.0
1,O,2021-04-08,04:05PM,Realty Income Announces First Quarter 2021 Earnings Release Date,0.0,1.0,0.0,0.0
2,O,2021-04-07,11:40AM,Looking for the Safest Stocks? Try Realty Income,0.0,0.722,0.278,0.4019
3,O,2021-04-05,09:06PM,3 Stocks That Cut You a Check Each Month,0.259,0.741,0.0,-0.2732
4,O,2021-04-05,10:30AM,Is Realty Income Corporation's (NYSE:O) Recent Stock Performance Influenced By Its Financials In Any Way?,0.0,1.0,0.0,0.0
5,O,2021-04-03,12:02PM,5 Stocks That Cut You a Check Each Month,0.259,0.741,0.0,-0.2732
6,O,2021-04-02,07:15AM,2 Stocks That Pay You Each Month,0.219,0.781,0.0,-0.1027
7,O,2021-04-01,04:05PM,Realty Income Publishes Inaugural Sustainability Report,0.0,1.0,0.0,0.0
8,O,2021-04-01,07:07AM,3 Dividend Aristocrats to Buy and Hold Forever,0.0,1.0,0.0,0.0
9,O,2021-03-27,12:04PM,Boost Your Passive Income With Monthly Dividend Checks From These 3 Stocks,0.0,0.667,0.333,0.5423
10,O,2021-03-26,08:00AM,Realty Income Is Picking Up the Pace,0.0,1.0,0.0,0.0
11,O,2021-03-25,10:52AM,Is STORE Capital a Great Dividend Stock?,0.0,0.549,0.451,0.6249
12,O,2021-03-25,06:23AM,3 Dividend Stocks That Are Perfect for Retirement,0.0,0.619,0.381,0.5719
13,O,2021-03-24,11:30AM,Why Is Realty Income Corp. (O) Up 0.9% Since Last Earnings Report?,0.0,1.0,0.0,0.0
14,O,2021-03-24,06:15AM,3 Dividend Stocks to Bankroll Your Retirement,0.0,1.0,0.0,0.0
15,O,2021-03-23,08:30AM,Here's Why Realty Income Is a Forever Stock,0.0,1.0,0.0,0.0
16,O,2021-03-18,12:00PM,"If You Like Dividends, You Should Love These 2 Stocks",0.0,0.511,0.489,0.7717
17,O,2021-03-17,12:42PM,A Look Into Realty Income's Debt,0.385,0.615,0.0,-0.3612
18,O,2021-03-17,11:50AM,Hike Isn't a Four-Letter Word at Realty Income,0.0,1.0,0.0,0.0
19,O,2021-03-17,10:47AM,3 Stocks that Pay You Each Month,0.219,0.781,0.0,-0.1027
20,O,2021-03-17,09:25AM,Is Realty Income's (O) 110th Monthly Dividend Hike Sustainable?,0.0,1.0,0.0,0.0
21,O,2021-03-16,07:20PM,110th Common Stock Monthly Dividend Increase Declared By Realty Income,0.0,0.796,0.204,0.3182
22,O,2021-03-14,03:00PM,3 Retail REITS to Buy Now,0.0,1.0,0.0,0.0
23,O,2021-03-13,11:25AM,10 Best Dividend Stocks For 2021,0.0,0.543,0.457,0.6369
