,ticker,date,time,headline,neg,neu,pos,compound
0,PAYX,2021-04-08,05:47AM,Paychex Presents a Risk/Reward Dilemma for Chart Readers,0.221,0.779,0.0,-0.1779
1,PAYX,2021-04-07,03:13PM,Paychex Ranks No. 1 in Payroll Voice of the Customer Report From Sapient Insights Group,0.145,0.855,0.0,-0.296
2,PAYX,2021-04-07,09:45AM,"Stock Market News for Apr 7, 2021",0.0,1.0,0.0,0.0
3,PAYX,2021-04-06,04:00PM,Paychex (PAYX) Q3 2021 Earnings Call Transcript,0.0,1.0,0.0,0.0
4,PAYX,2021-04-06,11:40AM,"Paychex (PAYX) Beats on Q3 Earnings & Revenues, Tweaks Guidance",0.0,1.0,0.0,0.0
5,PAYX,2021-04-06,09:45AM,Paychex (PAYX) Q3 Earnings and Revenues Beat Estimates,0.0,1.0,0.0,0.0
6,PAYX,2021-04-06,08:46AM,Paychex stock pulls back after profit tops expectations and revenue falls in line with forecasts,0.0,0.677,0.323,0.7351
7,PAYX,2021-04-06,08:30AM,"Paychex, Inc. Reports Third Quarter Results and Improves Full Year Guidance; Reflects Client Base Growth and Strong Client Retention",0.0,0.648,0.352,0.8271
8,PAYX,2021-04-06,07:30AM,"Paychex, Inc. to Host Earnings Call",0.0,1.0,0.0,0.0
9,PAYX,2021-04-06,06:36AM,Paychex Drops After Earnings and Revenue Decline,0.0,1.0,0.0,0.0
10,PAYX,2021-04-04,03:00PM,"T-Mobile, AMD, Levi Strauss, Constellation Brands, and Other Stocks for Investors to Watch This Week",0.0,1.0,0.0,0.0
11,PAYX,2021-04-01,10:27AM,Paychex (PAYX) Set to Report Q3 Earnings: What's in Store?,0.0,1.0,0.0,0.0
12,PAYX,2021-03-30,03:06PM,Here's Why You Should Hold Onto Paychex (PAYX) Stock for Now,0.0,1.0,0.0,0.0
13,PAYX,2021-03-30,12:30PM,Earnings Preview: Paychex (PAYX) Q3 Earnings Expected to Decline,0.0,1.0,0.0,0.0
14,PAYX,2021-03-30,08:30AM,Small Business Jobs Growth Shows First Significant Gain Since the Start of the Pandemic in the U.S.,0.0,0.642,0.358,0.7783
15,PAYX,2021-03-29,10:00AM,"Paychex Honored Among the World's Best Training Organizations, Ranking No. Seven on Training Magazine's Top 100 List",0.088,0.52,0.392,0.8225
16,PAYX,2021-03-23,02:00PM,"Paychex, Inc. Schedules Third Quarter Fiscal 2021 Earnings Release Conference Call for April 6, 2021",0.0,1.0,0.0,0.0
17,PAYX,2021-03-22,03:00PM,Best Dividend Stocks For 2021: Five Strong-Yield Stocks Beating The S&P 500,0.174,0.581,0.244,0.296
18,PAYX,2021-03-19,05:56AM,"How Much Of Paychex, Inc. (NASDAQ:PAYX) Do Insiders Own?",0.0,1.0,0.0,0.0
19,PAYX,2021-03-17,12:30PM,Analysts Estimate Paychex (PAYX) to Report a Decline in Earnings: What to Look Out for,0.0,1.0,0.0,0.0
20,PAYX,2021-03-08,10:04AM,Paychex Expands Paycheck Protection Program Solutions with Support for Employee Retention Credits,0.0,0.491,0.509,0.743
21,PAYX,2021-03-04,11:02AM,Paychex Introduces New Ways for Businesses to Manage Pandemic-Related Challenges with Updates to Paychex Flex® HR Software,0.0,0.925,0.075,0.0772
22,PAYX,2021-03-02,08:30AM,Employees of Small Businesses Stand to Benefit from the Positive Trend in Both Wages and Hours Worked in 2021,0.0,0.72,0.28,0.765
23,PAYX,2021-02-25,10:30AM,"The Pandemic at One Year, New Research from Paychex Reveals Biggest Obstacles Facing Business Owners",0.157,0.843,0.0,-0.3818
24,PAYX,2021-02-23,10:30AM,Paychex Commitment to Corporate Social Responsibility Recognized with 'World's Most Ethical Companies 2021' Honor,0.0,0.539,0.461,0.8553
25,PAYX,2021-02-22,01:03PM,Paychex Response to COVID-19 Wins 2021 Stevie® Award,0.0,0.455,0.545,0.802
26,PAYX,2021-02-19,09:38AM,Staffing Stocks Gain Despite Uptick in Jobless Claims,0.0,0.673,0.327,0.5267
27,PAYX,2021-02-17,06:28AM,"Could The Market Be Wrong About Paychex, Inc. (NASDAQ:PAYX) Given Its Attractive Financial Prospects?",0.161,0.573,0.266,0.25
28,PAYX,2021-02-05,03:45PM,Paychex Named a Leader in Corporate Reputation Among Financial Data Services Companies by FORTUNE Magazine,0.0,1.0,0.0,0.0
29,PAYX,2021-02-02,08:30AM,"Following December Decline, Small Business Employment Growth Holds Steady in January",0.0,0.794,0.206,0.3818
30,PAYX,2021-01-29,11:40AM,ATTO or PAYX: Which Is the Better Value Stock Right Now?,0.0,0.629,0.371,0.6486
31,PAYX,2021-01-26,02:30PM,Paychex Wins 2021 BIG Innovation Award for Real-Time Payments,0.0,0.38,0.62,0.8689
32,PAYX,2021-01-22,12:34PM,Paychex Declares Quarterly Dividend,0.0,1.0,0.0,0.0
33,PAYX,2021-01-22,11:30AM,Why Is Paychex (PAYX) Down 7.6% Since Last Earnings Report?,0.0,1.0,0.0,0.0
