,ticker,date,time,headline,neg,neu,pos,compound
0,PEP,2021-04-13,12:50PM,PepsiCo Q1 Earnings to Rise about 4%; Target Price $150,0.0,1.0,0.0,0.0
1,PEP,2021-04-13,10:41AM,PepsiCo Reports Earnings This Week. Heres What to Expect.,0.0,1.0,0.0,0.0
2,PEP,2021-04-13,09:10AM,3 Things You'll Want to Know When PepsiCo Reports Earnings Thursday,0.0,0.874,0.126,0.0772
3,PEP,2021-04-13,08:00AM,"Taco Bell is opening this automated, boozy restaurant in Times Square  take a sneak peek inside",0.0,1.0,0.0,0.0
4,PEP,2021-04-12,12:17PM,Texas-based companies speak out against restrictive voting bills: 'Voting is a sacred right',0.0,1.0,0.0,0.0
5,PEP,2021-04-12,11:56AM,Will Snacks & Beverage Demand Aid PepsiCo's (PEP) Q1 Earnings?,0.158,0.842,0.0,-0.128
6,PEP,2021-04-12,09:52AM,Corporate Americas response to the Georgia voting law,0.0,1.0,0.0,0.0
7,PEP,2021-04-12,09:13AM,Why mangos could become the new avocado,0.0,1.0,0.0,0.0
8,PEP,2021-04-11,08:43AM,3 Things to Watch in the Stock Market This Week,0.0,1.0,0.0,0.0
9,PEP,2021-04-11,08:24AM,PepsiCo Earnings: What to Watch on Thursday,0.0,1.0,0.0,0.0
10,PEP,2021-04-11,06:30AM,"Top Earnings to Watch: JPMorgan Chase, PepsiCo",0.0,0.769,0.231,0.2023
11,PEP,2021-04-11,04:15AM,"Earnings to Watch Next Week: JPMorgan, Goldman, PepsiCo, BofA, Citigroup and Delta Airlines in Focus",0.0,1.0,0.0,0.0
12,PEP,2021-04-10,08:00AM,"Gen Z, Millennials feed COVID-19's snacking boom, boosting brands like Coke, Pepsi",0.0,0.671,0.329,0.5994
13,PEP,2021-04-09,11:58AM,PepsiCo (PEP) to Report Q1 Earnings: Is a Beat in Store?,0.0,1.0,0.0,0.0
14,PEP,2021-04-08,12:30PM,PepsiCo (PEP) Earnings Expected to Grow: What to Know Ahead of Next Week's Release,0.0,1.0,0.0,0.0
