,ticker,date,time,headline,neg,neu,pos,compound
0,PM,2021-04-13,12:30PM,Philip Morris (PM) Earnings Expected to Grow: Should You Buy?,0.0,1.0,0.0,0.0
1,PM,2021-04-09,11:31AM,Philip Morris Gets Another Buy Rating. Why Wall Street Is Excited About the Stock.,0.0,0.844,0.156,0.34
2,PM,2021-04-06,10:19AM,MO Stock: Is Marlboro Maker Altria A Buy After Post-Earnings Advance?,0.0,1.0,0.0,0.0
3,PM,2021-03-31,10:55AM,Philip Morris (PM) Gains on RRPs Popularity & Pricing Power,0.0,0.56,0.44,0.6705
4,PM,2021-03-25,09:13AM,Here's How lululemon (LULU) is Poised Ahead of Q4 Earnings,0.0,0.818,0.182,0.25
5,PM,2021-03-25,08:49AM,Chewy (CHWY) to Report Q4 Earnings: What's in the Cards?,0.0,1.0,0.0,0.0
6,PM,2021-03-25,06:22AM,Philip Morris International Announces the Nomination of International Executives to Its Board of Directors,0.0,1.0,0.0,0.0
7,PM,2021-03-24,10:22AM,McCormick (MKC) Queued for Q1 Earnings: Factors to Watch,0.0,1.0,0.0,0.0
8,PM,2021-03-23,11:42AM,2 Dirt-Cheap Value Stocks to Buy Right Now,0.0,0.714,0.286,0.34
9,PM,2021-03-23,07:11AM,Is Philip Morris (PM) Stock A Buy or Sell?,0.0,1.0,0.0,0.0
10,PM,2021-03-22,09:00AM,Here's Why I Think Philip Morris International (NYSE:PM) Might Deserve Your Attention Today,0.0,1.0,0.0,0.0
11,PM,2021-03-20,06:05AM,"Turn Your $1,400 Stimulus Check Into a Money Machine With These High-Yield Dividend Stocks",0.0,1.0,0.0,0.0
12,PM,2021-03-18,12:45PM,Top Tobacco Stocks for Q2 2021,0.0,0.735,0.265,0.2023
13,PM,2021-03-16,11:35AM,"As Smokers Keep Quitting, Philip Morris Keeps Looking Better",0.0,0.734,0.266,0.4404
14,PM,2021-03-16,08:33AM,Altria (MO) Benefits From Low-Risk Products & Pricing Power,0.0,0.729,0.271,0.3818
15,PM,2021-03-15,07:40AM,Is It Time to Stop Thinking of Philip Morris International as a Cigarette Company?,0.155,0.845,0.0,-0.296
16,PM,2021-03-14,02:48PM,How Altria (MO) Makes its Money,0.0,1.0,0.0,0.0
17,PM,2021-03-13,11:25AM,10 Best Dividend Stocks For 2021,0.0,0.543,0.457,0.6369
18,PM,2021-03-11,12:33PM,"Philip Morris (PM), Part of Fundsmiths Q4 2020 Bottom Five",0.0,1.0,0.0,0.0
19,PM,2021-03-09,03:51PM,MS Global Franchise Fund's Top 5 Buys of the 4th Quarter,0.0,0.833,0.167,0.2023
20,PM,2021-03-08,03:03AM,Philip Morris International Announces Yearlong Exploration of InclusionFurthering the Companys Commitment to Equality,0.0,0.71,0.29,0.5423
21,PM,2021-03-04,03:21PM,Top Dividend Stocks for March 2021,0.0,0.735,0.265,0.2023
22,PM,2021-03-03,11:26AM,John Rogers Top 10 Stock Picks,0.0,0.735,0.265,0.2023
23,PM,2021-03-02,04:02AM,"Public Support Innovative Approaches to Reducing Smoking Rates, Reveals New International Survey from Philip Morris International",0.0,0.714,0.286,0.6808
24,PM,2021-03-01,10:20AM,Incoming Philip Morris CEO on tobacco industry outlook,0.0,1.0,0.0,0.0
25,PM,2021-02-22,03:25AM,Are Institutions Heavily Invested In Philip Morris International Inc.'s (NYSE:PM) Shares?,0.0,0.82,0.18,0.296
26,PM,2021-02-18,10:57PM,10 Best Value Stocks to Buy for 2021,0.0,0.476,0.524,0.765
27,PM,2021-02-18,04:01PM,Top 4th-Quarter Trades of Jeremy Grantham's Firm,0.0,0.769,0.231,0.2023
28,PM,2021-02-18,12:18PM,"GMO Exits Philip Morris, Starbucks, Trims Apple",0.0,1.0,0.0,0.0
29,PM,2021-02-12,05:12PM,First Eagle Investment's Top 4th-Quarter Trades,0.0,0.735,0.265,0.2023
30,PM,2021-02-11,08:40AM,Phillip Morris (PM) Poised for Growth on RRPs & Strong Pricing,0.0,0.47,0.53,0.7845
