,ticker,date,time,headline,neg,neu,pos,compound
0,PNW,2021-04-05,04:30PM,"Pinnacle West Sets Date for 2021 First-Quarter Financial Results, Webcast/Conference Call",0.0,1.0,0.0,0.0
1,PNW,2021-03-26,11:31AM,Pinnacle West (PNW) Up 9.9% Since Last Earnings Report: Can It Continue?,0.0,1.0,0.0,0.0
2,PNW,2021-03-22,09:11AM,Does Pinnacle West Capital's (NYSE:PNW) Share Price Gain of 23% Match Its Business Performance?,0.0,0.682,0.318,0.6808
3,PNW,2021-03-16,12:44PM,A Look Into Pinnacle West Capital's Debt,0.333,0.667,0.0,-0.3612
4,PNW,2021-03-16,12:27PM,ROCE Insights For Pinnacle West Capital,0.0,1.0,0.0,0.0
5,PNW,2021-03-15,01:11PM,Pinnacle West's (PNW) Four Corners Power Plant to Run Seasonally,0.0,1.0,0.0,0.0
6,PNW,2021-03-12,09:00AM,APS Announces Plans for Seasonal Operations at Four Corners Power Plant,0.0,1.0,0.0,0.0
7,PNW,2021-03-11,12:22PM,"Pinnacle West's (PNW) Investments, Clean Energy Aims Bode Well",0.0,0.465,0.535,0.7096
8,PNW,2021-03-03,05:08PM,Pinnacle West Adds Seasoned Utility Executive to Its Board of Directors,0.0,1.0,0.0,0.0
9,PNW,2021-02-26,07:49PM,Utilities Offer Yield and a Way to Play Green Energy. And Their Stocks Are Cheap.,0.0,0.727,0.273,0.5423
10,PNW,2021-02-24,03:31PM,Pinnacle West Capital Corp (PNW) Q4 2020 Earnings Call Transcript,0.0,1.0,0.0,0.0
11,PNW,2021-02-24,08:57AM,Pinnacle West Capital: Q4 Earnings Insights,0.0,1.0,0.0,0.0
12,PNW,2021-02-24,08:45AM,Pinnacle West Capital Corp. to Host Earnings Call,0.0,1.0,0.0,0.0
13,PNW,2021-02-24,08:40AM,Pinnacle West Reports 2020 Full-Year and Fourth-Quarter Results,0.0,1.0,0.0,0.0
14,PNW,2021-02-19,05:48AM,What Kind Of Shareholders Hold The Majority In Pinnacle West Capital Corporation's (NYSE:PNW) Shares?,0.0,0.855,0.145,0.296
15,PNW,2021-01-28,10:18AM,Understanding Pinnacle West Capital's Ex-Dividend Date,0.0,1.0,0.0,0.0
16,PNW,2021-01-25,04:35PM,"Pinnacle West Sets Date for 2020 Fourth-Quarter and Full-Year Financial Results, Webcast/Conference Call",0.0,1.0,0.0,0.0
17,PNW,2021-01-20,04:46AM,Estimating The Intrinsic Value Of Pinnacle West Capital Corporation (NYSE:PNW),0.0,0.789,0.211,0.34
18,PNW,2021-01-07,11:12AM,ONEOK's (OKE) Expansion Efforts & Fee-Based Earnings Bode Well,0.0,0.769,0.231,0.2732
19,PNW,2021-01-07,11:03AM,Xcel Energy (XEL) to Redeem 2.4% Senior Notes Worth $400M,0.0,0.667,0.333,0.4588
20,PNW,2021-01-05,12:14PM,"PNM Resources' (PNM) Investments, Clean Energy Goals Bode Well",0.0,0.465,0.535,0.7096
21,PNW,2020-12-31,12:16PM,UGI Corp. (UGI) Set to Buy Mountaintop Energy for $540M,0.0,0.811,0.189,0.2732
22,PNW,2020-12-30,11:45AM,5 Reasons to Add Portland General Electric (POR) to Your Portfolio,0.0,1.0,0.0,0.0
23,PNW,2020-12-24,10:28AM,PG&E Corp.'s (PCG) Unit to Add 387 MW of Battery Storage,0.0,1.0,0.0,0.0
24,PNW,2020-12-23,12:00PM,Pinnacle West (PNW) Moves to Buy: Rationale Behind the Upgrade,0.0,1.0,0.0,0.0
25,PNW,2020-12-21,11:41AM,"Pinnacle West (PNW) Gains on Investments, Sets Clean Energy Goals",0.0,0.493,0.507,0.7351
26,PNW,2020-12-19,09:18PM,Is PNW A Good Stock To Buy Now According To Hedge Funds?,0.0,0.775,0.225,0.4404
27,PNW,2020-12-18,08:39AM,PNM Resources (PNM) Announces Earnings Guidance for 2021,0.0,1.0,0.0,0.0
28,PNW,2020-12-16,04:36PM,Pinnacle West Declares Quarterly Dividend,0.0,1.0,0.0,0.0
29,PNW,2020-12-15,12:03PM,Pinnacle West (PNW) on Course to Attain 100% Carbon Neutrality,0.0,1.0,0.0,0.0
30,PNW,2020-12-14,09:00AM,APS Advances Toward 100% Clean Energy Commitment,0.0,0.351,0.649,0.7506
