,ticker,date,time,headline,neg,neu,pos,compound
0,PPG,2021-04-14,08:00AM,PPG Extends Tender Offer Period for Tikkurila,0.0,0.8,0.2,0.128
1,PPG,2021-04-12,06:39AM,PPG Industries (PPG) to Post Q1 Earnings: What's in the Cards?,0.0,1.0,0.0,0.0
2,PPG,2021-04-09,08:54AM,PPG Industries (PPG) Adds SEM Products to PPG AdjustRite System,0.0,1.0,0.0,0.0
3,PPG,2021-04-08,12:30PM,PPG Industries (PPG) Earnings Expected to Grow: Should You Buy?,0.0,1.0,0.0,0.0
4,PPG,2021-04-06,10:11AM,PPG Industries (PPG) Unveils China Application Innovation Unit,0.0,0.729,0.271,0.3818
5,PPG,2021-04-06,08:35AM,PPG Industries (NYSE:PPG) Could Be At Risk Of Shrinking As A Company,0.174,0.826,0.0,-0.2732
6,PPG,2021-04-05,09:49AM,PPG Industries (PPG) Inks Deal With Vizient for Paint Products,0.0,1.0,0.0,0.0
7,PPG,2021-04-01,10:10AM,"PPG Industries (PPG) Launches New Topcoat, Expands Portfolio",0.0,0.833,0.167,0.1027
8,PPG,2021-04-01,09:46AM,PPG Opens China Application Innovation Center in Zhangjiagang,0.0,0.729,0.271,0.3818
9,PPG,2021-03-31,01:02PM,PPG to Announce First Quarter 2021 Results April 15,0.0,1.0,0.0,0.0
10,PPG,2021-03-31,09:04AM,"PPG Announces Agreement with Vizient for Paint Products, Expanding Market Share Opportunity in Healthcare Segment",0.0,0.594,0.406,0.802
11,PPG,2021-03-30,09:33AM,"PPG expands PITTHANE high durability urethane coating line with new low-sheen, low-VOC solution",0.0,0.748,0.252,0.4019
12,PPG,2021-03-26,12:13PM,PPG Extends Tender Offer Period for Tikkurila,0.0,0.8,0.2,0.128
13,PPG,2021-03-25,08:00AM,PPG Receives Finnish Ministry of Economic Affairs and Employment Approval for Pending Acquisition of Tikkurila Shares,0.0,0.725,0.275,0.6486
14,PPG,2021-03-23,11:40AM,LYB vs. PPG: Which Stock Should Value Investors Buy Now?,0.0,0.529,0.471,0.7983
15,PPG,2021-03-18,02:02PM,PPG Honored by Bosma Enterprises With Employment Innovation Award,0.0,0.377,0.623,0.872
16,PPG,2021-03-15,07:59AM,PPG Extends Tender Offer Period for Tikkurila,0.0,0.8,0.2,0.128
17,PPG,2021-03-12,08:11AM,3 Stocks to Build Your Portfolio Around,0.0,1.0,0.0,0.0
18,PPG,2021-03-11,11:47AM,PPG Receives European Commission Approval for Pending Acquisition of Tikkurilas Shares,0.0,0.629,0.371,0.6486
19,PPG,2021-03-11,04:24AM,"PPG Industries, Inc.'s (NYSE:PPG) Stock Is Going Strong: Have Financials A Role To Play?",0.0,0.659,0.341,0.6908
20,PPG,2021-03-10,09:05AM,"PPG Industries, Inc. Supplements the Tender Offer Document Dated 14 January 2021 Relating to the Voluntary Recommended Public Cash Tender Offer for All the Shares in Tikkurila Oyj",0.0,0.867,0.133,0.4588
21,PPG,2021-03-03,11:40AM,ARKAY or PPG: Which Is the Better Value Stock Right Now?,0.0,0.629,0.371,0.6486
22,PPG,2021-03-02,05:00PM,"PPG Industries, Inc. -- Moody's says PPG's bond issuance is credit neutral; financial flexibility is limited following multiple acquisitions",0.083,0.699,0.218,0.4767
23,PPG,2021-03-02,09:58AM,PPG Industries (PPG) & Universal Display to Expand Production,0.0,0.753,0.247,0.3182
24,PPG,2021-03-02,09:03AM,"PPG Appoints John Stephenson as Director, Acquisition Integration",0.0,1.0,0.0,0.0
