,ticker,date,time,headline,neg,neu,pos,compound
0,REGN,2021-04-14,04:00AM,"'Mad Money' Lightning Round: Regeneron, Bumble, Plug Power",0.314,0.686,0.0,-0.4939
1,REGN,2021-04-13,02:09PM,Doctor on J&J vaccine pause: CDC is letting the public know they are taking any side effect seriously,0.091,0.909,0.0,-0.1779
2,REGN,2021-04-13,09:28AM,"FDA, CDC recommend pause in Johnson & Johnson COVID-19 vaccine",0.0,0.762,0.238,0.3612
3,REGN,2021-04-13,05:35AM,Vaccine Stocks Checkup: Johnson & Johnson COVID-19 Vaccine Paused,0.0,1.0,0.0,0.0
4,REGN,2021-04-12,01:51PM,Id still trust vaccines to suppress emergence of more variants: Doctor,0.0,0.752,0.248,0.5106
5,REGN,2021-04-12,12:53PM,"COVID-19 cases keep surging in some U.S. states, and Michigan governor continues plea for more vaccines as shots in arms hits daily record",0.0,1.0,0.0,0.0
6,REGN,2021-04-12,11:21AM,Regeneron (REGN) Posts Positive Data on COVID-19 Antibody Cocktail,0.0,0.69,0.31,0.5574
7,REGN,2021-04-12,08:33AM,Regenerons Covid-19 Antibody Protects Household Contacts From Infection,0.0,0.753,0.247,0.3182
8,REGN,2021-04-12,08:31AM,Regenerons REGEN-COV Shown To Reduce COVID-19 Progression In Phase 3 Trial,0.0,1.0,0.0,0.0
9,REGN,2021-04-12,07:47AM,Regeneron says its COVID-19 antibody therapy cut risk of infection progression,0.318,0.682,0.0,-0.4939
10,REGN,2021-04-12,06:11AM,UPDATE 2-Regeneron to seek U.S. OK for COVID-19 cocktail to be used for prevention,0.0,0.816,0.184,0.4466
11,REGN,2021-04-12,05:33AM,Regeneron COVID-19 Cocktail Shows Promise as Preventative Treatment,0.0,0.753,0.247,0.3182
12,REGN,2021-04-12,01:15AM,Phase 3 Treatment Trial in Recently Infected Asymptomatic Patients Showed REGEN-COV (casirivimab with imdevimab) Significantly Reduced Progression to Symptomatic COVID-19,0.151,0.849,0.0,-0.4939
13,REGN,2021-04-12,01:00AM,Phase 3 Prevention Trial Showed 81% Reduced Risk of Symptomatic SARS-CoV-2 Infections with Subcutaneous Administration of REGEN-COV (casirivimab with imdevimab),0.104,0.896,0.0,-0.2732
14,REGN,2021-04-11,08:00PM,"Regenerons Covid drug reduces risk of symptomatic illness, study finds",0.375,0.625,0.0,-0.5859
15,REGN,2021-04-11,11:43AM,4 Undervalued Stocks To Watch For In April,0.0,1.0,0.0,0.0
16,REGN,2021-04-09,01:39PM,Pfizers vaccine EUA expansion request is extremely welcomed: Doctor,0.0,0.748,0.252,0.4005
17,REGN,2021-04-09,08:43AM,NIH recommends Lilly and Regeneron's combination antibody treatments to people with mild and moderate COVID-19,0.0,0.881,0.119,0.2263
18,REGN,2021-04-09,08:15AM,NIH COVID-19 Treatment Guidelines Strongly Recommend Use of REGEN-COV (casirivimab with imdevimab) in Outpatients at High Risk of Clinical Progression,0.089,0.717,0.194,0.3612
19,REGN,2021-04-08,03:23PM,Study shows wearables could detect COVID-19 earlier,0.0,1.0,0.0,0.0
20,REGN,2021-04-08,01:23PM,COVID-19 vaccinations are extraordinarily safe: Doctor,0.0,0.633,0.367,0.4404
21,REGN,2021-04-07,01:26PM,COVID-19 mitigation is the most effective weapon to avoid fourth wave: Doctor,0.274,0.527,0.199,-0.0735
22,REGN,2021-04-07,11:01AM,White House wont support vaccine passports: Psaki,0.273,0.727,0.0,-0.3089
23,REGN,2021-04-07,09:14AM,Regeneron Pharmaceuticals (NASDAQ:REGN) Seems To Use Debt Rather Sparingly,0.238,0.762,0.0,-0.3612
24,REGN,2021-04-07,06:01AM,3 Top Biotech Stocks to Buy in April,0.0,0.769,0.231,0.2023
25,REGN,2021-04-06,04:05PM,"Regeneron to Report First Quarter 2021 Financial and Operating Results and Host Conference Call and Webcast on May 6, 2021",0.0,1.0,0.0,0.0
26,REGN,2021-04-06,01:29PM,Theres increasing confidence vaccine supply can meet demand: Doctor,0.127,0.593,0.28,0.4215
27,REGN,2021-04-06,06:01AM,3 Stocks Cathie Wood Is Selling That Long-Term Investors Should Be Buying,0.0,1.0,0.0,0.0
28,REGN,2021-04-05,02:06PM,Travel boom poses threat to COVID-19 recovery: Doctor,0.327,0.673,0.0,-0.5267
29,REGN,2021-04-05,01:58PM,10 Best Biotech Stocks To Buy For 2021,0.0,0.625,0.375,0.6369
30,REGN,2021-04-01,01:46PM,Layers of mitigation against the virus remains critical: Doctor,0.223,0.777,0.0,-0.3182
31,REGN,2021-04-01,12:24PM,CytoDyn (CYDY) Files New Protocol With FDA for COVID-19 Study,0.0,1.0,0.0,0.0
32,REGN,2021-03-31,01:42PM,Pfizer vaccine 100% effective in 12 to 15 year olds: Study,0.0,0.763,0.237,0.4767
33,REGN,2021-03-31,07:01AM,Could Regeneron's Antibody Therapy Be as Important as Vaccines in Fighting COVID?,0.175,0.699,0.126,-0.1779
34,REGN,2021-03-30,07:04PM,NIH-sponsored Trial Finds EYLEA® (aflibercept) Injection Reduced Vision-threatening Complications by 68% after Two Years in Diabetic Retinopathy Patients,0.0,1.0,0.0,0.0
35,REGN,2021-03-30,01:27PM,We can vaccinate our way out of this phase of the pandemic: Doctor,0.0,1.0,0.0,0.0
36,REGN,2021-03-30,10:44AM,Why the COVID superhero villain tug-of-war will be an eternal battle,0.408,0.592,0.0,-0.7351
37,REGN,2021-03-28,06:01AM,3 Top Biotech Stocks to Buy Right Now,0.0,0.769,0.231,0.2023
38,REGN,2021-03-26,02:14PM,Vaccination distribution is a race against time as variants spread: Doctor,0.0,1.0,0.0,0.0
39,REGN,2021-03-26,11:23AM,COVID SCIENCE-Vaccines appear effective vs New York virus variant; super-spreader events drive variants,0.0,0.795,0.205,0.4767
40,REGN,2021-03-26,09:49AM,GSK and Vir Submit Covid-19 Antibody for FDA Authorization,0.0,1.0,0.0,0.0
41,REGN,2021-03-26,09:01AM,UPDATE 1-GSK and Vir seek emergency use of COVID-19 therapy in United States,0.159,0.671,0.171,0.0516
42,REGN,2021-03-26,07:54AM,ROCE Insights For Regeneron Pharmaceuticals,0.0,1.0,0.0,0.0
43,REGN,2021-03-25,10:46AM,10 Best Pharma Stocks to Buy Now,0.0,0.588,0.412,0.6369
44,REGN,2021-03-24,03:43PM,"Biotech Stock Roundup: REGN Cocktail Data Positive, INCY's Jakafi Disappoints & More",0.171,0.592,0.237,0.25
45,REGN,2021-03-24,02:56PM,Vaccine hesitancy can lead to development of potent mutations in COVID-19: Doctor,0.147,0.853,0.0,-0.2263
46,REGN,2021-03-24,01:34PM,U.S. must remain worried about variants: Doctor,0.268,0.732,0.0,-0.296
47,REGN,2021-03-24,01:24PM,Regeneron (REGN) Announces Positive Data on COVID-19 Cocktail,0.0,0.66,0.34,0.5574
48,REGN,2021-03-24,10:46AM,Inflation expectations key to prevent spiraling inflation: Daco,0.0,0.864,0.136,0.0258
49,REGN,2021-03-24,09:46AM,Regenerons Covid-19 Antibody Could See Substantially Higher Sales This Year. Heres Why.,0.0,1.0,0.0,0.0
50,REGN,2021-03-24,06:10AM,There's No Rush to Purchase Regeneron Stock,0.268,0.732,0.0,-0.296
51,REGN,2021-03-23,04:37PM,Regeneron's President On COVID-19 Antibody Cocktail: 'Good News That Could Be Really Big News',0.0,0.818,0.182,0.4404
52,REGN,2021-03-23,03:01PM,Jim Cramer: It's Time for Clear COVID Rules That Make Sense,0.0,0.794,0.206,0.3818
53,REGN,2021-03-23,10:35AM,Global case tally for COVID-19 nears 124 million as U.S. health experts question AstraZeneca trial data,0.0,1.0,0.0,0.0
54,REGN,2021-03-23,10:20AM,Biotech is the superhero of the pandemic: investor,0.0,1.0,0.0,0.0
55,REGN,2021-03-23,09:41AM,Concerns raised over AstraZeneca vaccine trials: U.S officials,0.0,1.0,0.0,0.0
56,REGN,2021-03-23,09:22AM,Roche (RHHBY) Stops Dosing in Huntington's Disease Study,0.186,0.814,0.0,-0.1531
57,REGN,2021-03-23,09:17AM,Regeneron Stock Climbs on Positive Covid-19 Antibody Data,0.0,0.66,0.34,0.5574
58,REGN,2021-03-23,08:27AM,Regeneron says its COVID-19 treatment still works even at a lower dose,0.18,0.82,0.0,-0.296
59,REGN,2021-03-23,06:57AM,"Regeneron's Lower Dose Of COVID-19 Antibody Cocktail Cuts Hospitalization, Death By 70%",0.48,0.52,0.0,-0.8074
60,REGN,2021-03-23,05:22AM,Regeneron Reports Positive Results for Lower-Dose COVID Drug,0.0,0.66,0.34,0.5574
61,REGN,2021-03-23,04:17AM,UPDATE 1-Regeneron and Roche's antibody cocktail shown helping in COVID-19 cases,0.0,0.82,0.18,0.296
62,REGN,2021-03-23,02:00AM,Phase 3 Trial Shows REGEN-COV (casirivimab with imdevimab) Antibody Cocktail Reduced Hospitalization or Death by 70% in Non-hospitalized COVID-19 Patients,0.178,0.822,0.0,-0.5994
63,REGN,2021-03-23,12:40AM,Is REGN Stock A Buy or Sell?,0.0,1.0,0.0,0.0
64,REGN,2021-03-22,01:49PM,The FDA has a lot of positive things to look at with AstraZeneca vaccine: Doctor,0.0,0.783,0.217,0.5574
65,REGN,2021-03-22,09:28AM,Lifted COVID-19 restrictions defies logic at this point in recovery: Doctor,0.0,1.0,0.0,0.0
66,REGN,2021-03-22,09:25AM,AstraZeneca COVID-19 vaccine is 79% effective: U.S. study,0.0,0.693,0.307,0.4767
67,REGN,2021-03-22,06:15AM,"Got $5,000? Consider These 3 Leading Pharma Stocks",0.0,1.0,0.0,0.0
68,REGN,2021-03-19,11:34AM,"FDA Updates Fact Sheets For Eli Lilly, Regeneron's COVID-19 Antibody Therapies Under Emergency Use",0.167,0.833,0.0,-0.3818
69,REGN,2021-03-19,10:30AM,Vaccines are here. Thats no reason to call off the hunt for effective COVID-19 treatments.,0.12,0.71,0.169,0.2263
70,REGN,2021-03-18,02:04PM,U.S. set to reach 100M vaccinations six weeks early,0.0,0.879,0.121,0.0258
71,REGN,2021-03-18,10:30AM,AstraZeneca benefits outweigh risks: UK drugs regulator,0.216,0.515,0.268,0.128
72,REGN,2021-03-18,06:20AM,2 Great Stocks You Can Buy on Sale,0.0,0.594,0.406,0.6249
73,REGN,2021-03-17,08:57PM,"Teen Scientists Win $1.8 Million at Virtual Regeneron Science Talent Search 2021 for Remarkable Research on Infinite Matching Algorithms, Machine Learning to Evaluate New Medicines and Water Filtration",0.0,0.71,0.29,0.8807
74,REGN,2021-03-17,02:00PM,Jackbox CEO on post-pandemic outlook: The future looks really bright,0.0,0.738,0.262,0.4927
75,REGN,2021-03-17,01:48PM,Biopharma Stocks Arent Getting a Lot of Credit. Here Are 5 of the Most Undervalued.,0.0,0.822,0.178,0.3818
76,REGN,2021-03-17,01:35PM,COVID-19 variants are nothing to get overly worried about: Doctor,0.196,0.804,0.0,-0.296
77,REGN,2021-03-17,10:30AM,"The Zacks Analyst Blog Highlights: Gilead Sciences, Regeneron Pharma, Sanofi, Novavax and Translate Bio",0.0,1.0,0.0,0.0
78,REGN,2021-03-16,02:43PM,Enseo technology makes staying in a hotel contactless amid pandemic,0.0,1.0,0.0,0.0
79,REGN,2021-03-16,02:09PM,"Biotech Stock Roundup: REGN's Cancer Drug Positive, COVID-19 Updates From NVAX & More",0.244,0.556,0.2,-0.2023
80,REGN,2021-03-16,01:30PM,The COVID-19 rescue plan isnt nearly enough for the housing sector: NAA CEO,0.0,0.784,0.216,0.5106
81,REGN,2021-03-16,10:26AM,Modernas COVID-19 vaccine trial for children begins,0.0,1.0,0.0,0.0
82,REGN,2021-03-16,07:35AM,"AstraZeneca to supply U.S. with extra 500,000 doses of COVID-19 antibody-based cocktail",0.0,1.0,0.0,0.0
83,REGN,2021-03-15,02:04PM,Lifted COVID-19 restrictions becoming problematic for airline workers: AFA President,0.244,0.756,0.0,-0.4404
84,REGN,2021-03-15,01:23PM,"Regeneron (REGN), Sanofi's Libtayo Positive for Cervical Cancer",0.314,0.429,0.257,-0.2023
85,REGN,2021-03-15,10:19AM,What comes next for the market and the world after a year of COVID-19,0.0,1.0,0.0,0.0
86,REGN,2021-03-15,09:38AM,Fauci concerned over surge in European COVID-19 cases,0.0,1.0,0.0,0.0
87,REGN,2021-03-15,06:41AM,Regeneron/Sanofi Boast Positive Overall Survival Results In Late-Stage Cervical Cancer Study,0.259,0.529,0.212,-0.2023
88,REGN,2021-03-15,02:00AM,Phase 3 Trial of Libtayo® (cemiplimab) Monotherapy in Advanced Cervical Cancer Stopped Early for Positive Result on Overall Survival,0.243,0.541,0.216,-0.1779
89,REGN,2021-03-12,05:52PM,U.S. limits supply of Eli Lilly's COVID-19 antibody therapy in 3 states,0.0,1.0,0.0,0.0
