,ticker,date,time,headline,neg,neu,pos,compound
0,RE,2021-03-29,12:00PM,Everest Re Group Appoints Anne Rocco as Group Chief Transformation and Shared Services Leader,0.0,0.844,0.156,0.34
1,RE,2021-03-25,02:58PM,"Everest Re Group to Hold First Quarter 2021 Earnings Conference Call on Thursday, April 29, 2021",0.0,1.0,0.0,0.0
2,RE,2021-03-12,03:56AM,"Everest Re Group, Ltd. (NYSE:RE) Has Fared Decently But Fundamentals Look Uncertain: What Lies Ahead For The Stock?",0.238,0.762,0.0,-0.6124
3,RE,2021-03-11,10:09AM,Here's Why You Should Hold Everest Re (RE) in Your Portfolio,0.0,1.0,0.0,0.0
4,RE,2021-03-10,11:30AM,Everest Re (RE) Up 6.1% Since Last Earnings Report: Can It Continue?,0.0,1.0,0.0,0.0
5,RE,2021-02-27,12:33PM,We Think BrainChip Holdings (ASX:BRN) Can Afford To Drive Business Growth,0.0,0.794,0.206,0.3818
6,RE,2021-02-24,05:40PM,Everest Re Group Announces Dividend,0.0,1.0,0.0,0.0
7,RE,2021-02-09,03:00PM,Everest Re Group Ltd (RE) Q4 2020 Earnings Call Transcript,0.0,1.0,0.0,0.0
8,RE,2021-02-09,09:52AM,"Everest Re (RE) Q4 Earnings Lag Estimates, Revenues Rise Y/Y",0.211,0.789,0.0,-0.34
9,RE,2021-02-08,04:35PM,Recap: Everest Re Group Q4 Earnings,0.0,1.0,0.0,0.0
10,RE,2021-02-08,04:15PM,Everest Re Group Reports Fourth Quarter and Full Year 2020 Results: Full Year Net Income of $514 Million,0.0,1.0,0.0,0.0
11,RE,2021-02-05,10:17AM,Earnings Preview for Everest Re Group,0.0,1.0,0.0,0.0
12,RE,2021-02-04,11:30AM,Cat Loss to Weigh on Everest Re Group's (RE) Q4 Earnings,0.187,0.813,0.0,-0.3182
13,RE,2021-01-25,04:15PM,Everest Provides Preliminary Information on Fourth Quarter and Full Year 2020 Results,0.0,1.0,0.0,0.0
14,RE,2021-01-11,07:29AM,Does Everest Re Group (NYSE:RE) Deserve A Spot On Your Watchlist?,0.0,1.0,0.0,0.0
15,RE,2021-01-08,09:10AM,Here's Why Hold is an Apt Strategy for Alleghany (Y) Stock Now,0.0,1.0,0.0,0.0
16,RE,2021-01-08,07:28AM,"Zacks Value Trader Highlights: Everest Re Group, KB Home, Manulife Financial, ODP Corp and Sanmina Corp",0.0,0.862,0.138,0.34
17,RE,2021-01-06,04:15PM,"Everest Re Group to Hold Fourth Quarter and Year End 2020 Earnings Conference Call on Tuesday, February 9, 2021",0.0,1.0,0.0,0.0
18,RE,2020-12-22,09:24AM,Is RE A Good Stock To Buy According To Hedge Funds?,0.0,0.756,0.244,0.4404
19,RE,2020-12-14,10:40AM,Why Hold is an Apt Strategy for Everest Re Group (RE) Stock,0.0,1.0,0.0,0.0
20,RE,2020-11-30,10:12AM,Understanding Everest Re Group's Ex-Dividend Date,0.0,1.0,0.0,0.0
21,RE,2020-11-26,01:57AM,"Everest Re Group, Ltd. (NYSE:RE) Is About To Go Ex-Dividend, And It Pays A 2.6% Yield",0.0,1.0,0.0,0.0
22,RE,2020-11-20,04:28PM,Mason Hawkins' Southeastern Buys 5 Stocks in 3rd Quarter,0.0,1.0,0.0,0.0
