,ticker,date,time,headline,neg,neu,pos,compound
0,RHI,2021-04-12,01:37PM,Protiviti Named to the Fortune '100 Best Companies to Work For' List Again,0.0,0.741,0.259,0.6369
1,RHI,2021-04-12,12:40PM,Robert Half Named To The FORTUNE 100 Best Companies To Work For® List,0.0,0.741,0.259,0.6369
2,RHI,2021-04-07,09:03AM,Protiviti Launches 'Birdies for Meals' Campaign with Professional Golfers Matt Fitzpatrick and Jennifer Kupcho to Fight Hunger,0.235,0.765,0.0,-0.5574
3,RHI,2021-04-05,11:03AM,Protiviti Joins Catalyst CEO Champions for Change,0.0,0.638,0.362,0.5267
4,RHI,2021-03-31,12:00PM,What Makes Robert Half (RHI) a New Buy Stock,0.0,1.0,0.0,0.0
5,RHI,2021-03-22,11:03AM,Protiviti Named One of the 2021 'Best Workplaces in Texas' by Great Place to Work,0.0,0.61,0.39,0.8519
6,RHI,2021-03-22,09:32AM,The Returns On Capital At Robert Half International (NYSE:RHI) Don't Inspire Confidence,0.363,0.637,0.0,-0.6908
7,RHI,2021-03-09,11:44AM,Enhance Energy - Megatonne Milestone - Charting a New and Cleaner Path Forward by Capturing Co2 and Producing Lower Carbon Energy,0.1,0.633,0.267,0.4019
8,RHI,2021-02-27,11:30AM,Robert Half (RHI) Up 20.1% Since Last Earnings Report: Can It Continue?,0.0,1.0,0.0,0.0
9,RHI,2021-02-25,10:03AM,Protiviti Teams with Celonis to Deliver Controls Excellence Process Mining App,0.0,0.709,0.291,0.6249
10,RHI,2021-02-19,12:42AM,Read This Before Considering Robert Half International Inc. (NYSE:RHI) For Its Upcoming US$0.38 Dividend,0.0,1.0,0.0,0.0
11,RHI,2021-02-17,03:41PM,Four Robert Half Executives Named To Staffing Industry Analysts' North America 2021 Staffing 100,0.0,1.0,0.0,0.0
12,RHI,2021-02-16,06:18PM,Robert Half Included On Barron's List Of Most Sustainable Companies,0.0,1.0,0.0,0.0
13,RHI,2021-02-11,04:28PM,Robert Half Announces Quarterly Dividend,0.0,1.0,0.0,0.0
14,RHI,2021-02-11,04:28PM,Robert Half Announces Quarterly Dividend,0.0,1.0,0.0,0.0
15,RHI,2021-02-10,12:00PM,"Olli Brands Inc., Canada's Leading Independent Cannabis Goods Manufacturer Partners with Canada's Premier Sales Agency humble+ Cannabis Solutions",0.0,0.909,0.091,0.1779
16,RHI,2021-02-09,08:20PM,Robert Half Recognized By Forbes As One Of The Best Large Employers 2021,0.0,0.741,0.259,0.6369
17,RHI,2021-02-03,06:03AM,"Focus on Resilience and the Workforce are Key to Addressing Business Leaders' Top Risk Concerns Over the Next Decade, Protiviti-NC State Global Survey Finds",0.081,0.849,0.069,-0.0772
18,RHI,2021-02-02,06:03AM,"Zacks.com featured highlights include: Medifast, 1800 FLOWERS, Marine Products, AllianceBernstein Holding and Robert Half International",0.0,1.0,0.0,0.0
19,RHI,2021-02-01,12:45PM,"Is Robert Half (RHI) a Solid Growth Stock? 3 Reasons to Think "" Yes """,0.0,0.537,0.463,0.7096
20,RHI,2021-02-01,01:17AM,Results: Robert Half International Inc. Exceeded Expectations And The Consensus Has Updated Its Estimates,0.0,1.0,0.0,0.0
21,RHI,2021-01-29,01:03PM,Why Robert Half International Stock Jumped Today,0.0,1.0,0.0,0.0
22,RHI,2021-01-29,12:00PM,What Makes Robert Half (RHI) a New Buy Stock,0.0,1.0,0.0,0.0
