,ticker,date,time,headline,neg,neu,pos,compound
0,ROK,2021-04-13,12:05PM,Lakeland Industries (LAKE) to Post Q4 Earnings: What to Expect?,0.0,1.0,0.0,0.0
1,ROK,2021-04-13,07:00AM,Rockwell Automation to Report Second Quarter Fiscal 2021 Results,0.0,1.0,0.0,0.0
2,ROK,2021-04-08,10:47AM,Is ROK Stock A Buy or Sell?,0.0,1.0,0.0,0.0
3,ROK,2021-04-01,07:47AM,"The Zacks Analyst Blog Highlights: NXP Semiconductors, Marvell Technology, Rockwell Automation, PTC and Qorvo",0.0,1.0,0.0,0.0
4,ROK,2021-03-31,09:03AM,Top 5 ROE Picks as Markets Brace for Mega Infrastructure Plan,0.0,0.833,0.167,0.2023
5,ROK,2021-03-31,08:53AM,5 IoT Stocks to Boost Portfolio on 5G Boom-Led Demand Uptick,0.123,0.656,0.221,0.296
6,ROK,2021-03-11,04:45PM,"RBC Stock, IBD Stock Of The Day, Powers Into Buy Range Amid Accelerating Growth",0.0,0.833,0.167,0.3818
7,ROK,2021-03-09,07:00AM,Rockwell Automation to Present at Bank of America Global Industrials Conference,0.0,1.0,0.0,0.0
8,ROK,2021-03-08,07:00AM,Rockwell Automation to Present at J.P. Morgan Industrials Conference,0.0,1.0,0.0,0.0
9,ROK,2021-02-22,07:00AM,"Rockwell Automation Names Bobby Griffin as Its First Chief Diversity, Equity & Inclusion Officer",0.0,1.0,0.0,0.0
10,ROK,2021-02-17,09:03AM,Better Buy: Emerson Electric vs. Rockwell Automation,0.0,0.674,0.326,0.4404
11,ROK,2021-02-17,04:50AM,10 Best EV Stocks to Buy According to Cathie Wood,0.0,0.682,0.318,0.6369
12,ROK,2021-02-16,11:28PM,Rockwell Automation Announces New Chief Financial Officer,0.0,1.0,0.0,0.0
13,ROK,2021-02-16,07:00AM,Rockwell Automation Announces New Chief Financial Officer,0.0,1.0,0.0,0.0
14,ROK,2021-02-10,11:21AM,Looking Into Rockwell Automation's Return On Capital Employed,0.0,1.0,0.0,0.0
15,ROK,2021-02-10,07:00AM,Rockwell Automation to Present at Citis 2021 Global Industrials Virtual Conference,0.0,1.0,0.0,0.0
16,ROK,2021-02-09,07:00AM,Rockwell Automation to Present at Barclays Industrial Select Conference,0.0,1.0,0.0,0.0
17,ROK,2021-02-06,09:49PM,12 Best Industrial Stocks to Buy Now,0.0,0.588,0.412,0.6369
18,ROK,2021-02-05,05:14AM,Rockwell Automation May Decline Before Longer-Term Gains,0.0,0.714,0.286,0.34
19,ROK,2021-02-03,04:22PM,Rockwell Automation Declares Quarterly Dividend of $1.07 Per Share on Common Stock,0.0,0.833,0.167,0.296
20,ROK,2021-02-01,03:38PM,Rockwell Automation Wins Big at 34th Annual Control Engineering 2021 Engineers Choice Awards,0.0,0.621,0.379,0.7717
21,ROK,2021-01-29,05:47AM,"Zacks.com featured highlights include: Crown Holdings, Rockwell Automation, PerkinElmer, KeyCorp and ONEOK",0.0,1.0,0.0,0.0
22,ROK,2021-01-27,02:32PM,Top Stocks for February 2021,0.0,0.69,0.31,0.2023
23,ROK,2021-01-26,01:00PM,Rockwell Automation Inc (ROK) Q1 2021 Earnings Call Transcript,0.0,1.0,0.0,0.0
24,ROK,2021-01-26,11:04AM,"Rockwell Automation (ROK) Q1 Earnings Beat Estimates, Up Y/Y",0.0,1.0,0.0,0.0
25,ROK,2021-01-26,10:28AM,3 Companies I Love Whose Valuations Terrify Me,0.287,0.348,0.365,0.2263
26,ROK,2021-01-26,08:25AM,Rockwell Automation (ROK) Q1 Earnings Surpass Estimates,0.0,1.0,0.0,0.0
