,ticker,date,time,headline,neg,neu,pos,compound
0,SBUX,2021-04-13,08:00PM,Yum! Brands Launches Its First American Digital-Only Taco Bell,0.0,1.0,0.0,0.0
1,SBUX,2021-04-13,04:05PM,Starbucks Announces Q2 Fiscal Year 2021 Results Conference Call,0.0,1.0,0.0,0.0
2,SBUX,2021-04-13,09:30AM,"Starbucks Stock Reported Mixed Earnings Results, Is It A Buy Right Now?",0.0,1.0,0.0,0.0
3,SBUX,2021-04-12,03:01PM,Jim Cramer: We're Seeing the Triumph of Big Balance Sheets vs the Small Ones,0.0,0.807,0.193,0.4767
4,SBUX,2021-04-12,01:15PM,McDonald's new chicken sandwiches lose some hype  here's what it means for the company's stock,0.162,0.838,0.0,-0.4019
5,SBUX,2021-04-12,09:52AM,Corporate Americas response to the Georgia voting law,0.0,1.0,0.0,0.0
6,SBUX,2021-04-12,07:58AM,"Zacks.com featured highlights include: Sanderson Farms, Starbucks, Dow, Goldman Sachs and Etsy",0.0,1.0,0.0,0.0
7,SBUX,2021-04-10,10:00AM,Wake Up And Smell the Coffee With Luckin,0.0,1.0,0.0,0.0
8,SBUX,2021-04-09,06:28PM,UBS Commercial Mortgage Trust 2017-C5 -- Moody's affirms eight classes of UBSCM 2017-C5,0.0,0.784,0.216,0.5106
9,SBUX,2021-04-09,06:26PM,UBS Commercial Mortgage Trust 2017-C5 -- Moody's affirms eight classes of UBSCM 2017-C5,0.0,0.784,0.216,0.5106
10,SBUX,2021-04-09,12:00PM,Better Buy: McDonald's vs. Starbucks,0.0,0.58,0.42,0.4404
11,SBUX,2021-04-09,12:01AM,Beyond Burgers: China Plant-Based Protein Market Growing Up,0.0,0.805,0.195,0.1779
12,SBUX,2021-04-08,11:30AM,Is Starbucks (SBUX) Stock Outpacing Its Retail-Wholesale Peers This Year?,0.0,1.0,0.0,0.0
13,SBUX,2021-04-08,06:53AM,Where Will Starbucks Be in 10 Years?,0.0,1.0,0.0,0.0
14,SBUX,2021-04-07,03:48PM,Starbucks oat-milk shortage comes as sales of plant-based food soar,0.182,0.818,0.0,-0.25
15,SBUX,2021-04-07,01:19PM,Starbucks Is Testing Reusable-Cup Rentals,0.0,1.0,0.0,0.0
16,SBUX,2021-04-07,10:04AM,Why This Strategist Says Starbucks Has The Most Upside In Restaurant Space,0.0,1.0,0.0,0.0
17,SBUX,2021-04-06,01:50PM,Starbucks begins points-earning Borrow a Cup trial for Earth Month,0.0,1.0,0.0,0.0
18,SBUX,2021-04-06,10:40AM,"If You Invested $1,000 In Starbucks 10 Years Ago, Here's How Much You'd Have Now",0.0,1.0,0.0,0.0
19,SBUX,2021-04-05,10:47PM,Starbucks to End Disposable Cup Use in South Korea by 2025,0.0,1.0,0.0,0.0
20,SBUX,2021-04-05,01:31PM,Is Starbucks Corp. (SBUX) Still A Good Investment?,0.0,0.674,0.326,0.4404
21,SBUX,2021-04-05,10:37AM,"Starbucks s Biased in Promoting Minority Workers, Study Says, Numbers Dont Lie,",0.154,0.662,0.184,0.1027
22,SBUX,2021-04-05,10:25AM,Starbucks Is Looking Frothy With Signs of Weakness,0.286,0.714,0.0,-0.4215
23,SBUX,2021-04-02,10:16AM,Starbucks Is Set to Soar on Reopening and Expansion Plans,0.0,1.0,0.0,0.0
24,SBUX,2021-03-31,12:10PM,Can Starbucks (SBUX) Keep the Earnings Surprise Streak Alive?,0.0,0.598,0.402,0.5719
25,SBUX,2021-03-29,12:36PM,"Ackman says capitalism is 'the most powerful potential source' for solving society's problems, touts ESG investing",0.178,0.564,0.258,0.4005
26,SBUX,2021-03-29,06:22AM,Chamath Palihapitiya Has Invested in 14 Different SPACs and PIPEs -- Which Are the Best Buys Now?,0.0,0.792,0.208,0.6369
27,SBUX,2021-03-27,07:15AM,3 Stocks Warren Buffett Would Love,0.0,0.488,0.512,0.6369
28,SBUX,2021-03-27,05:30AM,3 Dividend Stocks I'd Absolutely Buy if the Market Crashed,0.0,1.0,0.0,0.0
29,SBUX,2021-03-26,11:19AM,7 Ways to Define a Blue-Chip,0.0,1.0,0.0,0.0
30,SBUX,2021-03-26,08:00AM,3 Stocks You Can Keep Forever,0.0,1.0,0.0,0.0
31,SBUX,2021-03-25,02:41PM,"Snapple is getting a huge makeover, owner Keurig Dr. Pepper CEO reveals",0.0,0.813,0.187,0.3182
32,SBUX,2021-03-25,06:02AM,3 Stocks I'll Hold Forever,0.0,1.0,0.0,0.0
33,SBUX,2021-03-23,09:49AM,"Company News for Mar 23, 2021",0.0,1.0,0.0,0.0
34,SBUX,2021-03-23,09:33AM,Factors Setting the Tone for Darden's (DRI) Q3 Earnings,0.0,1.0,0.0,0.0
35,SBUX,2021-03-22,10:56AM,Starbucks aims to cut water usage in the coffee supply by 2030,0.16,0.84,0.0,-0.2732
36,SBUX,2021-03-22,07:23AM,"Nestle Rolls Out Touchless Coffee Machines, New Flavors",0.0,1.0,0.0,0.0
37,SBUX,2021-03-20,07:38PM,Is Starbucks (SBUX) Stock A Buy or Sell?,0.0,1.0,0.0,0.0
38,SBUX,2021-03-20,10:03AM,"Benzinga's Bulls And Bears Of The Week: Comcast, Disney, Nike, Starbucks, Tesla And More",0.0,1.0,0.0,0.0
39,SBUX,2021-03-20,09:26AM,The World's 5 Largest Restaurant Stocks in 2021,0.0,1.0,0.0,0.0
40,SBUX,2021-03-20,07:30AM,"While the Nasdaq Crashed, These 3 Dividend Stocks Soared",0.0,1.0,0.0,0.0
41,SBUX,2021-03-19,05:50PM,Starbucks (SBUX) Dips More Than Broader Markets: What You Should Know,0.0,1.0,0.0,0.0
42,SBUX,2021-03-19,12:26PM,Why This Starbucks Analyst Says Coffee Giant's 2021 Guidance Is Conservative,0.0,1.0,0.0,0.0
43,SBUX,2021-03-19,12:10PM,Starbucks Corporation -- Moody's announces completion of a periodic review of ratings of Starbucks Corporation,0.0,1.0,0.0,0.0
44,SBUX,2021-03-19,11:29AM,"Upgrades and Downgrades: Starbucks, MGM Resorts, Beyond Meat",0.0,1.0,0.0,0.0
45,SBUX,2021-03-19,11:28AM,3 Stocks to Help You Build Retirement Wealth,0.0,0.459,0.541,0.7096
46,SBUX,2021-03-19,10:16AM,"Starbucks Can Keep Up Momentum in the U.S. and China, Analyst Says. Its Time to Buy the Stock.",0.0,1.0,0.0,0.0
