,ticker,date,time,headline,neg,neu,pos,compound
0,SEE,2021-04-13,07:00AM,SEE to Hold Conference Call to Discuss First Quarter 2021 Results,0.0,1.0,0.0,0.0
1,SEE,2021-04-09,09:11AM,Sealed Air (SEE) Bets on Strong Demand Amid High Input Costs,0.109,0.652,0.239,0.4215
2,SEE,2021-03-19,06:29AM,"If You Had Bought Sealed Air (NYSE:SEE) Stock A Year Ago, You Could Pocket A 109% Gain Today",0.0,0.815,0.185,0.5267
3,SEE,2021-03-09,09:28AM,"The Zacks Analyst Blog Highlights: International Paper Co, Amcor, Packaging Corporation of America and Sealed Air Corp",0.0,1.0,0.0,0.0
4,SEE,2021-03-03,10:31AM,Ex-Dividend Date Insight: Sealed Air,0.0,1.0,0.0,0.0
5,SEE,2021-03-02,05:20PM,Diamond (BC) B.V. -- Moody's says IPO would be credit positive for Diversey,0.0,0.538,0.462,0.8225
6,SEE,2021-02-26,07:00AM,SEE Announces Upcoming Events with the Financial Community,0.0,1.0,0.0,0.0
7,SEE,2021-02-23,07:00AM,Sealed Air Announces Ambitious Goal to Reach Net-Zero Carbon Emissions by 2040,0.0,0.704,0.296,0.4939
8,SEE,2021-02-15,01:00PM,SEE Announces Upcoming Event with the Financial Community,0.0,1.0,0.0,0.0
9,SEE,2021-02-11,04:30PM,Sealed Air Declares Quarterly Cash Dividend,0.0,1.0,0.0,0.0
10,SEE,2021-02-09,03:00PM,Sealed Air Corp (SEE) Q4 2020 Earnings Call Transcript,0.0,1.0,0.0,0.0
11,SEE,2021-02-09,09:33AM,Sealed Air (SEE) Earnings and Sales Surpass Estimates in Q4,0.0,1.0,0.0,0.0
12,SEE,2021-02-09,08:25AM,Sealed Air (SEE) Tops Q4 Earnings and Revenue Estimates,0.0,0.708,0.292,0.5106
13,SEE,2021-02-09,07:48AM,Recap: Sealed Air Q4 Earnings,0.0,1.0,0.0,0.0
14,SEE,2021-02-09,07:00AM,SEE Reports Q4 and Full Year 2020 Results,0.0,1.0,0.0,0.0
15,SEE,2021-02-04,08:16AM,Sealed Air (SEE) to Report Q4 Earnings: What's in the Offing?,0.0,1.0,0.0,0.0
16,SEE,2021-02-02,12:31PM,Sealed Air (SEE) Earnings Expected to Grow: What to Know Ahead of Next Week's Release,0.0,1.0,0.0,0.0
17,SEE,2021-01-22,04:03AM,Should You Investigate Sealed Air Corporation (NYSE:SEE) At US$45.15?,0.0,1.0,0.0,0.0
18,SEE,2021-01-21,04:15PM,"JD Bancshares, Inc. Reports Financial Results for Three and Twelve-Month Periods Ended December 31, 2020",0.0,1.0,0.0,0.0
19,SEE,2021-01-21,10:00AM,"JD Bancshares, Inc. Declares Cash Dividend",0.0,1.0,0.0,0.0
20,SEE,2021-01-18,07:50AM,Sealed Air (SEE) Offers Packaging Solutions for COVID-19 Vaccines,0.0,0.825,0.175,0.1779
21,SEE,2021-01-17,08:10PM,10 Best Packaging Stocks To Buy Now,0.0,0.588,0.412,0.6369
22,SEE,2021-01-14,04:30PM,Sealed Air Continues to Play Critical Role in Packaging Solutions to Support COVID-19 Needs,0.12,0.524,0.356,0.5423
