,ticker,date,time,headline,neg,neu,pos,compound
0,SLB,2021-04-12,12:17PM,Texas-based companies speak out against restrictive voting bills: 'Voting is a sacred right',0.0,1.0,0.0,0.0
1,SLB,2021-04-12,07:48AM,Avoid Tanking Up on Schlumberger,0.355,0.645,0.0,-0.296
2,SLB,2021-04-09,12:10PM,Will Schlumberger (SLB) Beat Estimates Again in Its Next Earnings Report?,0.0,1.0,0.0,0.0
3,SLB,2021-04-01,06:41AM,"Oil & Gas Stock Roundup: Updates From Equinor, Ovintiv, Oasis, Eni & Schlumberger",0.0,1.0,0.0,0.0
4,SLB,2021-03-30,10:11AM,Why You Need to Own Schlumberger,0.0,1.0,0.0,0.0
5,SLB,2021-03-29,11:00AM,Schlumberger (SLB) Secures Deal to Drill Wells in Southern Iraq,0.0,0.65,0.35,0.5106
6,SLB,2021-03-29,09:00AM,"Schlumberger and Microsoft Expand Partnership to Bring Open, Enterprise-Scale Data Management to the Energy Industry",0.0,0.747,0.253,0.5267
7,SLB,2021-03-25,04:28PM,"Schlumberger Holdings Corporation -- Moody's changes Schlumberger's outlook to stable, affirms A2 senior unsecured rating",0.146,0.73,0.124,-0.1027
8,SLB,2021-03-22,12:17PM,Is Schlumberger Limited (SLB) A Smart Long-Term Buy?,0.198,0.521,0.281,0.2023
9,SLB,2021-03-22,09:08AM,Is Schlumberger (SLB) Stock A Buy or Sell?,0.0,1.0,0.0,0.0
10,SLB,2021-03-18,09:46AM,UPDATE 2-Schlumberger unit to launch Nevada lithium plant as EV demand rises,0.12,0.88,0.0,-0.128
11,SLB,2021-03-18,09:00AM,Schlumberger New Energy Venture to Launch a Lithium Extraction Pilot Plant in Nevada,0.0,0.84,0.16,0.2732
12,SLB,2021-03-17,10:00AM,Schlumberger Announces First-Quarter 2021 Results Conference Call,0.0,1.0,0.0,0.0
13,SLB,2021-03-12,07:10PM,"NXP Semiconductors, Penn National Gaming, Generac Holdings and Caesars Entertainment Set to Join S&P 500; Others to Join S&P MidCap 400, S&P SmallCap 600 and S&P 100",0.0,0.769,0.231,0.7351
14,SLB,2021-03-04,09:09AM,"Chevron to build California carbon capture plant with Microsoft, Schlumberger",0.0,1.0,0.0,0.0
15,SLB,2021-03-04,09:00AM,"Chevron to build California carbon capture plant with Microsoft, Schlumberger",0.0,1.0,0.0,0.0
16,SLB,2021-03-04,09:00AM,"Schlumberger New Energy, Chevron, and Microsoft Collaborate on Carbon Negative Bioenergy",0.25,0.608,0.142,-0.3818
17,SLB,2021-02-25,04:40PM,The Top 5 Trades of Ronald Muhlenkamp's Firm,0.0,0.769,0.231,0.2023
18,SLB,2021-02-22,10:30AM,Top 10 Energy Sector Stocks for 2021,0.0,0.562,0.438,0.4404
19,SLB,2021-02-19,04:31PM,Schlumberger Finance Canada Ltd. -- Moody's announces completion of a periodic review of ratings of Schlumberger Ltd,0.0,1.0,0.0,0.0
20,SLB,2021-02-19,04:29PM,Cameron International Corporation -- Moody's announces completion of a periodic review of ratings of Schlumberger Holdings Corporation,0.0,1.0,0.0,0.0
21,SLB,2021-02-08,12:05PM,"Schlumberger New Energy, the CEA and Partners Announce Appointment of CEO of Genvia, a Clean Hydrogen Production Technology Venture",0.0,0.769,0.231,0.5859
22,SLB,2021-02-05,08:00PM,Liberty Oilfield Services Inc. (LBRT) Q4 2020 Earnings Call Transcript,0.0,0.726,0.274,0.5267
23,SLB,2021-01-27,08:36AM,"Oil & Gas Stock Roundup Headlined by SLB, KMI & BKR's Q4 Earnings",0.0,1.0,0.0,0.0
24,SLB,2021-01-26,01:49PM,15 Best Beaten Down Stocks to Buy Now,0.215,0.462,0.323,0.34
25,SLB,2021-01-26,01:46PM,GS Mortgage Securities Trust 2014-GC26 -- Moody's affirms nine classes and downgrades one class of GSMS 2014-GC26,0.0,0.732,0.268,0.6705
26,SLB,2021-01-25,03:26AM,Schlumberger Shares Gain as Earnings Top Estimates,0.0,0.351,0.649,0.7506
27,SLB,2021-01-22,06:00PM,Schlumberger Limited (SLB) Q4 2020 Earnings Call Transcript,0.213,0.787,0.0,-0.2263
28,SLB,2021-01-22,01:00PM,Schlumberger Dips Despite 4th-Quarter Revenue Beat,0.0,1.0,0.0,0.0
29,SLB,2021-01-22,11:33AM,Schlumberger Earnings Were Impressive. Why Its Stock Dipped.,0.0,0.68,0.32,0.5106
30,SLB,2021-01-22,11:06AM,Schlumberger (SLB) Q4 Earnings & Revenues Beat Estimates,0.0,1.0,0.0,0.0
31,SLB,2021-01-22,08:05AM,Schlumberger (SLB) Tops Q4 Earnings and Revenue Estimates,0.0,0.68,0.32,0.5106
32,SLB,2021-01-22,07:36AM,A Look Into Schlumberger's Debt,0.455,0.545,0.0,-0.3612
33,SLB,2021-01-22,07:25AM,Schlumberger echoes rivals' oil recovery predictions after results beat,0.0,1.0,0.0,0.0
34,SLB,2021-01-22,07:05AM,Schlumberger: Q4 Earnings Insights,0.0,1.0,0.0,0.0
35,SLB,2021-01-22,06:50AM,Schlumberger Announces Fourth-Quarter and Full-Year 2020 Results,0.0,1.0,0.0,0.0
36,SLB,2021-01-22,06:30AM,Schlumberger NV to Host Earnings Call,0.0,1.0,0.0,0.0
37,SLB,2021-01-22,01:50AM,"Pandemic Turns Grimmer, Intel and IBM Disappoint; EIA Data - What's up in Markets",0.321,0.679,0.0,-0.6369
