,ticker,date,time,headline,neg,neu,pos,compound
0,SLCA,2021-04-13,05:15PM,U.S. Silica Announces Timing of Earnings Release and Investor Call,0.0,1.0,0.0,0.0
1,SLCA,2021-04-01,11:09AM,"SHAREHOLDER ALERT: Purcell Julie & Lefkowitz LLP Is Investigating U.S. Silica Holdings, Inc. for Potential Breaches of Fiduciary Duty By Its Board of Directors",0.0,0.882,0.118,0.4466
2,SLCA,2021-04-01,10:04AM,U.S. Silica (SLCA) to Up Price of Industrial & Specialty Products,0.0,1.0,0.0,0.0
3,SLCA,2021-04-01,08:05AM,"U.S. Silica Holdings, Inc. (NYSE:SLCA) Shares Could Be 45% Below Their Intrinsic Value Estimate",0.0,0.723,0.277,0.5574
4,SLCA,2021-03-30,04:01PM,U.S. Silica Announces Price Increases on Industrial and Specialty Products,0.0,1.0,0.0,0.0
5,SLCA,2021-03-28,11:30AM,Silica Holdings (SLCA) Up 8.6% Since Last Earnings Report: Can It Continue?,0.0,1.0,0.0,0.0
6,SLCA,2021-03-08,09:15AM,Silica Holdings (SLCA) Hits Fresh High: Is There Still Room to Run?,0.0,0.827,0.173,0.3182
7,SLCA,2021-03-01,09:38AM,U.S. Silica (SLCA) Q4 Earnings & Revenues Beat Estimates,0.0,1.0,0.0,0.0
8,SLCA,2021-02-26,11:31AM,US Silica Holdings Inc (SLCA) Q4 2020 Earnings Call Transcript,0.0,1.0,0.0,0.0
9,SLCA,2021-02-26,08:05AM,"Silica Holdings (SLCA) Reports Q4 Loss, Tops Revenue Estimates",0.183,0.556,0.262,0.25
10,SLCA,2021-02-26,06:30AM,"U.S. Silica Holdings, Inc. to Host Earnings Call",0.0,1.0,0.0,0.0
11,SLCA,2021-02-26,06:30AM,"U.S. Silica Holdings, Inc. Announces Fourth Quarter and Full Year 2020 Results",0.0,1.0,0.0,0.0
12,SLCA,2021-02-25,10:03AM,US Silica Holdings Earnings Preview,0.0,1.0,0.0,0.0
13,SLCA,2021-02-17,03:12PM,U. S. Silica Announces Timing of Earnings Release and Investor Call,0.0,1.0,0.0,0.0
14,SLCA,2021-02-15,05:46AM,"What Kind Of Shareholders Own U.S. Silica Holdings, Inc. (NYSE:SLCA)?",0.0,1.0,0.0,0.0
15,SLCA,2021-01-15,12:51PM,Ariel Investments Stays Optimistic to U.S. Silica (SLCA),0.0,0.753,0.247,0.3182
16,SLCA,2021-01-05,09:04AM,IAMGOLD (IAG) Jumps: Stock Rises 7.1%,0.0,1.0,0.0,0.0
17,SLCA,2020-12-17,03:29AM,If You Had Bought U.S. Silica Holdings' (NYSE:SLCA) Shares Three Years Ago You Would Be Down 74%,0.0,0.879,0.121,0.296
