,ticker,date,time,headline,neg,neu,pos,compound
0,SNA,2021-04-08,08:00AM,Snap-on Incorporated to Webcast 2021 First Quarter Results Conference Call,0.0,1.0,0.0,0.0
1,SNA,2021-04-02,11:45AM,Why Snap-On (SNA) is a Great Dividend Stock Right Now,0.0,0.661,0.339,0.6249
2,SNA,2021-03-19,07:01AM,Is Snap-on's (NYSE:SNA) 111% Share Price Increase Well Justified?,0.0,0.35,0.65,0.8074
3,SNA,2021-03-17,11:45AM,Snap-On (SNA) is a Top Dividend Stock Right Now: Should You Buy?,0.0,0.847,0.153,0.2023
4,SNA,2021-03-09,02:24PM,Snap-on (SNA) Expands Repair Solutions by Dealer-FX Buyout,0.0,0.659,0.341,0.2732
5,SNA,2021-03-08,06:30AM,"Snap-on Acquires Dealer-FX Group, Inc.",0.0,1.0,0.0,0.0
6,SNA,2021-03-06,11:31AM,Snap-On (SNA) Up 15.1% Since Last Earnings Report: Can It Continue?,0.0,1.0,0.0,0.0
7,SNA,2021-03-03,08:00AM,Snap-on to Present at 2021 BofA Securities Consumer & Retail Technology Conference,0.0,0.82,0.18,0.296
8,SNA,2021-03-01,11:45AM,This is Why Snap-On (SNA) is a Great Dividend Stock,0.0,0.661,0.339,0.6249
9,SNA,2021-02-17,12:09AM,Snap-on (NYSE:SNA) Could Be A Buy For Its Upcoming Dividend,0.0,1.0,0.0,0.0
10,SNA,2021-02-15,05:51AM,Our Take On The Returns On Capital At Snap-on (NYSE:SNA),0.0,1.0,0.0,0.0
11,SNA,2021-02-11,05:30PM,Snap-on Incorporated Declares Quarterly Dividend,0.0,1.0,0.0,0.0
12,SNA,2021-02-08,11:45AM,Snap-On (SNA) is a Top Dividend Stock Right Now: Should You Buy?,0.0,0.847,0.153,0.2023
13,SNA,2021-02-05,10:00AM,Snap-on's Debt Overview,0.556,0.444,0.0,-0.3612
14,SNA,2021-02-04,08:01PM,Snap-on (SNA) Q4 2020 Earnings Call Transcript,0.0,1.0,0.0,0.0
15,SNA,2021-02-04,12:07PM,Snap-on (SNA) Stock Rises as Q4 Earnings & Sales Top Estimates,0.0,0.833,0.167,0.2023
16,SNA,2021-02-04,07:45AM,Snap-On (SNA) Q4 Earnings and Revenues Top Estimates,0.0,0.795,0.205,0.2023
17,SNA,2021-02-04,07:45AM,"Snap-On, Inc. to Host Earnings Call",0.0,1.0,0.0,0.0
18,SNA,2021-02-04,07:27AM,Recap: Snap-on Q4 Earnings,0.0,1.0,0.0,0.0
19,SNA,2021-02-04,06:30AM,Snap-on Announces Fourth Quarter and Full Year 2020 Results,0.0,1.0,0.0,0.0
20,SNA,2021-02-03,10:39AM,"The Zacks Analyst Blog Highlights: Adtalem Global Education, Snap-on, Vista Outdoor, News Corp and Skechers",0.0,1.0,0.0,0.0
21,SNA,2021-02-03,08:45AM,Why Snap-on (SNA) Might Surprise This Earnings Season,0.0,0.769,0.231,0.2732
22,SNA,2021-02-02,07:12AM,5 Consumer Discretionary Stocks to Buy Before Earnings Results,0.0,1.0,0.0,0.0
23,SNA,2021-02-01,11:27AM,Things You Must Know Ahead of Snap-on's (SNA) Q4 Earnings,0.0,1.0,0.0,0.0
24,SNA,2021-01-28,12:32PM,Snap-On (SNA) Expected to Beat Earnings Estimates: Should You Buy?,0.0,1.0,0.0,0.0
25,SNA,2021-01-21,08:00AM,Snap-on Incorporated to Webcast 2020 Fourth Quarter and Full Year Results Conference Call,0.0,1.0,0.0,0.0
