,ticker,date,time,headline,neg,neu,pos,compound
0,SQQQ,2021-03-08,01:22PM,Most Traded Leveraged ETFs for Q2 2021,0.0,1.0,0.0,0.0
1,SQQQ,2020-12-10,07:00AM,Influencers with Andy Serwer: Michael Eric Dyson,0.0,1.0,0.0,0.0
2,SQQQ,2020-10-18,11:10AM,"Netflix, Tesla report earnings results: What to know in the week ahead",0.0,1.0,0.0,0.0
3,SQQQ,2020-09-08,08:33AM,Inverse Tech ETFs Jump as Traders Book Profits,0.0,0.707,0.293,0.4404
4,SQQQ,2020-09-03,12:20PM,Why the explosive stock market rally is suddenly crumbling,0.0,1.0,0.0,0.0
5,SQQQ,2020-07-08,09:15AM,"NASDAQ, S&P End 5-Day Winning Streaks",0.0,0.595,0.405,0.5267
6,SQQQ,2020-04-23,09:15AM,Stocks Recover About 2% After Oil Stabilizes,0.0,1.0,0.0,0.0
7,SQQQ,2020-04-15,09:15AM,NASDAQ Makes It Four Days of Gains as Stocks Resume Rally,0.0,0.806,0.194,0.34
8,SQQQ,2020-04-14,09:15AM,NASDAQ has Three-Day Winning Streak,0.0,0.541,0.459,0.5267
9,SQQQ,2020-04-01,03:23PM,The stock market is getting dangerously close to the mother of support zones,0.18,0.659,0.162,-0.0772
10,SQQQ,2020-03-28,02:12PM,To the investors gobbling up stocks: The intraweek rally attempt faces a better-than-even chance of failure,0.18,0.71,0.109,-0.3182
11,SQQQ,2020-03-16,02:44PM,How low can the stock market go? Watch these two support zones,0.142,0.676,0.182,0.1531
12,SQQQ,2020-03-12,07:38PM,"Dos and donts in this stock market: Dont panic, do develop a plan  even if you didnt have one before",0.0,0.869,0.131,0.4023
13,SQQQ,2020-03-10,03:29PM,Stock market investors are asking should I buy or sell? Heres how to decide,0.0,1.0,0.0,0.0
14,SQQQ,2020-03-09,04:12PM,"IBD Live: Dow Jones Plunges 2,000 Points: What To Do As Coronavirus Stock Market Correction Hits New Lows",0.096,0.904,0.0,-0.2023
15,SQQQ,2020-03-03,02:24PM,Head-fake stock market rally may become real with interest-rate cuts,0.196,0.804,0.0,-0.296
16,SQQQ,2020-02-26,12:00AM,Most Actively Traded ETFs,0.0,0.536,0.464,0.3804
17,SQQQ,2020-02-25,10:55AM,Buffett is bullish on stocks but says the market can drop 50%  is he wrong?,0.343,0.657,0.0,-0.7783
18,SQQQ,2020-02-24,07:27AM,"The triple-short Nasdaq 100 ETF is the most active stock in the premarket, as the Nasdaq 100 tumbles",0.0,0.85,0.15,0.4576
19,SQQQ,2020-02-21,08:29AM,3 Leveraged ETFs to Trade a Stock Market Correction,0.0,1.0,0.0,0.0
20,SQQQ,2020-02-05,09:15AM,NASDAQ Reaches New Closing High as Rebound Continues,0.0,0.854,0.146,0.0516
21,SQQQ,2020-02-04,11:44AM,"Central banks money printing buoys stocks, but for how much longer?",0.0,1.0,0.0,0.0
22,SQQQ,2020-02-03,05:41PM,IBD Live: Analyzing The Stock Market After Friday's Coronavirus Sell-Off,0.0,1.0,0.0,0.0
23,SQQQ,2020-02-03,10:53AM,Go Short Amid Coronavirus Volatility with these 5 ETFs,0.0,1.0,0.0,0.0
24,SQQQ,2020-02-01,01:27PM,How the coronavirus scare has driven dangerous arrogance and greed in the stock market,0.554,0.446,0.0,-0.9081
25,SQQQ,2020-01-28,06:01PM,"IBD Live: With Coronavirus Threat, Here's How To Hedge Against Losses",0.404,0.596,0.0,-0.7269
26,SQQQ,2020-01-27,04:56PM,IBD Live: Stock Market Falls On Coronavirus; Time To Take Profits?,0.0,0.775,0.225,0.4404
27,SQQQ,2020-01-27,03:42PM,Watch these stocks and ETFs to gauge the impact of the coronavirus on markets,0.0,1.0,0.0,0.0
28,SQQQ,2020-01-23,09:15AM,Record-Setting Push Loses Momentum,0.434,0.566,0.0,-0.3182
29,SQQQ,2020-01-13,04:58PM,"Stock Market Today At New Highs, But This Hedging Strategy Means You Don't Have To Sell  Yet",0.0,1.0,0.0,0.0
30,SQQQ,2020-01-08,11:43AM,How to Profit from U.S.-Iran Conflict With Inverse ETFs,0.189,0.574,0.238,0.1531
31,SQQQ,2020-01-06,08:00AM,Inverse ETFs to Bet on Market Sell-off,0.0,1.0,0.0,0.0
32,SQQQ,2019-12-07,11:43AM,"Believe in a Santa Claus rally if you want, but first look at this chart",0.0,0.919,0.081,0.0387
33,SQQQ,2019-12-03,08:00AM,Wall Street Loses Maximum Since October: Inverse ETFs to Play,0.181,0.63,0.189,0.0258
34,SQQQ,2019-11-13,01:01AM,NASDAQ Hits New Record Despite Slow Session,0.0,1.0,0.0,0.0
35,SQQQ,2019-11-07,01:13AM,Stocks Take a Rest from Setting All-Time Highs,0.0,1.0,0.0,0.0
36,SQQQ,2019-10-08,04:14PM,10 Bearish ETF Plays to Hedge Against Potentially Weak Earnings,0.225,0.62,0.155,-0.2263
37,SQQQ,2019-10-08,01:17PM,President Trump might just be the best stock market timer ever,0.0,0.704,0.296,0.6369
38,SQQQ,2019-10-04,03:09PM,Jobs report isnt great news for stock investors,0.32,0.68,0.0,-0.5096
39,SQQQ,2019-10-04,09:15AM,Big Turnaround Brings First Green of Q4,0.0,1.0,0.0,0.0
40,SQQQ,2019-10-03,09:15AM,Stocks Down Another 1%-Plus as Q4 Blues Continue,0.0,1.0,0.0,0.0
41,SQQQ,2019-10-02,09:49AM,Inverse Index ETFs Form Potential Double Bottom,0.0,1.0,0.0,0.0
42,SQQQ,2019-09-28,09:15AM,"S&P, Dow Still Positive for September",0.0,0.581,0.419,0.5574
43,SQQQ,2019-09-26,09:15AM,Stocks Brush Politics Aside and Rally,0.0,1.0,0.0,0.0
44,SQQQ,2019-09-18,01:15AM,Rallying Into the Fed Decision,0.0,1.0,0.0,0.0
45,SQQQ,2019-09-12,12:00PM,Guide to the 10 Most-Popular Leveraged Inverse ETFs,0.0,1.0,0.0,0.0
46,SQQQ,2019-08-14,01:16PM,Why this time is different rings true in todays stock market,0.0,0.781,0.219,0.4215
47,SQQQ,2019-08-08,04:10PM,Stock market steps back from the cliffs edge  heres what to watch for next,0.0,1.0,0.0,0.0
48,SQQQ,2019-08-02,08:00AM,Fed &amp; Trade Trigger Market Bloodbath: 6 Hot Inverse ETF Areas,0.0,1.0,0.0,0.0
49,SQQQ,2019-07-15,03:20PM,Consider Bearish ETF Strategies to Hedge Against Weak Earnings Results,0.244,0.756,0.0,-0.4404
50,SQQQ,2019-06-25,11:01AM,Inverse Index ETFs: Bear With Them in January,0.0,1.0,0.0,0.0
51,SQQQ,2019-06-06,09:00AM,Move Away From Low Bond Yields with Inverse ETFs,0.208,0.792,0.0,-0.2732
52,SQQQ,2019-06-04,07:33PM,Bears Making Tech Sector Their Punching Bag Amid Trade Worries,0.237,0.763,0.0,-0.4215
53,SQQQ,2019-06-04,01:00PM,Nasdaq Correction Zone: Short Index With These ETFs,0.0,1.0,0.0,0.0
54,SQQQ,2019-06-03,09:15AM,A May to Forget,0.487,0.513,0.0,-0.2263
55,SQQQ,2019-05-31,11:10AM,Profit From Trump's Anti-Trade Policies With Inverse ETFs,0.0,0.707,0.293,0.4404
56,SQQQ,2019-05-27,07:00AM,Best Inverse ETFs to Play with Low Trading Capital,0.143,0.408,0.449,0.6705
57,SQQQ,2019-05-24,09:15AM,Guest Host Again Tonight,0.0,1.0,0.0,0.0
58,SQQQ,2019-05-13,09:59AM,5 Inverse ETFs That Gained in Double Digits Last Week,0.0,0.755,0.245,0.3818
59,SQQQ,2019-05-10,04:30PM,ProShares Announces ETF Share Splits,0.0,0.645,0.355,0.296
60,SQQQ,2019-05-08,08:00AM,Markets Bleeding in May: How to Short With ETFs,0.0,1.0,0.0,0.0
61,SQQQ,2019-05-06,09:59AM,Trump Tariff Threats Resume: How to Profit With Inverse ETFs,0.204,0.584,0.212,0.0258
62,SQQQ,2019-03-28,01:43PM,Trending: Palladium Continues Record Run as Supply Worries Intensify,0.259,0.741,0.0,-0.4215
63,SQQQ,2019-03-28,09:15AM,Stocks Stuck in a Rut,0.4,0.6,0.0,-0.25
64,SQQQ,2019-03-25,01:00PM,Markets in Red: Invest in Inverse ETFs for Solid Returns,0.0,0.849,0.151,0.1531
65,SQQQ,2019-01-17,09:15AM,Banks Keep Stocks Moving Higher,0.0,1.0,0.0,0.0
66,SQQQ,2019-01-10,09:15AM,"Stocks Stay Positive on Trade Hopes, Still Patient Fed",0.0,0.522,0.478,0.7506
67,SQQQ,2019-01-07,09:15AM,"Another Green Week Thanks to Jobs Report, Powell",0.0,0.707,0.293,0.4404
68,SQQQ,2018-12-07,04:23PM,10 ETF Strategies to Stay Ahead of the Bearish Turn,0.0,1.0,0.0,0.0
69,SQQQ,2018-11-22,09:15AM,"Thankfully, No Steep Selloff on Wednesday",0.244,0.444,0.311,0.1531
70,SQQQ,2018-11-21,01:00PM,How to Profit From Wall Street Crash With ETFs,0.214,0.556,0.23,0.0516
71,SQQQ,2018-11-20,09:15AM,Tech Takes Another Big Bite Out of the Market,0.0,1.0,0.0,0.0
72,SQQQ,2018-10-23,09:15AM,NASDAQ Rises to Start Busy Week for Tech,0.0,1.0,0.0,0.0
73,SQQQ,2018-09-28,04:07PM,ETF Investors Shouldnt Be Too Worried About October Jinx,0.0,0.809,0.191,0.2235
74,SQQQ,2018-09-05,04:07PM,10 Alternative ETFs for a Historically Volatile Month of the Year,0.0,1.0,0.0,0.0
