,ticker,date,time,headline,neg,neu,pos,compound
0,SRPT,2021-04-07,04:53PM,Is SRPT Stock A Buy or Sell?,0.0,1.0,0.0,0.0
1,SRPT,2021-04-01,10:39AM,Is Sarepta Therapeutics Worthy of Redemption?,0.0,0.633,0.367,0.4404
2,SRPT,2021-03-25,07:47AM,Sarepta Therapeutics' Long-Term Potential Is in Flux,0.0,1.0,0.0,0.0
3,SRPT,2021-03-23,08:30AM,"Sarepta Therapeutics Announces Fourth Year of Route 79, The Duchenne Scholarship Program",0.0,1.0,0.0,0.0
4,SRPT,2021-03-19,04:24PM,Can Sarepta's 'Remarkable' Gene Therapy Pull Shares Out Of The Dumps?,0.194,0.647,0.158,-0.128
5,SRPT,2021-03-18,04:31PM,Sarepta Therapeutics Investigational Gene Therapy SRP-9003 for the Treatment of Limb-Girdle Muscular Dystrophy Type 2E Shows Sustained Expression and Functional Improvements 2 Years After Administration,0.0,0.909,0.091,0.3182
6,SRPT,2021-03-15,08:30AM,Sarepta Therapeutics to Present Results from its Gene Therapy and RNA Platforms at the 2021 Annual MDA Clinical and Scientific Conference,0.0,1.0,0.0,0.0
7,SRPT,2021-03-02,10:02AM,"Sarepta (SRPT) Q4 Loss Widens Y/Y, Revenues Beat Estimates",0.223,0.777,0.0,-0.3182
8,SRPT,2021-03-02,08:57AM,Sarepta Therapeutics Stock Drops on Earnings. Why Analysts Remain Hopeful.,0.0,0.732,0.268,0.5106
9,SRPT,2021-03-02,02:01AM,Sarepta Therapeutics (SRPT) Q4 2020 Earnings Call Transcript,0.0,1.0,0.0,0.0
10,SRPT,2021-03-01,05:55PM,"Sarepta Therapeutics (SRPT) Reports Q4 Loss, Tops Revenue Estimates",0.183,0.556,0.262,0.25
11,SRPT,2021-03-01,04:28PM,Recap: Sarepta Therapeutics Q4 Earnings,0.0,1.0,0.0,0.0
12,SRPT,2021-03-01,04:05PM,Sarepta Therapeutics Announces Fourth Quarter and Full-Year 2020 Financial Results and Recent Corporate Developments,0.0,1.0,0.0,0.0
13,SRPT,2021-03-01,02:30PM,"Sarepta Therapeutics, Inc. to Host Earnings Call",0.0,1.0,0.0,0.0
14,SRPT,2021-02-26,07:12PM,Sarepta Therapeutics Announces Inducement Grants Under Nasdaq Listing Rule 5635(c)(4),0.0,0.826,0.174,0.2263
15,SRPT,2021-02-26,10:16AM,Earnings Preview: Sarepta Therapeutics,0.0,1.0,0.0,0.0
16,SRPT,2021-02-25,03:48PM,Sarepta stock rises after FDA approves biotech's Duchenne MD treatment,0.0,0.769,0.231,0.4019
17,SRPT,2021-02-25,02:10PM,Sarepta Therapeutics Announces FDA Approval of AMONDYS 45 (casimersen) Injection for the Treatment of Duchenne Muscular Dystrophy (DMD) in Patients Amenable to Skipping Exon 45,0.0,0.886,0.114,0.4767
18,SRPT,2021-02-24,04:30PM,Sarepta Therapeutics to Present at Upcoming Investor Conferences,0.0,1.0,0.0,0.0
19,SRPT,2021-02-22,08:30AM,"Sarepta Therapeutics to Announce Fourth Quarter and Full-Year 2020 Financial Results and Recent Corporate Developments on March 1, 2021",0.0,1.0,0.0,0.0
20,SRPT,2021-02-22,05:48AM,"The Sarepta Therapeutics (NASDAQ:SRPT) Share Price Has Soared 543%, Delighting Many Shareholders",0.0,0.676,0.324,0.5859
21,SRPT,2021-02-16,09:11AM,"Bluebird Bio Suspends Gene Therapy Trials, Marketing After Cancer Diagnosis",0.328,0.672,0.0,-0.6597
22,SRPT,2021-02-15,09:39PM,"SHAREHOLDER ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Sarepta Therapeutics, Inc. - SRPT",0.0,0.836,0.164,0.4466
23,SRPT,2021-02-13,03:30PM,"SHAREHOLDER ALERT: Pomerantz Law Firm Investigates Claims  On Behalf of Investors of Sarepta Therapeutics, Inc. - SRPT",0.0,0.836,0.164,0.4466
24,SRPT,2021-02-11,12:37PM,"SHAREHOLDER ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Sarepta Therapeutics, Inc. - SRPT",0.0,0.836,0.164,0.4466
25,SRPT,2021-02-08,07:10PM,"SHAREHOLDER ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Sarepta Therapeutics, Inc. - SRPT",0.0,0.836,0.164,0.4466
26,SRPT,2021-02-08,11:11AM,"ONGOING INVESTIGATION REMINDER: The Schall Law Firm Announces it is Investigating Claims Against Sarepta Therapeutics, Inc. and Encourages Investors with Losses of $100,000 to Contact the Firm",0.088,0.817,0.095,0.0516
27,SRPT,2021-02-06,11:18PM,"SHAREHOLDER ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Sarepta Therapeutics, Inc. - SRPT",0.0,0.836,0.164,0.4466
28,SRPT,2021-02-04,07:01PM,"SHAREHOLDER ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Sarepta Therapeutics, Inc. - SRPT",0.0,0.836,0.164,0.4466
29,SRPT,2021-02-04,04:30PM,Sarepta Therapeutics Announces Winners of the Rare Lessons Lesson Planning Competition,0.0,0.763,0.237,0.4767
30,SRPT,2021-02-03,11:15AM,"SRPT Investor Alert - Bronstein, Gewirtz & Grossman, LLC Notifies Investors of Sarepta Therapeutics, Inc. Investigation",0.0,0.855,0.145,0.296
31,SRPT,2021-02-01,05:16PM,"ONGOING INVESTIGATION ALERT: The Schall Law Firm Announces it is Investigating Claims Against Sarepta Therapeutics, Inc. and Encourages Investors with Losses of $100,000 to Contact the Firm",0.083,0.738,0.179,0.4824
32,SRPT,2021-01-29,08:30PM,Sarepta Therapeutics Announces Inducement Grants Under Nasdaq Listing Rule 5635(c)(4),0.0,0.826,0.174,0.2263
33,SRPT,2021-01-22,07:00AM,"Pfizer Stock 2021: A Lean, Mean, Covid-Fighting Machine?",0.0,1.0,0.0,0.0
34,SRPT,2021-01-21,10:35AM,Will Sarepta's (SRPT) Overdependence on Exondys 51 Hurt?,0.327,0.673,0.0,-0.5267
35,SRPT,2021-01-15,01:20PM,"SHAREHOLDER ACTION ALERT: The Schall Law Firm Announces it is Investigating Claims Against Sarepta Therapeutics, Inc. and Encourages Investors with Losses of $100,000 to Contact the Firm",0.083,0.738,0.179,0.4824
36,SRPT,2021-01-14,12:28PM,The SolarWinds Hack Was Huge. Heres Why JPMorgan Is Defending the Stock.,0.0,0.827,0.173,0.3182
37,SRPT,2021-01-14,10:26AM,Sarepta (SRPT) Inks New Gene Editing Research Collaboration,0.0,1.0,0.0,0.0
38,SRPT,2021-01-13,01:00PM,"IMPORTANT INVESTOR NOTICE: The Schall Law Firm Announces it is Investigating Claims Against Sarepta Therapeutics, Inc. and Encourages Investors with Losses of $100,000 to Contact the Firm",0.084,0.747,0.169,0.4084
39,SRPT,2021-01-13,08:30AM,Sarepta Therapeutics and Genevant Sciences Announce Research Collaboration for Lipid Nanoparticle-Based Gene Editing Therapeutics,0.0,1.0,0.0,0.0
40,SRPT,2021-01-12,01:30PM,"Sarepta Therapeutics, Inc. Investors: Company Investigated by the Portnoy Law Firm",0.0,1.0,0.0,0.0
41,SRPT,2021-01-12,10:17AM,"INVESTIGATION REMINDER: The Schall Law Firm Announces it is Investigating Claims Against Sarepta Therapeutics, Inc. and Encourages Investors with Losses of $100,000 to Contact the Firm",0.091,0.811,0.098,0.0516
42,SRPT,2021-01-12,08:57AM,Sarepta (SRPT) Looks Good: Stock Adds 9.1% in Session,0.0,0.734,0.266,0.4404
43,SRPT,2021-01-12,06:00AM,"SHAREHOLDER ALERT: Barr Law Group Investigating the Officers and Directors of SRPT, PS, RP, and PGZ; Shareholders are Encouraged to Contact the Firm",0.0,0.794,0.206,0.6633
44,SRPT,2021-01-11,08:01PM,Sarepta Stock Gets Mixed Reviews From Analysts,0.0,1.0,0.0,0.0
45,SRPT,2021-01-11,03:11PM,Sarepta Stock Gains as CEO Explains What Went Wrong With Gene-Therapy Trial,0.2,0.645,0.155,-0.1779
46,SRPT,2021-01-11,02:45PM,"SHAREHOLDER ACTION ALERT: The Schall Law Firm Announces it is Investigating Claims Against Sarepta Therapeutics, Inc. and Encourages Investors with Losses of $100,000 to Contact the Firm",0.083,0.738,0.179,0.4824
47,SRPT,2021-01-11,12:00PM,"SRPT Shareholder Alert - Bronstein, Gewirtz & Grossman, LLC Notifies Investors of Sarepta Therapeutics, Inc. Investigation",0.0,0.855,0.145,0.296
48,SRPT,2021-01-11,08:11AM,Gene-Therapy Firm Bluebird Bio Is Spinning Off Its Cancer Programs,0.328,0.672,0.0,-0.6597
49,SRPT,2021-01-10,01:00PM,"SRPT Investor Alert - Bronstein, Gewirtz & Grossman, LLC Notifies Investors of Sarepta Therapeutics, Inc. Investigation",0.0,0.855,0.145,0.296
50,SRPT,2021-01-10,07:56AM,Here's Why Sarepta Therapeutics Lost Support on Wall Street,0.192,0.583,0.225,0.1027
51,SRPT,2021-01-09,07:15PM,"SHAREHOLDER ACTION NOTICE: The Schall Law Firm Announces it is Investigating Claims Against Sarepta Therapeutics, Inc. and Encourages Investors with Losses of $100,000 to Contact the Firm",0.088,0.817,0.095,0.0516
52,SRPT,2021-01-09,01:15PM,"SRPT EQUITY ALERT: ROSEN, GLOBAL INVESTOR COUNSEL, Announces Investigation of Securities Claims Against Sarepta Therapeutics, Inc.; Encourages Investors with Losses Exceeding $1 Million to Contact Firm - SRPT",0.08,0.682,0.238,0.6523
53,SRPT,2021-01-08,07:23PM,Sarepta Stock Dropped 50% After Gene-Therapy Setback. What to Do Now.,0.0,1.0,0.0,0.0
54,SRPT,2021-01-08,06:48PM,"SRPT INVESTIGATION ALERT: Bernstein Liebhard is Investigating Sarepta Therapeutics, Inc. For Violations of the Securities Laws",0.158,0.604,0.238,0.186
55,SRPT,2021-01-08,05:16PM,"INVESTIGATION ALERT: The Schall Law Firm Announces it is Investigating Claims Against Sarepta Therapeutics, Inc. and Encourages Investors with Losses of $100,000 to Contact the Firm",0.086,0.729,0.185,0.4824
56,SRPT,2021-01-08,04:30PM,Sarepta Tanks On Likely 2-Year Delay For Muscular Dystrophy Gene Therapy,0.187,0.813,0.0,-0.3182
57,SRPT,2021-01-08,01:35PM,"SRPT EQUITY ALERT: Rosen Law Firm Announces Investigation of Securities Claims Against Sarepta Therapeutics, Inc.  SRPT",0.0,0.732,0.268,0.6289
58,SRPT,2021-01-08,01:25PM,"Dow Jones Falls As Economy Loses Jobs; Nio Hits New Buy Point, While Tesla Surges On New Model Y",0.119,0.881,0.0,-0.3182
59,SRPT,2021-01-08,11:57AM,Why Solid Biosciences Stock Is Sinking Today,0.0,0.789,0.211,0.1531
60,SRPT,2021-01-08,11:44AM,Is Sarepta Stock Worth Buying After the 50% Plunge? Analyst Weighs In,0.0,0.853,0.147,0.2263
61,SRPT,2021-01-08,11:38AM,Why Sarepta Therapeutics Stock Is Crashing Today,0.0,1.0,0.0,0.0
62,SRPT,2021-01-08,10:15AM,ROCE Insights For Sarepta Therapeutics,0.0,1.0,0.0,0.0
63,SRPT,2021-01-08,09:39AM,"Sarepta Craters, Cutting Market Value in Half on Therapy Miss",0.248,0.56,0.192,0.0772
64,SRPT,2021-01-08,09:36AM,Sarepta Sinks on Disappointing Gene-Therapy Study Results,0.348,0.652,0.0,-0.4939
65,SRPT,2021-01-08,09:08AM,Sarepta (SRPT) Down on Unsatisfactory Data for DMD Candidate,0.0,1.0,0.0,0.0
66,SRPT,2021-01-08,08:30AM,Sarepta Therapeutics to Present at the 39th Annual J.P. Morgan Healthcare Conference,0.0,1.0,0.0,0.0
67,SRPT,2021-01-07,05:13PM,Sarepta stock plunges more than 50% after mixed results from drug study,0.0,1.0,0.0,0.0
68,SRPT,2021-01-07,05:11PM,Sarepta Craters as Gene Therapy Miss Sparks Unease for Peers,0.35,0.65,0.0,-0.5106
69,SRPT,2021-01-07,04:05PM,"Sarepta Therapeutics Announces Top-line Results for Part 1 of Study 102 Evaluating SRP-9001, its Investigational Gene Therapy for the Treatment of Duchenne Muscular Dystrophy",0.0,1.0,0.0,0.0
70,SRPT,2021-01-06,04:15PM,"This Small Gene Therapy Stock Is Taking On Giants Regeneron, Roche",0.0,1.0,0.0,0.0
71,SRPT,2021-01-05,06:00AM,Get Ready for Health-Care Stocks to Go Wild. How to Play Them.,0.0,0.671,0.329,0.5994
72,SRPT,2021-01-04,10:32AM,Unusual Options Activity Insight: Sarepta Therapeutics,0.0,1.0,0.0,0.0
73,SRPT,2020-12-31,06:30PM,Sarepta Therapeutics Announces Inducement Grants Under Nasdaq Listing Rule 5635(c)(4),0.0,0.826,0.174,0.2263
74,SRPT,2020-12-24,04:41AM,"Breakeven On The Horizon For Sarepta Therapeutics, Inc. (NASDAQ:SRPT)",0.0,1.0,0.0,0.0
75,SRPT,2020-12-22,12:56PM,4 Biopharma Stock Picks From Analysts for 2021,0.0,1.0,0.0,0.0
76,SRPT,2020-12-20,03:14PM,Is SRPT A Good Stock To Buy Now According To Hedge Funds?,0.0,0.775,0.225,0.4404
77,SRPT,2020-12-18,02:00PM,"Sarepta, Amicus Top Biotech Picks Ahead Of Key Binary Events: Analyst",0.0,0.847,0.153,0.2023
78,SRPT,2020-12-14,08:30AM,Sarepta Therapeutics Announces Executive Management Changes,0.0,1.0,0.0,0.0
79,SRPT,2020-12-09,10:42AM,Sarepta Therapeutics Sees Relative Strength Rating Improve To 74,0.0,0.534,0.466,0.7269
80,SRPT,2020-12-08,10:07AM,Sarepta (SRPT) DMD Study Shows Proof of Concept for SRP-5051,0.0,1.0,0.0,0.0
81,SRPT,2020-12-07,01:57PM,Sarepta Therapeutics Earns Relative Strength Rating Upgrade,0.0,0.652,0.348,0.4939
82,SRPT,2020-12-07,08:55AM,"Sarepta Therapeutics Announces Positive Clinical Results from MOMENTUM, a Phase 2 Clinical Trial of SRP-5051 in Patients with Duchenne Muscular Dystrophy Amenable to Skipping Exon 51",0.0,0.865,0.135,0.5574
83,SRPT,2020-12-05,11:32AM,Sarepta Therapeutics (SRPT) Up 8.9% Since Last Earnings Report: Can It Continue?,0.0,1.0,0.0,0.0
84,SRPT,2020-12-04,04:05PM,"Sarepta Therapeutics to Share Clinical Update for SRP-5051, its Investigational PPMO for the Treatment of Duchenne Muscular Dystrophy",0.0,0.885,0.115,0.296
85,SRPT,2020-11-30,06:05PM,Sarepta Therapeutics Announces Inducement Grants Under Nasdaq Listing Rule 5635(c)(4),0.0,0.826,0.174,0.2263
86,SRPT,2020-11-25,08:30AM,Sarepta Therapeutics to Present at the Evercore ISI 3rd Annual HealthCONx Virtual Conference,0.0,1.0,0.0,0.0
87,SRPT,2020-11-20,08:30AM,Sarepta Therapeutics Named One of The Boston Globes Top Places to Work 2020,0.0,0.87,0.13,0.2023
88,SRPT,2020-11-09,09:30AM,"Sarepta Therapeutics, Inc. (NASDAQ:SRPT) Just Released Its Third-Quarter Earnings: Here's What Analysts Think",0.0,1.0,0.0,0.0
89,SRPT,2020-11-06,02:27PM,Sarepta Therapeutics Inc (SRPT): Are Hedge Funds Right About This Stock?,0.0,1.0,0.0,0.0
90,SRPT,2020-11-06,12:01PM,Sarepta Therapeutics (SRPT) Q3 2020 Earnings Call Transcript,0.0,1.0,0.0,0.0
91,SRPT,2020-11-06,10:51AM,"Sarepta (SRPT) Q3 Loss Widens Y/Y, Revenues Beat Estimates",0.223,0.777,0.0,-0.3182
92,SRPT,2020-11-05,04:59PM,This Biotech's Gene Therapy Sales Grew 23%  But That Wasn't Enough,0.0,1.0,0.0,0.0
93,SRPT,2020-11-05,04:05PM,Sarepta Therapeutics Announces Third Quarter 2020 Financial Results and Recent Corporate Developments,0.0,1.0,0.0,0.0
94,SRPT,2020-11-05,04:02PM,Sarepta Therapeutics to Commence Dosing of the Next Study with Commercial Process Material for the SRP-9001 Gene Therapy Program for the Treatment of Duchenne Muscular Dystrophy,0.0,1.0,0.0,0.0
95,SRPT,2020-11-05,02:45PM,"Sarepta Therapeutics, Inc. to Host Earnings Call",0.0,1.0,0.0,0.0
96,SRPT,2020-11-02,04:30PM,Sarepta Therapeutics to Present at the 29th Annual Credit Suisse Virtual Healthcare Conference,0.0,0.822,0.178,0.3818
97,SRPT,2020-10-30,07:16PM,Sarepta Therapeutics Announces Inducement Grants Under Nasdaq Listing Rule 5635(c)(4),0.0,0.826,0.174,0.2263
98,SRPT,2020-10-29,02:25PM,"Sarepta Therapeutics Clears Key Benchmark, Hitting 80-Plus RS Rating",0.0,0.86,0.14,0.0772
99,SRPT,2020-10-29,12:35PM,Analysts Estimate Sarepta Therapeutics (SRPT) to Report a Decline in Earnings: What to Look Out for,0.0,1.0,0.0,0.0
