,ticker,date,time,headline,neg,neu,pos,compound
0,STZ,2021-04-13,03:00PM,"Thursday: IPO Edge to Host Virtual Forum and Tasting with Bespoke, Vintage Wine Estates",0.0,1.0,0.0,0.0
1,STZ,2021-04-12,01:38PM,Is The Most Valuable Pot Stock A Buy As Canada Lockdowns Persist?,0.0,0.747,0.253,0.5256
2,STZ,2021-04-11,05:50PM,Constellation Brands Earnings: Modelo and Corona Keep Winning Market Share,0.0,0.588,0.412,0.6808
3,STZ,2021-04-10,07:30AM,2 Companies That Raised Their Dividends This Week,0.0,1.0,0.0,0.0
4,STZ,2021-04-09,02:15PM,"Top Stock Reports for Oracle, Eli Lilly & BP",0.0,0.795,0.205,0.2023
5,STZ,2021-04-09,01:51PM,Anheuser-Busch's lawsuit against Corona hard seltzer will 'go down in flames': Constellation Brands CEO,0.216,0.784,0.0,-0.3182
6,STZ,2021-04-09,10:36AM,Stock Market Today With Jim Cramer: How to Trade Okta,0.0,1.0,0.0,0.0
7,STZ,2021-04-09,10:11AM,Hard seltzer is the single best innovation weve ever had: Constellation Brands CEO,0.077,0.549,0.374,0.7506
8,STZ,2021-04-09,09:20AM,Constellation Brands Quarterly Results Outperform; Shares Plunge,0.0,0.732,0.268,0.296
9,STZ,2021-04-09,04:02AM,Constellation Brands' Downside Price Gap Has Me on the Sidelines,0.182,0.818,0.0,-0.25
10,STZ,2021-04-08,02:42PM,Constellation Brands' (STZ) Q4 Earnings & Sales Top Estimates,0.0,0.795,0.205,0.2023
11,STZ,2021-04-08,12:29PM,Okta's Optimistic Outlook Sends SaaS Stocks Skyward; Constellation Loses Its Buzz,0.169,0.662,0.169,0.0
12,STZ,2021-04-08,12:04PM,Constellation Brands Topped Earnings Estimates. Why Its Stock Is Dropping.,0.0,1.0,0.0,0.0
13,STZ,2021-04-08,11:29AM,Why Shares Of Constellation Brands Are Down By 5% Today?,0.0,0.804,0.196,0.296
14,STZ,2021-04-08,10:58AM,"Constellation Brands falls post-earnings, Costco March sales top $18 billion",0.0,0.833,0.167,0.2023
15,STZ,2021-04-08,09:30AM,"Constellation Brands, Inc. to Host Earnings Call",0.0,1.0,0.0,0.0
16,STZ,2021-04-08,09:05AM,Constellation Brands (STZ) Q4 Earnings and Revenues Surpass Estimates,0.0,1.0,0.0,0.0
17,STZ,2021-04-08,08:26AM,Modelo Maker Constellation Sees Beer Outpacing Wine and Spirits,0.0,1.0,0.0,0.0
18,STZ,2021-04-08,07:49AM,Constellation Brands Q4 profit falls but beats analyst estimates,0.0,0.804,0.196,0.2382
19,STZ,2021-04-08,07:30AM,Constellation Brands Reports Fiscal Year and Fourth Quarter 2021 Results and Fiscal 2022 Outlook,0.0,1.0,0.0,0.0
20,STZ,2021-04-08,06:32AM,Here's What Investors Need to Wait for With Constellation Brands,0.0,1.0,0.0,0.0
21,STZ,2021-04-08,03:58AM,Constellation Brands Beats Earnings Forecast as Beer Sales Impress,0.0,0.734,0.266,0.4404
22,STZ,2021-04-07,11:17AM,Beer Giant Constellation Brands Q4 Earnings and Revenue to Decline; Investors Eye Guidance,0.0,1.0,0.0,0.0
23,STZ,2021-04-06,04:30PM,Constellation Brands Partners With Its Flagship Brands to Contribute $1.75 Million to Help Rebuild the Restaurant Industry,0.0,0.785,0.215,0.4767
24,STZ,2021-04-05,12:35PM,"Constellation Brands Could Rise 30% More on Its Beer Portfolio's Strength, Analyst Says",0.0,0.789,0.211,0.4939
25,STZ,2021-04-05,11:39AM,3 Questions Constellation Brands Needs to Answer on Thursday,0.0,1.0,0.0,0.0
26,STZ,2021-04-05,10:52AM,Here's How Constellation Brands (STZ) Looks Before Q4 Earnings,0.0,1.0,0.0,0.0
27,STZ,2021-04-05,09:07AM,"T-Mobile, AMD, Levi Strauss, Constellation Brands, and Other Stocks to Watch This Week",0.0,1.0,0.0,0.0
28,STZ,2021-04-05,08:25AM,Awaiting Further Clarity on Constellation Brands,0.0,0.649,0.351,0.4019
29,STZ,2021-04-04,07:50AM,3 Things to Watch in the Stock Market This Week,0.0,1.0,0.0,0.0
30,STZ,2021-04-03,08:00PM,Cannabis reignites corporate interest as it edges towards mainstream,0.0,0.727,0.273,0.4588
31,STZ,2021-04-01,12:30PM,Analysts Estimate Constellation Brands (STZ) to Report a Decline in Earnings: What to Look Out for,0.0,1.0,0.0,0.0
32,STZ,2021-03-31,09:11AM,"Colgate (CL), Philips to Offer Electric Oral Care in Latin America",0.0,0.758,0.242,0.4939
33,STZ,2021-03-30,09:48AM,"Molson Coors (TAP) Issues Business Update, Retains 2021 View",0.0,1.0,0.0,0.0
34,STZ,2021-03-29,10:43AM,Returns On Capital At Constellation Brands (NYSE:STZ) Have Hit The Brakes,0.0,1.0,0.0,0.0
35,STZ,2021-03-28,06:23AM,Can Canopy Growth Dominate the Cannabis Beverage Market?,0.149,0.594,0.257,0.2732
36,STZ,2021-03-24,12:45PM,Is Constellation Brands a Buy?,0.0,1.0,0.0,0.0
37,STZ,2021-03-24,09:50AM,15 Biggest Liquor Companies in the World,0.0,1.0,0.0,0.0
38,STZ,2021-03-23,01:41PM,Is Constellation Brands (STZ) Stock A Buy or Sell?,0.0,1.0,0.0,0.0
39,STZ,2021-03-18,04:48PM,Altria and 2 Other Consumer-Staples Stocks That Could Ride Inflation Higher,0.0,1.0,0.0,0.0
40,STZ,2021-03-18,12:46PM,Duckhorn Portfolio Represents a Pure-Play Luxury Wine Opportunity as Shares Pop,0.0,0.615,0.385,0.6124
41,STZ,2021-03-18,11:02AM,Brand Investments Shape Constellation Brands' (STZ) Growth Story,0.0,0.729,0.271,0.3818
42,STZ,2021-03-17,10:30AM,"3 Beverage Stocks to Buy Now, According to Goldman Sachs",0.0,1.0,0.0,0.0
43,STZ,2021-03-12,11:32AM,Is Sundial Growers Stock Worth $4 or Is It Worthless?,0.227,0.625,0.148,-0.25
44,STZ,2021-03-11,02:59PM,CGC Stock A Buy? Canopy Growth Slumps After February Rally But Profit Outlook Improves,0.0,0.546,0.454,0.8074
45,STZ,2021-03-11,01:00PM,Why Keurig Dr Pepper Stocks Fizz Might Not Last,0.0,1.0,0.0,0.0
46,STZ,2021-03-11,12:00PM,What Makes Constellation Brands (STZ) a New Buy Stock,0.0,1.0,0.0,0.0
47,STZ,2021-03-11,06:30AM,Constellation Brands Announces Commitment to Invest $10 Million in Clear Vision Impact Fund to Support Black and Minority-Owned Businesses,0.0,0.602,0.398,0.836
48,STZ,2021-03-10,04:35PM,Top Beer Stocks for Q2 2021,0.0,0.735,0.265,0.2023
49,STZ,2021-03-09,11:32AM,Diageo (DEO) Launches Crown Royal Ready-to-Drink Product Line,0.0,1.0,0.0,0.0
50,STZ,2021-03-08,01:33PM,Boston Beer Stock Belongs On Your Market Menu,0.0,1.0,0.0,0.0
51,STZ,2021-03-05,09:39AM,"Zacks Industry Outlook Highlights: Anheuser-Busch InBev, Diageo, Constellation Brands, Brown-Forman Corp and Boston Beer Co",0.0,1.0,0.0,0.0
52,STZ,2021-03-04,04:30PM,"Constellation Brands to Report Full Fiscal Year and Fourth Quarter 2021 Financial Results; Host Conference Call April 8, 2021",0.0,1.0,0.0,0.0
53,STZ,2021-03-04,09:27AM,4 Top Alcohol Stocks Braving the Pandemic-Led Industry Challenges,0.0,0.659,0.341,0.2732
54,STZ,2021-03-03,06:20AM,Is Cash a Problem for Canopy Growth?,0.29,0.43,0.28,-0.0258
55,STZ,2021-03-02,03:22PM,More States Consider Legalizing Recreational Use of Marijuana. Pot Stocks Are Gaining.,0.0,0.797,0.203,0.4215
56,STZ,2021-03-02,03:01PM,Diageo NA sees explosive growth of alcohol sales in e-commerce space,0.0,0.794,0.206,0.3818
57,STZ,2021-03-02,06:20AM,"Introducing Constellation Brands (NYSE:STZ), A Stock That Climbed 57% In The Last Five Years",0.0,1.0,0.0,0.0
58,STZ,2021-02-27,09:19AM,15 Most Valuable Alcohol Companies,0.0,0.541,0.459,0.5256
59,STZ,2021-02-26,07:07AM,Anheuser-Busch Sues Constellation Brands as It Feels the Heat From Corona Hard Seltzer,0.104,0.896,0.0,-0.1027
60,STZ,2021-02-24,05:34PM,3 Stocks Goldman Sachs Says Are Ready to Rip Higher,0.0,0.762,0.238,0.3612
61,STZ,2021-02-23,09:30AM,3 Top Stocks for Retirees,0.0,0.625,0.375,0.2023
62,STZ,2021-02-23,09:00AM,Constellation Brands Announces New and Expanded Responsibilities for Executives Jim Sabia and Mallika Monteiro,0.0,1.0,0.0,0.0
63,STZ,2021-02-20,12:22PM,Boston Beer Still Can't Meet Soaring Demand for Hard Seltzer,0.13,0.743,0.127,-0.0077
64,STZ,2021-02-19,04:05PM,Top Consumer Staples Stocks for March 2021,0.0,0.769,0.231,0.2023
65,STZ,2021-02-17,10:00AM,Constellation Brands Stock Tumbled on Seltzer Lawsuit. It Could Be Time to Buy.,0.137,0.863,0.0,-0.2263
66,STZ,2021-02-15,10:37AM,AB InBev takes Constellation to U.S. court over Corona brand name,0.0,1.0,0.0,0.0
67,STZ,2021-02-12,10:33AM,"Why Hard Seltzer Is Still a Growth Story for Boston Beer, Constellation Brands",0.1,0.714,0.186,0.296
68,STZ,2021-02-11,04:30PM,Constellation Brands Recommends Shareholders Reject TRC Capitals Mini-Tender Offer,0.233,0.603,0.164,-0.2023
69,STZ,2021-02-11,11:04AM,15 Biggest Wine Companies in the World,0.0,1.0,0.0,0.0
70,STZ,2021-02-10,12:18PM,Best-performing marijuana ETF manager says the industry will be transformed by iconic consumer brands,0.0,1.0,0.0,0.0
71,STZ,2021-02-10,08:15AM,How to Play Constellation Brands Right Now,0.0,0.714,0.286,0.34
72,STZ,2021-02-09,01:42PM,Canopy Growth shares soar after CEO says cannabis company will be profitable by 2022,0.0,0.588,0.412,0.7717
73,STZ,2021-02-09,11:45AM,Constellation Brands (STZ) Joins Conviction Buy List,0.0,1.0,0.0,0.0
74,STZ,2021-02-09,11:05AM,Goldman Finds Six Reasons To Include Constellation Brands In Conviction List,0.0,1.0,0.0,0.0
75,STZ,2021-02-09,09:54AM,Six Reasons Constellation Brands Has More Growth on Tap,0.0,0.734,0.266,0.4391
76,STZ,2021-02-08,05:50PM,Constellation Brands (STZ) Gains But Lags Market: What You Should Know,0.18,0.647,0.173,-0.0258
77,STZ,2021-02-08,11:40AM,"Forget Boston Beer, Constellation Brands Is a Better Growth Stock",0.142,0.448,0.41,0.5574
78,STZ,2021-02-06,11:30AM,Why Is Constellation Brands (STZ) Down 0.4% Since Last Earnings Report?,0.0,1.0,0.0,0.0
79,STZ,2021-02-05,03:14PM,5 Consumer Defensive Stocks to Consider Ahead of Super Bowl Sunday,0.0,0.615,0.385,0.6124
