,ticker,date,time,headline,neg,neu,pos,compound
0,SWKS,2021-04-13,05:45PM,Skyworks Solutions (SWKS) Outpaces Stock Market Gains: What You Should Know,0.0,0.687,0.313,0.4767
1,SWKS,2021-04-12,08:21AM,Dow Jones Futures Fall With Bull Market Rally Running: Alibaba Jumps After Fine; 5 Stocks Near Buy Points,0.0,0.899,0.101,0.2023
2,SWKS,2021-04-09,04:25PM,"Apple iPhone 12 Sales Seen Getting Lift From Tax Refunds, Stimulus Checks",0.0,1.0,0.0,0.0
3,SWKS,2021-04-06,12:10PM,Can Skyworks (SWKS) Keep the Earnings Surprise Streak Alive?,0.0,0.598,0.402,0.5719
4,SWKS,2021-04-04,08:36AM,3 Dividend-Paying Tech Stocks to Buy Right Now,0.0,1.0,0.0,0.0
5,SWKS,2021-04-01,11:11AM,Skyworks Looks Oddly Cheap In A Hot Semiconductor Market,0.0,1.0,0.0,0.0
6,SWKS,2021-04-01,10:57AM,10 Best 5G Stocks to Buy Now,0.0,0.588,0.412,0.6369
7,SWKS,2021-03-31,05:22PM,"Dow Jones Futures: Stock Market Rallies On Biden Infrastructure Plan; Micron In Buy Range; Tesla, Nio Deliveries On Tap",0.0,1.0,0.0,0.0
8,SWKS,2021-03-31,08:53AM,5 IoT Stocks to Boost Portfolio on 5G Boom-Led Demand Uptick,0.123,0.656,0.221,0.296
9,SWKS,2021-03-31,06:40AM,4 Semiconductor Stocks to Gain From the Ongoing Chip Shortage,0.161,0.565,0.274,0.34
10,SWKS,2021-03-30,06:44AM,Tyler's (TYL) NIC Takeover on Track as HSR Waiting Period Ends,0.0,1.0,0.0,0.0
11,SWKS,2021-03-29,01:54PM,Is SWKS Stock A Buy or Sell?,0.0,1.0,0.0,0.0
12,SWKS,2021-03-29,10:54AM,"Has Skyworks Solutions, Inc.'s (NASDAQ:SWKS) Impressive Stock Performance Got Anything to Do With Its Fundamentals?",0.0,0.722,0.278,0.6124
13,SWKS,2021-03-29,08:33AM,"The Zacks Analyst Blog Highlights: Skyworks Solutions, Cambium Networks Corp, Ubiquiti, Aviat Networks and Ericsson",0.0,0.892,0.108,0.1779
14,SWKS,2021-03-29,07:24AM,"Zacks Industry Outlook Highlights: Skyworks, Qorvo, Resonant, Apple, Akoustis and RF Industries",0.0,1.0,0.0,0.0
15,SWKS,2021-03-26,11:00AM,Better Buy: Skyworks Solutions vs. Intel,0.0,0.465,0.535,0.5574
16,SWKS,2021-03-26,10:21AM,Fortinet (FTNT) Inks Network Security Deal With Linksys,0.0,0.745,0.255,0.34
17,SWKS,2021-03-26,08:02AM,5G Emerges as a Hot Investment Theme in 2021: 5 Top Picks,0.0,0.833,0.167,0.2023
18,SWKS,2021-03-25,05:45PM,Skyworks Solutions (SWKS) Outpaces Stock Market Gains: What You Should Know,0.0,0.687,0.313,0.4767
19,SWKS,2021-03-24,10:09AM,"The Zacks Analyst Blog Highlights: Skyworks Solutions, Qorvo, Analog Devices, Viavi Solutions and Corning",0.0,0.779,0.221,0.34
20,SWKS,2021-03-23,09:20AM,6 Top-Ranked Stocks to Make the Most of 5G Uptrend,0.0,1.0,0.0,0.0
21,SWKS,2021-03-23,08:43AM,"Skyworks, Beyond Meat, Sony, Microsoft and Capcom highlighted as Zacks Bull and Bear of the Day",0.0,1.0,0.0,0.0
22,SWKS,2021-03-23,07:15AM,"The Zacks Analyst Blog Highlights: GameStop, AstraZeneca, Rocket Companies, Skyworks Solutions and Ubiquiti",0.0,0.876,0.124,0.1779
23,SWKS,2021-03-22,06:31PM,Bull Of The Day: Skyworks Solutions (SWKS),0.0,0.779,0.221,0.1779
24,SWKS,2021-03-19,05:45PM,Skyworks Solutions (SWKS) Gains As Market Dips: What You Should Know,0.0,0.687,0.313,0.4767
25,SWKS,2021-03-17,08:50AM,"CDW Corp (CDW) Scoops Up Amplified IT, Boosts K12 Footprint",0.0,0.796,0.204,0.3182
26,SWKS,2021-03-16,05:17PM,"Dow Jones Futures: Nasdaq Fades As Tesla Hits Resistance, But Microsoft, These 4 Chip Stocks Make Bullish Moves",0.0,1.0,0.0,0.0
27,SWKS,2021-03-14,07:22AM,Is Skyworks Solutions Stock a Buy?,0.0,0.702,0.298,0.1779
28,SWKS,2021-03-12,05:45PM,Skyworks Solutions (SWKS) Stock Sinks As Market Gains: What You Should Know,0.0,0.709,0.291,0.4767
29,SWKS,2021-03-12,08:30AM,Why Chip Companies Are Important to the Future of Tech,0.0,0.833,0.167,0.2023
30,SWKS,2021-03-11,12:46PM,Dont be fooled by the value tag on these tech stocks. Many can provide plenty of growth too,0.0,0.676,0.324,0.7339
31,SWKS,2021-03-10,08:01AM,"Stellar Demand, Tight Supply Aid Micron and These 3 Chipmakers",0.158,0.842,0.0,-0.128
32,SWKS,2021-03-09,10:33AM,Synchronoss' (SNCR) Q4 Earnings & Revenues Beat Estimates,0.0,1.0,0.0,0.0
33,SWKS,2021-03-07,07:00AM,A Large Pension Made a Big Bet on Peloton Stock. Heres What It Sold.,0.0,1.0,0.0,0.0
34,SWKS,2021-03-04,11:06AM,What investors should look for before dipping back into tech stocks,0.0,1.0,0.0,0.0
35,SWKS,2021-03-04,08:40AM,"Marvell (MRVL) Q4 Earnings Meet Estimates, Revenues Beat",0.0,1.0,0.0,0.0
36,SWKS,2021-03-03,12:30PM,2 Hot 5G Stocks to Buy Before They Explode,0.0,1.0,0.0,0.0
37,SWKS,2021-03-02,02:00PM,Broadcom Is Winning Attention. Why One Analyst Says the Stock Is Worth More.,0.0,0.675,0.325,0.6486
38,SWKS,2021-03-02,12:29PM,"3D Systems (DDD) Q4 Earnings Miss Estimates, Revenues Up Y/Y",0.151,0.849,0.0,-0.1531
39,SWKS,2021-03-02,12:06PM,Heres Why Semper Augustus Investments Liquidated their Skyworks (SWKS) Position,0.0,1.0,0.0,0.0
40,SWKS,2021-03-02,07:00AM,"Zacks.com featured highlights include: Skyworks, ParkerHannifin, Toll Brothers, Abbott Lab and FedEx",0.0,1.0,0.0,0.0
41,SWKS,2021-03-02,06:47AM,"What Kind Of Shareholders Hold The Majority In Skyworks Solutions, Inc.'s (NASDAQ:SWKS) Shares?",0.0,0.738,0.262,0.4404
42,SWKS,2021-03-02,06:41AM,"The Zacks Analyst Blog Highlights: Apple, Enphase Energy, Goldman Sachs, Skyworks Solutions and Target",0.0,0.759,0.241,0.4215
43,SWKS,2021-03-01,07:44AM,5 Top-Rated S&P 500 Growth Stocks to Buy in March,0.0,0.755,0.245,0.3818
44,SWKS,2021-02-27,11:31AM,Why Is Skyworks (SWKS) Up 11.3% Since Last Earnings Report?,0.0,1.0,0.0,0.0
45,SWKS,2021-02-21,07:30AM,"Forget Nokia, These Are the Best 5G Stocks to Buy Now",0.126,0.596,0.278,0.5106
46,SWKS,2021-02-18,10:35AM,"Diodes Sees Composite Rating Climb To 97, Breaking Through Buy Zone",0.0,1.0,0.0,0.0
47,SWKS,2021-02-12,10:48AM,Tesla is on this list of 20 S&P 500 companies that have produced the biggest sales increases along with pricing power,0.0,1.0,0.0,0.0
48,SWKS,2021-02-12,09:50AM,"The Zacks Analyst Blog Highlights: ON Semiconductor, Skyworks Solutions and eBay",0.0,0.855,0.145,0.1779
49,SWKS,2021-02-11,01:44PM,3 Stocks With Price and Earnings Estimate Momentum,0.0,1.0,0.0,0.0
50,SWKS,2021-02-11,08:45AM,Why Skyworks Hasn't Been Impacted by Global Chip Shortages,0.167,0.833,0.0,-0.1531
51,SWKS,2021-02-10,09:17AM,"Skyworks, Harley-Davidson, Apple, Amazon and Google highlighted as Zacks Bull and Bear of the Day",0.0,0.892,0.108,0.1779
52,SWKS,2021-02-10,07:00AM,Bull Of The Day: Skyworks (SWKS),0.0,1.0,0.0,0.0
53,SWKS,2021-02-09,05:03PM,"Top Stock Picks for Week of February 8, 2021",0.0,0.816,0.184,0.2023
54,SWKS,2021-02-09,07:00AM,Forget GameStop; This Hot 5G Stock Is a Screaming Buy Right Now,0.333,0.667,0.0,-0.5423
55,SWKS,2021-02-08,12:19PM,CORRECTED PRESS RELEASE: Skyworks to Present at Goldman Sachs 2021 Technology and Internet Conference,0.0,1.0,0.0,0.0
56,SWKS,2021-02-07,03:54AM,"Is It Smart To Buy Skyworks Solutions, Inc. (NASDAQ:SWKS) Before It Goes Ex-Dividend?",0.0,0.714,0.286,0.5267
57,SWKS,2021-02-05,10:02AM,More companies than usual are beating earnings estimates  and sales numbers are just as bullish for the stock market,0.143,0.857,0.0,-0.4588
58,SWKS,2021-02-05,07:40AM,5 Relative Price Strength Stocks That Investors Will Love,0.0,0.448,0.552,0.8126
59,SWKS,2021-02-05,07:00AM,Top Ranked Momentum Stocks to Buy for February 5th,0.0,0.816,0.184,0.2023
60,SWKS,2021-02-05,06:03AM,Does Skyworks Solutions Stand to Gain From Apples Success?,0.0,0.405,0.595,0.8316
61,SWKS,2021-02-04,07:33PM,The 5G Revolution Could Send These 3 Stocks Higher,0.0,1.0,0.0,0.0
62,SWKS,2021-02-04,05:33AM,Shareholders Of Skyworks Solutions (NASDAQ:SWKS) Must Be Happy With Their 238% Total Return,0.0,0.671,0.329,0.6597
63,SWKS,2021-02-04,04:37AM,Raise Stop Protection on Skyworks Solutions,0.278,0.506,0.215,-0.128
64,SWKS,2021-02-03,10:36AM,"The Zacks Analyst Blog Highlights: Skyworks, Apple, Qorvo, Jabil and Synaptics",0.0,1.0,0.0,0.0
65,SWKS,2021-02-02,05:31PM,Skyworks Solutions RS Rating Climbs After Earnings Beat,0.0,0.805,0.195,0.1779
66,SWKS,2021-02-02,04:59PM,"Qorvo Clears Key RS Rating Benchmark, Earnings On Tap",0.0,0.86,0.14,0.0772
67,SWKS,2021-02-02,02:20PM,Skyworks Solutions Sees Its Composite Rating Rise To 98,0.0,0.825,0.175,0.1779
68,SWKS,2021-02-02,02:10PM,Stock Upgrades: Amkor Technology Shows Rising Relative Strength,0.0,0.686,0.314,0.4939
69,SWKS,2021-02-02,10:47AM,Forget Short Squeezes! Buy These 3 High-Quality Stocks Instead,0.238,0.762,0.0,-0.2942
70,SWKS,2021-02-02,09:35AM,Skyworks (SWKS) & 3 Other Suppliers to Tap Uptick in iPhone Sales,0.0,1.0,0.0,0.0
71,SWKS,2021-02-01,10:21AM,"Company News for Feb 2, 2021",0.0,1.0,0.0,0.0
72,SWKS,2021-01-30,08:15AM,Skyworks Crushes Q1 Estimates With a Boost From Apple; New Dividend Declared,0.199,0.616,0.185,-0.0516
73,SWKS,2021-01-30,07:15AM,Better Buy: Skyworks Solutions vs. Broadcom,0.0,0.465,0.535,0.5574
74,SWKS,2021-01-29,04:18PM,Skyworks Stock Heads Skyward After Big iPhone-Fueled Quarter,0.0,1.0,0.0,0.0
75,SWKS,2021-01-29,03:30PM,"Dow Jones Slumps 450 Points As Apple Sell-Off Continues; Bitcoin Surges, But GameStop, AMC Fade Off Highs",0.0,1.0,0.0,0.0
76,SWKS,2021-01-29,01:00PM,Apple Supplier Skyworks Is Soaring. What It Means for Other Chip Makers.,0.0,1.0,0.0,0.0
77,SWKS,2021-01-29,12:58PM,Skyworks Stock Is Soaring After Earnings. Its Probably Thanks to Apple.,0.0,0.775,0.225,0.4404
78,SWKS,2021-01-29,10:57AM,Why Skyworks Solutions Stock Just Jumped 11%,0.0,0.779,0.221,0.1779
79,SWKS,2021-01-29,10:31AM,Looking Into Skyworks Solutions's Return On Capital Employed,0.0,1.0,0.0,0.0
80,SWKS,2021-01-29,10:26AM,"Skyworks' (SWKS) Q1 Earnings Top Estimates, Stock Up on Q2 View",0.0,0.847,0.153,0.2023
81,SWKS,2021-01-29,09:58AM,"Dow Jones Today, Stocks Drop To Test Support; Caterpillar Climbs, Bitcoin Rallies, Short Squeeze Broadens",0.118,0.73,0.152,0.1531
82,SWKS,2021-01-29,04:28AM,Skyworks Pops 15% After-Hours As 1Q Sales Beat Analysts Estimates,0.0,1.0,0.0,0.0
83,SWKS,2021-01-29,01:31AM,Skyworks Solutions (SWKS) Q1 2021 Earnings Call Transcript,0.0,0.805,0.195,0.1779
84,SWKS,2021-01-28,05:15PM,Skyworks Solutions (SWKS) Q1 Earnings and Revenues Surpass Estimates,0.0,0.825,0.175,0.1779
85,SWKS,2021-01-28,04:18PM,Skyworks Solutions: Q1 Earnings Insights,0.0,0.702,0.298,0.1779
86,SWKS,2021-01-28,04:02PM,Skyworks Reports Q1 FY21 Results,0.0,1.0,0.0,0.0
87,SWKS,2021-01-28,04:01PM,Skyworks Announces New $2 Billion Stock Repurchase Program,0.0,1.0,0.0,0.0
88,SWKS,2021-01-28,02:45PM,"Skyworks Solutions, Inc. to Host Earnings Call",0.0,0.779,0.221,0.1779
89,SWKS,2021-01-28,12:11PM,Strong Demand Driven by 5G Transition Boosts Skyworks' Results,0.115,0.458,0.427,0.6249
90,SWKS,2021-01-27,01:33PM,Why Skyworks Solutions Stock Fell Today,0.0,0.746,0.254,0.1779
91,SWKS,2021-01-27,10:14AM,A Preview Of Skyworks Solutions's Earnings,0.0,1.0,0.0,0.0
92,SWKS,2021-01-27,08:32AM,Should You Buy Skyworks (SWKS) Ahead of Earnings?,0.0,1.0,0.0,0.0
93,SWKS,2021-01-26,09:56AM,Skyworks (SWKS) to Report Q1 Earnings: What's in the Cards?,0.0,1.0,0.0,0.0
94,SWKS,2021-01-25,01:45PM,Why Skyworks Stock Gained Today,0.0,0.606,0.394,0.3818
95,SWKS,2021-01-25,10:02AM,PTC Inc (PTC) to Announce Q1 Earnings: What's in the Offing?,0.0,1.0,0.0,0.0
96,SWKS,2021-01-19,11:02AM,"Citrix (CTXS) Q4 Earnings Decline Y/Y, Announces Wrike Buyout",0.0,1.0,0.0,0.0
97,SWKS,2021-01-14,08:01AM,Skyworks Sets Date for First Quarter Fiscal 2021 Earnings Release and Conference Call,0.0,1.0,0.0,0.0
98,SWKS,2021-01-13,08:01AM,"Skyworks Fuels 5G Small Cell Carrier Roll Outs, Accelerates Global 5G Infrastructure Upgrade Cycle",0.0,1.0,0.0,0.0
99,SWKS,2021-01-12,08:01AM,Skyworks Partners with ASUS to Launch Worlds First Ultra-fast Wi-Fi 6E Extended Band Router,0.0,1.0,0.0,0.0
