,ticker,date,time,headline,neg,neu,pos,compound
0,SYY,2021-04-12,12:17PM,Texas-based companies speak out against restrictive voting bills: 'Voting is a sacred right',0.0,1.0,0.0,0.0
1,SYY,2021-04-04,02:30PM,Worried About Inflation? These 3 Stocks Can Help,0.222,0.505,0.273,0.128
2,SYY,2021-04-01,09:00AM,Sysco (NYSE:SYY) Might Be Having Difficulty Using Its Capital Effectively,0.18,0.602,0.218,0.128
3,SYY,2021-03-29,12:05PM,Is SYSCO (SYY) Stock A Buy or Sell?,0.0,1.0,0.0,0.0
4,SYY,2021-03-26,05:47PM,"Sysco Canada, Inc. -- Moody's announces completion of a periodic review of ratings of Sysco Corporation",0.0,1.0,0.0,0.0
5,SYY,2021-03-19,12:52PM,Will Pork Market Go Hog Wild Over Prop 12?,0.0,1.0,0.0,0.0
6,SYY,2021-03-19,07:31AM,"Sysco (SYY) Adds New Foodie Solutions Toolkits, Aids Customers",0.0,0.825,0.175,0.1779
7,SYY,2021-03-18,08:00AM,"Three New Sysco Foodie Solutions Toolkits Available for Restaurateurs: Brunch, Protecting Your Business and Turning Your Tables",0.0,0.904,0.096,0.1779
8,SYY,2021-03-11,08:00AM,Guest Supply and Corsicana Mattress Company Partner to Introduce Contourest® Copperbed Self-Sanitizing Antimicrobial and Antibacterial Mattresses to the Hospitality and Higher Education Sectors,0.0,1.0,0.0,0.0
9,SYY,2021-03-10,11:47AM,Billionaire Nelson Peltzs Top 8 Stock Picks,0.0,0.735,0.265,0.2023
10,SYY,2021-03-10,08:00AM,Sysco Announces $1.1 Billion Debt Reduction in Anticipation of Impending Market Recovery,0.18,0.719,0.101,-0.2732
11,SYY,2021-03-08,08:00AM,Sysco Celebrates International Womens Day,0.0,0.519,0.481,0.5719
12,SYY,2021-03-04,11:30AM,Why Is Sysco (SYY) Up 6.7% Since Last Earnings Report?,0.0,1.0,0.0,0.0
13,SYY,2021-03-04,08:00AM,"Sysco to Donate $100,000 to Support Winter Storm  Recovery in Texas",0.0,0.787,0.213,0.4019
14,SYY,2021-02-25,05:00PM,Sysco Declares Quarterly Dividend Payment,0.0,1.0,0.0,0.0
15,SYY,2021-02-24,04:11PM,Top 4 Holdings of Nelson Peltz's Trian Fund Management,0.0,0.795,0.205,0.2023
16,SYY,2021-02-24,03:54AM,Should You Think About Buying Sysco Corporation (NYSE:SYY) Now?,0.0,1.0,0.0,0.0
17,SYY,2021-02-15,08:00AM,"Sysco Launches New and Exclusive, Chef-Tested Menu Concepts Through Cutting Edge Solutions Platform",0.102,0.68,0.218,0.1779
18,SYY,2021-02-06,11:12AM,30 Dividend Kings of 2021 (Part II),0.0,1.0,0.0,0.0
19,SYY,2021-02-03,08:54AM,Sysco's Debt Overview,0.556,0.444,0.0,-0.3612
20,SYY,2021-02-03,08:00AM,Sysco to Webcast Presentation at the CAGNY 2021 Conference,0.0,1.0,0.0,0.0
21,SYY,2021-02-02,03:30PM,Sysco Corp (SYY) Q2 2021 Earnings Call Transcript,0.0,1.0,0.0,0.0
22,SYY,2021-02-02,10:01AM,"Sysco's (SYY) Q2 Earnings & Sales Lag Estimates, Decline Y/Y",0.231,0.769,0.0,-0.34
23,SYY,2021-02-02,09:15AM,Sysco (SYY) Q2 Earnings and Revenues Miss Estimates,0.186,0.814,0.0,-0.1531
24,SYY,2021-02-02,08:23AM,Recap: Sysco Q2 Earnings,0.0,1.0,0.0,0.0
25,SYY,2021-02-02,08:21AM,Sysco's quarterly profit plunges 82%,0.0,0.58,0.42,0.4404
26,SYY,2021-02-02,08:00AM,Sysco Reports Second Quarter Fiscal 2021 Results,0.0,1.0,0.0,0.0
27,SYY,2021-02-01,10:13AM,Earnings Preview for Sysco,0.0,1.0,0.0,0.0
28,SYY,2021-02-01,08:44AM,Is a Surprise Coming for Sysco (SYY) This Earnings Season?,0.0,0.792,0.208,0.2732
29,SYY,2021-01-29,10:09AM,Factors to Know Ahead of Sysco's (SYY) Q2 Earnings Release,0.0,1.0,0.0,0.0
30,SYY,2021-01-28,04:15PM,"Sysco Purchases More Than 21,000 Gift Cards From Restaurant Customers Nationwide to Support the Industry and Thank Operations Frontline Associates",0.0,0.67,0.33,0.8107
31,SYY,2021-01-26,12:31PM,Sysco (SYY) Expected to Beat Earnings Estimates: Should You Buy?,0.0,1.0,0.0,0.0
32,SYY,2021-01-19,03:53PM,Billionaire Nelson Peltzs Favorite Stocks,0.0,0.571,0.429,0.4588
33,SYY,2021-01-19,08:00AM,Sysco to Release Second Quarter Fiscal Year 2021 Financial Results on February 2,0.0,1.0,0.0,0.0
34,SYY,2021-01-19,04:17AM,A Look At The Intrinsic Value Of Sysco Corporation (NYSE:SYY),0.0,0.769,0.231,0.34
35,SYY,2021-01-15,09:33AM,Sysco (SYY) Adds New Foodie Solutions Toolkits to Boost Growth,0.0,0.5,0.5,0.7184
36,SYY,2021-01-14,04:15PM,Sysco Releases New Foodie Solutions Toolkits,0.0,0.746,0.254,0.1779
37,SYY,2021-01-14,08:00AM,Sysco Announces New 2025 Seafood Sustainability Commitments,0.0,0.8,0.2,0.128
38,SYY,2021-01-08,05:08AM,15 Biggest Wholesale Companies in the World,0.0,1.0,0.0,0.0
39,SYY,2021-01-07,10:30AM,These 5 Dividend Aristocrats Are on Deadline: Raise Payouts by End of Year or Lose Status,0.162,0.838,0.0,-0.4019
40,SYY,2021-01-05,06:53AM,"Zacks.com featured highlights include: Crocs, Sysco, Hologic, Deere & Co and Lennar Corp",0.0,1.0,0.0,0.0
41,SYY,2021-01-04,02:04PM,5 Top-Ranked Stocks Poised to Beat Earnings Estimates,0.0,0.75,0.25,0.25
42,SYY,2020-12-30,07:39AM,Factors That Make Helen of Troy (HELE) a Solid Pick for 2021,0.0,0.862,0.138,0.1531
43,SYY,2020-12-28,10:07AM,Here's Why Sysco (SYY) Appears to be Well Positioned for 2021,0.0,0.826,0.174,0.2732
44,SYY,2020-12-23,08:57AM,Hormel Foods (HRL) Opens New Production Unit to Boost Capacity,0.0,0.769,0.231,0.4019
45,SYY,2020-12-21,05:35PM,Is SYY A Good Stock To Buy According To Hedge Funds?,0.0,0.756,0.244,0.4404
46,SYY,2020-12-14,05:42AM,What Type Of Shareholders Make Up Sysco Corporation's (NYSE:SYY) Share Registry?,0.0,0.82,0.18,0.296
