,ticker,date,time,headline,neg,neu,pos,compound
0,TDG,2021-04-13,06:20AM,Searchlight Capital Partners to Acquire Technical Airborne Components from TransDigm Group,0.0,1.0,0.0,0.0
1,TDG,2021-04-12,10:08AM,TransDigm Inc. -- Moody's assigns B3 ratings to TransDigm's new senior subordinated notes; B1 CFR unchanged,0.0,1.0,0.0,0.0
2,TDG,2021-04-12,07:28AM,TransDigm Group Announces Proposed Private Offering to Refinance Senior Subordinated Notes,0.0,1.0,0.0,0.0
3,TDG,2021-03-21,10:01AM,Is TransDigm (TDG) Stock A Buy or Sell?,0.0,1.0,0.0,0.0
4,TDG,2021-03-06,04:06PM,10 Best Cheap Stocks To Buy Now According To Billionaire Abrams,0.0,0.704,0.296,0.6369
5,TDG,2021-03-01,03:11PM,'We've always been good at picking market niches': Rocket Lab CEO,0.0,0.775,0.225,0.4404
6,TDG,2021-03-01,08:00AM,TransDigm Plans to Divest ScioTeq and TREALITY Businesses to OpenGate Capital,0.0,1.0,0.0,0.0
7,TDG,2021-02-26,12:20PM,"SHAREHOLDER ALERT: Levi & Korsinsky, LLP Notifies Shareholders of an Investigation Concerning Possible Breaches of Fiduciary Duty by Certain Officers and Directors of TransDigm Group Incorporated - TDG",0.0,0.827,0.173,0.6166
8,TDG,2021-02-26,08:10AM,The Smartest People on Wall Street Are Buying These 3 Stocks -- Should You Follow?,0.0,0.765,0.235,0.6124
9,TDG,2021-02-15,06:35AM,"At US$576, Is It Time To Put TransDigm Group Incorporated (NYSE:TDG) On Your Watch List?",0.0,1.0,0.0,0.0
10,TDG,2021-02-10,03:35AM,10 Best Aerospace Stocks to Buy Now,0.0,0.588,0.412,0.6369
11,TDG,2021-02-09,10:31PM,TransDigm Group (TDG) Q1 2021 Earnings Call Transcript,0.0,1.0,0.0,0.0
12,TDG,2021-02-09,10:21AM,"TransDigm's (TDG) Q1 Earnings Miss Estimates, Sales Down Y/Y",0.167,0.833,0.0,-0.1531
13,TDG,2021-02-09,08:45AM,TransDigm Group (TDG) Lags Q1 Earnings and Revenue Estimates,0.238,0.762,0.0,-0.3612
14,TDG,2021-02-09,08:45AM,"TransDigm Group, Inc. to Host Earnings Call",0.0,1.0,0.0,0.0
15,TDG,2021-02-09,07:46AM,Recap: TransDigm Q1 Earnings,0.0,1.0,0.0,0.0
16,TDG,2021-02-08,10:24AM,Preview: TransDigm Gr's Earnings,0.0,1.0,0.0,0.0
