,ticker,date,time,headline,neg,neu,pos,compound
0,TLT,2021-03-08,10:26AM,A glossary of the Federal Reserve's full arsenal of 'bazookas',0.0,1.0,0.0,0.0
1,TLT,2021-03-05,11:05AM,Treasuries Just Had Their Third-Worst Start to a Year Since 1830. Heres Why.,0.0,0.853,0.147,0.2263
2,TLT,2021-02-17,01:00PM,Treasury Yields Just Hit a Post-Pandemic Peak. Long Bonds Like Centuries Have Been Hit Hardest.,0.0,0.736,0.264,0.5106
3,TLT,2021-01-14,06:45PM,"Fed chief Jerome Powell talks inflation, rates at Princeton",0.0,1.0,0.0,0.0
4,TLT,2020-12-16,04:01PM,I admit it  these are my 5 dumbest investment calls of 2020,0.252,0.611,0.137,-0.3612
5,TLT,2020-12-01,12:28PM,Best Treasury ETFs for Q1 2021,0.0,0.4,0.6,0.7184
6,TLT,2020-11-23,07:00AM,Theralase Granted FDA Fast Track Designation for NMIBC Phase II Clinical Study,0.0,0.846,0.154,0.25
7,TLT,2020-11-12,12:00PM,ETF Wrap: Holiday trading and free cash flow,0.0,0.5,0.5,0.7184
8,TLT,2020-10-23,10:00AM,10-Year Bond Yield Hits 4-Month High,0.0,1.0,0.0,0.0
9,TLT,2020-10-12,08:43PM,Top Strategists on Where to Invest Now,0.0,0.769,0.231,0.2023
10,TLT,2020-10-10,09:14AM,Is the Stock Market Open on Columbus Day 2020?,0.0,1.0,0.0,0.0
11,TLT,2020-09-05,08:00AM,Is the Stock Market Closed on Labor Day 2020?,0.0,1.0,0.0,0.0
12,TLT,2020-08-28,11:59AM,The Fed is clearly helping but not enough without fiscal boost: Zandi,0.188,0.587,0.225,-0.1121
13,TLT,2020-08-04,07:24AM,Why would anyone own bonds now? There are at least five reasons,0.0,1.0,0.0,0.0
14,TLT,2020-07-21,11:15AM,Morning Market Stats in 5 Minutes,0.0,1.0,0.0,0.0
15,TLT,2020-07-17,09:51AM,Morning Market Stats in 5 Minutes,0.0,1.0,0.0,0.0
16,TLT,2020-07-10,09:50AM,Morning Market Stats in 5 Minutes,0.0,1.0,0.0,0.0
17,TLT,2020-07-07,09:54AM,Morning Market Stats in 5 Minutes,0.0,1.0,0.0,0.0
18,TLT,2020-07-06,06:38PM,The Twisted Mind of the Credit Market,0.0,0.698,0.302,0.3818
19,TLT,2020-07-06,12:17PM,Afternoon Market Stats in 5 Minutes,0.0,1.0,0.0,0.0
20,TLT,2020-07-06,10:06AM,Morning Market Stats in 5 Minutes,0.0,1.0,0.0,0.0
21,TLT,2020-07-02,09:46AM,Morning Market Stats in 5 Minutes,0.0,1.0,0.0,0.0
22,TLT,2020-07-01,12:26PM,Afternoon Market Stats in 5 Minutes,0.0,1.0,0.0,0.0
23,TLT,2020-06-29,12:17PM,Afternoon Market Stats in 5 Minutes,0.0,1.0,0.0,0.0
24,TLT,2020-06-29,10:05AM,Morning Market Stats in 5 Minutes,0.0,1.0,0.0,0.0
25,TLT,2020-06-25,12:20PM,Afternoon Market Stats in 5 Minutes,0.0,1.0,0.0,0.0
26,TLT,2020-06-24,02:08PM,Afternoon Market Stats in 5 Minutes,0.0,1.0,0.0,0.0
27,TLT,2020-06-23,10:05AM,Morning Market Stats in 5 Minutes,0.0,1.0,0.0,0.0
28,TLT,2020-06-22,12:01PM,Afternoon Market Stats in 5 Minutes,0.0,1.0,0.0,0.0
29,TLT,2020-06-22,10:02AM,Morning Market Stats in 5 Minutes,0.0,1.0,0.0,0.0
30,TLT,2020-06-18,01:49PM,"Where in the World to Invest Now, According to Hedgeye",0.0,1.0,0.0,0.0
31,TLT,2020-06-18,09:53AM,Morning Market Stats in 5 Minutes,0.0,1.0,0.0,0.0
32,TLT,2020-06-17,09:55AM,Morning Market Stats in 5 Minutes,0.0,1.0,0.0,0.0
33,TLT,2020-06-15,12:11PM,Afternoon Market Stats in 5 Minutes,0.0,1.0,0.0,0.0
34,TLT,2020-06-15,09:52AM,Morning Market Stats in 5 Minutes,0.0,1.0,0.0,0.0
35,TLT,2020-06-13,09:34AM,Federal Reserve grapples with links between monetary policy and income inequality,0.0,1.0,0.0,0.0
36,TLT,2020-06-12,11:53AM,Afternoon Market Stats in 5 Minutes,0.0,1.0,0.0,0.0
37,TLT,2020-06-12,12:00AM,ETF Costs Overshadow Client Alignment,0.0,1.0,0.0,0.0
38,TLT,2020-06-11,12:18PM,Afternoon Market Stats in 5 Minutes,0.0,1.0,0.0,0.0
39,TLT,2020-06-11,06:09AM,The Fed suggests the worst of this crisis is over: Morning Brief,0.451,0.549,0.0,-0.8481
40,TLT,2020-06-09,12:14PM,Afternoon Market Stats in 5 Minutes,0.0,1.0,0.0,0.0
41,TLT,2020-06-09,10:08AM,Morning Market Stats in 5 Minutes,0.0,1.0,0.0,0.0
42,TLT,2020-06-08,12:30PM,Afternoon Market Stats in 5 Minutes,0.0,1.0,0.0,0.0
43,TLT,2020-06-08,09:47AM,Morning Market Stats in 5 Minutes,0.0,1.0,0.0,0.0
44,TLT,2020-06-05,01:48PM,Afternoon Market Stats in 5 Minutes,0.0,1.0,0.0,0.0
45,TLT,2020-06-05,10:15AM,Morning Market Stats in 5 Minutes,0.0,1.0,0.0,0.0
46,TLT,2020-05-29,01:00PM,U.S.-China Tension Heats Up Again: ETF Areas in Focus,0.223,0.777,0.0,-0.3182
47,TLT,2020-05-20,03:33PM,U.S. treasury holds first 20-yr bond auction since 1986,0.0,0.816,0.184,0.2023
48,TLT,2020-05-18,10:46AM,Morning Market Stats in 5 Minutes,0.0,1.0,0.0,0.0
49,TLT,2020-05-15,11:31AM,Long Bond Fund Looks Set to Challenge Rally High,0.0,0.86,0.14,0.0772
50,TLT,2020-05-15,10:25AM,Morning Market Stats in 5 Minutes,0.0,1.0,0.0,0.0
51,TLT,2020-05-13,06:08AM,The next big economic trend  disinflation: Morning Brief,0.0,1.0,0.0,0.0
52,TLT,2020-05-11,06:05AM,The single glimmer of hope in the dismal jobs report may be a false hope: Morning Brief,0.175,0.57,0.254,0.2023
53,TLT,2020-05-07,03:28PM,Nasdaq Stock Exchange president on IPO outlook amid COVID-19,0.0,1.0,0.0,0.0
54,TLT,2020-04-30,11:04AM,These funds were made to protect against market downsides. So howd they do in March?,0.0,0.843,0.157,0.3818
55,TLT,2020-04-30,10:42AM,Morning Market Stats in 5 Minutes,0.0,1.0,0.0,0.0
56,TLT,2020-04-29,11:09AM,Morning Market Stats in 5 Minutes,0.0,1.0,0.0,0.0
57,TLT,2020-04-28,05:59PM,'It will be a long walk until we get back to anything that's called normal': Torsten Slok,0.0,1.0,0.0,0.0
58,TLT,2020-04-28,10:32AM,Morning Market Stats in 5 Minutes,0.0,1.0,0.0,0.0
59,TLT,2020-04-28,06:23AM,FOMC Preview: Powell to face 'status check' on Fed's emergency actions,0.206,0.794,0.0,-0.3818
60,TLT,2020-04-27,10:33AM,Morning Market Stats in 5 Minutes,0.0,1.0,0.0,0.0
61,TLT,2020-04-24,12:23PM,Afternoon Market Stats in 5 Minutes,0.0,1.0,0.0,0.0
62,TLT,2020-04-23,12:26PM,Afternoon Market Stats in 5 Minutes,0.0,1.0,0.0,0.0
63,TLT,2020-04-22,10:40AM,Morning Market Stats in 5 Minutes,0.0,1.0,0.0,0.0
64,TLT,2020-04-22,09:28AM,Should you buy bonds with yields this low? An expert who has been right for years says yes,0.113,0.759,0.128,0.0836
65,TLT,2020-04-21,12:32PM,Afternoon Market Stats in 5 Minutes,0.0,1.0,0.0,0.0
66,TLT,2020-04-17,10:22AM,Morning Market Stats in 5 Minutes,0.0,1.0,0.0,0.0
67,TLT,2020-04-16,10:21AM,Morning Market Stats in 5 Minutes,0.0,1.0,0.0,0.0
68,TLT,2020-04-08,12:44PM,Afternoon Market Stats in 5 Minutes,0.0,1.0,0.0,0.0
69,TLT,2020-04-06,12:28PM,Afternoon Market Stats in 5 Minutes,0.0,1.0,0.0,0.0
70,TLT,2020-04-06,10:15AM,ETFs to Gain or Lose Post Dismal March Jobs Data,0.392,0.409,0.199,-0.5106
71,TLT,2020-04-03,12:36PM,Hell is Coming and We Sold Out Our National Security For A Few Dollars,0.256,0.611,0.133,-0.4939
72,TLT,2020-04-01,12:51PM,Afternoon Market Stats in 5 Minutes,0.0,1.0,0.0,0.0
73,TLT,2020-04-01,10:46AM,Morning Market Stats in 5 Minutes,0.0,1.0,0.0,0.0
74,TLT,2020-04-01,12:00AM,ETFs Eke Out Inflow In March Despite Market Collapse,0.0,0.753,0.247,0.3875
75,TLT,2020-03-31,12:57PM,Afternoon Market Stats in 5 Minutes,0.0,1.0,0.0,0.0
76,TLT,2020-03-29,09:30PM,March Market Madness Unprecedented,0.492,0.508,0.0,-0.4404
77,TLT,2020-03-24,06:18AM,Bare-knuckle Fed fires nuclear kitchen sink named Big Bertha out of its bazooka: Morning Brief,0.0,1.0,0.0,0.0
78,TLT,2020-03-23,08:01AM,"Fed makes 'aggressive' move to back corporate debt markets, Main St.",0.2,0.8,0.0,-0.3612
79,TLT,2020-03-21,03:31PM,The U.S. government and American families have been swimming in debt  and will soon be drowning,0.143,0.857,0.0,-0.3612
80,TLT,2020-03-20,08:00AM,Treasury Bond ETFs Build as Fed Enacts Emergency Cut,0.376,0.48,0.144,-0.4404
81,TLT,2020-03-18,08:15AM,Warren Buffett on negative rates and 'the most important question in the world',0.22,0.655,0.125,-0.3832
82,TLT,2020-03-18,06:18AM,The market may have already priced in the coronavirus recession: Morning Brief,0.203,0.797,0.0,-0.4215
83,TLT,2020-03-16,12:15PM,Market Meltdown Continues,0.0,1.0,0.0,0.0
84,TLT,2020-03-16,12:00AM,"Fed Slashes Rates To Zero, Starts QE",0.231,0.769,0.0,-0.2023
85,TLT,2020-03-15,01:59PM,What to Expect in the Markets This Week,0.0,1.0,0.0,0.0
86,TLT,2020-03-12,09:18PM,What to Watch out for as U.S. Treasury yields fall.,0.0,0.833,0.167,0.2023
87,TLT,2020-03-12,12:52PM,Bears Grip Market: 5 Safe ETF Investing Zones,0.0,0.674,0.326,0.4404
88,TLT,2020-03-12,10:00AM,S&P 500 Falls Into Bear Market Territory,0.0,1.0,0.0,0.0
89,TLT,2020-03-10,05:57PM,So Much for That Safe Haven: Treasuries Had Their Worst Day in Years on Tuesday,0.196,0.574,0.23,-0.0772
90,TLT,2020-03-10,03:23PM,Afternoon Market Stats In 5 Minutes,0.0,1.0,0.0,0.0
91,TLT,2020-03-10,11:16AM,Morning Market Stats In 5 Minutes,0.0,1.0,0.0,0.0
92,TLT,2020-03-10,06:03AM,Why Trump is behind the curve on coronavirus: Morning Brief,0.0,1.0,0.0,0.0
93,TLT,2020-03-09,04:14PM,Afternoon Market Stats In 5 Minutes,0.0,1.0,0.0,0.0
94,TLT,2020-03-09,03:05PM,Which ETFs Have Outperformed Through the Sell-Off,0.0,1.0,0.0,0.0
95,TLT,2020-03-09,03:05PM,Which ETFs Have Outperformed Through the Selloff,0.0,1.0,0.0,0.0
96,TLT,2020-03-09,02:15PM,ETFs Making Moves After Historic Stock Drop,0.259,0.741,0.0,-0.2732
97,TLT,2020-03-06,04:23PM,Boring bonds turning into best investment of the year as Treasurys see returns north of 20%,0.112,0.683,0.205,0.4404
98,TLT,2020-03-06,09:43AM,Don't Chase This Bond ETF,0.0,1.0,0.0,0.0
99,TLT,2020-03-06,08:30AM,"Stock Market, 10-Year Treasury Yield Fall Again",0.0,0.769,0.231,0.2023
