,ticker,date,time,headline,neg,neu,pos,compound
0,TSCO,2021-04-13,02:02PM,Tractor Supply to Increase Its Partner Carhartt's Presence by 900%,0.0,0.796,0.204,0.3182
1,TSCO,2021-04-13,12:10PM,Why the Earnings Surprise Streak Could Continue for Tractor Supply (TSCO),0.0,0.826,0.174,0.2732
2,TSCO,2021-04-13,11:05AM,Tractor Supply Company to Expand Carhartt Footprint in More Than 100 Retail Stores,0.0,0.839,0.161,0.3182
3,TSCO,2021-04-13,10:10AM,"Favorite Sectors of Q1 Earnings & Their Best ETFs, Stocks",0.0,0.493,0.507,0.802
4,TSCO,2021-04-10,07:07AM,3 Stocks to Buy and Hold for the Next 10 Years,0.0,1.0,0.0,0.0
5,TSCO,2021-04-09,04:59PM,Tractor Supply Company and Orscheln Farm and Home Receive Second Request from FTC Under HSR Act,0.0,1.0,0.0,0.0
6,TSCO,2021-04-08,11:04AM,Tractor Supply (TSCO) Cheers Investors With Robust Strategies,0.0,0.522,0.478,0.6705
7,TSCO,2021-04-07,10:23AM,Tractor Supply Could Beat Earnings Estimates. And Its Growing Season Looks Long.,0.0,0.866,0.134,0.1779
8,TSCO,2021-04-06,12:30PM,Tractor Supply Announces Upcoming Investor Events,0.0,1.0,0.0,0.0
9,TSCO,2021-04-06,10:15AM,Tractor Supply Upgrades Its Neighbors Club Loyalty Program to Provide Customers Even More Rewards,0.0,0.635,0.365,0.7841
10,TSCO,2021-04-05,09:03AM,Worried About a Market Crash? These 3 Surefire Stocks Will Win Over the Long Term,0.249,0.457,0.294,0.2263
11,TSCO,2021-04-02,11:40AM,ITOCY vs. TSCO: Which Stock Should Value Investors Buy Now?,0.0,0.789,0.211,0.34
12,TSCO,2021-04-01,09:11AM,Do Tractor Supply's (NASDAQ:TSCO) Earnings Warrant Your Attention?,0.0,1.0,0.0,0.0
13,TSCO,2021-03-31,09:15AM,"Tractor Supply (TSCO) Soars to 52-Week High, Time to Cash Out?",0.0,1.0,0.0,0.0
14,TSCO,2021-03-29,03:16PM,Is TSCO Stock A Buy or Sell?,0.0,1.0,0.0,0.0
15,TSCO,2021-03-24,10:00AM,Tractor Supply Company and Petsense Stores to Close for Easter Sunday,0.0,1.0,0.0,0.0
16,TSCO,2021-03-21,08:01AM,3 Retail Stocks Poised for a Bull Run,0.0,0.714,0.286,0.25
17,TSCO,2021-03-17,03:52PM,"Boosted By 317% Profit Growth, Floor & Decor And Tractor Supply Peer Sprouts New Breakout Attempt",0.0,0.6,0.4,0.7906
18,TSCO,2021-03-16,10:00AM,"Tractor Supply Company Raises $790,269 for Grants for Growing Program",0.0,0.69,0.31,0.3818
19,TSCO,2021-03-11,02:24PM,10 Best Pet Stocks To Buy Now,0.0,0.588,0.412,0.6369
20,TSCO,2021-03-10,11:43AM,"Tractor Supply (TSCO) Continues to Rally, What Lies Ahead?",0.259,0.741,0.0,-0.4215
21,TSCO,2021-03-10,11:00AM,"Miranda Lamberts MuttNation & Tractor Supply Co. Donate $250,000 to Animal Shelters",0.0,1.0,0.0,0.0
22,TSCO,2021-03-09,04:59PM,Tractor Supply Company -- Moody's announces completion of a periodic review of ratings of Tractor Supply Company,0.0,1.0,0.0,0.0
23,TSCO,2021-03-09,05:59AM,Tractor Supply Company's (NASDAQ:TSCO) Stock's On An Uptrend: Are Strong Financials Guiding The Market?,0.0,0.798,0.202,0.5106
24,TSCO,2021-03-04,07:53AM,Amazon picks London for first checkout-free physical store outside the U.S.,0.0,0.855,0.145,0.1779
25,TSCO,2021-02-27,11:31AM,Why Is Tractor Supply (TSCO) Up 6.4% Since Last Earnings Report?,0.0,1.0,0.0,0.0
26,TSCO,2021-02-27,10:00AM,Tractor Supply Supports Texas in Winter Storm Recovery,0.0,0.737,0.263,0.3612
27,TSCO,2021-02-25,06:33PM,SiteOne Landscape Supply Profits Bloom As Spring Approaches,0.0,0.707,0.293,0.4404
28,TSCO,2021-02-24,04:00PM,Tractor Supply Company to Participate in Bank of America Securities 2021 Consumer and Retail Investment Conference,0.0,0.872,0.128,0.296
29,TSCO,2021-02-24,09:58AM,What Can We Learn From Berkshire Hathaway's First 13F Filing of 2021?,0.0,1.0,0.0,0.0
