,ticker,date,time,headline,neg,neu,pos,compound
0,UAL,2021-04-14,08:00AM,UATP to Offer Pay in 4 With PayPal for Airfare Purchases Across its Airline Partners,0.097,0.903,0.0,-0.1027
1,UAL,2021-04-13,04:27PM,Top United Airlines Shareholders,0.0,0.303,0.697,0.5574
2,UAL,2021-04-13,04:16PM,Airline Stocks Mixed As Vaccine Rollout Hits Snag But Key Metric Turns Positive,0.0,0.769,0.231,0.5574
3,UAL,2021-04-13,03:00PM,"United to fund sustainable aviation fuel made from trash, but its proportion of total fuel used will remain small",0.0,0.905,0.095,0.2263
4,UAL,2021-04-13,11:04AM,UPDATE 1-United Airlines unveils plan to fund more sustainable jet fuel made from trash,0.0,1.0,0.0,0.0
5,UAL,2021-04-13,09:17AM,United Airlines' (UAL) Q1 Revenue View Weaker Than Expected,0.228,0.551,0.22,-0.0258
6,UAL,2021-04-13,09:07AM,United Airlines unveils plan to fund more sustainable jet fuel made from trash,0.0,0.811,0.189,0.4215
7,UAL,2021-04-13,08:08AM,"United Airlines to Lead Industry Switch to Sustainable Aviation Fuel with Global Corporations, Customers",0.0,0.823,0.177,0.4215
8,UAL,2021-04-12,03:39PM,Oil Pares Gains With Demand Uncertainty Holding Rally Back,0.317,0.488,0.195,-0.128
9,UAL,2021-04-12,03:32PM,"United Airlines Holdings, Inc. -- Moody's assigns Ba1 ratings to United Airlines' new senior secured debt offerings",0.105,0.546,0.349,0.7003
10,UAL,2021-04-12,03:05PM,Why United Airlines Stock Is Losing Altitude on Monday,0.21,0.565,0.226,0.0516
11,UAL,2021-04-12,01:02PM,United Airlines Shares Slump Over 4% as Q1 Revenue Outlook Disappoints,0.167,0.513,0.321,0.34
12,UAL,2021-04-12,12:33PM,Open Like Crazy: Bond Market Draws Airlines Shunning U.S. Aid,0.186,0.62,0.194,0.0258
13,UAL,2021-04-12,12:30PM,Analysts Estimate United Airlines (UAL) to Report a Decline in Earnings: What to Look Out for,0.0,0.833,0.167,0.4215
14,UAL,2021-04-12,12:24PM,How Will United Airlines (UAL) Fare This Earnings Season?,0.0,0.741,0.259,0.4215
15,UAL,2021-04-12,12:03PM,"United Airlines, Inc. -- Moody's assigns Ba1 ratings to United Airlines' new senior secured debt offerings",0.11,0.526,0.364,0.7003
16,UAL,2021-04-12,11:18AM,United Airlines Stock Is Falling Because Revenues Are Looking Weaker Than Expected,0.276,0.552,0.172,-0.1779
17,UAL,2021-04-12,07:57AM,UPDATE 1-United Airlines sees first-quarter revenue falling 66%,0.186,0.814,0.0,-0.1531
18,UAL,2021-04-12,07:42AM,"United Airlines sees first-quarter revenue below Wall Street consensus, but positive cash flow in March",0.0,0.657,0.343,0.7783
19,UAL,2021-04-12,04:38AM,"United Pegs First-Quarter Revenue Down, March Cash Flow Positive",0.0,0.522,0.478,0.7506
20,UAL,2021-04-11,08:28AM,"Analysts Upgraded AMC, Snap, United Airlines And Tesla In The Past Week",0.0,0.797,0.203,0.4215
21,UAL,2021-04-09,10:35AM,Two big trends to watch closely in the months ahead: Morning Brief,0.0,1.0,0.0,0.0
22,UAL,2021-04-08,04:18PM,Who Are Delta Air Lines' Main Competitors? (DAL),0.0,1.0,0.0,0.0
23,UAL,2021-04-07,12:27PM,"Airline Stock Roundup: LUV's Pilot Recall News, GOL's Dull Traffic Report & More",0.197,0.803,0.0,-0.4019
24,UAL,2021-04-07,08:00AM,UPS Bets on Electric Aircraft to Get Packages to the Hinterlands,0.0,1.0,0.0,0.0
25,UAL,2021-04-06,12:50PM,"United, Alaska stocks get upgrade on clear path to reopening for air travel industry",0.0,0.69,0.31,0.6597
26,UAL,2021-04-06,08:26AM,"United Airlines prepares to shake up white, male-dominated pilot population",0.136,0.64,0.224,0.2732
27,UAL,2021-04-06,08:08AM,"United Airlines prepares to shake up white, male-dominated pilot population",0.136,0.64,0.224,0.2732
28,UAL,2021-04-06,08:00AM,"United Airlines prepares to shake up white, male-dominated pilot population",0.136,0.64,0.224,0.2732
29,UAL,2021-04-06,08:00AM,United Sets New Diversity Goal: 50% of Students at New Pilot Training Academy To Be Women and People of Color,0.0,0.872,0.128,0.4215
30,UAL,2021-04-06,07:36AM,"The Zacks Analyst Blog Highlights: Pfizer, Johnson & Johnson, Delta Air Lines, Southwest Airlines and United Airlines",0.0,0.843,0.157,0.4215
31,UAL,2021-04-05,01:28PM,CDC's New Guidance Makes the Skyline Sunnier for U.S. Airlines,0.0,0.732,0.268,0.5106
32,UAL,2021-04-03,08:20AM,Why you may want to book your next trip now,0.0,0.874,0.126,0.0772
33,UAL,2021-04-01,06:34PM,"United Airlines to hire about 300 pilots, amid confidence of travel rebound",0.0,0.621,0.379,0.7269
34,UAL,2021-04-01,03:32PM,UPDATE 1-United Airlines to initially hire 300 new pilots as travel demand rebounds,0.111,0.889,0.0,-0.128
35,UAL,2021-04-01,02:35PM,United Airlines to initially hire 300 new pilots as travel demand rebounds,0.105,0.699,0.196,0.3182
36,UAL,2021-04-01,02:03PM,Travel industry numbers keep rising week over week: The Points Guy CEO,0.0,1.0,0.0,0.0
37,UAL,2021-04-01,12:19PM,Will U.S. Airlines' Expansion Spree Boost Summer Trips?,0.0,0.722,0.278,0.4019
38,UAL,2021-04-01,11:41AM,United Air to Hire About 300 Pilots as Vaccination Rates Rise,0.0,0.781,0.219,0.4215
39,UAL,2021-04-01,06:37AM,Why you should grab those low airfares now,0.231,0.769,0.0,-0.2732
40,UAL,2021-03-31,05:10PM,'The pent-up demand for travel is really manifesting itself': Hawaiian Airlines CEO,0.12,0.88,0.0,-0.128
41,UAL,2021-03-31,09:10AM,Americans want to travel to these destinations on these airlines to escape the pandemic,0.0,0.8,0.2,0.25
42,UAL,2021-03-30,04:01PM,"'Theres been a good uptick in leisure travel, but were still down over 40%' from a year ago: Airlines for America CEO",0.0,0.907,0.093,0.2382
43,UAL,2021-03-30,12:35PM,"Airline Stock Roundup: AAL Issues Bullish Q1 Projection, UAL, DAL & LUV in Focus",0.0,1.0,0.0,0.0
44,UAL,2021-03-30,06:00AM,There are signs that America's airline industry is bouncing back,0.0,1.0,0.0,0.0
45,UAL,2021-03-29,04:01PM,'More confidence in the destination' will lead to more flights: Airline expert on travel amid COVID-19,0.0,0.807,0.193,0.5563
46,UAL,2021-03-29,09:10AM,Southwest (LUV) Announces a Major Summer Service Expansion,0.0,1.0,0.0,0.0
47,UAL,2021-03-29,06:00AM,United Returns to JFK With Coast-to-Coast Flights and the Most Premium Seats From the NYC Area,0.0,0.843,0.157,0.4215
48,UAL,2021-03-26,05:56PM,Boeing resumes 787 deliveries as widespread inspections loom,0.213,0.787,0.0,-0.2263
