,ticker,date,time,headline,neg,neu,pos,compound
0,UA,2021-04-09,01:04PM,Levi's 'balloon jeans' emerge as the post pandemic hot style,0.0,1.0,0.0,0.0
1,UA,2021-04-07,05:17PM,Piper Sandler: Athleisure continues rising among teens,0.0,1.0,0.0,0.0
2,UA,2021-04-07,04:20PM,3 big surprises in how teens are spending: Piper Sandler survey,0.0,0.826,0.174,0.2263
3,UA,2021-04-07,12:40PM,Georgia voting law: Bridgestone Golf CEO says the company is staying put in the state,0.0,1.0,0.0,0.0
4,UA,2021-04-05,10:05AM,"Under Armour (UAA) Gains on Growth in E-commerce, DTC Business",0.0,0.615,0.385,0.6124
5,UA,2021-04-03,10:42AM,5 Stocks To Watch For The NCAA Final Four Weekend,0.0,1.0,0.0,0.0
6,UA,2021-04-01,12:11PM,NFL's new 17-game season will change how I train: Kansas City Chief star Patrick Mahomes,0.0,1.0,0.0,0.0
7,UA,2021-04-01,11:48AM,Kansas City Chiefs QB Patrick Mahomes: 'I am trying to build a business empire',0.0,1.0,0.0,0.0
8,UA,2021-04-01,09:51AM,Consumers are spending their stimulus checks: Foot Locker CEO,0.0,1.0,0.0,0.0
9,UA,2021-04-01,08:00AM,"Yahoo Finance Presents: Foot Locker, Inc. chairman & CEO Richard Johnson",0.0,1.0,0.0,0.0
10,UA,2021-03-30,01:24PM,COVID-19 cases are back on the rise and so may be a sweaty gym workout,0.0,1.0,0.0,0.0
11,UA,2021-03-26,05:14PM,"Under Armour, Inc. -- Moody's announces completion of a periodic review of ratings of Under Armour, Inc.",0.0,1.0,0.0,0.0
12,UA,2021-03-24,04:00PM,Why Designer Brands Stock Was Falling Today,0.211,0.789,0.0,-0.1531
13,UA,2021-03-24,08:30AM,Women of Will Sponsorship Program Announces 2021 Hall of Fame Awards Recognizing Female Athletic Programs,0.0,0.688,0.312,0.7096
14,UA,2021-03-22,07:28PM,Is Under Armour (UA) Stock A Buy or Sell?,0.0,1.0,0.0,0.0
15,UA,2021-03-19,12:21PM,The S&P 500: The Index You Need To Know,0.0,1.0,0.0,0.0
16,UA,2021-03-17,12:18PM,Is Virgin Galactic Stock A Buy After Major Stakeholder Sells Shares?,0.0,0.804,0.196,0.296
17,UA,2021-03-16,12:10PM,Consumers have 'substantial ammunition' to spend: analyst,0.0,0.769,0.231,0.2023
18,UA,2021-03-16,09:44AM,Why 2020's retail underperformers could become the best opportunity in 2021,0.0,0.562,0.438,0.7906
19,UA,2021-03-16,04:01AM,Investing for Your Kids: ETFs or Individual Stocks?,0.0,1.0,0.0,0.0
20,UA,2021-03-15,10:13AM,Under Armour Stock Is Rising. 4 Reasons the Companys on Track.,0.0,1.0,0.0,0.0
21,UA,2021-03-03,10:53AM,Under Armour: Strong Growth Drivers but a Lofty Valuation,0.0,0.603,0.397,0.4497
22,UA,2021-03-02,08:15AM,"Abercrombie & Fitch smashes profit forecasts, says Q1 off to a good start",0.0,0.608,0.392,0.7003
23,UA,2021-02-26,07:37PM,U.S. Infrastructure Needs Build Strong Case for Caterpillar Stock,0.0,0.708,0.292,0.5106
24,UA,2021-02-26,04:58PM,Kohls Stock Surges as Activists Step Up Pressure,0.239,0.761,0.0,-0.296
25,UA,2021-02-26,02:56PM,Under Armour's Black History Month collab aims to capture the 'beauty in the struggle',0.127,0.663,0.21,0.3612
26,UA,2021-02-25,02:33PM,Under Armour photographer Devin Allen drops special BHM collection,0.0,0.748,0.252,0.4019
27,UA,2021-02-25,10:00AM,Is Under Armour Stock a Buy?,0.0,1.0,0.0,0.0
28,UA,2021-02-25,06:00AM,A Trump Tax Break Kicked Off a Race to Redraw U.S. Census Maps,0.0,1.0,0.0,0.0
29,UA,2021-02-24,07:05AM,Macy's will disappear from most of these malls,0.213,0.787,0.0,-0.2263
30,UA,2021-02-23,07:00PM,Sports gear maker Under Armour halves sponsorship commitments,0.0,0.824,0.176,0.128
31,UA,2021-02-20,03:30PM,Investors Like Twitter's Report,0.0,0.545,0.455,0.3612
32,UA,2021-02-19,12:23PM,Under Armour Stock Could Reward Patient Investors. Heres How.,0.0,0.684,0.316,0.5719
33,UA,2021-02-16,01:58PM,From Chasing China to Dominating Digital: These Are the Top Trends Defining Retail Right Now,0.129,0.765,0.106,-0.1027
34,UA,2021-02-16,11:07AM,"Retail could take a hit as winter storms hinder store traffic, e-commerce delivery times",0.0,1.0,0.0,0.0
35,UA,2021-02-12,04:35PM,A Look at Cerence's Results,0.0,1.0,0.0,0.0
36,UA,2021-02-12,12:20PM,Kohls: The Name for a Retail Rebound,0.0,1.0,0.0,0.0
37,UA,2021-02-11,02:36PM,Under Armours Earnings Were Good Enough to Convert One Analyst. Are More Upgrades Coming?,0.0,0.818,0.182,0.4404
38,UA,2021-02-11,01:25PM,"Piper Sandler Upgrades Under Armour, Says 'Unloved' Stock Still Has Room To Run",0.0,1.0,0.0,0.0
