,ticker,date,time,headline,neg,neu,pos,compound
0,VIPS,2021-04-13,11:03PM,"Meituan, ByteDance Pledge to Comply With Chinas Antitrust Laws",0.0,1.0,0.0,0.0
1,VIPS,2021-04-07,12:49AM,Options Traders Preparing for Bounce in Archegos-Linked Stocks,0.0,1.0,0.0,0.0
2,VIPS,2021-04-06,04:19PM,Archegos Stocks Rise as Traders Shrug Off Fresh Block Trades,0.22,0.606,0.174,-0.1531
3,VIPS,2021-04-05,08:30PM,Credit Suisse Sells $2.3 Billion of Stocks Tied to Archegos,0.0,0.776,0.224,0.3818
4,VIPS,2021-03-31,07:51AM,Vipshop To Buy Back $500M In Stock; Shares Pop 9%,0.0,0.804,0.196,0.296
5,VIPS,2021-03-31,04:59AM,Strength Seen in Vipshop Holdings Limited (VIPS): Can Its 8.6% Jump Turn into More Strength?,0.094,0.591,0.315,0.6705
6,VIPS,2021-03-30,11:44AM,Why Vipshop Stock Skyrocketed Today,0.0,1.0,0.0,0.0
7,VIPS,2021-03-30,07:08AM,Vipshop Holdings (VIPS) Is in Oversold Territory: What's Next?,0.0,1.0,0.0,0.0
8,VIPS,2021-03-30,06:03AM,Vipshop Announces US$500 Million Share Repurchase Program,0.0,0.732,0.268,0.296
9,VIPS,2021-03-29,04:40AM,Rout in China Tech Shares Is a Buying Opportunity for Some,0.0,0.615,0.385,0.6124
10,VIPS,2021-03-29,02:42AM,Traders Are Glued to Their Screens and Set for Volatile Open,0.0,1.0,0.0,0.0
11,VIPS,2021-03-27,12:28AM,Block-Trade Bevy Wipes $35 Billion Off Stock Values in a Day,0.0,0.769,0.231,0.4019
12,VIPS,2021-03-26,12:50PM,"Delisting Chinese Stocks? Why BIDU, VIPS and TME Stocks Continue to Fall",0.0,1.0,0.0,0.0
13,VIPS,2021-03-24,09:26PM,China Considers Creating State-Backed Company to Oversee Tech Data,0.0,0.784,0.216,0.296
14,VIPS,2021-03-23,06:58AM,Vipshop Holdings (NYSE:VIPS) Could Be Struggling To Allocate Capital,0.259,0.741,0.0,-0.4215
15,VIPS,2021-03-12,04:48PM,Swing Trading Ideas Can Morph To Position Trades,0.0,1.0,0.0,0.0
16,VIPS,2021-03-02,02:39PM,Stocks Flashing Renewed Technical Strength: Groupon,0.0,0.61,0.39,0.4939
17,VIPS,2021-02-25,04:11PM,Vipshop Earnings Beat Views; VIPS Stock Rallies To New High,0.0,1.0,0.0,0.0
18,VIPS,2021-02-25,03:14PM,Stocks Remain Weak In Final Hour As Nasdaq Leads Broad Sell-Off; Leading Stocks Stumble,0.182,0.818,0.0,-0.4404
19,VIPS,2021-02-25,02:30PM,Vipshop Holdings Limited (VIPS) Q4 2020 Earnings Call Transcript,0.192,0.808,0.0,-0.2263
20,VIPS,2021-02-25,10:19AM,"Dow Jones Today, Stocks Mixed After GDP, Jobs Data; Nvidia, Tesla Slump; Twitter Rallies; Bond Yields Rise",0.0,1.0,0.0,0.0
21,VIPS,2021-02-25,05:00AM,Vipshop Reports Unaudited Fourth Quarter and Full Year 2020 Financial Results,0.0,1.0,0.0,0.0
22,VIPS,2021-02-22,07:36AM,What You Need To Know About Vipshop Holdings Limited's (NYSE:VIPS) Investor Composition,0.0,1.0,0.0,0.0
23,VIPS,2021-02-16,05:00AM,Vipshop to Announce Fourth Quarter and Full Year 2020 Financial Results,0.0,1.0,0.0,0.0
24,VIPS,2021-02-09,02:13PM,Stock Upgrades: Stamps.com Shows Rising Relative Strength,0.0,0.652,0.348,0.4939
25,VIPS,2021-02-07,10:12PM,China Finalizes Internet Antitrust Rules in Just Three Months,0.0,1.0,0.0,0.0
26,VIPS,2021-02-07,08:34PM,Chinese authorities slap Vipshop with large fine as regulatory arsenal expanded,0.0,0.726,0.274,0.34
27,VIPS,2021-02-02,02:35PM,IBD 50 Stocks To Watch: This Chinese Online Retailer Offers Opportunity Amid 167% Run,0.0,0.823,0.177,0.4215
28,VIPS,2021-01-26,07:22AM,Are Strong Financial Prospects The Force That Is Driving The Momentum In Vipshop Holdings Limited's NYSE:VIPS) Stock?,0.0,0.732,0.268,0.6705
29,VIPS,2021-01-14,09:17AM,China's Vipshop appoints banks to lead HK secondary listing - sources,0.0,1.0,0.0,0.0
30,VIPS,2021-01-08,04:29PM,"China Stocks Jump As Alibaba, Tencent Not Included In China Blacklist",0.0,1.0,0.0,0.0
