,ticker,date,time,headline,neg,neu,pos,compound
0,WHR,2021-04-14,07:02AM,"The Zacks Analyst Blog Highlights: Whirlpool Corp, Olympic Steel, KB Home, Dillard's and HCA Healthcare",0.0,1.0,0.0,0.0
1,WHR,2021-04-13,03:45PM,6 Growth Stocks with Tailwinds,0.0,0.536,0.464,0.3818
2,WHR,2021-04-12,09:15AM,"Whirlpool (WHR) Hits 52-Week High, Can the Run Continue?",0.0,1.0,0.0,0.0
3,WHR,2021-04-09,12:00PM,Here's Why Whirlpool (WHR) is a Great Momentum Stock to Buy,0.0,0.687,0.313,0.6249
4,WHR,2021-04-09,07:46AM,"Zacks.com featured highlights include: Whirlpool, Louisiana-Pacific Corp, Oasis Midstream Partners and Primerica",0.0,1.0,0.0,0.0
5,WHR,2021-04-08,12:02PM,Whirlpool (WHR) Stock Rallies 120% in a Year: Will It Sustain?,0.0,1.0,0.0,0.0
6,WHR,2021-04-08,08:33AM,Why Whirlpool Stock Rose 16% in March,0.0,1.0,0.0,0.0
7,WHR,2021-04-08,07:03AM,4 Top Stocks to Invest in for Attractive Earnings Growth,0.0,0.451,0.549,0.743
8,WHR,2021-04-06,11:45AM,Why Whirlpool (WHR) is a Top Dividend Stock for Your Portfolio,0.0,0.833,0.167,0.2023
9,WHR,2021-03-30,10:07AM,Can You Imagine How Jubilant Whirlpool's (NYSE:WHR) Shareholders Feel About Its 147% Share Price Gain?,0.0,0.556,0.444,0.8625
10,WHR,2021-03-24,08:08AM,"Zacks Industry Outlook Highlights: Whirlpool, Electrolux, Howden Joinery Group and Hamilton Beach",0.0,1.0,0.0,0.0
11,WHR,2021-03-23,05:35PM,"Whirlpool Sees RS Rating Rise, Remains In Buy Zone",0.0,1.0,0.0,0.0
12,WHR,2021-03-23,08:44AM,4 Top Home Appliance Stocks to Watch on Strong Consumer Demand Trends,0.103,0.548,0.349,0.5574
13,WHR,2021-03-19,11:45AM,Why Whirlpool (WHR) is a Top Dividend Stock for Your Portfolio,0.0,0.833,0.167,0.2023
14,WHR,2021-03-08,07:00AM,"Whirlpool Corporation Highlights Ongoing Commitment To Delivering Positive Environmental, Social Change in 2020 Sustainability Report",0.0,0.677,0.323,0.7351
15,WHR,2021-03-03,11:45AM,Whirlpool (WHR) is a Top Dividend Stock Right Now: Should You Buy?,0.0,0.847,0.153,0.2023
16,WHR,2021-02-24,08:00AM,Whirlpool Corporation to Present at the Raymond James 42nd Annual Institutional Investors Conference,0.0,1.0,0.0,0.0
17,WHR,2021-02-22,01:59AM,Be Sure To Check Out Whirlpool Corporation (NYSE:WHR) Before It Goes Ex-Dividend,0.0,0.827,0.173,0.3182
18,WHR,2021-02-16,09:06AM,Whirlpool Corporation Declares Quarterly Dividend,0.0,1.0,0.0,0.0
