,ticker,date,time,headline,neg,neu,pos,compound
0,WMT,2021-04-14,06:45AM,Indias Small Merchants Take on Amazon With Protest Meeting,0.187,0.654,0.159,-0.0772
1,WMT,2021-04-14,06:10AM,How the pandemic helped Walmart battle Amazon Marketplace for sellers,0.211,0.65,0.138,-0.2263
2,WMT,2021-04-14,06:03AM,Focus: How the pandemic helped Walmart battle Amazon Marketplace for sellers,0.195,0.677,0.128,-0.2263
3,WMT,2021-04-13,05:45PM,Walmart (WMT) Stock Sinks As Market Gains: What You Should Know,0.0,0.806,0.194,0.34
4,WMT,2021-04-13,05:18PM,Walmart (WMT) Boosts India Operations With Flipkart-Adani Deal,0.0,0.753,0.247,0.3182
5,WMT,2021-04-13,04:40PM,4 Dow Jones Stocks To Buy And Watch In April 2021: Apple Jumps 2%,0.0,1.0,0.0,0.0
6,WMT,2021-04-13,02:12PM,Frontline food workers face disproportionate impacts from COVID-19 pandemic,0.0,1.0,0.0,0.0
7,WMT,2021-04-13,12:01PM,"Walmart increases efforts to save birds, bees, butterflies and other pollinators",0.0,0.758,0.242,0.4939
8,WMT,2021-04-13,06:00AM,Biden Hears 310 Companies Urge Speed on Climate: Raise the Bar,0.0,1.0,0.0,0.0
9,WMT,2021-04-12,06:41PM,Flipkarts Warehouse Venture to Bolster Walmarts India Presence,0.0,1.0,0.0,0.0
10,WMT,2021-04-12,09:25AM,Ecoark Awarded $115 Million in Lawsuit Against Walmart,0.179,0.566,0.255,0.2023
11,WMT,2021-04-12,07:59AM,Walmart Plans Massive India Warehouse With Billionaire Adani,0.0,1.0,0.0,0.0
12,WMT,2021-04-12,07:46AM,"Walmart China, Dada Group's JDDJ Extend Omni-Channel Customer Digitalization Partnership",0.0,0.841,0.159,0.1779
13,WMT,2021-04-11,07:00PM,Six New Unicorns in Four Days Marks Historic Boom for India Tech,0.0,1.0,0.0,0.0
14,WMT,2021-04-11,04:05PM,Better Buy: Costco vs. Walmart,0.0,0.58,0.42,0.4404
15,WMT,2021-04-10,08:00PM,A-Rod and ex-Walmart executive to buy Minnesota Timberwolves,0.0,1.0,0.0,0.0
16,WMT,2021-04-10,09:33AM,"What Amazon Can Learn from a Bruising Victory in Bessemer, Alabama",0.0,0.841,0.159,0.1779
17,WMT,2021-04-09,06:27PM,Black-Owned Restaurant Secures The Bag with Franchise Opportunity Within Walmart: It Started with Selling Fish on the Street,0.0,0.758,0.242,0.6249
18,WMT,2021-04-09,03:27PM,McDonald's to Close Hundreds of Stores in Walmart Locations,0.0,1.0,0.0,0.0
19,WMT,2021-04-09,01:29PM,McDonalds to exit hundreds more Walmart stores,0.0,1.0,0.0,0.0
20,WMT,2021-04-09,12:41PM,Amazon Wins Union Election in Setback to Labor Movement,0.0,0.565,0.435,0.6597
21,WMT,2021-04-09,12:00PM,McDonald's Is Closing Hundreds of Walmart Location Stores,0.0,1.0,0.0,0.0
22,WMT,2021-04-09,11:24AM,PetSmart LLC -- Moody's announces completion of a periodic review of ratings of PetSmart LLC,0.0,1.0,0.0,0.0
23,WMT,2021-04-09,11:14AM,"Petco Health and Wellness Company, Inc. -- Moody's announces completion of a periodic review of ratings of Petco Health and Wellness Company, Inc.",0.0,0.775,0.225,0.7003
24,WMT,2021-04-09,10:16AM,What Best Buys new membership program means for shoppers,0.0,0.656,0.344,0.6369
25,WMT,2021-04-09,08:16AM,McDonald's Plans to Shutter Hundreds of Outlets in Walmart Stores,0.0,1.0,0.0,0.0
26,WMT,2021-04-08,02:04PM,Best Buy Introduces Membership Plan to Rival Amazon Prime and Walmart+,0.0,0.604,0.396,0.7096
27,WMT,2021-04-08,01:23PM,Best Buy Joins the Membership Club. What Investors Should Know.,0.0,0.682,0.318,0.6369
28,WMT,2021-04-08,12:21PM,Best Buy is the latest retailer to attack Amazon Prime,0.194,0.438,0.369,0.4215
29,WMT,2021-04-08,08:45AM,Here's Why the Flipkart IPO Is a Brilliant Move for Walmart,0.0,0.703,0.297,0.5859
30,WMT,2021-04-08,07:15AM,"Is JD Stock A Buy Right Now? Here's What JD.com Earnings, Charts Show",0.0,1.0,0.0,0.0
31,WMT,2021-04-08,06:00AM,Tiger Global Backs Bots Startup Gupshup at $1.4 Billion Value,0.103,0.69,0.207,0.296
32,WMT,2021-04-08,04:32AM,Amazon Reveals Scorching India Growth as Walmart Fight Deepens,0.202,0.465,0.333,0.1779
33,WMT,2021-04-07,06:02PM,"Is Walmart Stock A Buy Right Now? Here's What Charts, Analysis Show",0.0,1.0,0.0,0.0
34,WMT,2021-04-07,05:45PM,Walmart (WMT) Stock Sinks As Market Gains: What You Should Know,0.0,0.806,0.194,0.34
35,WMT,2021-04-07,04:30PM,The Simply Good Foods Company (SMPL) Q2 2021 Earnings Call Transcript,0.0,0.775,0.225,0.4404
36,WMT,2021-04-07,04:23PM,"How Walmart Makes Money: U.S., International, and Sam's Club Stores",0.0,1.0,0.0,0.0
37,WMT,2021-04-07,02:50PM,New robot Stretch to amplify productivity in warehouses: Boston Dynamics CEO,0.0,0.826,0.174,0.2732
38,WMT,2021-04-07,11:11AM,How COVID-19 has impacted teen's brand preferences,0.0,1.0,0.0,0.0
39,WMT,2021-04-07,08:43AM,"Alcoa, Anheueser-Busch InBev, Rent-A-Center, Target and Walmart highlighted as Zacks Bull and Bear of the Day",0.0,1.0,0.0,0.0
40,WMT,2021-04-06,06:24PM,Walmarts Sustainability Pitch to Wall Street,0.0,1.0,0.0,0.0
41,WMT,2021-04-06,04:57PM,Targets car seat trade-in event is back through April 17,0.0,1.0,0.0,0.0
42,WMT,2021-04-06,04:36PM,Dividends and Growth: Why RCII is a Strong Buy Retail Stock,0.0,0.576,0.424,0.7096
43,WMT,2021-04-06,04:27PM,Are Walmart+ Subscriptions Stagnating? One Analyst Thinks So.,0.0,1.0,0.0,0.0
44,WMT,2021-04-06,12:00PM,Is Walmart a Great Dividend Stock?,0.0,0.494,0.506,0.6249
45,WMT,2021-04-06,11:34AM,Walmart Flipkart India Unit Reportedly Progresses Toward IPO,0.0,1.0,0.0,0.0
46,WMT,2021-04-06,10:57AM,"Walmarts Flipkart Aims for IPO in Fourth Quarter, Sources Say",0.0,1.0,0.0,0.0
47,WMT,2021-04-05,12:13PM,Costco stock may surprise if the company hikes membership fees in fall 2022,0.0,0.851,0.149,0.2732
48,WMT,2021-04-05,12:00PM,3 Recession-Proof Stocks to Buy Now,0.0,1.0,0.0,0.0
49,WMT,2021-04-05,11:17AM,Retail outlook: expect discretionary retail to take off,0.0,1.0,0.0,0.0
50,WMT,2021-04-05,10:03AM,Top stocks investors bought and sold in March,0.0,0.795,0.205,0.2023
51,WMT,2021-04-05,08:00AM,Walmart and Sam's Club Fight Hunger. Spark Change. Campaign Helps Feeding America® Network of Local Food Banks Provide Meals to Communities in Need,0.164,0.676,0.16,-0.0258
52,WMT,2021-04-01,06:00AM,Fashion retailers bet bras with wires and a splash of color will sell this spring,0.0,1.0,0.0,0.0
53,WMT,2021-03-31,07:04PM,Walmart Inc. -- Moody's announces completion of a periodic review of ratings of Walmart Inc.,0.0,1.0,0.0,0.0
54,WMT,2021-03-31,05:32PM,Amazon Says Most U.S. Employees Will Return to Work in the Fall,0.0,0.866,0.134,0.1779
55,WMT,2021-03-31,01:00PM,Is there a pet food shortage?,0.333,0.667,0.0,-0.25
56,WMT,2021-03-31,04:04AM,Indias First Unicorn Plans U.S. IPO at Value of Up to $15 Billion,0.0,0.833,0.167,0.34
57,WMT,2021-03-30,06:09PM,Moran Foods LLC -- Moody's announces completion of a periodic review of ratings of Moran Foods LLC,0.0,1.0,0.0,0.0
58,WMT,2021-03-30,05:45PM,Walmart (WMT) Dips More Than Broader Markets: What You Should Know,0.0,1.0,0.0,0.0
59,WMT,2021-03-30,04:05PM,Walmart Announces 2021 Annual Shareholders Meeting Date,0.0,1.0,0.0,0.0
60,WMT,2021-03-30,12:00PM,Got $3000? Here Are 3 Stocks to Buy and Hold for the Long Term,0.0,1.0,0.0,0.0
61,WMT,2021-03-30,11:10AM,New Strong Sell Stocks for March 30th,0.0,0.645,0.355,0.5106
62,WMT,2021-03-30,08:33AM,Walmart to Participate in Cowen's 2nd Annual Consumer Platforms for the Next Generation Summit,0.0,1.0,0.0,0.0
63,WMT,2021-03-29,01:42PM,"Despite its best efforts, Walmarts e-commerce is still a fraction of Amazons",0.332,0.668,0.0,-0.5374
64,WMT,2021-03-29,08:33AM,Bed Bath & Beyond hires Wayfair and Walmart vets to drive digital business,0.0,1.0,0.0,0.0
65,WMT,2021-03-29,07:26AM,Bed Bath & Beyond Taps Walmart and Wayfair Execs to Grow Online,0.0,1.0,0.0,0.0
66,WMT,2021-03-26,04:40PM,UPDATE 2-Mexico's president invites big business to debate energy laws,0.0,0.811,0.189,0.2732
67,WMT,2021-03-26,03:47PM,Mexico's president invites big business to debate energy laws,0.0,0.792,0.208,0.2732
68,WMT,2021-03-26,01:22PM,"L Brands hikes guidance as stimulus checks fuel demand for lingerie, candles and hand sanitizer",0.09,0.719,0.192,0.4019
69,WMT,2021-03-26,12:54PM,Why this retailer is seeing a triple-digit sales surge,0.0,1.0,0.0,0.0
70,WMT,2021-03-26,08:30AM,The 3 Largest Retail Apocalypse-Proof Stocks in 2021,0.0,1.0,0.0,0.0
71,WMT,2021-03-26,07:45AM,3 Large E-Commerce Stocks in 2021,0.0,1.0,0.0,0.0
72,WMT,2021-03-26,07:22AM,Why I'm More Bullish on Target Than Ever,0.0,1.0,0.0,0.0
73,WMT,2021-03-26,06:17AM,Asda store workers win equal pay fight in Supreme Court,0.23,0.345,0.425,0.6597
74,WMT,2021-03-26,05:00AM,What CVS and Walgreens stand to gain from the vaccine rollout,0.0,0.746,0.254,0.5267
75,WMT,2021-03-25,07:01PM,Another SPAC Worth Watching,0.0,0.612,0.388,0.2263
76,WMT,2021-03-25,01:24PM,Amazon Seeks Halt On Changes To Indian E-Commerce Foreign Investment Norms: Reuters,0.0,0.866,0.134,0.1779
77,WMT,2021-03-25,09:41AM,New Report Outlines Why Net Lease Retail Real Estate Is Superior In An Omni-Channel World,0.0,0.8,0.2,0.5423
78,WMT,2021-03-25,08:15AM,"Is JD Stock A Buy Right Now? Here's What JD.com Earnings, Charts Show",0.0,1.0,0.0,0.0
79,WMT,2021-03-25,07:30AM,Why Walmart Could Be the Surprise Stock of the Decade,0.0,0.811,0.189,0.2732
80,WMT,2021-03-25,07:06AM,"If Walmart Does This One Thing, the Stock Will Soar",0.0,1.0,0.0,0.0
81,WMT,2021-03-24,08:00PM,Leaders Lessons: How to nurture positive change,0.0,0.455,0.545,0.7184
82,WMT,2021-03-24,07:22PM,"Goodyear Tire & Rubber Company (The) -- Moody's confirms Goodyear's ratings with senior unsecured guaranteed at B2, senior secured at Ba2 and CFR at B1; outlook to stable",0.083,0.762,0.156,0.3182
83,WMT,2021-03-24,06:15PM,"Is Kroger Stock A Buy Right Now? Here's What Earnings, Charts Show",0.0,1.0,0.0,0.0
84,WMT,2021-03-24,05:45PM,Walmart (WMT) Dips More Than Broader Markets: What You Should Know,0.0,1.0,0.0,0.0
85,WMT,2021-03-24,12:30PM,Why Walmart Will Continue to Win,0.0,0.568,0.432,0.5859
86,WMT,2021-03-24,10:10AM,15 Fastest Growing E-Commerce Companies in 2020,0.0,0.779,0.221,0.1779
87,WMT,2021-03-24,10:03AM,Private equity firm Advent has profit over 300% on Brazil deal,0.0,0.775,0.225,0.4404
88,WMT,2021-03-24,07:25AM,"Before you move to a new town in retirement, check the local Walmart  and 5 other hard-learned lessons",0.0,1.0,0.0,0.0
89,WMT,2021-03-24,06:33AM,Carrefour to Buy Walmarts Former Business in Brazil,0.0,1.0,0.0,0.0
90,WMT,2021-03-24,06:03AM,1 No-Brainer Value Stock to Buy Right Now,0.0,0.714,0.286,0.34
91,WMT,2021-03-24,01:15AM,Cramer Sees These Stocks As Likely Beneficiaries Of 'Easter Rally',0.0,0.763,0.237,0.4215
92,WMT,2021-03-23,11:53AM,Amazon's PSPP Program 101: What Buyers Should Know About Amazon's Payment Service Provider Program,0.0,1.0,0.0,0.0
93,WMT,2021-03-23,09:30AM,"Calling All Entrepreneurs! Apply Now for Walmarts Annual Open Call for Products Made, Grown or Assembled in the U.S.",0.0,1.0,0.0,0.0
94,WMT,2021-03-23,08:18AM,DoorDash to deliver at home COVID-19 tests that offer quick turnaround,0.0,1.0,0.0,0.0
95,WMT,2021-03-22,10:41PM,Tesla Employee Revelations On Solar Fires Classified As Evidence In Federal Probe: Report,0.0,1.0,0.0,0.0
96,WMT,2021-03-22,05:08PM,How COVID-19 has impacted ecommerce,0.0,1.0,0.0,0.0
97,WMT,2021-03-22,01:36PM,Bed Bath & Beyond just launched its first of several attacks on Target's home dominance,0.169,0.64,0.192,-0.1531
98,WMT,2021-03-22,12:45PM,"FINAL DEADLINE TODAY: The Schall Law Firm Announces the Filing of a Class Action Lawsuit Against Walmart Inc. and Encourages Investors with Losses in Excess of $100,000 to Contact the Firm",0.133,0.783,0.084,-0.1779
99,WMT,2021-03-22,11:30AM,Ollie's Bargain Outlet Shares Are Not a Bargain,0.0,0.408,0.592,0.5859
