,ticker,date,time,headline,neg,neu,pos,compound
0,XLNX,2021-04-13,09:50AM,"Stock Market News for Apr 13, 2021",0.0,1.0,0.0,0.0
1,XLNX,2021-04-13,09:14AM,"Xilinx, Mavenir partner to boost open 5G network capacity",0.0,0.748,0.252,0.4019
2,XLNX,2021-04-13,09:00AM,"Xilinx, Mavenir partner to boost open 5G network capacity",0.0,0.748,0.252,0.4019
3,XLNX,2021-04-13,09:00AM,Mavenir and Xilinx Collaborate to Bring to Market Open RAN Massive MIMO Portfolio,0.0,1.0,0.0,0.0
4,XLNX,2021-04-07,12:49PM,AMD and Xilinx Stockholders Overwhelmingly Approve AMDs Acquisition of Xilinx,0.143,0.857,0.0,-0.128
5,XLNX,2021-04-07,10:42AM,AMD Acquisition of Xilinx Approved by Holders,0.0,0.682,0.318,0.4215
6,XLNX,2021-04-06,03:26PM,"Is Nvidia Stock A Buy After Steep Decline, Tech Sell-Off?",0.0,1.0,0.0,0.0
7,XLNX,2021-03-31,06:46AM,Xilinx (XLNX) Sees Hammer Chart Pattern: Time to Buy?,0.0,1.0,0.0,0.0
8,XLNX,2021-03-18,08:02AM,5G Stocks To Buy And Watch: Smartphones Rule Today But Enterprise Plays Will Kick In,0.0,0.875,0.125,0.25
9,XLNX,2021-03-17,09:45AM,3 Chip Stocks That Could Benefit From a Crypto Mining Boom,0.0,0.727,0.273,0.4588
10,XLNX,2021-03-16,03:16PM,Is Xilinx (XLNX) Stock A Buy or Sell?,0.0,1.0,0.0,0.0
11,XLNX,2021-03-16,01:53PM,"Achronix CEO Robert Blake On Going Public, Opportunities Ahead",0.0,0.755,0.245,0.3818
12,XLNX,2021-03-16,09:00AM,"Xilinx Expands into New Applications with Cost-Optimized UltraScale+ Portfolio for Ultra-Compact, High-Performance Edge Compute",0.0,0.903,0.097,0.1027
13,XLNX,2021-03-12,10:50AM,Technology Stocks Spotlight: Marvell Rises High,0.0,1.0,0.0,0.0
14,XLNX,2021-03-08,04:15PM,"AMD and Xilinx Special Meetings of Stockholders to be Held on April 7, 2021",0.0,0.828,0.172,0.4019
15,XLNX,2021-03-04,10:34PM,"Monteverde & Associates PC Files Class Action Lawsuit On Behalf Of Shareholders Of Xilinx, Inc. In The Northern District Of California",0.091,0.909,0.0,-0.2263
16,XLNX,2021-02-26,06:11AM,Does Xilinx (NASDAQ:XLNX) Have A Healthy Balance Sheet?,0.0,0.69,0.31,0.4019
17,XLNX,2021-02-23,09:00AM,"Xilinx Revolutionizes the Modern Data Center with Software-Defined, Hardware Accelerated Alveo SmartNICs",0.0,1.0,0.0,0.0
18,XLNX,2021-02-17,04:50AM,10 Best EV Stocks to Buy According to Cathie Wood,0.0,0.682,0.318,0.6369
19,XLNX,2021-02-16,08:50AM,Semiconductor Stocks To Buy And Watch As Q4 Earnings Season Ends,0.0,1.0,0.0,0.0
20,XLNX,2021-02-04,09:12AM,Xilinx to supply chips to Fujitsu for U.S. 5G network gear,0.0,1.0,0.0,0.0
21,XLNX,2021-02-04,09:00AM,Xilinx to supply chips to Fujitsu for U.S. 5G network gear,0.0,1.0,0.0,0.0
22,XLNX,2021-02-04,09:00AM,Xilinx Collaborates with Fujitsu to Support 5G Deployments in the US,0.0,0.787,0.213,0.4019
23,XLNX,2021-02-04,05:49AM,"INVESTIGATION ALERT: Halper Sadeh LLP Investigates the Following Companies on Behalf of Shareholders - PS, SMTX, XLNX, ALSK, WDR",0.0,0.853,0.147,0.4466
24,XLNX,2021-02-02,03:01PM,"XILINX INVESTOR ALERT by the Former Attorney General of Louisiana: Kahn Swick & Foti, LLC Investigates Adequacy of Price and Process in Proposed Sale of Xilinx, Inc. - XLNX",0.0,0.899,0.101,0.4466
25,XLNX,2021-02-02,10:35AM,"INVESTIGATION ALERT: Halper Sadeh LLP Investigates TCP, INFO, XLNX, IPHI; Shareholders Are Encouraged to Contact the Firm",0.0,0.734,0.266,0.6633
26,XLNX,2021-02-01,07:02PM,"SHAREHOLDER ALERT: WeissLaw LLP Reminds NK, XLNX, GXGX, and ACEV Shareholders About Its Ongoing Investigations",0.0,0.827,0.173,0.4466
27,XLNX,2021-02-01,02:45PM,SHAREHOLDER ALERT: Monteverde & Associates Continues to Investigate the Following Merger,0.0,0.754,0.246,0.4466
28,XLNX,2021-01-28,01:24PM,"Xilinx's (XLNX) Q3 Earnings & Revenues Top Estimates, Up Y/Y",0.0,0.816,0.184,0.2023
29,XLNX,2021-01-28,08:00AM,"INVESTIGATION ALERT: Halper Sadeh LLP Investigates the Following Companies on Behalf of Shareholders - XLNX, IPHI, NAV, AKER, INFO",0.0,0.853,0.147,0.4466
30,XLNX,2021-01-27,06:15PM,Xilinx (XLNX) Q3 Earnings and Revenues Top Estimates,0.0,0.795,0.205,0.2023
31,XLNX,2021-01-27,04:20PM,Xilinx Reports Third Quarter Fiscal Year 2021 Results,0.0,1.0,0.0,0.0
32,XLNX,2021-01-26,09:00AM,AMD Reports Earnings Today. Heres What To Expect.,0.0,1.0,0.0,0.0
33,XLNX,2021-01-25,03:37PM,"SHAREHOLDER ALERT: WeissLaw LLP Reminds PROS, IPHI, NK and XLNX Shareholders About Its Ongoing Investigations",0.0,0.827,0.173,0.4466
34,XLNX,2021-01-25,10:33AM,AMD Hovering Under 100 Ahead of Report,0.0,1.0,0.0,0.0
35,XLNX,2021-01-25,09:26AM,"Semiconductor Stock Jan 26 Earnings Roster: AMD, MXIM & More",0.0,1.0,0.0,0.0
36,XLNX,2021-01-22,12:25PM,Advanced Micro Devices Is Priced Too High for Value Investors,0.0,0.645,0.355,0.5267
37,XLNX,2021-01-22,08:26AM,Xilinx (XLNX) to Report Q3 Earnings: What's in Store?,0.0,1.0,0.0,0.0
38,XLNX,2021-01-14,04:41PM,"INVESTIGATION ALERT: Halper Sadeh LLP Investigates BPFH, OXFD, PNM, ANH, XLNX, IPHI; Shareholders Are Encouraged to Contact the Firm",0.0,0.758,0.242,0.6633
39,XLNX,2021-01-13,06:38PM,"SHAREHOLDER ALERT: WeissLaw LLP Reminds MTSC, IPHI, ALXN and XLNX Shareholders About Its Ongoing Investigations",0.0,0.827,0.173,0.4466
40,XLNX,2021-01-12,09:13AM,Advanced Micro Devices (AMD) Closing In on $100,0.0,0.778,0.222,0.25
41,XLNX,2021-01-07,06:17PM,Achronix to go public through $2.1 bln SPAC deal,0.0,1.0,0.0,0.0
42,XLNX,2021-01-07,02:02PM,"SHAREHOLDER INVESTIGATION: Halper Sadeh LLP Investigates XLNX, ANH, TCF, PRVL; Shareholders Are Encouraged to Contact the Firm",0.0,0.865,0.135,0.3612
43,XLNX,2021-01-06,04:54PM,"SHAREHOLDER ALERT: WeissLaw LLP Reminds EIDX, IPHI, ALXN, and XLNX Shareholders About Its Ongoing Investigations",0.0,0.827,0.173,0.4466
44,XLNX,2021-01-06,10:16AM,Achronix Is in Talks to Merge With Blank-Check Firm ACE,0.0,1.0,0.0,0.0
45,XLNX,2021-01-01,01:40PM,"MERGER INVESTIGATION ALERT: Halper Sadeh LLP Encourages RLH, MTSC, CATM, and XLNX Shareholders to Contact the Firm",0.0,0.72,0.28,0.7034
46,XLNX,2020-12-30,08:49PM,"SHAREHOLDER ALERT: WeissLaw LLP Reminds HLIX, XLNX, SNSS, and AKER Shareholders About Its Ongoing Investigations",0.0,0.827,0.173,0.4466
47,XLNX,2020-12-30,05:44AM,"How Much Of Xilinx, Inc. (NASDAQ:XLNX) Do Institutions Own?",0.0,1.0,0.0,0.0
48,XLNX,2020-12-19,04:28PM,"SHAREHOLDER INVESTIGATION: Halper Sadeh LLP Investigates the Following Companies - CKH, HBAN, PS, UROV, XLNX",0.0,1.0,0.0,0.0
49,XLNX,2020-12-18,08:26PM,"Microsoft Designing Its Own Chips for Servers, Surface PCs",0.0,1.0,0.0,0.0
50,XLNX,2020-12-18,03:40PM,Advanced Micro Devices Looks Ready to Run to $100,0.0,0.609,0.391,0.5423
51,XLNX,2020-12-18,01:24PM,The Choice: Ask Why or Just Buy Advanced Micro Devices,0.0,0.818,0.182,0.25
52,XLNX,2020-12-17,10:56PM,"SHAREHOLDER ALERT: WeissLaw LLP Reminds OAC, IPV, EV, and XLNX Shareholders About Its Ongoing Investigations",0.0,0.827,0.173,0.4466
53,XLNX,2020-12-16,01:14PM,STOCKHOLDER ALERT: Monteverde & Associates Continues to Investigate the Following Merger,0.0,0.754,0.246,0.4466
54,XLNX,2020-12-16,10:43AM,"SHAREHOLDER INVESTIGATION: Halper Sadeh LLP Investigates the Following Companies  EIGI, XLNX, UROV, HDS",0.0,1.0,0.0,0.0
55,XLNX,2020-12-15,11:59AM,"Moore Kuehn Encourages XLNX, ZAGG, EIGI, and TCF Investors to Contact Law Firm",0.0,0.805,0.195,0.4404
56,XLNX,2020-12-14,08:12PM,Is XLNX A Good Stock To Buy Now?,0.0,0.674,0.326,0.4404
57,XLNX,2020-12-13,05:08PM,Buying Stocks for Christmas? Put These Tech Stocks Under the Tree,0.0,1.0,0.0,0.0
58,XLNX,2020-12-12,09:24AM,"INVESTIGATION ALERT: Halper Sadeh LLP Continues to Investigate the Following Companies; Shareholders are Encouraged to Contact the Firm  WTRE, CIT, RESI, XLNX",0.0,0.786,0.214,0.6633
