,ticker,date,time,headline,neg,neu,pos,compound
0,YNDX,2021-04-13,12:18PM,Russian watchdog opens case against Yandex over alleged competition law breach,0.0,1.0,0.0,0.0
1,YNDX,2021-04-13,12:09PM,Russian watchdog opens case against Yandex over alleged competition law breach,0.0,1.0,0.0,0.0
2,YNDX,2021-04-08,04:30AM,Yandex to Announce First Quarter 2021 Financial Results on April 28th,0.0,1.0,0.0,0.0
3,YNDX,2021-04-07,07:59AM,Is YNDX Stock A Buy or Sell?,0.0,1.0,0.0,0.0
4,YNDX,2021-04-01,12:28PM,Russia's Yandex seeks more time to respond to allegation it broke competition law,0.189,0.811,0.0,-0.4215
5,YNDX,2021-03-30,02:20AM,Yandex Announces Management Changes,0.0,1.0,0.0,0.0
6,YNDX,2021-03-28,08:00PM,Sberbank and Mail.ru on brink of divorce in $1.6bn tech joint venture,0.0,1.0,0.0,0.0
7,YNDX,2021-03-23,09:47AM,Yandex's (NASDAQ:YNDX) Wonderful 338% Share Price Increase Shows How Capitalism Can Build Wealth,0.0,0.441,0.559,0.886
8,YNDX,2021-03-18,11:30AM,Why Is Yandex (YNDX) Down 2.3% Since Last Earnings Report?,0.0,1.0,0.0,0.0
9,YNDX,2021-03-02,09:38AM,"Uber Spins Off Robotic Delivery Unit, Takes Stake in New Startup",0.0,1.0,0.0,0.0
10,YNDX,2021-02-24,05:56AM,Could The Yandex N.V. (NASDAQ:YNDX) Ownership Structure Tell Us Something Useful?,0.0,0.775,0.225,0.4404
11,YNDX,2021-02-16,09:50AM,UPDATE 1-Russia's Yandex to spend $400-500 mln on e-commerce in 2021 after profit rise,0.0,0.818,0.182,0.4404
12,YNDX,2021-02-16,06:20AM,Yandex Announces Fourth Quarter and Full-Year 2020 Financial Results,0.0,1.0,0.0,0.0
13,YNDX,2021-02-16,06:15AM,Yandex NV to Host Earnings Call,0.0,1.0,0.0,0.0
14,YNDX,2021-02-02,06:00AM,Yandex.Taxi Announces Acquisition of Selected Assets of Vezet Group,0.0,0.825,0.175,0.1779
15,YNDX,2021-01-29,06:18AM,Is Yandex N.V.'s (NASDAQ:YNDX) Recent Stock Performance Influenced By Its Fundamentals In Any Way?,0.0,1.0,0.0,0.0
16,YNDX,2021-01-26,04:50AM,Yandex to Announce Fourth Quarter and Full Year 2020 Financial Results on February 16th,0.0,1.0,0.0,0.0
17,YNDX,2020-12-30,05:07AM,Russia's Citymobil sees rapid growth in delivery business amid pandemic,0.0,0.776,0.224,0.3818
18,YNDX,2020-12-21,05:23PM,Is YNDX A Good Stock To Buy According To Hedge Funds?,0.0,0.756,0.244,0.4404
19,YNDX,2020-12-21,10:20AM,Yandex warns against limiting foreign ownership in Russian online streaming services,0.123,0.877,0.0,-0.1027
20,YNDX,2020-12-09,05:23AM,Yandex robots start to deliver restaurant meals in central Moscow,0.0,1.0,0.0,0.0
21,YNDX,2020-12-04,02:27PM,Price Over Earnings Overview: Yandex,0.0,1.0,0.0,0.0
22,YNDX,2020-12-01,04:07AM,Should Your Bank Deliver Your Groceries and Meals Too?,0.0,1.0,0.0,0.0
23,YNDX,2020-11-23,07:00AM,Russia's Yandex launches e-grocery delivery in Israel under new Deli brand,0.0,1.0,0.0,0.0
24,YNDX,2020-11-19,04:14AM,COVID-19 crisis: a shot in the arm for Russian e-commerce,0.339,0.661,0.0,-0.6249
25,YNDX,2020-11-19,04:04AM,COVID-19 crisis: a shot in the arm for Russian e-commerce,0.339,0.661,0.0,-0.6249
26,YNDX,2020-11-19,04:00AM,FOCUS-COVID-19 crisis: a shot in the arm for Russian e-commerce,0.339,0.661,0.0,-0.6249
27,YNDX,2020-11-12,09:00AM,Rockstar Games Co-Founder Bets on Player-to-Player Wagering,0.0,1.0,0.0,0.0
