,ticker,date,time,headline,neg,neu,pos,compound
0,ZNGA,2021-04-14,07:37AM,Zynga Is Not Just About 'Farmville' Anymore,0.0,1.0,0.0,0.0
1,ZNGA,2021-04-13,08:00AM,Games Industry Reflects on and Recommits to #PlayApartTogether Campaign at One Year Milestone,0.0,1.0,0.0,0.0
2,ZNGA,2021-04-10,08:00AM,"Got $3,000? 2 Tech Stocks to Buy and Hold for the Long Term",0.0,1.0,0.0,0.0
3,ZNGA,2021-04-08,08:05AM,"Zynga to Discuss First Quarter 2021 Financial Results on May 5, 2021",0.0,1.0,0.0,0.0
4,ZNGA,2021-04-08,08:00AM,Zynga Launches Modern Match-3 Mobile Game Puzzle Combat,0.255,0.745,0.0,-0.34
5,ZNGA,2021-04-06,11:56AM,Zynga CEO Frank Gibeau's total pay increased by more than $20 million in 2020,0.09,0.774,0.135,0.1779
6,ZNGA,2021-04-06,06:40AM,3 Top Robinhood Stocks to Buy in April,0.0,0.769,0.231,0.2023
7,ZNGA,2021-03-31,03:12PM,Roblox Loses an Accounting Fight With the SEC. Investors Should Understand Why.,0.329,0.671,0.0,-0.5994
8,ZNGA,2021-03-31,09:50AM,What Percentage Of Zynga Inc. (NASDAQ:ZNGA) Shares Do Insiders Own?,0.0,0.804,0.196,0.296
9,ZNGA,2021-03-27,09:48AM,Better Buy: Activision Blizzard vs. Zynga,0.0,0.633,0.367,0.4404
10,ZNGA,2021-03-26,04:50PM,Ever 'Wunder' About Weed Drinks? How A Former Zynga VP Is Changing The THC Game,0.0,1.0,0.0,0.0
11,ZNGA,2021-03-25,09:41AM,Ignore the Short Squeezes: These Tech Stocks Are Better Buys,0.187,0.597,0.216,0.1027
12,ZNGA,2021-03-23,12:24AM,IS Zynga (ZNGA) Stock A Buy or Sell?,0.0,1.0,0.0,0.0
13,ZNGA,2021-03-19,09:51AM,Is Zynga Inc. (ZNGA) A Smart Long-Term Buy?,0.0,0.69,0.31,0.4019
14,ZNGA,2021-03-17,11:59AM,Heres Why Artisan Global Increased their Position in Zynga Inc. (ZNGA),0.0,0.826,0.174,0.2732
15,ZNGA,2021-03-15,05:45PM,Zynga (ZNGA) Outpaces Stock Market Gains: What You Should Know,0.0,0.789,0.211,0.34
16,ZNGA,2021-03-13,08:00AM,3 Tech Stocks That Will Keep Winning in a Post-Pandemic World,0.0,0.702,0.298,0.5267
